index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,water,coffee,tea,juice,milk,soda,alcohol,liquor,beer,wine,vodka,whiskey,champagne
Travis,0.9808636119487152,1.0252032886073328,-0.6679495425874796,0.998642784009104,0.5723542060623917,0.29115093983811674,-0.64902705825283,0.1004025115968084,1.311423849084515,1.4177785869934836,-0.13318586635034052,0.9643431463837893,0.7781481579881777,-0.6401545183909084,-0.015874581800113658,0.37261546686368746,0.3396350631298201,0.023932671787756175,0.5686321913902147,-0.6356600451572898,0.8994940380370362,-0.3538520206602158,-0.29520970906861627,0.6910340083225204,0.5414064057839993,0.7145924192900075,-0.367616217521204,0.36210633144756105,0.6721322293030481,0.5181767506975096,-0.3257799461923342,-0.3391216422723927,-1.0913462494592487,-0.4560156029106659,-1.1463247162530614,0.12362199273901195,-0.36884478953635425,-0.1398813021857084,0.6790122495444761,-0.4002307256037768,-0.24789980419936505,0.3476943499154225,-0.40410801659751105
Hadley,0.01972278856610499,-0.07033228249061506,0.20859206021217314,0.2190894356838189,0.22487457304613742,0.19289186381074713,0.286012553352307,-0.21260357218385542,0.24092770780357045,0.6175637373702755,0.3393775556679564,0.45762411137802667,0.17148586926849238,-0.032573585661636484,-0.010652513199109846,0.2917215690971245,-0.553075324831368,0.29198064108050825,0.17858651760899416,-0.027155477591714893,-0.04686200006557051,0.5623546111120397,0.035802996746705416,-0.31149631659629146,0.7437240337531407,0.21157582171832853,0.3530105568968208,0.12445792989309198,-0.03498757898496655,0.3662332614970245,0.11869989537906016,-0.15584579103245283,-0.5227359399102313,-0.48237872635362894,-0.4637772484864452,0.6024001657047658,-0.3106508434858145,-0.7076647536600649,-0.8505321665950061,0.7566862578530936,-0.17119226451324276,-0.3684591915382604,1.192018135966736
Allen,0.7504799034404831,0.9127145279338986,0.17251962809416885,0.6350752677186534,0.3761558227746362,0.00836193138309624,-0.04501216231143122,0.3464331009459619,0.661957603645843,1.4406653854053688,0.09672893993799411,0.8492371323812667,0.726388126374456,-0.16793258166859887,0.5205982824507649,-0.11248427327745246,-0.19726602550125774,-0.12930941113297878,-0.0031602802518314915,0.25537410707800207,0.37655823985062187,-0.3077219539865283,-0.15598853495969367,0.7558689390038451,-0.21835725400861575,0.5017151592854114,0.3956275581635327,0.31733910123270925,0.24662761028865363,0.6844445005825388,-0.5091321860523264,-0.19558356379420533,-0.6081627028807914,-0.6203144838096079,-0.8121494436353491,0.023934904500347066,0.16153309786939693,0.28697944557499006,0.6076199358331011,-0.11009441324117422,-0.006030802794814429,0.5758242611360329,-0.27446598237182407
Lance,0.9372050741594675,0.4131328450743963,0.33396455067681013,0.6087932076943475,0.28551036799277196,0.16147573732708845,-0.24587079978018664,0.9483219174679342,0.4815543333596035,0.057230703556618544,0.48293632639192696,0.7130851341242721,0.6129411289857996,-0.32043927621051965,0.2841283044571526,0.5827233192294102,0.4510631079904178,0.4388870324631513,0.1696951294101831,0.22866551212934308,0.5644086305081447,-0.019396086821943586,-0.2844220567319939,0.976744625664931,0.38663320854222116,0.7305116250013647,-0.37702915812978266,0.2240720290684539,0.36339186451463606,0.49651106397493555,-0.16039110982309154,-0.426316633255309,-0.9131341215436767,-0.21968861279815247,-0.8082867823555804,-0.04785078999159141,-0.16146318920032324,0.07045996429709896,0.350427651844703,-0.28483519144717956,-0.1280823919000278,0.46046308968512667,-0.2429090497968763
Mabel,-1.2020317187324043,-1.393698015770534,-0.3887389844167005,-1.3600543470093622,-0.6281355907257041,-1.0183053963356845,0.013110198805883115,-0.8465344070031527,-1.0312500994728933,-1.0014563386358593,-0.8488136133422417,-0.12449531667502617,-0.6540555528095834,-0.8310264199642413,-0.15989451673618466,-1.2162023899246663,-1.3693496700365735,-0.6176638830048837,-0.6069103264094846,0.036734032650056515,-0.7201104517367356,-0.3743267734886641,-0.9572605547385825,0.012393092258123992,-0.6765243812029844,0.9250371326413784,0.7164980727116503,0.5709079807196015,-1.0535870923039008,-0.16653528929242883,0.22234675496839787,0.3167035420820547,1.0934060896632192,0.16938151870469773,0.7519337388419113,-0.03887386858617169,-0.7881390876522258,-0.27040020005862303,-0.40634157503986357,0.3362737996379233,-0.3751726522763629,0.013238766806183347,0.5898655491566362
Lisa,-0.6644598844654428,-0.35994235107782585,-0.41693112655018827,-0.238166297696631,0.18134500629411224,0.40078712559608964,0.15077067434212887,-0.8650580185226783,-0.7044987264383412,-0.07471173386432102,-0.6130655876783907,-0.283030182973863,-0.1694300936745955,0.20025937592441936,-0.9226991502930478,-0.2881528801936698,-0.4468777937380701,-0.0006136271328285198,0.1041602736822085,-0.5293548348448879,0.009541030795995107,0.2875485962837714,0.17055712263242107,-0.7783743962531819,0.3149445204256991,-0.7306951807430445,-0.20719270110347562,0.17389147489869491,0.027559909415802223,-0.038687114757209276,0.17146623885526538,0.31167135497604004,0.5939436755837467,0.2959826118800444,0.47335596590643886,0.21432463406100857,-0.46075121740106356,-0.45522494923461704,-0.2380396481718413,0.5122652547027587,-0.02738715698009011,-0.3476271132978177,0.4272923816567643
Curtis,1.240273107363327,0.6661275154268472,0.16471115742098608,0.9125224753631256,0.411654184179006,-0.08788109268204787,-0.19166076832701295,0.34938738523423785,1.1905669992290218,1.2087360106303864,0.7914188868735627,1.4993434226825297,0.9342043798922609,-0.38725227810819796,1.146031358212306,0.3332680228619114,0.26849400957856273,0.020749130911832468,-0.08763198440588865,0.16625419441452763,0.3903892197644458,-0.14279941357769646,-0.43066519657622904,1.051719042394902,0.029245481373073326,0.9160555384651465,0.2548224948170283,0.30388027887502045,0.31333693603776014,0.507480741644629,-0.23372593918455453,-0.1756761759149248,-0.6126232846301186,-0.3944328787031605,-0.6060934546338531,-0.0730435343769909,-0.5232196892593567,0.03328930618788411,0.6160916068186911,-0.4407054301045186,-0.2617158594193136,0.510491160477415,-0.3361273217393219
Carole,-1.2582768163422338,-1.223720093784099,-0.009348769139012373,-1.02249892587402,-0.014627793817761144,-0.5932857443636216,0.3420943156363284,-1.793741822611537,-0.9564766130894937,-0.9158207359188405,-0.7655804779775525,0.2588520727746158,-0.5565878885675937,0.08276549258165077,-0.7313593276198534,-0.5243018119525932,-1.5374050628865235,-0.0746560512078065,-0.4584689670533971,0.026116199395341592,-0.8194233245944341,-0.011248987737735349,-0.3762392792132737,-0.9577828851706165,-0.10172906265538184,-0.07882900965594473,0.13109347165410776,0.1702464771626167,-0.8260003688567052,-0.13047505799331185,0.01157365005403129,0.47315435020676044,0.7265043874469854,0.1770042626082038,0.36845679219393396,0.2269385841692725,-0.888776631432449,-0.3172557844601475,-0.23558784883539158,0.5075540214580875,0.13764376329812603,-0.07732516523080968,0.8302799086655636
Isabella,-1.1758058297480605,-1.2882733079704596,-0.4851501378468081,-0.8868433078167255,-0.38612758899899957,-0.4443758679089976,0.013010085642990742,-0.059264428152030896,-1.3139234482234514,-0.4732050366056741,-0.5020226635455348,-0.8335331903160114,-0.8799024591246583,-0.15762376964981203,-0.7284647626193806,0.08236228833247054,0.1316525929327554,-0.2438672432572694,-0.38378291004085013,-0.777251129601543,-0.28392365056517616,-0.2815549881944027,-0.4437817865082223,-0.9259104944894714,0.13457479170122255,0.12069375510506009,0.0037341660363698005,-0.3096473725197065,-0.35776106640107996,-0.5948102115755377,0.04568351801483956,0.19367976457964375,0.812409267943295,0.2817420753643513,0.27454653569505055,-0.13375402402323006,-0.33892496554455637,-0.4106149258215607,-0.4628992261485784,0.4756523741651346,-0.05905470541435048,-0.23170950693337075,0.8572721282788368
Aubrey,0.3290972568069347,0.22691270580165712,0.6333627182912731,-0.2308303104692001,0.4111116151354023,0.20916834310443358,0.2517663671527929,-0.890274652748248,0.14851948117228653,0.57949804231656,0.4656564458780994,0.7386522421295882,0.225540708950288,0.08324323322802259,-0.26172311557109845,0.3019531435169513,-0.11841626814863308,0.1697914220862018,0.3287886275901195,0.7213536028037625,-0.30495431721528277,-0.32069781556753535,-0.14823241253087371,-0.4573143751345899,-0.2143689769763569,0.6472904368166729,-0.059643705137784706,0.228925138372404,0.41846110165524875,0.3747766521797882,0.0115604684920711,0.19153827371711746,0.27882953246152203,0.08599987323878401,0.13828864433723348,0.3984738617681902,-0.6651855741112035,-0.3865920921466003,-0.04052473755763227,0.1745436699382524,0.03538698947105748,-0.08350944845237512,0.35533635701878885
