index,religion_isomap_x,religion_isomap_y,religion_tsne_x,religion_tsne_y,religion_umap_x,religion_umap_y
accountant,0.008536052078994737,-0.3123361722577554,-20.742195000000002,151.11345,3.3714032,6.3767
air traffic controller,-0.12885276966927153,-0.14401916652700586,6.2268867,29.741734,3.4620457,8.4487705
architect,0.2534914399265441,0.22394795589205505,-94.636215,-38.164116,9.04693,7.925411
artist,-0.1126855031371919,0.25525672572794256,57.820976,-51.532036,2.9423098999999997,10.486065
attorney,0.13094443580909906,-0.24199935599392344,-50.49310300000001,113.79901000000001,5.221504,7.4538100000000025
baker,-0.4003628118451679,0.09914882463067598,-808.8246,78.68621,-0.60523415,9.439772
banker,0.4114997637402607,-0.20080393745455427,-118.59845,51.269054,10.715591,7.2134113
bartender,-0.3816911755335263,0.12772137181863594,113.21601000000001,-118.684525,-0.08525125,7.9606447
barber,0.3681665986074359,-0.2519199014075638,-108.05553,63.703568000000004,10.737049,7.116650999999999
barman,0.130048847865995,-0.20274642650760272,-34.359108,68.50104499999999,5.2062345,7.8459020000000015
barmaid,-0.5367528832532004,0.17216414789686174,272.07193,-38.102672999999996,3.5513678,15.745102
bookkeeper,0.02920903323618422,-0.3772200675173612,-13.638235,179.61598,3.06365,6.446754
broadcaster,-0.03631650653281062,-0.3222939545998158,-29.121171999999998,157.36835,3.3398137,6.259286
builder,0.19367620016261874,-0.20334341454707666,-71.34479499999998,115.95243,5.7272644,7.5174704
businessperson,-0.3538779915230221,-0.0792474391760134,143.5446,-77.30242,0.42805704,8.436562
businessman,0.3677808997047299,0.10373343066594364,-130.99736000000001,-17.68751,9.161696000000001,7.3588924
businesswoman,-0.5572565861504083,0.2446345300337893,283.40695,-39.832355,3.4777322,15.695360999999998
butcher,0.616210771755037,-0.0629728279329344,-191.79164,26.967808,9.673658999999999,6.340898999999999
captain,0.5784532697432988,0.17170227546228484,-187.97467,-59.250046,7.5758743000000015,6.3103848
carpenter,0.3926584061211279,-0.15576098392155446,-116.740425,39.765694,10.358236,7.5387187
cashier,-0.530136039942026,-0.1800403588245686,168.45197,72.58407,0.65971303,10.703256
chef,-0.16320691757796638,0.2931176095596509,62.890873,-39.620426,3.0319675999999998,10.673038
coach,-0.03063061329239487,0.0727977760791606,6.094681,-20.399921,3.9577556000000014,8.897892
cook,-0.4227235173043055,0.18889932662419545,125.72356,49.840088,-0.07052556,10.677928999999999
computer programmer,-0.2314930275950664,0.031341434573309776,123.32645,-92.87695,0.20193681,8.05759
dancer,-0.4526646608255741,0.4465787519132122,294.59177,23.568987,3.2661803,14.643872
dental hygienist,-0.24141897838489554,-0.2780113855245784,190.12656,9.346602,1.7884755,8.957466
denstist,-0.07824577071126076,-0.31434304634134824,-31.093878000000004,168.42203999999995,3.2081988,6.2799587
designer,-0.2302205773508789,0.3642131029401446,59.003326,-23.057566,3.2008634,11.0032215
dietician,-0.4252581877934524,-0.1864319707937483,159.77284,24.309435,0.5638221999999999,9.961121
doctor,0.4508252614695413,-0.05665845924217613,-109.47008999999998,28.264090000000003,10.61492,7.6293902000000005
economist,0.3071910638126802,-0.019992465845052543,-86.37478,-31.327374,9.26555,8.082422
editor,-0.354572056034751,-0.25700045555544226,180.03546,20.368412,1.292363,9.353394
electrician,-0.1336514511260907,-0.32762418847110897,52.438023,59.64675,2.3808749,8.5865755
engineer,0.32558921992817,0.05766782664308745,-122.59466,-21.53647,8.990494,7.543921000000001
farmer,0.7392935684726895,-0.048226239745014436,-205.97462,23.127848,9.419533,6.186827
filmmaker,0.011196563287345002,0.2285672818541657,-42.890026,-53.8285,9.061124000000001,8.797935
financier,0.4652844949844576,-0.028128954410170787,-154.53873000000004,28.87164000000001,10.126986,6.9989557
fireman,0.19280242597782246,-0.2433315387695069,-47.726624,74.66581,5.2972236,7.726180999999999
fisherman,0.4148113350571889,0.2163568759853963,-175.5031,-39.13093,7.450231,6.2548237
flight attendant,-0.6401454380905297,0.2521963192611429,280.10452000000004,-12.13066,3.2476585,15.4124155
gardener,0.2628438070859353,-0.25995145677682197,-94.36199,76.0846,6.09987,7.470414599999999
guidance counselor,-0.29431292738005393,0.016678782021838645,128.73453,-82.13313000000002,0.12168635400000001,8.182839999999999
hairdresser,-0.4657453929163038,0.04183609402200388,135.68001,52.316063,0.13330792,10.543319
homemaker,-0.4546993745203917,-0.17761997664913426,156.28923,36.971714,0.52553463,10.086936999999999
housekeeper,-0.4371304251169271,0.012713234800491798,137.05962,-10.721088,0.08753487,9.627933500000001
interior designer,-0.1915590482368718,0.26437821116744353,70.4804,-52.481919999999995,2.8060539,10.570167
jeweler,0.4928077103251252,-0.19782371759955367,-133.15814,68.889725,10.502137,7.449634599999999
journalist,-0.2520204924796061,0.2406869807824061,83.13512,-56.857677,2.54126,10.423267999999998
judge,0.386304681700508,-0.16697566253839366,-126.16861999999999,32.250316999999995,10.278715,7.5733747000000005
lawyer,0.10352617033686637,-0.2381484986821153,-45.2028,121.924194,5.258712999999998,7.143225
librarian,-0.4039333918182513,-0.07314852188582191,146.97078,-8.231478,0.43684056,9.469094
maestro,0.09766467817406696,0.2727788658207968,-53.115803,-61.94054000000001,9.21765,8.477089
magician,0.5902512492659548,0.1937565898969603,-191.8711,-29.413776000000002,7.631131,6.056771299999999
mason,0.8113505048519317,0.06321572388195705,-217.00372000000002,16.466501,9.1839075,5.9194226
mechanic,0.04942590553963258,-0.19346998429942755,-26.247982,61.39380300000001,4.6077127,8.05463
musician,0.1355234655585724,0.14821255774516034,-29.053099,-47.973118,8.880802000000003,8.958464
