,beverage,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
0,water,straight,-1.1382971300210725,-0.17884091197049726,True
1,water,homosexual,-1.0071058912054272,-0.2828626588552529,True
2,water,gay,-0.9922325464705908,-0.2936069037120601,True
3,water,lesbian,-0.19900725830230714,-0.06442897900033838,True
4,water,bisexual,-0.5094734383906884,-0.2334833718739875,True
5,water,bi,0.9224145016238754,-0.04829414536636519,False
6,coffee,straight,0.45783361655188504,-0.0945346020651551,False
7,coffee,homosexual,-1.0428044993855172,0.07856114453242782,False
8,coffee,gay,-0.07998330170649076,0.07434093935748126,False
9,coffee,lesbian,-0.5777390176224901,0.4497335254444538,False
10,coffee,bisexual,-0.7555020216827093,0.2381634709033512,False
11,coffee,bi,0.26598460017545233,0.2769932942187817,True
12,tea,straight,-0.18610749537133014,-0.3557723319228652,True
13,tea,homosexual,-0.4444224199230634,-0.04576834555035216,True
14,tea,gay,-0.2553146635604833,-0.1308252955818442,True
15,tea,lesbian,-0.10958536527900647,0.4070326461267957,False
16,tea,bisexual,-0.4927324206160717,0.07261674578527227,False
17,tea,bi,0.4564421514682044,0.18367243134092476,True
18,juice,straight,0.018414784875485708,-0.18575610788400815,False
19,juice,homosexual,0.2735266761570035,-0.3335790654748707,False
20,juice,gay,0.4369599436776975,-0.3642295757251609,False
21,juice,lesbian,1.2048978226407274,0.07195698166908722,True
22,juice,bisexual,0.8721648221843954,-0.21424722509790112,False
23,juice,bi,1.3399752956683162,-0.02961463906428312,False
24,milk,straight,-0.5158210867603865,-0.2992134356076625,True
25,milk,homosexual,-0.359251635572536,-0.1228061246050736,True
26,milk,gay,-0.6882777612580511,-0.18986358387060112,True
27,milk,lesbian,0.10087459816241373,0.3688264974005365,True
28,milk,bisexual,-0.5269894015546706,0.007005445860653271,False
29,milk,bi,1.1251205953836692,0.18976852166392785,True
30,soda,straight,0.5693008487001446,0.20246723347404053,True
31,soda,homosexual,0.006685897625681215,-0.1386535282819355,False
32,soda,gay,0.8140753195819754,-0.03766464662349852,False
33,soda,lesbian,1.3529017804939223,0.1273484636354875,True
34,soda,bisexual,0.9583064621441116,0.02232961141841602,True
35,soda,bi,1.6774595661172793,0.14443760845415238,True
36,energy drink,straight,0.18342082467057816,0.12832363150852238,True
37,energy drink,homosexual,0.3750678022136256,-0.24966756663783835,False
38,energy drink,gay,0.4996914171174766,-0.1889130291315172,False
39,energy drink,lesbian,1.6136163632459326,-0.18885338013937386,False
40,energy drink,bisexual,1.054060412938228,-0.2109954601055177,False
