index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Travis,0.9808635896606117,1.0252032306548873,-0.6679495788590265,0.9986428683237061,0.5723541588532424,0.2911509533360104,-0.6490270650789147,0.1004025369858675,1.311423868782662,1.4177786916519923,-0.13318579359836516,0.9643432581009425,0.7781480643769498,-0.6401543032662173,-0.015874623299025923,0.3726154932564964,0.3396351298166076,0.02393267343138552,0.5686321689167552,-0.6356599078386528,0.8994940217059455,-0.3538519834578267,-0.2952095441104368,0.6910341125361701,0.541406482421578,0.7145923207394231,-0.36761614809552257,0.36210629696548446,0.6721320434143611,0.5181767076909225,-0.6225280028034935,-0.7531285806951181,-0.4205771422495886,-0.5332871361242888,-0.7039006062255037,-0.693595754249771,-0.7373263917702925,-0.815229982522471,-1.1616971128094264,-0.8752186424652535,-0.6876214518564797,-0.9309712355922625,-1.2634625078865722,-1.1843583956488897,-1.1682007101097798,-0.8271029473594331,-0.8656962220119218,-0.8247373594485947,-0.6814728350762745,-0.39289594200798544,0.06349037039847062,-0.26017112392374653,-0.28678921633726107,-0.6044512012673456,-0.6330114892153571,-0.5101721126579382,-0.5615191504715039,-0.7935187866612874,-0.937487655980274,-0.9064014213283683,-0.6210767321839342,-0.8809201442328353,-1.1006149370887492,-0.785217503349447,-0.7517854742166181,-0.7636346491384173,-0.4660875834999855,-0.3193571584681029,-0.5190212037470812,-0.3152370626316523,-0.2292205035535321,-0.49981706480762206,-0.2852604299907372,-0.3050642751215344,-0.39078179846397426,-0.3281919755764564,-0.6485787448258021,-0.5725618833115139,-0.7356521154017842,-0.3577374924397978,-0.2887425918674873,-0.47717410387035575,-0.5739674769650513,-0.4288435289216365,-0.341235587197254,-0.16285774493780802,-0.20241145852352013,-0.319843391561425,-0.6603278130717063,-0.6070186569277617,-0.32571969683365937,-0.47093412049968486,-0.6986468479529262,-0.7253510368649151,-0.7245028131589284,-0.7543812216448875,-0.6786610139503569,-0.8191427736842742,-0.7357985089047779,-0.6585591219382723,-0.3105726040406366,-0.5312464632995857,-0.685064034853318,-0.5722141256837349,-0.7048106012092651,-0.3874593685097709,-0.494321779976761,-0.5655942423339985,-0.6923418766685815,-0.6595136223850071,-0.7331649389517065,-0.8539451437020708,-0.9604151733834814,-0.7184628332813584,-0.5717584847867226,-0.5258075331904691,-0.531298284928856,-0.4369108304481793,-0.4776079841853921,-0.3722810604806772,-0.49961756559786125,-0.4730236284460009,-0.5572443287101805,-0.7075849687692141,-0.5949174928388897,-0.6485809408527673,-0.8635664369422951,-0.973451819066039,-0.6960226221728566,-0.28895084689568734,-0.5697999819487402
Hadley,0.01972284796544728,-0.07033227267995883,0.2085923023259802,0.21908948845260046,0.22487460861739536,0.19289193786181263,0.2860127151542584,-0.21260352266421934,0.24092785227880276,0.6175638667634644,0.339377685162691,0.4576243013141553,0.17148592731111784,-0.032573473692016075,-0.010652390683827817,0.2917217335560869,-0.5530751941953809,0.29198076546655755,0.17858660294400808,-0.02715518639038689,-0.04686192119972396,0.5623548095496246,0.03580318866626841,-0.31149623187038766,0.7437241127499936,0.2115759231903168,0.3530107633486556,0.12445801527753841,-0.0349874455671348,0.36623345257304807,-0.31536982420484466,-0.6335354170218284,-0.17522159670853443,-0.4442036346853774,-0.4048808058567901,-0.5543574084432218,-0.5480921779091484,-0.8432948622554134,-0.8584027830477747,-0.4821338291836025,-0.3640449576583104,-0.6252302656656027,-0.8570999908820928,-0.8604880078403657,-0.5892494864817124,-0.5026868994611372,-0.4812923128482204,-0.3899185876251202,-0.2658842407724221,-0.12332961067068243,0.26747624414970017,-0.19621392800833293,-0.12065291478832074,-0.3173323851968755,-0.4315123753757217,-0.145176803611325,-0.06836376373154486,-0.3765517552718546,-0.44017843595540407,-0.45667306817691045,-0.3537389325060464,-0.49667772270581084,-0.7283872927692461,-0.35541414051676395,-0.35584684997525085,-0.43714942610877294,-0.27250647161449937,-0.320193820355907,-0.21873668080017541,0.07488745277314715,0.18368352891297837,-0.07897133535412888,0.08012929588912528,0.008244748954842665,-0.11316769044559792,0.09820562998358671,-0.3261690262976268,-0.34128393605619256,-0.4437034656401268,-0.06517543012960637,0.02179219101197641,-0.3340744592665971,-0.3392529181681044,-0.15576245948279374,-0.1298672885524435,-0.26639952577838566,-0.12648890761100612,-0.16287269081827638,-0.5977582378839909,-0.5066053043882269,-0.3799367797577964,-0.47665545376090257,-0.7066201989351325,-0.9127505005013972,-0.747094854643782,-0.7840429385944218,-0.6714775872842514,-0.8620720004820884,-0.8679294924016647,-0.872338971656723,-0.6252449491704936,-0.9580802661842285,-0.9025624077742614,-0.7610269454547335,-0.978709780545761,-0.7929165040433199,-0.9141098739213084,-0.806839002164032,-0.9431892928353396,-1.1117404283632557,-0.9815040125191691,-1.112480042043865,-1.1020761736865374,-1.1212675949711461,-1.0434921924847542,-0.8931831975387325,-0.8385700030785875,-0.9276599677043945,-0.9262042027785318,-0.7783216476067848,-0.8917510096853448,-0.9105458112496863,-1.1349025294074047,-1.0137475291724416,-1.0037973276613568,-1.0781236206425964,-1.3132236873819132,-1.3290979547963229,-0.8102501163516141,-0.6877904250578298,-0.696492611531822
Allen,0.7504799024845483,0.912714520048443,0.17251946705804572,0.6350751456236366,0.3761556605662996,0.008361747017248598,-0.0450122828605969,0.3464329890039538,0.6619574845449219,1.4406651177293852,0.09672878223517667,0.8492370579346985,0.7263880633807537,-0.16793291502689,0.5205981692490688,-0.11248434452605409,-0.19726589323603624,-0.1293095334497686,-0.0031604038287622034,0.25537385719108724,0.3765580125149906,-0.3077219658207057,-0.15598866394112124,0.7558688584391593,-0.2183573448452493,0.5017150655605833,0.3956272062362716,0.31733898646400527,0.24662760891842278,0.6844443686286292,-0.4274135544578212,-0.6289254725294993,-0.24430029462257793,-0.4755974975267666,-0.5318999524423491,-0.5699358185871964,-0.6019294376258616,-0.9231738326208987,-0.9833546620075034,-0.7221844249922917,-0.543118026369271,-0.8454596362580961,-1.0648643498175827,-1.0817736137376819,-0.873063902656255,-0.6904170201847565,-0.7235619815636295,-0.6524486720572893,-0.4683928482642803,-0.2522589971878303,0.06588154814224043,-0.297581280707531,-0.28070345212097497,-0.6214766301730331,-0.6456532654993374,-0.36173742455340957,-0.41342537211186114,-0.7631533067823248,-0.7136933202243075,-0.6535998698347928,-0.4610659322015265,-0.6881584035123752,-0.9199689662170318,-0.6098544351530205,-0.5448039589549977,-0.5882898608003577,-0.3839868233829945,-0.31265733920739425,-0.39880368172729797,-0.12372122898124618,-0.10894097894330489,-0.35177282106882596,-0.15267405821921298,-0.26454773419474203,-0.25857263509925354,-0.18715616877629007,-0.47930020623404296,-0.466032535082514,-0.5565997344668885,-0.2323637802873849,-0.1328796778406588,-0.42954546173562497,-0.514602887976757,-0.3502790948679063,-0.3115204469456909,-0.3118726726304084,-0.2338896235865255,-0.3362479227371212,-0.6845937746788304,-0.6362464254458148,-0.3906986344337203,-0.5751506005251943,-0.7760653958043019,-0.9347258119879629,-0.8109435299994039,-0.8393468672939312,-0.7696474757628446,-0.8973426974324122,-0.8491903950554612,-0.8549714795671743,-0.5421378141551839,-0.8890535688061422,-0.9584676345076162,-0.7987489283011739,-1.0817359131652824,-0.7791355306904718,-0.9070403926648608,-0.9789900279613145,-1.001596821999355,-1.1426296740942625,-1.09075769571463,-1.2009064027777556,-1.2498196023285932,-1.0994309835212133,-1.108247629530359,-1.0276930346649031,-0.9543001512405604,-1.0109376778638814,-1.0053873195591727,-0.9132698784532367,-0.986996794664157,-1.0272612577782834,-1.1714196776678565,-1.1426645386522862,-0.9795966602109761,-1.0733958186543793,-1.3107072177740235,-1.2921326020372104,-0.9509892199027192,-0.8377191458894987,-0.8979591484953856
Lance,0.9372051047188564,0.41313279763407584,0.33396463516204833,0.6087932117326398,0.2855103492452275,0.16147567433987067,-0.24587070648923898,0.9483221093296641,0.4815543531092126,0.05723079084942479,0.4829364170816018,0.7130851040309045,0.612941301096662,-0.3204392434977373,0.28412840599384925,0.582723364675828,0.45106318226022807,0.43888694497466096,0.16969516473564655,0.22866561863016846,0.5644086549737041,-0.01939610751392016,-0.2844223050895329,0.976744556295335,0.386633222748156,0.7305116897923283,-0.3770290895971032,0.22407190272983035,0.3633919829741268,0.49651103666335933,-0.835724514289038,-1.034565944697132,-0.792293072066696,-0.8917855209828588,-0.9127198237669272,-0.8303150312387952,-0.9347757482549063,-0.951308355958992,-1.2783339106893845,-0.9969217011229232,-0.8654086773180555,-1.0348610784339316,-1.2643676538842874,-1.2794903132140576,-1.4138957473942124,-1.0291033708934312,-0.9729007414688774,-1.0120920919060756,-0.7171507593685273,-0.45243008943957785,0.0912427588599619,-0.27125609098540965,-0.28702741576376406,-0.4782953509725209,-0.4659210689455546,-0.5324459816207711,-0.42684979245765525,-0.5734848825793801,-0.7001985863603571,-0.7922881669707369,-0.5029428435706867,-0.7341190386692489,-1.0282775933030222,-0.640905347248085,-0.6106912996282472,-0.6727588128959715,-0.26754518716451947,-0.18698114148234313,-0.4096704903236483,-0.1521365456872735,0.11481192739139177,-0.2279434948647334,-0.07583539885036444,0.07242499614791416,0.12229526366706524,0.14222839912095475,-0.17782838183415253,-0.05103583734109147,-0.13738528471694889,0.06594598891772305,0.13733425280143965,-0.13711351016800613,-0.07164950144384212,-0.0075082057059234686,0.04192438837266303,0.2866736492418122,0.3437326181602537,0.3172238781039352,-0.02639035418732454,-0.07085202876480119,0.3324860612939743,0.16580347697762807,-0.09715014825184516,-0.09918215874749456,-0.011428627640399279,-0.0845268578032398,0.04764967848634344,0.003025308263552828,0.009813720554807417,0.054193471011827005,0.28224034196767045,-0.052781343670208855,-0.051004457816521694,0.04787968192284894,-0.027030920433420147,0.22462755760101477,0.16498675669790747,0.07302882096891034,-0.09220164949961807,-0.123574255482815,-0.16149442531541341,-0.27843927763329795,-0.3160507319768399,-0.262474734444333,-0.058994468324985935,-0.038589811909635785,0.06758241086029541,0.07699050729397301,0.07547060158842797,0.1077105395342525,-0.014055286748212286,-0.031053289336702816,-0.05440168821062573,-0.12214684231669033,-0.06550754485569117,-0.0072001982280143345,-0.17912189151590308,-0.40009650167073757,-0.027977433215722197,0.4447036317364502,0.4934869198951014
Mabel,-1.2020317895510109,-1.3936980715685834,-0.3887391013196099,-1.3600543957136786,-0.6281356998551076,-1.0183054988103821,0.013110125702406123,-0.8465345069443488,-1.0312501692286646,-1.0014563880419325,-0.8488136603388149,-0.12449548914021467,-0.654055556976891,-0.8310264883275708,-0.15989461925950788,-1.2162024208131728,-1.3693497799043075,-0.6176638911736031,-0.6069103632613938,0.03673400865354942,-0.7201104595474948,-0.37432680983984995,-0.9572605710800319,0.012392949729526438,-0.6765244119078068,0.9250370491728783,0.7164980985592753,0.5709078409937002,-1.053587173307436,-0.16653532286323944,0.5820296311975577,0.3249525487181686,0.7062270547660083,0.6775609396162102,0.4247816277921598,0.5023327667023716,0.5477630861048933,0.2642718319700202,0.08872294585108112,0.3278901825378123,0.5200269946287885,0.2489016153643218,0.11880099923026538,0.006701654155424117,0.047508473465718556,0.20729249829046512,0.09558292117228352,0.1266508647251885,0.10999157620011184,0.2861899226616371,0.6828297307014939,0.1937518432830331,0.1421465925890526,-0.1390777200130497,-0.08461546879158807,-0.16671532970873915,-0.11606689753810649,-0.17378966180377842,-0.2743085661044806,-0.3620146194924386,-0.1535836149775106,-0.4328097987458615,-0.7161015979351242,-0.2552455180917669,-0.3256256036053183,-0.4124721715871688,-0.24548149627942104,-0.2523223040914915,-0.4325343773205461,-0.23718991992266955,0.053435218347022195,-0.26857592040876277,-0.37713114600166264,-0.257537141053516,-0.32491524782533215,-0.334124752618125,-0.7542149357666972,-0.961639634408618,-0.9788655313893082,-0.8589155503137654,-0.8753446812149378,-1.208582313241715,-1.198050460198593,-1.0055588720224158,-0.9306432654761684,-1.0253714169286672,-1.0035265145775283,-1.2480298405623187,-1.6867565485273293,-1.618278994047796,-1.5353359610558412,-1.6212471611970065,-1.8816040008687909,-1.9468027627573725,-1.6790628635495612,-1.964119343650239,-1.87493605423324,-1.8729360068659282,-1.983120883877157,-2.092576185122658,-1.797569149817322,-2.2444518514995426,-2.1701819650309466,-1.9176918808485997,-2.0319240593010557,-1.8510947770405182,-1.7716689009455344,-1.9406816232826458,-2.045847163697487,-2.3371752625405757,-2.251262140239833,-2.4688446683015974,-2.5102961835800284,-2.362641088752916,-2.3929768525638355,-2.460866250758571,-2.236095388278952,-2.303163345821393,-2.347067060671045,-2.31790671512581,-2.392090915597827,-2.302254808146718,-2.374733565334833,-2.3186200799853203,-2.2522574503619213,-2.2700383739446637,-2.311628445054796,-2.480622258194101,-2.194829380178812,-1.4777896622704465,-1.421604282463285
Lisa,-0.6644598962673675,-0.3599422702848238,-0.4169311403982897,-0.2381663428053814,0.18134498547066535,0.40078725476504845,0.15077078252973247,-0.865058012652567,-0.7044986029988367,-0.07471159743718575,-0.613065503084803,-0.28303015678081217,-0.16942998809887289,0.20025954550599034,-0.9226990668517889,-0.28815282211139503,-0.44687773174827566,-0.0006135514000767401,0.10416041684928187,-0.5293548882448451,0.009541124825359357,0.28754874418506476,0.1705571275355419,-0.7783742644586581,0.3149446772023834,-0.7306950537414685,-0.20719261287591687,0.17389144046950417,0.027559885382053253,-0.03868718155875999,-0.7085237898115918,-0.938561074227133,-0.7067606461832596,-0.6997703230367819,-0.7880982970296316,-0.5360817305387165,-0.4792977416312442,-0.5588349920323719,-0.748242689833047,-0.43537984847060485,-0.469624648337259,-0.382354727227859,-0.6385722906484186,-0.5195947736683643,-0.6347838356964167,-0.583453613281984,-0.5766265425995247,-0.5093017344814046,-0.34314231428699415,-0.16683177965853527,0.009583161257743833,-0.2520100930809133,-0.3466596914474172,-0.4417363451777927,-0.30120133980092173,-0.21104726119788,-0.2864699083888839,-0.43487566448829557,-0.33451755798376714,-0.28074085706955876,-0.12529024441361133,-0.262953867449214,-0.31686660088624413,0.07675142549194162,-0.13836602092667227,-0.0007056786831375781,0.1662270855426308,0.25275237689968727,0.12107583904282893,0.2446808531448411,0.40345582096950444,0.28714832390920475,0.28642636712967134,0.3490312799775785,0.3331027300518417,0.41783250761102936,0.1747888246193324,0.13997489348548595,0.17681569098330324,0.1991549958858051,0.34339439274568884,0.19099119936478187,0.2656852337758943,0.35644285323616504,0.2927904983227208,0.4259308528062187,0.45129062187296703,0.3841719155264375,0.21423392763854449,0.27801998442373344,0.41247990979385507,0.44111129280826533,0.35032359929741963,0.25113156881164284,0.35692838260412374,0.1679739024788233,0.3365793556431029,0.3872367204288695,0.27045775285771984,0.5323458963129115,0.6078318784536799,0.2728291697650032,0.35160329158988424,0.3393614368599202,0.33720240023979375,0.5030075229137354,0.3259974347113551,0.36285328953802876,0.3065256030834773,0.17771917159442444,0.0966309346792866,0.06337644135706681,0.15191839653399333,0.12666274344351772,0.08815692692667422,0.025240704958204102,0.16748620055094887,-0.04841318197476678,-0.013381241926824895,0.07483233462425591,-0.080662103445411,-0.03224253140674512,-0.07501429944437316,-0.13761665446707166,-0.15327502597671855,-0.23511162575677366,-0.3659599334203931,-0.5917785124194866,-0.5142398114377186,-0.025837974206838248,-0.09286910143907064
Curtis,1.2402731795359756,0.6661274772078426,0.1647111172438655,0.9125225628505822,0.41165424975632686,-0.08788088543802977,-0.1916606118093009,0.3493872849735624,1.1905669741935185,1.208736288091015,0.7914188257127353,1.4993435309909307,0.9342043991970026,-0.3872521230673132,1.1460314343369418,0.3332680955222039,0.2684941325948551,0.02074928099010297,-0.08763217601732766,0.1662542241869522,0.39038916204490726,-0.14279927812640889,-0.43066505234623925,1.0517191570913569,0.029245728189873994,0.9160555421876382,0.2548226423158553,0.30388020082012185,0.3133370418570546,0.5074807133713459,-0.19493562394272165,-0.325581433791903,-0.027089863886391875,-0.2443914453761594,-0.2633837685892148,-0.2309936076108794,-0.3311941956902544,-0.5416735421455142,-0.7243269098699511,-0.4084934715363548,-0.2856501444335928,-0.5612586278963477,-0.9095599485196291,-0.8663096894755618,-0.7298476443570506,-0.5238771382793306,-0.5570103143859352,-0.49814938314593893,-0.3353060025339863,-0.049609991712297276,0.2944525120063376,-0.09820624657997086,-0.07728200490699048,-0.34485150934258196,-0.3640857533754543,-0.09047251366789301,-0.1229007095749327,-0.4306782948923425,-0.4282730959187945,-0.4030321107217605,-0.1834510847827305,-0.42502516114600997,-0.7276052949063256,-0.36962024271900223,-0.36650740291124695,-0.39216381466729666,-0.1475679906449041,-0.0698479506375898,-0.24126055756809817,0.06084025502245123,0.08378564680922514,-0.15694495040067652,-0.02558313606007243,-0.07059645535400033,-0.013800250090027938,0.1003778928535228,-0.27322144650200036,-0.24384260911579383,-0.4011007746723198,0.01173671032125189,0.0824138483740802,-0.19085256033800932,-0.2652709659077262,-0.05209061127010517,-0.03899403732451082,-0.023946496863497625,0.11853246118792365,0.026297212138719446,-0.41113637081363347,-0.30948385074303536,-0.05531847235241126,-0.1638422789021071,-0.49216648028094023,-0.6093036876953442,-0.5139852186774604,-0.5511642996935229,-0.4815191658361688,-0.6286086837918334,-0.582053221449308,-0.4952054519315132,-0.21346269929055267,-0.5453477557361193,-0.5689195360071727,-0.4453821237747599,-0.7348672264403747,-0.3958954563363882,-0.5008433841916076,-0.46143514390871826,-0.5866858472014217,-0.6307091192210538,-0.6471019086938655,-0.7768384652481732,-0.8460062309063516,-0.798547334084794,-0.7531680100614252,-0.5598353823629085,-0.5595488204750924,-0.6148201358955412,-0.544068700387509,-0.4301986246538801,-0.5327714261467702,-0.5417120817564705,-0.7508521043533287,-0.7333549937834163,-0.6391698209803603,-0.6645723325295005,-0.9026978044559552,-0.9555129847369167,-0.6247639561207685,-0.6304281851471452,-0.7361330822059018
Carole,-1.2582768623491016,-1.2237200203457188,-0.009348872111765244,-1.0224990059914527,-0.01462785452950402,-0.5932857568215184,0.3420942443620542,-1.7937418097870066,-0.9564767124086005,-0.9158207330997448,-0.7655805704646955,0.25885198638686585,-0.5565878736655681,0.08276551728564013,-0.7313593416478109,-0.5243017647453726,-1.5374050386174989,-0.07465601439325353,-0.4584690212308823,0.026116139879397145,-0.8194233173773665,-0.01124906076365893,-0.37623929808502815,-0.9577829331896709,-0.10172909495859772,-0.07882901144574994,0.13109355882765558,0.17024650269875646,-0.8260004053006619,-0.13047518876644618,-0.4383510994099956,-0.918480277767389,-0.7367070275762413,-0.6885213483004564,-0.6225068286854658,-0.35205167892137934,-0.33274121702684023,-0.513264444796575,-0.5885170628307117,-0.22272874801309872,-0.1851916088874542,-0.17362991419516788,-0.31148788021043444,-0.4234340019031833,-0.5228139568778373,-0.37370272199484683,-0.14728165664586096,-0.16595122415491181,-0.24924158035677121,0.0911555386319571,0.62583923687655,0.11113806266414844,0.13904484645250015,-0.20354366264844678,0.20963735679606343,-0.01740156661528619,0.11168025007826915,0.07705900870263667,0.1604068812520307,-0.07758323927362872,0.19821534830395354,0.11596243927711632,-0.0022476448827904016,0.40676629106631845,0.41579282373771004,0.37710279923618817,0.6391568514264412,0.6185235906630743,0.6069218324918126,0.664786553501022,0.950134109317657,0.7548937140155706,0.8352024060938082,0.7228951171432891,0.8170770715086478,0.8583863517807008,0.6069554163960348,0.7690698903675516,0.7054090935053572,0.553106717667658,0.7734911390031878,0.4005868676608247,0.47058580651377074,0.5587030475516946,0.40803997524431046,0.5117057819971285,0.6529107625589381,0.5575573893884206,0.17288048475767023,0.184652756770468,0.4039121344181761,0.4019692889652923,0.2995633698455651,0.1106159441936617,0.33249653727283723,0.14444213948237394,0.14192803528191436,0.15620158692252906,0.13077465731067678,0.18693840523250194,0.29199012815799186,-0.13566693430885354,-0.04677571848268468,-0.06989108250687294,-0.14931811251420113,0.01541602467317632,-0.038848019082993145,-0.05889236650276902,-0.11220538366759798,-0.3201558942042862,-0.21654409496573881,-0.44120055456084006,-0.34244478610127976,-0.44492376830157926,-0.49167674381378956,-0.6093505840284121,-0.45378961205086044,-0.6254166439890587,-0.593845607924827,-0.6408149697493992,-0.6585947533365202,-0.7132321673068397,-0.6592345441399049,-0.8093177941707858,-0.8646034938664575,-0.867957218899042,-0.995716664636944,-1.168510778467942,-0.9640626485776718,-0.585676176095603,-0.348553093389153
Isabella,-1.1758058829438416,-1.2882734091750374,-0.4851501448720433,-0.8868433495907041,-0.3861276173426323,-0.4443758772470132,0.013009987594472196,-0.0592644919995258,-1.313923566677006,-0.47320505995550083,-0.5020227033510467,-0.8335331830016678,-0.8799025983657209,-0.15762371264801595,-0.7284647908862308,0.08236222959999229,0.13165250497577055,-0.2438672389700148,-0.3837829669511755,-0.7772512066250955,-0.28392371402911887,-0.2815550420926148,-0.4437817605279983,-0.9259105032632308,0.13457476245225397,0.12069364135913531,0.003734127504659104,-0.30964727675348663,-0.35776106513845585,-0.5948103402937186,-0.021021950755023704,-0.34021716442548433,-0.1505380124691062,-0.16853268159177298,-0.2992034933614891,0.041643146949499686,0.1391885616588343,-0.07729428532098506,-0.2746501442599604,0.08781928429378015,0.10579926451378113,0.21981830874784916,0.19501987577363022,-0.2108236656848687,-0.15009781248252474,-0.12909528353773414,-0.03420095047262983,-0.07222266953805716,-0.12622422015601206,-0.028005889743760285,0.20591609711971737,-0.09061141313536845,-0.22474153664387284,-0.10687900673751512,-0.12353568151827635,-0.3507007496041051,-0.4134490732105284,-0.2754783008586336,-0.3084348740009576,-0.4836108909451734,-0.17255190014471414,-0.37280520348956225,-0.39655227927511794,-0.013459167063210832,-0.1821238095664661,-0.2524786248157547,-0.22670927287264228,-0.0531479008635083,-0.18954973476928622,-0.10893230858432143,0.08962392418392844,0.02171407233472253,-0.13468443446423126,0.1433263088973937,-0.00806100344805813,-0.09576902096216232,-0.31308516023998034,-0.3344673656803308,-0.36434202027967527,-0.46666851697711187,-0.43538374308972255,-0.4572024612962779,-0.44545483964043586,-0.2768105981809402,-0.1822496063045591,-0.020444267878357528,-0.17324013639734412,-0.2846750497833617,-0.42741671631247075,-0.36827001814747506,-0.3425636532735177,-0.2818914920426044,-0.3928303888917513,-0.34090361792063123,-0.3473885433956889,-0.4552786849083537,-0.3008726451397915,-0.24391623310369678,-0.31128971819826157,-0.22586027611484571,-0.18774825257838554,-0.33413257267917,-0.16263442340767867,-0.27565834026908065,-0.24640147891594258,-0.23992397667598392,-0.17114624033096587,-0.1613422698647129,-0.1564828585912161,-0.3357622439167979,-0.32421041544163753,-0.42856006309532246,-0.30195362702122347,-0.31883507689589274,-0.28241491605124175,-0.385824485550517,-0.2711974068142331,-0.30137269375908804,-0.4178173781706689,-0.4395546174495138,-0.5105146525932079,-0.4216148542402464,-0.2907629108609457,-0.3470027533526295,-0.3365464631629273,-0.18941806716196327,-0.18404285612734705,-0.2319479235685708,-0.3483475735738269,0.49594260842909393,0.08214437653031677
Aubrey,0.32909747494492125,0.22691294005879747,0.6333629380023343,-0.23083012798621547,0.41111179542274423,0.209168403915173,0.2517663076055013,-0.8902745040681246,0.14851959273917723,0.5794983200774587,0.4656565205943428,0.7386521384090287,0.225540964454022,0.08324337018905151,-0.2617230600461608,0.30195334130365636,-0.11841618914417248,0.169791533866972,0.32878869119534837,0.7213537148308055,-0.30495425937794707,-0.3206976843033791,-0.14823215918179974,-0.4573142858520569,-0.2143687370861871,0.6472904431724744,-0.059643618074259316,0.2289252653579943,0.41846124903639037,0.37477667584505664,-0.14121176035661015,-0.2905233120386908,0.12049501601580112,-0.08177152545386736,-0.1392407022038742,-0.19481154988781293,-0.18347258671275937,-0.4790732821559555,-0.6240432767864512,-0.23537896578091438,-0.07293292562512349,-0.28551002537827314,-0.4343252315289241,-0.700422164630751,-0.5141678351000434,-0.28337782139146683,-0.380911238464599,-0.24046790893294637,-0.1379009805515668,0.006903643825316889,0.4543587918583488,0.05138981518210066,0.04631436778017315,-0.10139852069595312,-0.1441212873902963,-0.025942064706977123,0.06710690788779225,-0.13049593892374547,-0.27899851189867975,-0.29993668515089855,-0.16072902804672964,-0.25281651752167134,-0.588289439314617,-0.17463814902761765,-0.2645386330142295,-0.24246159674883971,-0.06181702566693832,-0.001773903149257818,-0.12934946887744725,0.24275703892015899,0.3462277555836845,0.16285784615252422,0.19790911532117672,0.22304888492440236,0.17312471635695628,0.20937156428180959,-0.21661722329149,-0.23139276267181336,-0.4018145649159094,-0.15850054813094333,-0.1161247028592101,-0.3348438184884991,-0.4556595829159901,-0.23318732762905117,-0.1976821950939194,-0.12228552217990046,-0.12321806232514806,-0.14418194526760367,-0.5917415862451967,-0.49419219840066547,-0.3105288674924597,-0.36691689674782124,-0.672490971247592,-0.730524640233152,-0.6393929403160606,-0.6021454359090712,-0.5234370289586332,-0.5567161942767679,-0.6289824765646914,-0.6542762547900903,-0.42800807408998504,-0.7090721710165605,-0.6968333081822824,-0.5291032237523082,-0.7551110667660644,-0.45960255844449616,-0.5318730810237443,-0.5196008038052331,-0.6813346041572634,-0.8525766638860687,-0.797458433608292,-0.9285015803266091,-1.0157166777173579,-0.8834396158195706,-0.8521244030999474,-0.7121195322992444,-0.5789442821413346,-0.6018245819091167,-0.6303817634932957,-0.6154454881174306,-0.7539288292776525,-0.642200994148436,-0.7955152553884796,-0.7390533438237109,-0.6637493211967396,-0.5852644998257679,-0.79599375107663,-0.928484914582956,-0.584220891426701,-0.26300249169554685,-0.21485488165982633
