index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga
water,-0.1784815808712817,0.8760294569630719,1.708818799748856,0.6107897083662126,0.43876974450868644,-0.33074933983445287,0.19734636825703758,0.20997220828111282,0.9240330454595269,0.49122335235513104,-0.08321554023549832,0.5539435065283888,0.25912549186622313,0.4511325954549657,0.5877132337323505,-0.21102876003357293,0.09140762818843148,-0.0336177481563573,0.40186001976908403,0.7409063813582587,-0.3116700046072615,-0.8848028569903775,-0.5818436372877964,-0.5521019793380347,-0.2635378470514082,-0.3716261915887702,-0.32512424148684266,-0.3887147630702407,-0.07934795429837353,-0.8079464338064107,-0.31530018027299733,-0.4850525225453747,-0.3253180697910055,-0.1426075667464917,-0.3632449122534633,0.353221861574041,-0.4838826911742927,-0.662297477456423,0.27454266176259423,-0.02456692915926988,-0.44657587210254174,-0.2818702925092135,-0.26903491465630736,-0.5236763046935339,0.5207606981103022,0.020974242368828798,0.09367595685630938,0.18654364572238327,0.17456938286074758,-0.14120507115722086,-0.3261585490409579,-0.31931487005221526,0.5236136173174365,-0.37697182192692,0.2508723193722006,0.14841826726968177,0.3684390348649783,0.35641190283934937,0.46736582228320983,0.6316374898443975,0.38660300457753893
coffee,0.9756752215564862,1.5584207549009832,-0.05102557752740127,1.5496250142532424,1.0262228551047559,0.626524917793093,1.0176304965601555,1.2107758551106336,1.0823566632417638,0.5866325153359028,0.35748083537424136,0.463904794744075,1.2294984743828248,0.02784974931603376,0.2986170762110342,0.6644886661210242,0.9533547201802064,0.3965136964446446,-0.12295356841147209,0.09540336345604492,-0.5762982695075008,-0.13545239308050638,0.019691602005867337,-0.07715694470576137,0.35004503188636565,0.6479327952245211,-0.3911948818337393,0.12492456948993946,-0.16682695354637148,0.05136031833604567,-0.18974557092935457,0.4914422656242957,0.6122948397190958,0.5022637962670792,1.4127502185290488,1.983441063751057,1.428618319055712,1.1401664238470866,1.5904065470211222,1.4245489368688231,0.958804934249825,1.4815180416736664,0.6945695733446315,0.6579471006410388,1.43016879497978,1.264382250992268,1.5092775112797265,1.7945857215434058,1.4150897109104439,1.315026915609132,0.9642034117927389,0.08903082748299485,0.8002905554431038,0.3792321393508051,0.9015737481113456,0.8425370690677719,0.9177553812799676,1.0233852757103328,0.8878974351240198,0.7705667992710993,0.6394901628275623
tea,0.6898558325650749,1.1444798742526368,0.9396582420023151,0.4998984349230638,1.260699575891114,0.6861455139115,1.2973257463237668,1.2982740972653835,0.7597559527361535,-0.8928726940286835,2.142403586021335,1.7699639871128419,1.2727633750306926,1.2648828459625856,1.875547498898672,1.9063766254520496,1.1964698546427917,1.2978429356476375,0.09369572901606393,0.42427402594288915,0.10296331177124417,-0.7739462512876605,1.0962968152165542,-0.6755256815414103,-0.6869781396638198,-0.8796178514986712,-0.19273393366239455,-0.14947524632459777,-0.4356303635382122,-0.13949492513671574,-0.6365282505789204,0.29319876343406037,-0.9746237027796982,0.49030725886310417,-0.3601133842645081,-0.5331952910430284,-0.54082435872278,-0.9159290921669778,-0.018395992965912617,-0.2675188080123082,-0.8931409743864379,-0.39241052027691037,-0.10970191132732353,-0.9211492683022439,0.4995268778669058,-0.7130955594561206,-0.1280880076336365,-0.16819971973208458,-0.18275942465829986,-0.3250476042947324,-1.083442317168614,0.4051726813414806,1.3509768362268797,0.6433927825757136,0.8034745563589225,1.1343544957767306,1.0406183275221774,0.8904493828253581,1.2869457467423933,0.6929564558313865,0.8695706712392101
juice,0.4470463205100492,0.11497719324631206,-0.2849653898258888,0.6275238267806247,0.26052351067717894,0.18707015995272708,0.28911997812872153,0.43127898248842633,-0.27678827685440244,-0.5743683208859538,-0.26929507583779017,0.30333097148657234,-0.44906593170149983,-0.8064639963526133,-0.49372709990982505,0.0048760391198448385,0.10512887203928103,-0.12884284911815957,-0.8581509060651203,-0.3909368750469331,-0.38027271624180015,-1.0602707788226935,-0.5579301930695341,-0.44845967513013474,-0.18681291152676757,-0.5950232324758737,0.40636747232879505,-0.475527231423829,-0.09132215071531356,-1.0225887091601489,-0.8812068261375053,0.1575597797062127,-0.1965061605295988,0.1579988075939604,0.34144602512548594,0.8965004991919945,-0.3548084760214427,0.2942102113220288,0.37117268649877116,-0.19434011679330787,0.10510387290809425,0.8162141947632511,0.24748926825907155,-0.30477044110989626,0.33998080169289036,0.5689209283221698,0.1973144968163749,0.3146482687318576,0.29964548289085424,0.1241261979797814,-0.07627290515259315,-0.5753525858115344,0.2648073142943803,-0.11957515014739739,0.21304122605131826,0.08450130907278003,0.4355224459731648,0.4055666108377545,0.17553611156056553,0.7704576158005227,0.05878023062598425
milk,0.270067300287355,1.425730390836372,1.0275889683818924,0.28594007172744607,0.9720741244307656,0.032931662841436164,0.9144885029489777,1.0736191724472688,0.6542571824584609,-0.5579901893239665,0.16722319147087586,1.0977956496876093,-0.32912127784014805,0.5596439772487046,0.854219621713393,0.2577898243610864,0.027543722995304134,-0.7162661043357613,0.3136933102373222,0.08377454497525698,-0.2513524322627174,-0.8304843573851928,-0.15004535827538587,-0.6808392917835283,-0.4528078704884173,-0.5987584927195391,0.4993900916725856,0.21946311964428092,-0.05060108728094884,-0.7320011169439488,-0.8593062509222876,-0.23466954147727492,-0.4565139597591968,-0.3600156019526281,-0.1165203096968265,-0.57057996363172,-0.9111164927815567,-0.8696901594761777,-0.08257021401434429,-0.2163858916076573,-0.6321474627786396,-0.28371111926157055,-0.8919473150159011,-0.6753200478774595,0.04314940494252526,-0.16191738372335504,0.11288880436031966,0.002733058922447131,0.30238850944744694,0.15748794692218032,-0.46485127685216665,-0.9095114970036495,0.31539948837153914,-0.4827308491456788,-0.7997114928634013,-0.5036712858097127,0.14159186293862697,0.1874865104741638,0.2716545819092961,0.3316349174318561,-0.028165696745024362
soda,0.06335758131364426,0.15298512129299363,0.3450173142360969,0.04025979353760834,0.3329291650394313,0.4113080971926154,0.4084262724711001,0.5275507925362694,0.30477741661223046,-0.6956134968903894,0.16100933665026218,0.13620608454811226,0.05926979961103265,0.13238438495683696,-0.5306591300236271,0.6749085850135682,0.37142201218887866,-0.45426153937485053,-0.11028699158649687,0.38315955044883615,-0.4174530582621083,0.19350761389799312,-0.12437477946953744,-0.5243098994099233,0.2446058607336028,-0.38896511011267937,-0.5929979803040224,-0.17814972786844158,0.2649777887220243,-0.3284632495882741,0.1831912043974757,0.7411882276175213,0.21116998879357118,0.7292014607249522,0.031054390426701772,0.14711932162413918,-0.6503596140105945,-0.03899832186812473,-0.07798069264403112,0.09487894032901893,0.18090560917186538,0.303921503391772,0.5989851101643173,0.02653908068714377,0.7036393657321298,0.10715250714244698,0.3764071295953013,0.14265731109918325,0.18480334701002438,0.4398034074632289,-0.004573109656521846,0.18482927194735543,0.3512844754237988,0.3381903920680055,0.30895897846262993,0.058142723978306075,0.35495651178160764,0.42967677113517483,0.6344068953037078,0.7195916910464428,0.2236435013777968
alcohol,0.4544227044999749,-0.10755578308092545,-0.19656765007930285,-0.13777520593764864,0.03797940712410611,-0.13466717259606598,-0.09323643270650356,0.11702800903929385,0.18363101628391862,0.29694069298516595,0.23393997168068553,0.5499526071512668,0.3469800594852807,0.6058509686303443,0.47151547506642905,-0.007308448591407957,0.36547654972518034,0.15138059373881704,0.5974499114631573,0.2161661771363781,-0.03851239809918627,-0.3939121530759597,0.14573402584559617,0.010448948841473913,-0.23021351191980402,-0.1305310752118102,0.2010884336576725,0.030794729106277483,0.16704987868721438,-0.5094749390609842,-0.43396853254746465,0.18493039737148254,0.14573394037974377,-0.2799732223815202,0.07250333728926829,-0.205932545485524,0.12892696547216137,0.2270420369163151,-0.05410811767879706,0.13364976305705653,0.23719184167465795,0.011916061800930836,-0.40445899832126575,0.2421143645173786,0.15326912224636224,0.21134982440393696,-0.11979889154624168,0.08766811611169233,0.06926591226324207,0.171381607115361,-0.024612154269418554,-0.05632335489877205,0.0175355708306562,-0.26849007337519526,-0.9214779285596902,0.013371659667452573,0.36710262068191757,0.17553854125399782,0.21167928642153525,0.33129745456794324,0.20972517539828192
liquor,-0.5545925796489405,-1.054292693671981,-0.687202917158392,-0.7514785922313613,-0.9714387288589822,-0.8202148860192499,-1.027769114657843,-0.9341732099641697,-0.8998237600286899,-1.3505223680770513,0.057153500583596285,0.3043877922869725,-0.35260777236941815,-0.029372291520863396,0.22267861616041557,-0.5905811561666138,0.2598155017747318,0.051615520317315575,-0.5875702193298475,-0.6641100644827153,-1.0029000629834863,-1.2998020108023414,-0.9833767438977906,-1.1150857798579163,-1.1730156364325917,-1.3129326626331987,-1.2421537748508913,-1.5089699275991801,-1.0995635819443228,-1.426832463826554,-1.2812544027129353,-0.2918170942219212,-0.5197264971248955,-0.5898768142123892,-0.5671735074590669,-0.8236416956487763,-0.14395680946442466,-0.5065623594351006,-0.7037850890399817,-0.8134560687207797,-0.5305983747108504,-0.8943383524985503,-0.1848006459728278,-0.8849887893016234,-0.7060876975857804,-0.6258335612437274,-0.9183636190286113,-0.9284241585840373,-0.8530211111158756,-0.6963903688057743,-0.7915465442530241,-0.7764616019795936,-0.4566681737671085,-1.001924002492405,-0.5474955944601338,-0.507299353902593,-0.3858770743864105,-0.5827713602796836,-0.5246991370579152,-0.2696605823865328,-0.4529285178316714
beer,0.018772233634276728,-0.727612105652432,-0.7019566977847395,-0.4138600711303636,-0.043644003184408704,0.3207885552288725,0.10060302086203755,-0.03554792069284618,-0.211519429733938,-0.30957015495900686,-0.38393598416019625,-0.4263195439666744,-0.08107983500543409,0.02384074907698004,-0.05652311375449673,0.09163610962506127,-0.04997220549151617,0.20141248757618718,-0.03222798336686385,-0.12347321537680367,-0.46888383575625414,0.6665037598154526,0.215754555717138,-0.32808720823983495,-0.08713055620418339,0.13141934979524958,-0.6278960293402561,0.13378402864205255,-0.09352305036214496,0.5910284245804505,0.3188414090199615,0.14440197928447032,0.1366672792806491,0.29776231922726726,-0.03494872641999311,-0.4084159978225708,-0.18549369499913707,-0.00852871845621312,-0.16345347021650874,0.040585297134970666,0.22361121525731917,-0.06833632713940702,0.3612203110511731,0.1259862934431478,-0.5588765985238302,-0.19717057109701164,-0.21122459737232702,-0.36862813074766765,-0.1621892053223471,-0.05893312382814393,0.09555866283501756,0.4314602844620811,0.13414350115998563,0.39727095298430615,0.12488314896893307,0.2614813938810028,-0.020115259795791814,0.025389459868624356,0.09378295194096327,-0.06541372116303001,0.05311093838596107
wine,-0.6772374947176768,0.14098660078544994,0.8572639247499713,-0.029161291860245478,-0.23419436478013275,-0.06448910465358361,-0.27573629773661995,-0.7997842217263569,-0.2996031346288869,1.107984937976594,0.44662044209080154,-0.39556668867078804,-0.39251963188544037,-0.6342694733791499,-1.3700390921372911,-0.48149904988300474,-0.6005771753562025,-0.29489086088383887,0.1375704439721079,0.5586968803466451,0.2998727657271035,0.1857356026049408,0.041745123160000536,1.4757225084757937,1.2890760729003428,0.9470962909279821,0.22308742344208543,0.2325516341988472,0.7215920317127382,0.6408650177011347,1.0677948827870662,-0.45882904699435184,-0.051469418784536466,0.062109002935967286,-0.023369661549407793,-0.1419216901477283,-0.04029166045200034,0.14384311954473225,-0.11305506041346526,-0.25849492141349084,0.10233813972594706,0.5236784815425697,-0.11441545588861629,0.6753638199729601,0.5963149510805125,0.36015327352572746,0.6208764102449245,0.3036890456260791,0.500577427170473,0.2979257090567001,0.6731066842399801,-0.2204720191097172,-0.3715926732453473,0.05890259215062197,0.18817453950495447,-0.3111654651987629,-0.01227588049635082,-0.11185970248526544,-0.21931065504574287,-0.30795220160461784,0.087084625278951
