,country,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,straight,-0.020153319877929853,-0.12235750721986632,True
1,Nigeria,homosexual,-0.39780149650707536,0.25246511974566843,False
2,Nigeria,gay,0.2551087205407426,0.18519917783102047,True
3,Nigeria,lesbian,0.3907586166926301,0.21960457985403406,True
4,Nigeria,bisexual,0.3082844902404009,0.20188000106352166,True
5,Nigeria,bi,0.8876015820861972,0.16699354882869274,True
6,Ethiopia,straight,-0.746458324321729,-0.3250513132542993,True
7,Ethiopia,homosexual,0.21840431938177549,0.0909218221141728,True
8,Ethiopia,gay,-0.13774403040947272,-0.03038085654199712,True
9,Ethiopia,lesbian,0.20001700658110375,0.1248455970093216,True
10,Ethiopia,bisexual,-0.6519847852724536,0.022177341532205408,False
11,Ethiopia,bi,0.2976108270492397,0.07552384408482862,True
12,Egypt,straight,-0.670406987979952,-0.2832853222233433,True
13,Egypt,homosexual,0.22287133293246966,-0.07377118117466963,False
14,Egypt,gay,-0.23073294231906216,-0.15943545872492973,True
15,Egypt,lesbian,-0.028481695088527582,-0.0004978331247298738,True
16,Egypt,bisexual,-0.4657096801003188,-0.1139721029237778,True
17,Egypt,bi,0.09340113981957013,-0.04471988864654911,False
18,Congo,straight,-0.4263292607031335,-0.2581293654910802,True
19,Congo,homosexual,0.1554384828838654,0.1842408035537183,True
20,Congo,gay,0.07802044088854486,0.07723789805835587,True
21,Congo,lesbian,0.6162040197312705,0.1679086136228534,True
22,Congo,bisexual,-0.2305075251758467,0.122391945366432,False
23,Congo,bi,0.3728674223874568,0.09099247808931778,True
24,Tanzania,straight,-0.4773412448236991,-0.11317220899520256,True
25,Tanzania,homosexual,0.10071733855432352,0.18215273534215412,True
26,Tanzania,gay,0.2524120852029183,0.10871509752707507,True
27,Tanzania,lesbian,0.4247264352100793,0.19723217271812055,True
28,Tanzania,bisexual,0.11401031434240112,0.1396889279761929,True
29,Tanzania,bi,0.5173119607188668,0.14679032301223466,True
30,South Africa,straight,0.30254231848512114,0.09821781959490206,True
31,South Africa,homosexual,0.2745285354783863,0.21752325461554756,True
32,South Africa,gay,1.013996739583241,0.2292984464858536,True
33,South Africa,lesbian,0.9134004825338023,0.32189946516419554,True
34,South Africa,bisexual,0.8365092000742066,0.2783453568450054,True
35,South Africa,bi,0.6021521528323642,0.24810835422867686,True
36,Kenya,straight,-0.4077724768781749,-0.06456589435775884,True
37,Kenya,homosexual,-0.06242741413859505,0.256201196719255,False
38,Kenya,gay,0.25755183849265834,0.2088695461706329,True
39,Kenya,lesbian,0.29412993245525537,0.3384910054318516,True
40,Kenya,bisexual,0.019705169617028718,0.2556384902992684,True
41,Kenya,bi,0.843213731404333,0.2823199781279037,True
42,Uganda,straight,-0.27527241026163723,-0.10815056303615317,True
43,Uganda,homosexual,0.015535813667098837,0.21753848273761303,True
44,Uganda,gay,0.2678179746101208,0.14819809303464376,True
45,Uganda,lesbian,0.4578730062384524,0.2490526255787038,True
46,Uganda,bisexual,0.2386253159344061,0.1913632923079595,True
47,Uganda,bi,0.5851158677172312,0.2033232713223536,True
48,Sudan,straight,-0.7464732305216417,-0.22332693292724376,True
49,Sudan,homosexual,-0.2007703062410384,0.01164929888619095,False
50,Sudan,gay,-0.232282270541918,-0.061607785053542974,True
51,Sudan,lesbian,0.1165009439125856,0.07236583168536154,True
52,Sudan,bisexual,-0.6147920694062012,-0.02096533012172339,True
53,Sudan,bi,0.4249706466715547,0.03626783030301799,True
54,Algeria,straight,-0.6040011233528031,-0.3290416182788111,True
55,Algeria,homosexual,0.18730372945019125,-0.01515813725668902,False
56,Algeria,gay,-0.1031851696573678,-0.11719152306033435,True
57,Algeria,lesbian,0.4727299202459562,0.1314317926188305,True
58,Algeria,bisexual,-0.4229458242260121,-0.02006658008040326,True
59,Algeria,bi,0.12710753493534233,-0.004173952941306026,False
60,China,straight,-0.4088047281930278,-0.10577180176458988,True
61,China,homosexual,0.2697197962310199,-0.02067184200771937,False
62,China,gay,0.038101408717311484,-0.04316776079936741,False
63,China,lesbian,-0.3074950694832008,0.10219738067395376,False
64,China,bisexual,-0.23248844190337556,0.016795877426222024,False
65,China,bi,-0.019467166647357485,0.059822641514790685,False
66,India,straight,-0.4545608655619824,-0.15834657409102473,True
67,India,homosexual,-0.15657829425371164,-0.08395374387707105,True
68,India,gay,-0.08248195815861294,-0.12532641303409878,True
69,India,lesbian,-0.2616411486560697,0.1724634390591922,False
70,India,bisexual,0.007931760159686555,-0.03708872974565604,False
71,India,bi,0.1566420242766183,0.0828847473920524,True
72,Indonesia,straight,-0.12079257455258514,-0.20665984873730892,True
73,Indonesia,homosexual,0.3197611575581918,0.10645053564169783,True
74,Indonesia,gay,0.24818240668422584,0.04673168002285503,True
75,Indonesia,lesbian,0.20587430644418292,0.23783993783783305,True
76,Indonesia,bisexual,-0.24910810950875575,0.10817493514388278,False
