index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,male,female,boy,girl,man,woman
Michelle,-0.320924050834134,0.22712418566087786,0.12342874695832771,-0.06103579670938098,0.40713002399024883,0.7233762566864445,0.4377872588629641,-0.38490733073860617,-0.3775901936061198,0.04178866800395386,-0.03700722077267992,-0.1329697306567406,-0.02236250484044941,0.9171465889525753,-0.10403810237689809,0.24111871790987469,-0.20931222706056044,0.1326937363360998,0.15195859175512721,-0.007820936612001835,-0.15785556259223213,0.4731920140449645,0.3683600224990675,-0.17753992993992856,-0.08260272538303268,-0.7078704241654288,-0.5174946281650984,0.018690108340012123,0.3066188832629385,0.18087117270521458,-2.4580934532168173,-0.20040528824093778,-3.430114902725623,-1.2542878768010355,-3.5102921930133686,-0.5897368069151471
Deborah,-1.7551737778740142,-1.4806473319888243,-0.7489455813902499,-1.5211574899044051,-0.4261663331285084,-0.6129385157285818,0.22498090032360554,-1.2401479367515156,-1.7943501394339845,-0.8281934746341658,-1.3205086505017207,-0.8935463009707197,-0.8915561693532588,0.0112936805811055,-0.9772653868741813,-1.0229466747327476,-1.6312443487486443,-0.5727941897477725,-0.7140915606839937,-0.7144128554876038,-1.0410902826208692,-0.2140866441395186,-0.30234050536402896,-1.4272653958917552,-0.6260047079610371,-0.9969119350554833,-0.2630127360654836,-0.3691268655818863,-1.2266397316498732,-0.811559820301284,-2.540981968024152,-0.24669672369688042,-2.814353112270812,-0.6820904287797163,-2.813416157172558,-0.016798746912025094
Scott,1.241743191356585,1.1347420537575141,0.5918273249550883,1.7300148773962638,0.8256531034427212,0.545737244156674,0.2055644018174186,0.2596709712672933,1.1961230564975867,1.4214623987695967,1.2100100953464887,1.4123160381465543,1.039225353734989,0.461577961605558,0.4790323239456813,1.1102929345303936,0.7673448947922579,0.6612379399402264,0.5264865856013379,0.646214301871272,0.6793251156590401,0.024599078922056775,0.03804977788378135,0.6882768386031295,1.0210487914764093,0.5679498650353493,0.12217529330296598,0.2348186110585302,0.8981194119419703,0.3232281452899336,-1.3739424851123672,-2.994479294597769,-2.82826819892447,-4.573583691599498,-3.1379391535583734,-4.183740913607844
Declan,-0.29553384590726045,-0.4085681735119642,0.08380267898814636,-0.31235134357860217,-0.3908109390993666,-0.6116161983893467,-0.35666907746282595,-0.03146172070126595,-0.3617215359756991,-0.28161138154395965,0.6159825016689637,-0.14788767744845907,-0.1975637344307731,-0.3568064738477192,-0.5179097862314165,0.29995951017810946,0.3553882859617457,-0.011271853824749576,0.04499926518280196,0.2733423881933599,-0.24494813632168586,-0.6207722782603525,-0.463507558096723,-0.43870026524393935,-0.0018080242024484533,0.30524248062368203,-0.39257575640662473,-0.25772332158945693,0.1715481375714926,-0.009837195842039155,-0.286142269299315,-2.813149354666686,0.3051773133575932,-1.6770343028447074,0.8111373145580378,-1.8826394785453466
Josiah,0.13541993687722964,0.14864411763425536,-0.2403769865660909,-0.46550469376771964,-0.4387631883956509,-0.1702947020316893,-0.6604769114474165,0.012928091071296914,0.15979323298343592,0.13572565857590901,-0.1754723980360975,-0.5217716868284313,0.41961665310892665,-0.681585251044741,-0.45851068531216177,-1.0116170903377109,-0.5125002612304489,-0.11544122817423565,-0.0910563551528163,-0.6243047554040314,-0.006235941380999523,-0.17868784186866102,-0.575023669147483,-0.05007834291443289,-0.6767357955545243,-0.0720908132751397,-0.3730479129907246,0.17596741029378982,-0.2818110711074052,-0.3926931344174371,-0.24755829020877695,-2.5419302875822742,0.9545835043080028,-2.1851688749204037,0.4281640061698673,-2.4661271304318326
Wallace,0.6796027230231118,0.4808385384042987,0.3108151605535978,0.27657038202719314,0.002118448420285477,-0.39046764616191737,-0.05600895918427441,0.1661342056931781,0.21798973543601172,0.5586065787271436,0.4543248120809876,0.7301562072288839,0.8065609522381813,-0.10938509668968259,0.5507450419519666,0.5097616882792696,0.298884786587254,0.1881063826887818,0.1769879952776133,0.29991153695570216,0.06580065894106381,-0.44778665682595165,-0.029076169960697645,0.8722344860673349,0.13462735064460457,1.038801890738912,0.4117827088567136,0.16594229616783035,0.19239395165617565,0.04892802686635624,-1.5928439775948795,-2.455830425875332,-3.9902628175873667,-4.737820430337623,-3.7403314905607896,-3.5847267952362993
Hazel,-0.599509894840894,-0.4818522946749976,0.32220894099847386,0.108798174901504,0.0970282978145505,-0.002283791955244876,0.24770692524207905,-0.6440579164281669,-0.4588958360000451,-0.6865978142331034,0.0379633192643784,0.16636968709414274,-0.11154052076161199,0.1557343228474988,-0.27455863166673167,-0.2362525035292162,-0.6759677216384663,0.4501346198141099,0.21898902733558523,0.5929597462367783,-0.3950583955145799,0.37925401035007905,-0.3228701752501841,-0.2830676093607468,0.4974092533318793,0.06568629568190326,0.8966000390368002,0.5180408207687949,-0.27393239525220087,0.2488843058702923,-1.7878757238803022,0.7841214628118939,-2.05373139078733,0.4539894943882774,-2.5634655863150355,0.4282816872662282
Whitney,0.10355641620073755,0.40900848615837837,-0.7887470324897897,0.2013260221264162,0.4329442114786198,0.4099109864063764,-0.4206781888571178,-0.07762799511241483,0.37614161385445327,0.9458645013107396,-0.788688453858903,0.2203191765516032,0.7752764706651867,-0.4867371452924056,-0.2803693945921936,-0.4571626402828477,0.08945437019361839,-0.03584146883676806,0.13331502123118924,-1.125639439626723,0.2525737834070975,0.7023791295427613,-0.4529773750998725,0.1800646699105506,0.35975745868409903,0.9674112607714273,-0.4268917297448895,0.22025190038426823,0.0179276295214079,0.6326209908194825,-1.8073727793447045,-1.3741432990104452,-3.98975148622206,-3.2970353910040266,-4.051833680116852,-2.224079853384129
Paige,0.6190001005142494,1.0303918748248269,0.05059692248936109,0.9987694417181365,0.9655614706940391,1.2953090848927435,0.14761441729417457,0.15714069804730282,0.9202468025077357,0.8990963240761668,0.2991236713912643,0.08730637942058869,0.8832101351096331,0.47807889581385327,-0.0059322959534714005,0.05824503181634273,0.25495185068727,0.3291139496763559,0.5084563966445681,-0.547183593029384,0.23704984732492362,1.3086017010103075,0.6915506391585048,0.8975085354515275,0.4129564195227728,-0.2458404891560556,-0.7819517136068594,0.13478200197320514,0.47633284681213756,0.7828267798345531,-2.774929735368359,-0.2524750467058324,-2.480566641668166,0.23579863329212217,-2.930392881900114,-0.2966635924357562
Sylvia,-1.190814244161859,-0.7898445246902644,-0.19446884279337098,-0.8802262995071796,-0.15334979820044545,-0.0852062052308946,0.5586793205627525,-0.39014461449214216,-0.942050480163235,-0.4646336176360076,-0.6517425213353223,-0.42634619367021986,-0.6004794378578822,0.27638685058054757,0.057227309702579734,-1.3373609506561366,-1.3352211211649592,-0.40715389600544055,-0.2695141906772432,0.20966742737912736,-0.36542386081071887,0.2987491397920825,0.16974825372491975,-0.604566577720645,-0.2610973144019488,-0.5397541125243187,0.5994945703781424,0.10977630516031373,-0.48480476629792385,-0.10417765301605991,-2.9691458917719764,-0.8612604256967861,-4.481443391914863,-2.2810330888584875,-3.962238250686816,-0.9911547726679175
