,beverage,country,direct_correlation,indirect_correlation,same_correlation
0,water,Nigeria,0.2399453559236357,-0.04370024180951456,False
1,water,Ethiopia,1.158158078920706,0.10231019719122304,True
2,water,Egypt,0.9778880072057242,0.13540315504946354,True
3,water,Congo,0.8859972076737582,-0.05419325648291108,False
4,water,Tanzania,0.5868245471382462,0.10807072795130823,True
5,water,Kenya,0.37066546612824397,-0.003957440086131878,False
6,water,Uganda,0.17642697730664894,0.02824538319409165,True
7,water,Sudan,1.2485214038424508,-0.008132474283500078,False
8,water,Algeria,-0.011501054879182638,-0.01612347795620472,True
9,water,China,0.22354686450565792,-0.011878079479019314,False
10,water,India,0.3834369497167995,0.01607966713526258,True
11,water,Indonesia,0.4149602904633895,0.006524181779864554,True
12,water,Pakistan,0.6962616000030344,0.02529455328306126,True
13,water,Bangladesh,0.9418057134123228,0.03151652224593801,True
14,water,Japan,0.008744002395327284,0.03661933728597578,True
15,water,Philippines,1.22987232391153,0.15729639384915206,True
16,water,Vietnam,0.5053178857678364,-0.06542687027564577,False
17,water,Iran,-0.3514683880653662,-0.061161971040218324,True
18,water,Turkey,0.010385551173576759,0.07523404857004484,True
19,water,Russia,-1.0254185723694127,-0.08937946585160099,True
20,water,Germany,-1.032856681037135,0.007527773924831596,False
21,water,France,-0.7703881178702516,-0.008431499553660586,True
22,water,Italy,-0.9311680680712654,0.05072308559082255,False
23,water,Spain,-1.0864546454304251,0.08918144334843209,False
24,water,Ukraine,-0.7668194053342731,-0.016477769378873856,True
25,water,Poland,-0.7541892846556552,-0.02307708157147831,True
26,water,Romania,-0.747408423111638,0.07264528092079653,False
27,water,Netherlands,-0.3663763921639719,0.0983162052171176,False
28,water,Austria,-0.0953847653134376,0.05380267615928034,False
29,water,Mexico,-0.6354608406959866,0.100477810215339,False
30,water,Canada,-0.6926079511281558,-0.07295627468275437,True
31,water,Guatemala,-0.21681494103968774,0.09875072754231744,False
32,water,Haiti,-0.22385712577231626,-0.04537380714596693,True
33,water,Cuba,-1.1487690312479142,-0.005173382518578488,True
34,water,Honduras,0.007235946022629472,0.06250978448462545,True
35,water,Nicaragua,0.16522342340464347,0.07771875326958162,True
36,water,Brazil,-0.39701581660551016,0.08442129375294616,False
37,water,Columbia,-0.5095540308192372,-0.10746449654378427,True
38,water,Argentina,-0.5051504887849442,0.058630659058346676,False
39,water,Peru,0.5596306257319869,0.10078481337793138,True
40,water,Venezuela,0.3924057247662115,0.13193860041009384,True
41,water,Chile,-0.2388282609437728,0.1647048651445736,False
42,water,Ecuador,0.6298482531929844,0.1768939774177607,True
43,water,Bolivia,0.32003002208563275,0.13465125919576235,True
44,water,Paraguay,0.0968010409347825,0.07810068424672577,True
45,water,Uruguay,-0.4472730316503742,0.07897518317599382,False
46,water,Australia,-0.2542467599118943,-0.04846519028106765,True
47,water,Fiji,0.5677183748789095,-0.05598981995263843,False
48,water,Samoa,-0.16084621677299854,-0.033462815317975285,True
49,water,Tonga,0.3715668159372805,0.052469053228348085,True
50,coffee,Nigeria,0.2662951710659812,0.17747496009190386,True
51,coffee,Ethiopia,-0.2642031709317472,0.09613589990453553,False
52,coffee,Egypt,-1.1248165477478207,0.0138562235424367,False
53,coffee,Congo,-0.5368587941346769,0.06429070419809417,False
54,coffee,Tanzania,-0.1839363864834126,0.09563299412470322,False
55,coffee,Kenya,0.4873759167926708,0.2568850866538828,True
56,coffee,Uganda,0.2915700493495074,0.20830502461034128,True
57,coffee,Sudan,-0.5226655031166001,0.08712645211049996,False
58,coffee,Algeria,-1.4564780587322137,-0.06854140610859201,True
59,coffee,China,-0.5127415002758249,0.2664005047669176,False
60,coffee,India,-0.4682151052335658,0.237070535706953,False
61,coffee,Indonesia,0.374719192823152,0.16131027532393624,True
62,coffee,Pakistan,-0.1221409789385566,0.20189070721796384,False
63,coffee,Bangladesh,-0.052389879929272624,0.2340777942096405,False
64,coffee,Japan,-0.06298738722038377,0.3205228614074779,False
65,coffee,Philippines,0.12093301594431907,0.048295399050236915,True
66,coffee,Vietnam,-0.6200746210457868,0.2543298332696721,False
67,coffee,Iran,-0.8250925511497392,0.16515819526418574,False
68,coffee,Turkey,-0.9942901265574152,0.10121249680923697,False
69,coffee,Russia,-1.3062376173189774,0.2046176314858032,False
70,coffee,Germany,-0.7102847882618178,-0.013711075846572822,True
71,coffee,France,-0.9176435972264644,0.030268977314741912,False
72,coffee,Italy,-0.6796770594064208,0.014686795556645982,False
73,coffee,Spain,-0.8361755191250642,-0.07422107270472669,True
74,coffee,Ukraine,-0.557986165114356,0.20485381801249608,False
75,coffee,Poland,-0.7792107444698296,0.19000430035579502,False
76,coffee,Romania,-1.3126977964194344,0.03079330753554213,False
77,coffee,Netherlands,-0.5240662766786858,-0.0770230250928497,True
78,coffee,Austria,-1.0803029712368688,0.01785569393036919,False
79,coffee,Mexico,-0.499168882453303,0.0004003477735072153,False
80,coffee,Canada,0.7049627063818519,0.3518955910773376,True
81,coffee,Guatemala,0.35837192704103904,0.029388257038253464,True
82,coffee,Haiti,0.021533384682277036,0.15288663884530426,True
83,coffee,Cuba,0.05385034598163765,0.13832071338016128,True
84,coffee,Honduras,0.60147301770011,0.048908208712240164,True
85,coffee,Nicaragua,0.4424780303381983,0.013835755779486541,True
86,coffee,Brazil,-0.258280226357567,-0.03617681603475918,True
87,coffee,Columbia,1.2789649538776815,0.30038422124599595,True
88,coffee,Argentina,-0.6925000842835792,-0.07143630708715129,True
89,coffee,Peru,0.3438896966311443,0.06253868313822063,True
90,coffee,Venezuela,-0.18248881505513656,-0.062475132372722626,True
91,coffee,Chile,-0.261485847683595,-0.12329774535241456,True
92,coffee,Ecuador,0.1760002823900788,-0.07327726526179554,False
93,coffee,Bolivia,-0.20052924780798864,-0.07510009002936201,True
94,coffee,Paraguay,-0.7176969112069749,0.02014838916159201,False
95,coffee,Uruguay,-0.6569606692183441,-0.1091536174458037,True
96,coffee,Australia,-0.2686387844397738,0.2791987478356304,False
97,coffee,Fiji,-0.10949309689459487,0.24349716674188845,False
98,coffee,Samoa,-0.4256537593452506,0.13951664428471344,False
99,coffee,Tonga,-1.6919392251995946,-0.026985153666243995,True
100,tea,Nigeria,-0.019040335058795238,0.1244773822257049,False
101,tea,Ethiopia,0.02015870789696229,0.26901918926007995,True
102,tea,Egypt,0.02019381180057961,0.2721221783846902,True
103,tea,Congo,-0.6502263274521668,0.1070530201387872,False
104,tea,Tanzania,0.7317450797887659,0.32960684688000896,True
105,tea,Kenya,0.6922359564518266,0.3425801633589622,True
106,tea,Uganda,0.8454927278108364,0.24423915454821946,True
107,tea,Sudan,-0.20575674226069515,0.09915147194031897,False
108,tea,Algeria,-2.056663303752059,0.12418844015031184,False
109,tea,China,1.0558249227476435,0.3173560565347978,True
110,tea,India,1.7824526994126362,0.3244209397666468,True
111,tea,Indonesia,0.985395810148531,0.14688013985629325,True
112,tea,Pakistan,1.5066495881332895,0.2657848184148793,True
113,tea,Bangladesh,1.786431063530863,0.29899177453282433,True
114,tea,Japan,0.9257728899093894,0.33439607061625715,True
115,tea,Philippines,0.9724653698025844,0.04751665572090348,True
116,tea,Vietnam,-0.7717455964627609,0.09254745083815136,False
117,tea,Iran,-0.1936436399678856,0.195945289480686,False
118,tea,Turkey,0.253077001562499,0.3365452702578621,True
119,tea,Russia,0.024295284804120864,0.3432052131974631,True
120,tea,Germany,-0.6843692550948439,0.2528243214323792,False
121,tea,France,-0.7466715280314572,0.30575750085901393,False
122,tea,Italy,-0.6608253523554872,0.2766385445262484,False
123,tea,Spain,-0.9139862081546772,0.2009284644485177,False
124,tea,Ukraine,0.16067904969353294,0.3212648836142981,True
125,tea,Poland,-0.14812866313656198,0.3785126018109548,False
126,tea,Romania,-1.0209878649894792,0.28692531383981423,False
127,tea,Netherlands,-0.03170739974056835,0.2454557232330782,False
128,tea,Austria,-0.30398351484235764,0.3407549214925412,False
129,tea,Mexico,-1.4969090220686596,-0.005796020657618652,True
130,tea,Canada,0.22829674063278746,0.10510763269659587,True
131,tea,Guatemala,-0.7318615918709432,0.06873836340451105,False
132,tea,Haiti,-2.220135029890058,0.053272848186207686,False
133,tea,Cuba,-0.9733694113875314,0.10715832493586537,False
134,tea,Honduras,-0.6913013751966676,-0.005046082777320556,True
135,tea,Nicaragua,-0.6967059456182504,-0.09038552878848986,True
136,tea,Brazil,-1.1410784930654856,0.05263324233720803,False
137,tea,Columbia,0.15549388542286632,-0.046192878014242274,False
138,tea,Argentina,-0.9211132615245065,0.10729010249598776,False
139,tea,Peru,0.1240139236401388,0.12440939132496932,True
140,tea,Venezuela,-1.1652641648859492,0.0038378095317792775,False
141,tea,Chile,-0.1226590743622926,0.10930815585607273,False
142,tea,Ecuador,-0.42732783287441106,-0.003922717159716068,True
143,tea,Bolivia,-0.7126709581517238,0.020406027155153682,False
144,tea,Paraguay,-0.4570325101825795,0.1329055450476235,False
145,tea,Uruguay,-1.3867923662783372,0.04907410228320084,False
146,tea,Australia,0.4937730540699315,0.18564241220095146,True
147,tea,Fiji,0.9607409613480268,0.19777237193592745,True
148,tea,Samoa,0.015817979496829386,0.09677836263110716,True
149,tea,Tonga,-0.3893372100889104,0.05804783203189817,False
150,juice,Nigeria,0.3980021398277506,0.008914466467460578,True
151,juice,Ethiopia,0.4443753653850705,0.1224280898734927,True
152,juice,Egypt,-0.058808760439182574,0.13094978866282114,False
153,juice,Congo,0.4144737401398483,0.014161599202918597,True
154,juice,Tanzania,0.37145875035917103,0.08391010803863956,True
155,juice,Kenya,0.9267069935779024,0.0474634614847925,True
156,juice,Uganda,0.4747333862143836,0.017564434586399627,True
157,juice,Sudan,-0.08847729439727417,-0.034275514563416085,True
158,juice,Algeria,-0.6961183451819749,0.03334083091791598,False
159,juice,China,-0.05241202952745959,0.092434361271029,False
160,juice,India,0.5475267147873579,0.07342385211349639,True
161,juice,Indonesia,0.09312398043156904,-0.003298983138803577,False
162,juice,Pakistan,-0.3849209237993112,0.003722953864495983,False
163,juice,Bangladesh,-0.3836068582643694,0.0034557527012171177,False
164,juice,Japan,-0.02269283227195951,0.14621477146326986,False
165,juice,Philippines,0.9985832970134288,0.16639300557727388,True
166,juice,Vietnam,-0.04557802271592328,-0.050583110316473966,True
167,juice,Iran,-0.9954899331584688,-0.0098280734755764,True
168,juice,Turkey,-0.24602769967964505,0.08688087187539748,False
169,juice,Russia,-0.6936245500948791,0.03616456243536897,False
170,juice,Germany,-0.4961524735874116,0.0022322800962273352,False
171,juice,France,-0.21157358858598813,0.18924767786824093,False
172,juice,Italy,0.3106000358384497,0.2257046108565024,True
173,juice,Spain,0.06509364347494169,0.22851423423528516,True
174,juice,Ukraine,0.3463461416489648,0.08089866511309758,True
175,juice,Poland,-0.2529005887973209,0.05253747661965962,False
176,juice,Romania,0.8073020397599071,0.20903524359757591,True
177,juice,Netherlands,0.1559333562624727,0.08951686630435783,True
178,juice,Austria,0.2027272719581822,0.11056349453102916,True
179,juice,Mexico,0.5388945154016311,0.18730334158442824,True
180,juice,Canada,0.05149058124194635,-0.010127577691792093,False
181,juice,Guatemala,1.0841787081723426,0.1671298023400933,True
182,juice,Haiti,-0.3128706520297497,0.008157504308085583,False
183,juice,Cuba,-0.4791385105842039,0.06736285844872805,False
184,juice,Honduras,0.8087237141887914,0.06848582060289707,True
185,juice,Nicaragua,0.4099104114785063,0.04337918564453106,True
186,juice,Brazil,1.2862784515600922,0.20000749145903174,True
187,juice,Columbia,0.7080731627970301,-0.1095367359486096,False
188,juice,Argentina,0.332347866569013,0.15805557671699208,True
189,juice,Peru,1.3063573857124136,0.20380247681478936,True
190,juice,Venezuela,1.052752698327369,0.17674034525325907,True
191,juice,Chile,0.7039146003034616,0.23351062973769926,True
192,juice,Ecuador,1.1668812111284064,0.18944474055300545,True
193,juice,Bolivia,1.0916195704280207,0.17386381087363525,True
194,juice,Paraguay,0.464005541069661,0.12474831577957395,True
195,juice,Uruguay,0.3685498692418838,0.14860662312973402,True
196,juice,Australia,0.002778549030257817,-0.00028049167388137215,False
197,juice,Fiji,0.7227696705238668,-0.006901958315862087,False
198,juice,Samoa,0.18878280812159454,-0.0031208055990557537,False
199,juice,Tonga,-0.030112413185084962,-0.004898527383325292,True
200,milk,Nigeria,-0.15202376432291506,0.0423676819793476,False
201,milk,Ethiopia,1.40397341390147,0.2257033411923599,True
202,milk,Egypt,0.20097907892513234,0.18576762343528688,True
203,milk,Congo,0.4838311876574852,0.053749388027167264,True
204,milk,Tanzania,0.4907318787134362,0.20783306902272186,True
205,milk,Kenya,0.758491103295854,0.2271017759160389,True
206,milk,Uganda,1.607730315701066,0.1704910546631983,True
207,milk,Sudan,1.0169599709109278,-0.001858968032955928,False
208,milk,Algeria,-1.352933643019914,0.011858254912304769,False
