index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,Buddhist,Christian,Hindu,Jewish,Muslim
Travis,-0.5370941057076689,-0.3479800023504093,-1.3275194445000382,-0.0035147595183102017,-1.4372046218236978,0.3742922273043822,-0.1422858489235567,-0.27359545197275126,0.16701755747216893,0.4606777207253979,0.4561816049336119,0.3298632231014276,-0.6214799067369375,-0.5211794283046874,-0.23170124851637594,-0.08309266648645912,0.3853997115624918,-0.41675634545990436,-0.904623771922635,0.16841918729830505,-0.8614351688139027,0.10374540341889726,-1.6069846214886347
Hadley,-0.5754942942920038,-0.0018892350088035618,0.2981252734246595,-0.5469105418667324,-0.4010721789826538,-0.011596687575071969,-0.3520540076425491,-0.19668743438718245,0.22703575204955517,-0.2863954715861468,-0.6092192204601381,-0.30367388628006464,0.19156163813700974,0.24668971224851277,-0.1897348583614226,-0.0719064699965927,-0.16318380598047585,0.5515051215801875,-0.666967484870076,0.14278711643593867,-1.111587673339623,0.5558200381051102,-1.902466613170856
Allen,-0.08810285175358534,0.05188466243928987,-0.4511729449218386,-0.3555098755926618,-0.9499094430142301,-0.021319789776423147,-0.2230833704784813,-0.46703453201481004,-0.3692299951864709,-0.0008218827209553369,0.27507683418795736,0.19412661672291195,-0.4828167849748319,0.0987022573196054,-0.681425249574165,0.06195672724586936,0.35497723374938,-0.9068961274810013,-0.24020856150010997,0.650156042495131,-0.5022601392602934,1.0738114605018125,-1.5230182513298907
Lance,-0.20559957280863317,-0.2520926555214047,-0.7164507869643599,0.02395669990092331,-1.04401852207166,0.11016713635147152,-0.08254747526050696,-0.4801778606298422,-0.28936112408912773,0.06497970356156842,0.034488002057899286,0.08132226867034309,-0.8652312029289173,-0.5419269409500644,-0.7764899579496582,-0.22294112933150054,-0.14032224637198576,-0.814833678773279,0.710813653489699,0.2670001541810756,-0.20982290498168493,0.5496211932011609,-1.1890531420122927
Mabel,-0.37406357775663546,0.8648678930403263,1.108031379251349,0.1735633814660547,0.7865308530513336,0.09840301884472882,-0.7080558186614146,0.38246455892949477,-0.0663698407480516,-0.3272663891068421,-0.131447226146335,-0.09006995648775466,0.3538142748006948,1.0695859827106708,-0.5616066233077279,0.7400695163020045,0.7060284610006505,0.5595408040363851,0.010854950846439117,0.060457984689864054,-0.3828715140255225,0.12792690383312094,-2.034772197522588
Lisa,0.040745385658120865,0.5327985748016366,-0.10721791672488136,0.5651249058772709,-0.08098508266370219,0.3018923675857168,-0.31703836169845995,0.2778664135862862,0.4487915757972091,0.01600324864901136,-0.3399488172012913,-0.21904777879847095,0.298416625243253,-0.18164006333224328,-0.06371148674763676,-0.2830206090048559,-0.5790337747082703,0.18528755678412187,0.4747026771505858,0.1765510813147355,-0.1434936659152785,1.186986022570224,-1.2624692141827527
Curtis,-0.899784437587823,-0.005955761802311141,-0.23535762767178056,-0.8847534237122257,-1.0703101846319265,0.1936846525742736,-0.26177799130335466,-0.41203705016567843,-0.6038061083655947,-0.082985532243669,0.08444056534490707,0.24204622732742953,-1.151704627937027,-0.325501237733377,-0.7293834080583348,0.21131038014743328,0.4013781289280243,-0.8987233599313956,-0.3288780462072648,0.7364324393287984,-0.4883597258815737,0.8009119623180196,-1.5356870790643482
Carole,-0.7532064140995197,0.6174141284752338,0.33553853374248926,-0.14062799513956684,0.010994549807093705,0.04330817088134582,-0.7234614483912353,0.2098477584504536,0.19911678328739227,-0.41326543639738783,-0.5523168349201272,-0.2592654339481766,0.24128548112656273,0.6048274028574415,-0.2226674603674421,-0.08362283998927197,-0.40999606919669096,0.4829063398715047,-0.22164883299964314,0.1151735163217103,-0.8191566324785674,0.9621330293114819,-1.5966491252987822
Isabella,-0.26566218698413085,-0.23911394977344708,0.3124986711381347,0.06346143857394612,-0.21872629444202554,-0.915759452154687,-0.5433752162504253,-0.31142758472919,-0.0967690529357155,-0.2554298293056617,-0.4365048081271045,-0.9854623669988329,0.658640838391404,0.6538958640239595,-0.35488443285296695,0.013540159310088562,0.22732476635241078,0.9598660472404681,-0.6768516553017904,-0.10710921828913174,-1.4330247294108054,0.6631893986203323,-1.5292105558380502
Aubrey,-0.32351278870757455,0.3974528265232023,-0.013919342316511627,-0.36018045635284457,-0.7129900600684422,0.17271599963399248,-0.6802438391543202,-0.07865607221394083,0.17288107852473744,0.223837997622536,0.11765723852001159,-0.2023278359112673,0.13067442310305571,0.1101102055561969,-0.25027101573026905,0.16359190606637314,0.4651833599139841,0.23129317112007186,-1.1452630973479563,0.49912095640259707,-1.6440853522932473,-0.09059227871131956,-3.049229890102269
Nathaniel,-0.20486993653059268,-0.7614393724828658,-0.2580910488007017,-0.41226209406325176,-0.8536278083746219,-0.7972905548541535,-0.3606216148231318,-0.6970728260270711,-0.45108139298707794,0.09238486990086761,0.005517315277112382,-0.48126276562314935,0.45314529136954673,0.03652157145336659,-0.19346521719567866,0.1696148740375128,0.36826829008680856,0.25781451456487114,-1.6587513544082864,0.09307295657527496,-2.4033640142078383,1.055679998632968,-2.370549348374983
Marilyn,-1.1106007639899231,0.1254137777862857,-0.07938562900920407,-1.123325122918036,-0.4966545817796266,-0.5893054263948958,-1.0454561487910672,0.18108987355071476,-0.30386449645778185,-0.18828248097078548,-0.25183801433509473,-0.16665016391852241,0.28024078269566033,-0.5814465136617452,0.9764210691540403,0.10443032879419044,0.4250873681959523,0.9590902117877698,0.21130220621165866,0.5454949988130499,-0.08407814934590963,1.3809100832128136,-1.4809820541675978
Jean,-0.5770105565893635,0.27677118347655766,-0.04003226736066017,-0.15680964590349467,-0.1352867743987929,-0.34959220943690694,-0.7735916386307365,-0.12133186254966148,-0.3461188746406993,-0.31661516162634273,-0.3036514313993087,-0.22358847669313553,0.9363309471777221,0.007917741964255067,-0.015301415303052417,0.14194359528743644,-0.10634967020537298,0.6999842684021709,-0.15962543163507478,0.27881533723521834,-1.1435166094264557,1.1730326390547228,-1.390109169755068
Peggy,-0.25289988037423783,0.9317048584734732,0.8170133513976027,0.447093961897266,1.0254142998461266,0.23084071673992584,-1.1798873864185815,0.9284660822529894,-0.22042775377037052,-0.4528310549239719,-0.20300580681538458,0.21049130422600634,0.14856647629398673,0.905281394634274,-0.2951167683326331,0.6105886593521664,0.5686350042937801,0.3865366313139203,0.25119852306473883,0.336712491242032,-0.1123729485456339,1.363767069790545,-1.5405683904933585
Robert,-0.9552416767338046,-0.2125628254635009,-0.6761624333048116,-0.48489605601590874,-1.1722681069551348,-0.7363267768956325,-1.1549274361247197,-0.6936316824884841,-0.9862722633502226,-0.1844624727640683,-0.0512503127524281,-0.2052822363812652,0.3448959556659073,-0.06159306878607832,-0.0951906109359196,-0.11226711497748666,0.36886378079483173,0.06543828131117839,-1.131720158227504,0.23134751041789636,-1.6341719581628182,0.1491312827927096,-2.165241657513579
Miles,-0.2282567272188101,-0.18509398747513334,-0.5445925337312602,0.10171715841273994,-1.0471517256894107,-0.06401428815602934,-0.18996784014356616,-0.3214839988416546,-0.4173649117121407,0.11524842640716551,-0.1222785591900988,-0.23911118567018483,-0.2817380418288108,0.002765777980818101,-0.3553592096564431,-0.5255873397143278,0.018375402801472884,-0.5831186230899554,0.07255881211249007,0.6302932715730205,-0.40461986699364244,0.6202146905016147,-1.5077718269838196
Kathy,-0.259784911776824,0.5908004903954457,0.03409964321566555,0.30511531665359565,-0.03802020470749222,0.34665393568963865,-0.2984895037340536,0.2747262142684107,-0.030247123604102866,-0.15200878084207256,-0.3715934108250584,0.02651948868998188,0.05389871769894142,-0.3789405992471016,-0.23259083550343332,-0.3816233250560344,-0.2607194670041253,-0.3107730286910358,0.2658090920964961,0.5396689200776172,-0.12649541091566446,1.4820420021809664,-1.4054855444024006
Laura,-0.28747387615115466,0.492578401581513,0.6651895022217628,0.9278302767481642,0.5107928233064866,0.10564599425605217,-0.11970104049795183,0.4700776924616053,0.25525325962187617,-0.09745195394835454,-0.4020415570173766,-0.36504234297223487,0.5952898390147249,0.02908154444394863,0.3883470624084774,-0.3671808323932012,-0.31917014854234116,0.6650036390734467,-0.19959354785374162,0.13668448590795196,-0.5468365303708419,0.8929867921562175,-1.9245489564214737
Charlie,-0.44624463844499357,0.43294893152851033,0.24388959147999836,-0.18837384326529505,-0.12417472503306001,0.25037736866610044,-0.6374230628870042,0.01842700987556151,-0.0958275467063078,-0.038659344037277055,0.1091205593296463,0.08392011100738099,-0.46776663657682843,0.27628639308392605,-0.315715690047709,0.5123403962414,0.23418480976707703,-0.5116681451869658,0.47339416721511957,0.44367298921615594,-0.07975965775320547,1.1740612976750882,-1.1710123270620787
Leonard,-0.5839602153929284,-0.13726834446631975,0.25969734413192896,-0.09201561311296994,-0.39865678816186034,-0.2232060665825261,-0.8936798217696282,-0.03212944260653468,-0.37983712966363997,-0.345669764845441,-0.01850005365285783,-0.15714515938620846,0.13904883392901912,0.5160680579912913,0.07393784179160126,-0.11889614469678404,0.17776812317011845,-0.08375255930183557,-0.04539176646269389,0.645427221735631,-0.4701413424538472,0.7964071708764082,-1.7530449956345968
Julian,-0.48335378015880975,-0.8377868322233765,-1.1351546509082753,-0.1410430563851018,-1.2271304451655916,-0.8158685864026185,-0.4779925579079661,-0.9792792200720287,-0.34063504359951596,0.020800534356197053,-0.23446569732067507,-0.5572066383227252,0.4940389332681556,-0.3045006368652557,0.5825798289866699,-0.5133978136199473,-0.3976405070318038,0.548511470354297,-2.2351290866442004,-0.9412049684929314,-3.7462536889765334,-1.0729566811797198,-3.906707142412855
Gerald,-0.5758244785619453,0.5295306930556776,0.5116956158323237,-0.5893593511462701,-0.2392289289710713,-0.3232113865074538,-0.47032849146644023,-0.21623838059677558,-0.1998596270026432,-0.39977542424142765,-0.1941654885592683,0.02195373584831099,-0.02660785902716995,0.32342932247620876,-0.21376286247332887,-0.16519185226506666,0.0483036118158715,-0.08971838382098891,-0.3204027183781199,-0.01758330250833519,-0.9740844705111519,0.2876665489975414,-2.1314422124632095
Angel,-0.14822856736002302,-0.9054967675607768,-1.1728653730748089,0.04205557306545116,-0.26163592604614955,-0.5305705697719167,0.7162625361071702,-0.26863908526633296,0.1384445505449638,0.29931427293652324,0.034297754489901626,-0.5033145445289773,0.019598285720583336,-0.9107712249350463,0.06090636005162069,-0.4054100805656621,-0.2235851508722856,0.041047200226089875,0.5325823329460107,0.5254253971722245,-0.4082413133833735,0.6558071833202439,-1.0918862352632615
Adam,-0.4019977402613768,-0.04658338803612832,-1.224888128542041,-0.4018482497432875,-1.1182498342031866,-0.4780002222574875,-0.17658285019828998,-0.6200952370305148,-0.4056117275637535,0.3466005021762926,0.26290577537477144,0.054439752928088406,0.22418093304520495,-0.3906911084023832,0.4609639879178819,-0.3711079043756811,-0.030426763248121727,-0.1472605845229572,-1.3296747700941691,0.5909041715658673,-0.9023399988465798,1.8841760447481126,-2.1302613562020762
Lois,-0.4063376907724595,0.6843452027680639,0.2588395589584997,-0.2924424983487667,1.1061736391189416,0.4856304263087763,-0.818793431002199,1.199886675924331,0.5575834615501737,-0.5279861068905647,-0.5363181498540348,-0.06512989252009302,-0.4248440431866286,0.6006620242570427,-0.2927495285653947,0.23849735256946528,-0.23963351844483888,-0.5689891728459577,0.18936210422400881,0.2910800215708666,-0.4901663572907361,1.5468782960158056,-1.7320936836472078
Chris,-0.6241703725818444,-0.29131857737119116,-1.0070782168612866,-0.8454014838489657,-1.1110398366255538,0.21730821343646484,-0.09796944365546101,-0.488636933287024,-0.1207387472424555,0.06278519737828725,0.05294726138216395,0.3520673027731456,-0.5485480509841506,-0.0942399615004773,-0.2550806873119189,-0.17319758424529283,-0.27768957274240147,-0.9819224404122183,-0.30778258855636376,0.05700618436647699,-0.8035371437929553,0.796128365181366,-1.530848001455481
Lindsay,-0.3390946788036067,0.18125189688154605,-0.12654159966229425,0.041668246867302264,-0.5954339661111464,0.7061191004731641,0.46257861885563234,0.1325690707407726,0.3944084483488473,0.09337818455716763,-0.2740222839233885,0.22281519223672908,-0.75666312026311,0.11498632878351267,-0.45639175448698743,-0.22343500373887756,-0.41105800076067095,-0.4266669323051789,-0.8506483058584613,0.5080890258658176,-0.7444951892974563,0.3104921027116187,-1.5897447621017105
