index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling
mechanical,-0.16681260274813456,-0.05087038754943843,-0.13808929331560246,0.15975791952920035,-0.15145267928565775,0.08132544493842897,0.1294112367783354,0.547721287872417,-0.21684762225828433,-0.6879993529316875,-0.33170897965167734,-0.08691083368794421,0.13199264952831788,0.07846056317599669,-0.05518890080965114,0.9579006720552914,1.1461196444448487,0.7182857095995443,0.2823245114245817,0.0906395960740422,0.6414051059032406,1.0235714635694544,0.042181719078148584,0.35740476692189194,0.2584328419748004,0.7078305818849463,0.4828809582726297,0.1384295091547882,0.08721520307405041,0.3659968600431582
curious,-0.6134377533806246,-0.8775681630229746,0.22186464432270822,-0.3472693145884231,-0.684354803422137,-0.635225790014682,-0.20576077304684945,-0.5319717853578932,-0.774912011909896,-0.24662853038378324,-0.48358571203114076,-0.6555574528048035,-0.2557498261372307,-0.34133792589303014,-0.7233748987293495,-0.7167902301000953,-0.6161028724023488,-0.10743822698687834,-0.02667277498747482,-0.17503986874649863,-0.28042546321275236,-0.45015230959199826,-0.22111955890937038,-0.5650565520815628,-0.7835546189506071,-0.44026884721307114,-0.10660965786364188,-0.10809377898176409,-0.7239289784944404,-0.3017105674553072
romantic,-0.6720271937879967,-0.8561114170858622,0.2021971845816655,-0.4450468471369312,-0.3801780158076948,-0.5240092064661908,-0.2642136604396053,-0.16305448700048664,-0.6024798785912545,-0.800195238128576,-0.2707492062283943,-0.2383983448321137,-0.7683722192434026,-0.22020759176351273,-0.7262482200797425,-0.4887851384080361,-1.1256632782016949,-0.19348574607469038,-0.005421286762378626,-0.6554383334475629,-0.44609608203158346,-0.6029778512482046,-0.4980944125345545,-0.6249249312354231,0.031357756507326986,-0.1875952864331013,0.4519741913104582,-0.267770921249342,-0.4592648274033155,-0.33973592941212377
disturbing,-0.8659148463848678,-0.9768315988473514,-0.4552041981995474,-0.9225973002456287,-0.9857658180657551,-0.3042047682217108,-0.3301005681880267,0.1738772977307429,-1.1859390545582416,-1.1193877321522292,-0.9678946864806655,-0.9739899642356861,-0.9361948529478173,-0.693781477339512,-0.2159092445922476,-0.8363959892639212,-0.8689222454714548,-0.5268900016256365,-0.017966634463219645,-0.36592397408337757,0.7190379590771941,-0.33541086208209026,-0.41529347022288804,0.2573504686185868,-0.3475951374208055,-0.30804211642951873,0.059916204377781015,-0.07283815663372924,-0.6258797862260955,0.030728480668207592
sharing,-0.9513901651552722,-0.5464770061732295,-0.5904357874498783,-0.2536090196035966,-0.4061003732272664,-0.21675536778949467,-0.7311009703594383,-1.67881220018304,-0.6076942587254864,-0.8380198743768627,-0.6368197550917066,-0.9470052097399222,-1.2070920723340142,-0.5458767784058186,-1.5846329919724553,-1.3099728175746117,-0.7332679998760587,0.024302877894772323,-0.5075495366306304,-0.9098986545489545,-1.2612244297712871,-1.0670745154716064,-0.6282638957911721,-0.804867263047482,-0.26721725535641055,-2.017587613904092,-0.7871009558812369,-0.15152318983033217,-0.8236847104576519,-0.10668207354343306
liberal,-0.387390468837577,-0.6894644265883944,0.11103538582509902,-0.7322116173168313,-0.8002223488462166,-0.5640669470350473,-0.5077392669610582,-0.6635575566674018,-0.478760016554371,-0.5711952064597545,-0.3134009505128954,0.1153193362590347,-0.1092562165108823,-0.23988337832232434,-0.49771022404930587,-1.1660257727606054,-1.2835754318354742,-0.3413202647636871,-0.8195866482547468,-0.9050367078528196,-1.5039193988385124,-0.8034348237918467,-0.3343858549228255,-0.9491757350158007,-1.181309970760119,-0.022739115478179937,-0.060289343101166015,-0.6269572069782333,-1.217657535676797,-0.3044944917364452
sober,-0.8686605554309434,-1.005440938440646,-0.7792215906110387,-1.0351429260027802,-0.7972398093655375,-1.338854773350835,-1.01055008120645,-1.2160971110072794,-0.6516557294958183,-1.9970824505941562,-1.3009329739869273,-0.15898610009866268,-0.8454067173732681,-1.6802339608923218,-0.3827375607871779,-0.9206850584198172,-1.0853174600729374,-0.36261184832213467,-0.7166614894918637,-0.5480047357963899,-1.029376863362992,-1.034357626193817,-0.9088838522190511,-0.8719083179779163,-0.20294598196237695,-0.6236098264853769,-0.2128173929801227,-0.7201419336890327,-1.0810374429044138,-0.062216276825117024
coarse,0.13796465682732462,-0.06566658015826485,0.44074866110948413,-0.12665291528678113,-0.14252411957452676,-0.028714845350765246,0.45479733065582556,0.3797627606799542,-0.12646019739684644,-0.2850963005560432,0.3613246139422664,-0.07217299629169494,-0.44528846960087665,0.20141685712123422,0.8417492375008011,-0.21172889577718346,-0.5236995451054196,-0.3113804998221268,-0.02802926535433316,0.6378881812875972,-0.020200818796300004,0.15958447762627237,0.2880044036074094,0.6784835941614403,-0.16770260323580855,0.22614673491007836,1.0196195013346878,0.6292727241726955,0.023412106539300252,0.23336242481988814
ambitious,0.41975867386894933,0.21136934111402234,0.34810323877656796,0.2965107181364876,0.5192595091895855,-0.011341578297663005,0.4346431579432225,0.6647571616640677,0.16662479275567693,0.4356802618699314,0.6756880677683287,0.7609395178168967,1.3389923277187443,0.324117775669493,0.966925673690578,1.4037426210838722,1.046661905951636,0.7438639783922804,0.15979686706237395,0.39156747573208606,0.29334884284302143,0.5735876288527537,0.1932066272462413,0.3303517975342648,0.4312813234166199,1.3759107737506306,0.47164331057622483,0.22194065082107875,0.040829508493460585,0.40744712288775087
heroic,0.3570919397600875,0.10057735923751854,-0.2175071695868708,0.3089900670539373,-0.35728403666484043,-0.11089537489298008,-0.2637938171996018,1.1861104744950695,0.11952241179827305,0.37875348995199454,0.011441324495999447,-0.49427434444785945,0.6635944681358545,-0.21747671363710663,0.4345066515696892,0.5691464354511395,0.6557842062870077,0.1781428117206429,0.31874353888859147,-0.6214959709955581,0.9920213249574693,0.5577943218490957,0.10745880233570003,0.4464321947724208,0.07937974841247247,0.2581663118600374,0.7182292066952878,-0.33371378724536616,0.5223800631398525,-0.46802077397218106
rational,-0.886458321714951,-1.1271937771225424,-0.6412860629860156,-0.7147320622663336,-0.9478896863694964,-1.0495754518668632,-0.8290724059376926,-0.3649948706054253,-0.7829519702274698,-1.428831228131385,-0.8955931582045608,-0.6005706395322852,-0.9842067576344736,-1.031769567744107,-0.9027623691717569,-0.41134386692416114,-0.7561263530676171,-0.4468753221088556,-0.7196049347978442,-0.7081690021929289,-0.6535323730257093,-0.8113394728167809,-0.717021883625591,-0.9389305329811475,-0.8846071699900265,-0.5690439110158709,-0.6756978624512193,-0.21203350599550955,-1.030794673371281,-0.6130158209607444
