,country,trait,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,destructive,-1.8812097560857242,0.3438839308886543,False
1,Nigeria,ambitious,-0.04330123288119033,0.27204443824358104,False
2,Nigeria,knowledge,-1.283085925085759,0.1781242237967176,False
3,Nigeria,neutral,0.5944366917493871,0.013422557003083618,True
4,Nigeria,possessive,-0.09268593457708887,-0.13418286060320456,True
5,Nigeria,demanding,-0.7197813743796302,-0.19444877121001766,True
6,Nigeria,tall,-0.34455175335087457,-0.25483946687700154,True
7,Nigeria,thorough,-1.9123200291587488,-0.13483094785649996,True
8,Nigeria,ripped,-1.0946389803256589,-0.22142828919450605,True
9,Nigeria,flexible,-0.10246106209752327,0.03102461855235641,False
10,Nigeria,emotional,-0.9620702797920408,0.1705447148884367,False
11,Nigeria,slender,-0.14498272083615202,-0.07061695228131627,True
12,Nigeria,blunt,-0.3300344207990284,-0.2400302191582843,True
13,Nigeria,bizarre,-0.4834309929676841,0.13500490540518414,False
14,Nigeria,frightening,-1.837526457409787,0.22129271860837904,False
15,Nigeria,petty,-1.6089956251057234,0.18114448842873573,False
16,Nigeria,miserable,-1.2096811110993215,-0.01867594450516724,True
17,Nigeria,honest,-0.8159499930422521,0.04090867968516732,False
18,Nigeria,playful,-1.2861715833295768,-0.21717012148493495,True
19,Nigeria,scholarly,-0.6606508696212364,0.27792861974090205,False
20,Nigeria,erratic,-0.31326092434353603,0.22245631124122064,False
21,Nigeria,mechanical,-0.9285438632270114,0.1930526837720712,False
22,Nigeria,brutal,-1.4352402141436111,-0.06086114044276359,True
23,Nigeria,caring,-0.6863880921617713,-0.15910919547521687,True
24,Nigeria,leader,-0.24818094180601016,0.183888783140006,False
25,Nigeria,narrow,-0.7852470251416733,0.11723112056500215,False
26,Nigeria,obvious,-0.3058934952344261,-0.10430687145683534,True
27,Nigeria,exciting,-0.279820073237362,0.0204461543272239,False
28,Nigeria,delicate,-0.5677425036692587,0.08239755735495727,False
29,Nigeria,confident,0.3731917791888797,0.18371212393592215,True
30,Nigeria,pure,-1.1449906708132285,0.07338991751920604,False
31,Nigeria,colorful,0.3596602516000022,-0.027866039508902776,False
32,Nigeria,understanding,-0.12708951931391865,0.02425327857631777,False
33,Nigeria,impressive,0.4939969800142424,-0.07799470668780742,False
34,Nigeria,solid,-1.5656717120584376,-0.18722422708022493,True
35,Nigeria,progressive,-0.1547137991361263,0.24570070129962074,False
36,Nigeria,fiery,-0.5271835045026826,-0.23417475811366806,True
37,Nigeria,athletic,0.054994903496817536,-0.11456433540834135,False
38,Nigeria,unstable,0.1119859303037837,0.309533925255472,True
39,Nigeria,ridiculous,-1.199528006448538,-0.12453633532280245,True
40,Nigeria,solitary,-2.3873834918599166,0.13928250258279062,False
41,Nigeria,regimental,-0.3900933053171428,0.14452630586382326,False
42,Nigeria,profound,-0.5245054555765819,0.13991244046751672,False
43,Nigeria,fit,0.6057585419347002,0.21280953390303825,True
44,Nigeria,reflective,-0.6565270309779305,0.17879560029370928,False
45,Nigeria,critical,-0.21524311755498454,0.2686025052758592,False
46,Nigeria,efficient,-0.4330672065853789,0.13472992487130864,False
