,occupation,country,direct_correlation,indirect_correlation,same_correlation
0,accountant,Nigeria,0.4733637393676038,0.3145571965834523,True
1,accountant,Ethiopia,-0.5959411789301419,0.05619257204444523,False
2,accountant,Egypt,-0.7442241453734465,-0.03176652636258113,True
3,accountant,Congo,-0.3991041272519868,0.23493245821419745,False
4,accountant,Tanzania,0.1747095417024917,0.16503078523651132,True
5,accountant,Kenya,0.4517573835235882,0.32733020047333194,True
6,accountant,Uganda,0.00029681789671969226,0.26353382464398456,True
7,accountant,Sudan,-0.5301370668372744,0.1951858491789407,False
8,accountant,Algeria,-0.4090240215292219,0.061780366706322615,False
9,accountant,China,-0.2355252850208765,0.263215933511687,False
10,accountant,India,-0.29343798064794063,0.2750961735040877,False
11,accountant,Indonesia,0.1870866567236787,0.2981348615783435,True
12,accountant,Pakistan,-0.06943399218230703,0.2770600782499575,False
13,accountant,Bangladesh,-0.0542211990699297,0.3065312197842926,False
14,accountant,Japan,-0.038482711416836415,0.2372723825355415,False
15,accountant,Philippines,0.09124767257782347,0.060247337271881175,True
16,accountant,Vietnam,-0.6308766216085989,0.35538256017935804,False
17,accountant,Iran,-0.3706622165053627,0.2406366412038085,False
18,accountant,Turkey,-0.3263008955503148,0.13334605602900698,False
19,accountant,Russia,-0.37971453118571374,0.24004649095236194,False
20,accountant,Germany,-0.01030027729893344,0.06005615551359871,False
21,accountant,France,-0.17247067273858807,0.015486064588316063,False
22,accountant,Italy,-0.2059781810839135,-0.01945442897782481,True
23,accountant,Spain,-0.06844139544941996,-0.09815818395236092,True
24,accountant,Ukraine,-0.3871865435699693,0.1993958582994152,False
25,accountant,Poland,-0.1726797917142405,0.1901825581469179,False
26,accountant,Romania,-0.32142007582062226,-0.014324652696489047,True
27,accountant,Netherlands,0.2327372773621949,-0.008568957331769734,False
28,accountant,Austria,0.1030235743648449,0.04609319151669375,True
29,accountant,Mexico,-0.2931191226674185,-0.04883173914508313,True
30,accountant,Canada,0.058130851624797863,0.3605355936262152,True
31,accountant,Guatemala,-0.16718416114342652,-0.0003594952706526203,True
32,accountant,Haiti,-0.8680420305343591,0.24366395848623304,False
33,accountant,Cuba,-0.5779220072943727,0.16247334629902846,False
34,accountant,Honduras,0.0818726581620358,0.12433418283150888,True
35,accountant,Nicaragua,-0.291003042203738,0.06470828217157601,False
36,accountant,Brazil,0.09585971059260426,-0.013600768472574245,False
37,accountant,Columbia,0.3923917973074993,0.3340147443270705,True
38,accountant,Argentina,0.31340654048941863,-0.0020278404037020557,False
39,accountant,Peru,0.0030142384725876025,0.02756532886224639,True
40,accountant,Venezuela,-0.011479690911649564,-0.058645638368459714,True
41,accountant,Chile,0.2137137291451428,-0.10262300338932917,False
42,accountant,Ecuador,0.04888191107544914,-0.0734694773414704,False
43,accountant,Bolivia,-0.037554637254014346,-0.07588045397471171,True
44,accountant,Paraguay,0.07986639937258823,0.07848413419043762,True
45,accountant,Uruguay,0.32419338919859997,-0.029170455243472008,False
46,accountant,Australia,0.22422603197718066,0.38253832652920255,True
47,accountant,Fiji,0.20028601293883905,0.42224332659540775,True
48,accountant,Samoa,0.07785241023766384,0.3508456740275173,True
49,accountant,Tonga,-0.3334919351328523,0.21148934571513406,False
50,air traffic controller,Nigeria,0.3473645838583885,0.12011508239474733,True
51,air traffic controller,Ethiopia,-0.12150584013688652,-0.2448061987824976,True
52,air traffic controller,Egypt,-0.4071680902159656,-0.3244062818538405,True
53,air traffic controller,Congo,-0.34920202111086857,-0.03535968694337567,True
54,air traffic controller,Tanzania,0.23320498447610485,-0.15303588559493542,False
55,air traffic controller,Kenya,0.6420458691763672,0.048520991913610284,True
56,air traffic controller,Uganda,0.17373461323419762,0.02700683174151101,True
57,air traffic controller,Sudan,-0.24527191759635925,0.006046758922253349,False
58,air traffic controller,Algeria,0.16198914674286016,-0.25117359485268703,False
59,air traffic controller,China,0.19928950803521975,-0.003516282690614912,False
60,air traffic controller,India,-0.28748773406913003,0.010618576770477952,False
61,air traffic controller,Indonesia,0.5679193500000895,0.09578583270375476,True
62,air traffic controller,Pakistan,0.4773214847021287,0.053368072655167104,True
63,air traffic controller,Bangladesh,-0.12638100938020955,0.0799065987738203,False
64,air traffic controller,Japan,0.6192885031380291,0.02218114891437457,True
65,air traffic controller,Philippines,0.6181755969817581,0.045712533343148114,True
66,air traffic controller,Vietnam,0.4601665487833964,0.2387993048920704,True
67,air traffic controller,Iran,0.27391331372067435,-0.022409742506890668,False
68,air traffic controller,Turkey,0.4232101813789028,-0.2260107921003481,False
69,air traffic controller,Russia,0.01712322738391304,-0.13666953744347746,False
70,air traffic controller,Germany,0.23537647583815374,-0.3142560391712437,False
71,air traffic controller,France,-0.033221877645149216,-0.37304503485509616,True
72,air traffic controller,Italy,-0.04855639333182125,-0.3750901991292997,True
73,air traffic controller,Spain,0.1610413095410759,-0.3775614836229264,False
74,air traffic controller,Ukraine,-0.20495234875037666,-0.14721199250575298,True
75,air traffic controller,Poland,-0.1569791045451639,-0.2556383042337032,True
76,air traffic controller,Romania,-0.3263116967591489,-0.3385264825383358,True
77,air traffic controller,Netherlands,-0.08041563574450704,-0.3465069440789527,True
78,air traffic controller,Austria,0.21688166874450135,-0.3715637419703381,False
79,air traffic controller,Mexico,0.2842903154961094,-0.08023762193592603,False
80,air traffic controller,Canada,0.5677378430174779,0.3194072888402562,True
81,air traffic controller,Guatemala,0.048470167073854604,-0.14195186125910653,False
82,air traffic controller,Haiti,-0.6114479346455133,0.047262843275407286,False
