index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,water,coffee,tea,juice,milk,soda,alcohol,liquor,beer,wine,vodka,whiskey,champagne
Michelle,0.3371302555267836,-0.4186831686905294,-0.42707968715667594,0.2614702023998263,0.48174741375500335,0.619387883900727,0.5025571060347143,0.5776313315721225,0.16995323718231872,-0.0785013936337095,-0.5247073062781085,-0.5243491889994785,-0.07294348450122778,-0.6945298553875192,-0.0943695599283836,-0.08728835998347063,0.3998292964051526,0.3100374063736556,-1.0437054379850221,-1.3696323520597267,-1.853876385498438,-0.6400308819864338,0.057731318198790245,0.359705742943526,-0.48270044587465993,-0.17202890904237383,-1.348816038637755,-1.0893997907552855,-1.3306974482180494,-0.30603571275011,-0.7326461749990124,0.19536444325173943,0.17414590108095615,0.4841703304824814,0.16930123052365878,0.5659850913657255,-0.4364214120331729,0.3749838037403175,0.4570912391909806,0.21255392025829048,0.28323693309023873,-0.17991469258424775,-0.5565328516037553,-0.40041767155898295,0.10912096085856525,0.08177698191465053,-0.28338530248061783,-0.2870775905138587,-0.46269351854744656,-0.8011503073980761,0.38869298052094914,0.18607402980011575,0.24491278888816395,0.422628713922089,0.3766875927846968,0.6242276935130311,-0.05401483309945425,0.30006680628613575,0.26659711808188014,-0.07673354727029777,0.26168279196147604,0.3104991180834764,0.7374376540129264,0.5835647338445107,0.5125197532130495,0.7028604394150628,-0.5311026878101591,-0.2992229441057865,-0.475545969138255,0.2881926370507798,0.1500199574310106,-0.5415411044128619,0.7978763072104781
Deborah,0.3262282716829442,0.18162465453492974,0.5072567063453319,-0.3938137620809856,0.14623526270136933,0.4005559665632352,-0.034808977617302866,-0.13388102597570356,0.4258957288549872,0.48969935169883405,-0.8384346529016997,-0.9295428879270561,0.1630377373146874,-0.4416129761081101,-0.13894559528968864,-1.2989826934935664,-0.6776614993575176,-1.365225162749028,1.2499995802283759,-0.2580741782706551,-0.5883950448476574,0.33914378558561586,-0.21807046104457917,-0.40796498802664516,0.2835143467517603,-0.18987521079727832,-1.0529152465340887,-0.13966868563398724,-0.17430873206009095,0.41045023900515776,0.15313291375973043,-0.03965696363194309,-0.504553726052063,-0.04476700780854626,0.10208654601309682,0.5925163063159823,-0.053492697287634484,0.5441146922598423,0.17507386439603365,0.2965870170673715,0.25406072207840674,0.35318007839195065,-0.012515735917390204,-0.504416458509528,0.26071966557074483,-0.2994582342196251,0.11656736729585651,-0.29355201022812977,-0.13026431797662102,-0.20923700203253912,0.02392948050476528,-0.362502471506719,0.18997105115669446,-0.17126457036055234,-0.15834314440412942,-0.10842232870577326,-0.16843344901596738,-0.3701081391997238,-0.5452968458845132,-0.037689283759852775,0.024765732680908467,0.334690383133085,0.7136142495377775,0.2275955411717776,0.6525810371961345,0.13691741763767268,-0.6538673175127251,-0.5036408971275105,-0.5258245798905762,0.48555010679386845,0.2967580678800501,-0.2989272778223266,0.6169199764049509
Scott,-0.4256793768360086,-0.8919104996721444,-1.3938253707651593,-1.0318069578378404,-0.4820949544616155,0.4001689295731381,-0.2275627222054217,-0.39293397754831255,-0.5381655406285759,-1.4135271482991107,-0.8323699828271521,-0.7853155807997988,-0.37957864465804725,-1.2653138399849326,-1.6555889011073963,-0.8622886310143888,-0.020335310267074733,-0.5614466113044965,-1.0978333108799585,-1.454458246134475,-1.7567879833576197,-0.8345171581375684,0.44090788941709846,-1.5821296614989233,-1.6164815642787107,-1.68617753413033,-1.5326021277798745,-1.626963410809804,-2.2658063211673998,-0.86744488668518,-1.0194582403491808,0.8064935036123171,-1.0015234548024001,1.252321805943262,-0.16073804812787545,-0.18000903085344744,-1.3172045209082395,-1.0060725147461902,-0.11181642855076333,-0.4453423679320806,-0.5437401507626791,-0.5503779198897987,-1.3568545520962882,-0.23990978006906963,-0.7962009928007318,-0.7016981331487714,-0.5750655258840858,-0.6083957712288801,-1.332343750718398,-1.5809700023207454,0.9681594696561611,0.5597071781728462,0.7821803869138414,0.6309150623735453,0.748942447117495,0.4975568808870721,0.4269835432133155,0.17421690853075095,0.5092531890994395,0.030988529335147407,-0.3090993496554265,-0.15985288889494448,-0.820470728060884,-0.2886323567242086,-0.858584209130983,0.577646395359072,0.006366178115920245,0.07727376771154393,0.6594899289490517,-0.21713524262620706,-0.02082403372831204,0.45065441031362746,-0.48154103683244787
Declan,-1.088634424290676,-1.4934490623899728,-1.533639162077737,-1.0338946666620565,-0.5010008437432848,-0.3947727238470641,-0.8927915591927013,-0.6648488743803365,-1.3629038658992267,-1.824920449406306,0.13277075357173515,-1.5200232029143752,-1.347296914719767,-2.4149120910389805,-0.8297474171648125,-0.6848953932681794,-0.7728801237993983,-0.9249645412249046,-2.451182067768766,-2.24245262241208,-2.5189102782722914,-1.0637464497058666,0.6411496243812015,-0.96055869831857,-0.7240580239526946,-0.4401772278545127,-2.3772377058593723,-1.6567849559366603,-0.9828398165321579,-1.1226396468883961,-1.2612918830546538,-0.23106037929257814,-1.2082549999440968,-0.3543169898237131,-1.057129454861806,-1.5333321579454158,-1.5224995258284861,-1.2853167533621412,-1.0094170783132201,-0.8825870521705185,-1.47012452335692,-1.9466683203767727,-1.5386824231428133,-0.8610342833925385,-1.5385880929410913,-0.9273509683323711,-1.1362684303046375,-1.0266777302286652,-1.6929237221034024,-2.180324196063189,0.22640448210172404,-0.7118453995219378,0.042765993825621205,0.026565759605314897,-0.6720805313018421,-0.5844826698451245,-1.3773051348631185,-0.7900183207974808,-0.4926084991062286,-0.5256652786018234,-0.037852859296801634,-0.43209596747181317,-1.0493876666287143,-0.6803189363549452,-1.73495469326537,-0.38884645151312236,-0.37196222624723213,0.13092973427384472,0.1987448946559276,0.15895397779266482,-0.05052096018528263,0.725030287814766,0.6786309257777926
Josiah,1.0416050109792518,0.6021399295507263,0.5576345896054756,-0.9205209518898271,0.20113007739538807,-0.7329346790992939,0.09705951057925026,0.3093391080916536,-0.23106619851810906,-2.5715739674521503,-0.4396756827136837,-1.4551318287726858,-0.7185465001083425,-2.1073655701344736,-1.4264997121079699,-0.23603721137476283,-0.711146289671485,-1.5421120580647552,-1.377043080565354,-1.5314582548182047,-1.8608872015063214,-1.9174477225861704,-0.7324469479569,-2.1692574451845554,-2.3086260877567812,-2.39803661091286,-2.2135433719084063,-2.197406102675572,-2.0247213832254625,-1.1008864150063895,-2.5479192457708715,-0.19056422490609282,-0.9185520118039733,-1.1109371924107978,-0.7431198381435019,-0.5800389616569998,-1.9153618301805957,-1.1992226052166006,-0.6383623459264498,-0.34470941757539236,-0.661194039315339,-1.615767427326029,-2.352084984036354,-1.2158879029011356,-1.2191633928735972,-1.941564085657925,-1.289393650183815,-1.1928968089900016,-1.9304364048662466,-2.3891312486188667,-1.465773116122893,-0.5255936214466549,-1.1720052707772124,-0.2940015748565843,-0.03741198611567475,-0.5805164700171539,0.08460635939194604,-0.507922269930862,0.08667646266735185,0.4559016956787447,0.040590312975131285,-0.27273821516247954,-0.35777129437717875,-0.07264116568353862,-0.14159279168369734,0.17015557336133258,-0.28998472869235997,0.27344972219193087,0.09241368409059138,-0.06691627294780779,-0.23240909712387145,0.7032156788405589,-0.17428922902198182
Wallace,0.7722662750426439,0.6263393389338214,0.20898812371018974,-0.11541353181780299,0.6811107224915011,0.14425219145331275,0.5188838393270543,0.5477427971842664,0.5484176564297814,-1.032683837922428,0.5637134024954886,-0.7519463498419229,0.042572056673704166,-0.2634563814612683,-0.229385319109345,-0.5469654412047908,-0.5483926368265166,-0.9399916599014349,-0.705370709258672,-0.7670370468954949,-3.202257478126359,-1.4606275323943179,-0.06996942660731045,-2.413403456570368,-1.787488569856657,-2.1122777786745677,-3.044464886067931,-1.913154290670376,-2.451552925622488,-1.5089064920082507,-2.092685857134775,0.0650301039456476,-1.365995196714858,-0.09195874511844622,-0.7288893834847188,-0.7897707547248544,-1.464108264995738,-1.6135029147437585,-0.491934825226761,-0.5083700695833603,-0.8979073671695197,-0.8309731726766736,-1.9931952416579657,-0.7170422970327124,-1.4399601928380554,-1.4639353575707772,-0.6774307941131231,-1.0907315724151398,-1.4333407434280387,-2.209455446711572,-0.2405548556802161,0.5135827779546669,-0.05921991473854281,0.42257454313480625,0.7826259922694679,0.17401961059139426,0.8328807254818827,0.025723024545066666,0.21043536605920293,1.131133960361262,-0.3256228371574397,-0.18683257949694385,-0.40287591578066534,-0.4942721749092374,-0.43662990514464345,-0.11486482478485738,0.0607337082701662,0.21825607709424164,0.3707599568711418,-0.09930787130846143,-0.019756529985631058,0.6961456731963204,0.08699779309149036
Hazel,-0.6296464681444602,-0.868839428641749,-1.286200477235642,-0.5672907356968968,-0.2831452213085458,0.40602053760740336,-0.06672000823243568,-0.07541595869216026,-0.3888711615646593,-1.012149162973524,-0.5790259734397825,-1.1427882888522765,-0.5663440612065109,-1.0386805278766258,-1.4713220721602436,-0.7716182426168259,-0.6000838909731642,-0.3294381880391417,-1.3227018232470447,-1.3119390116705645,-2.6839328392215642,-0.5415170483684492,0.6979250294590996,-1.4653057476415519,-1.7030292021318814,-0.9534539038098205,-2.418070563842444,-1.0716869789723158,-1.837999222208447,0.3291542451647173,-1.0929324377378924,-0.18579207214492924,-1.1599711746799664,0.6394733170590562,-0.4424332995738733,-0.009578993507412167,-0.6810633285131394,-0.5606673388115295,-0.5136898294477324,-0.3792286177638663,-0.9231046681079282,-0.9247331544022185,-1.31793491549532,-1.0396437134993188,-0.8972576475092952,-0.8323145629792837,-1.0096708921365953,-0.9155698977066834,-1.3836942986882173,-1.1730322488313403,0.3655556550254158,0.18288539461963588,0.5981021250033228,-0.20162413799351267,0.03077060948838576,-0.0995172956883296,-0.11169067942618133,-0.37751987150009253,-0.20410181571798774,-0.13094567830403037,0.009447032597203269,0.28214152087194466,-0.05119932528249002,0.07452465399719496,-0.30074882815678816,0.35009993080659063,-0.405744423310549,-0.15675935425929055,-0.24281883966122825,0.42931228528716553,0.2380998140761444,-0.25874651023810247,0.37821954309888334
Whitney,0.1837187789982532,-0.7216684987771491,-0.998078176108366,-0.2365856531919157,-0.18724387286527414,-0.1652809625792312,-0.23934706820036444,-0.03284522397628248,-0.7691001300391935,-1.8734847609328644,-0.5210170953339135,-1.0571742191190465,-0.8337042331508118,-0.6927634784860794,-0.4974788716212515,-0.011741943610957971,-0.1693726312756891,-0.290926825108428,-0.6665183356255265,-1.144117748319784,-1.029450372307621,-1.2299061609559814,-0.07735249798621718,-1.3025547790203333,-1.5877272111830105,-1.7646909350712738,-1.6490391617452798,-1.246507775905137,-0.7505129280154819,-0.7274635033420598,-1.5562940712712467,1.2236968618266508,0.5239524781003355,0.2377278390243547,0.33183715461563645,0.6069387032922776,-0.3471814582952204,0.45887445195389853,0.41145182395867086,0.7088338955549128,0.5475046786988583,-0.46750059838563374,-0.9147683077474797,-0.023309552142016243,-0.11821035833149061,-0.8947437283101733,-0.4035621815737733,-0.302018459594514,-0.8470284884258286,-1.5791564481947924,-0.6096595093422378,-0.8483404710459567,-0.5640110164206034,-0.41704182480405727,-0.642282416391926,-1.021870537835976,-0.4828515307073886,-0.48345870865698115,0.1448001200324239,-0.7149479827565715,0.040313471456881717,0.17144047398450799,0.6228581189666483,0.22269087941614085,0.49093082387672854,0.1487378294874281,-0.1443422184125813,-0.20130966107377765,-0.4313937956379012,0.42556167539979717,0.026316896908207252,-0.15459429901331048,0.8141796253134428
Paige,-0.9846184324413695,-1.4021365182194159,-1.516147943961847,-1.8108475583088048,-1.0258585524047836,-0.582272774807792,-0.8298895035705819,-0.6259608890592531,-1.1736777645439955,-2.3098872553972813,-1.3998803680914698,-1.599544544822155,-0.8041035343191442,-1.538730427799185,-1.646023501343601,-0.19251064164776113,0.05207473949767495,-1.1317420665961977,-1.2130473718238892,-0.6467050920279175,-0.7955827664977871,-0.9580553496492159,-0.08024768022408979,-1.7118577932415189,-1.3448388661322281,-1.6757246895923952,-0.5084526294326394,-1.0631594508882374,-0.8951802659576789,-0.9248418507875036,-1.280035019578801,0.6055095801026861,-0.21370612883758416,0.17497594658173005,-0.7155820560091776,-0.9933320468250243,-1.2631036651476222,-0.7253902980354504,-0.5808891932695045,-0.6976126521291625,-0.8075019665018986,-0.5855847024783523,-1.7043098510505768,-0.4843197443740537,-0.7161599804881665,-1.2432238352111558,-1.0030904335136537,-1.3391201606762522,-1.4534354340261706,-1.9085630508105076,0.07805502237456832,-0.5600995250635561,-0.09675185038023067,-0.7940475518829135,-0.7829493468559149,-0.8106076822821374,-0.9023929823047199,-0.6742367085281279,-0.03441439304963887,-1.2087721157492488,0.3889964578201763,0.32765170150543493,0.6728866635107437,0.48356110293846283,0.5364967818102129,0.3718681251273447,-0.48796156403242014,-0.5143684274576558,-0.47092007143437525,0.3578331322600241,0.0026313354082406096,-0.3249551696106725,0.47898502196848614
Sylvia,0.14969404874364917,-0.39033350000052897,-0.31103808805140115,-0.2241555823045213,0.049182987261382996,0.23965464090625413,0.017882193332462843,-0.1966505044969024,-0.4489108606054774,-0.03721409173710718,-0.3173593616958823,-0.9310024437071216,0.6153880811005203,-0.6268838118939138,-0.16398815575386674,-0.7477276767616085,0.7445757610126588,0.12427438411250621,-0.28963561679199545,-0.08916097785085139,-0.46832748024306886,0.3287603253728331,0.36064126412501163,0.01948722378125896,0.10670703227784654,0.530479094432906,-0.5307183335192437,0.2993273787233141,-0.003021518991531233,0.7881930044850125,0.7035642206803202,-0.023462295555223136,0.3258833817531269,0.30160392616233594,0.8036969762418246,0.7878285504336242,1.3936736583920322,1.2417423055452521,0.9221259077690678,0.5946294629073617,0.7413033453907799,0.6643717865255714,0.5516801026566795,0.14983761048827646,1.0096817124522457,0.5127958762631224,0.5780019411164273,0.2262481284649313,0.5964541269839533,0.8893096779641005,-0.10514146497600438,0.14177822063487056,0.08805299062629952,-0.2716421240263276,0.32596591068486985,0.21368332805113874,0.12994261812683208,0.06305447609586731,0.003930220947075296,0.049724714535862746,-0.1868023004806706,0.3217422792514718,1.1908498219671808,0.09790727507525367,0.5615589964899796,-0.28559050045136886,-0.5221863357557823,-0.3898038962358647,-0.6399176264404186,0.6441106654206202,0.020294805794362186,-0.24626433509011406,0.8396472831612072
