index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,Nigeria,Ethiopia,Egypt,Congo,Tanzania,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,Mexico,Canada,Guatemala,Haiti,Cuba,Honduras,Nicaragua,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Fiji,Samoa,Tonga
Travis,0.9808635896606117,1.0252032306548873,-0.6679495788590265,0.9986428683237061,0.5723541588532424,0.2911509533360104,-0.6490270650789147,0.1004025369858675,1.311423868782662,1.4177786916519923,-0.13318579359836516,0.9643432581009425,0.7781480643769498,-0.6401543032662173,-0.015874623299025923,0.3726154932564964,0.3396351298166076,0.02393267343138552,0.5686321689167552,-0.6356599078386528,0.8994940217059455,-0.3538519834578267,-0.2952095441104368,0.6910341125361701,0.541406482421578,0.7145923207394231,-0.36761614809552257,0.36210629696548446,0.6721320434143611,0.5181767076909225,-0.7960909627514385,-1.8370646183242538,-2.2636323815398387,-1.6581847884665446,-1.3175080298714983,-0.4742521234371982,-0.9947469675432321,-0.8060105153625529,-2.1870002911852766,-1.4901671999248574,-0.826302631184431,-0.5946595768434416,-1.073415498888146,-0.799738354802271,-0.6226277114634534,0.008848974321569556,-0.619302516131498,-1.31421319557155,-1.1276718919447775,-1.625999195047602,-1.2771298905721384,-0.9675314974487107,-0.592907827726216,-0.5890048311652644,-1.4433146345769092,-1.7472797913851472,-0.946688961358526,-1.4495276733976659,-1.7162473975725991,0.21436307644034,0.44128738094183195,-0.7442362788024312,-0.790822212791326,-0.6902064769143275,0.003997673663755271,0.47605904492585394,-0.1467665750781504,0.8912347421609954,-0.6496500136458713,-0.34646566440566623,0.0498726683963216,-0.790329150927717,-0.3468416239413354,-0.8824323496446465,-1.0654748333306756,-0.5844758571025377,0.6501381683048383,-0.4564659150936371,-0.2856463081045003,-1.2638607887502638
Hadley,0.01972284796544728,-0.07033227267995883,0.2085923023259802,0.21908948845260046,0.22487460861739536,0.19289193786181263,0.2860127151542584,-0.21260352266421934,0.24092785227880276,0.6175638667634644,0.339377685162691,0.4576243013141553,0.17148592731111784,-0.032573473692016075,-0.010652390683827817,0.2917217335560869,-0.5530751941953809,0.29198076546655755,0.17858660294400808,-0.02715518639038689,-0.04686192119972396,0.5623548095496246,0.03580318866626841,-0.31149623187038766,0.7437241127499936,0.2115759231903168,0.3530107633486556,0.12445801527753841,-0.0349874455671348,0.36623345257304807,-1.2350056195527979,-1.4491189711739352,-1.077952451262535,-1.9042060365153706,-1.1485525949941584,-0.506501319040107,-0.5976807315774149,-1.439319529682608,-1.7599431896667639,-1.3405026316966144,-0.8882110948243491,-1.3997386532871121,-0.9290314554626985,-0.648167662486526,-1.302137749505061,-1.5491769908726878,-1.7488448955458922,-0.38763531108959615,-0.560154496260604,-0.43710626700160715,-1.0576849607036087,-0.30164165206009047,-0.05170050947078432,-0.21900387485983755,-0.6721280117810773,-0.6635461950208816,1.0656268650682434,-1.7229404466859457,-1.2904702647389252,-0.3286329048442547,0.7644659907547763,-1.215241321537529,-0.1413923155825392,0.15422656271298024,0.06437570204484493,0.3228521882404299,-0.7244465350688538,1.7024077728413707,-0.1042851272793668,-0.7887493923628641,0.04441429180560036,-1.1146089769445107,0.02394714551742941,-1.5504540091631316,-0.6783855845864786,-0.9688850870743793,0.010912760555646253,-0.7581643259121859,-0.8571962460177974,-1.9243629732098606
Allen,0.7504799024845483,0.912714520048443,0.17251946705804572,0.6350751456236366,0.3761556605662996,0.008361747017248598,-0.0450122828605969,0.3464329890039538,0.6619574845449219,1.4406651177293852,0.09672878223517667,0.8492370579346985,0.7263880633807537,-0.16793291502689,0.5205981692490688,-0.11248434452605409,-0.19726589323603624,-0.1293095334497686,-0.0031604038287622034,0.25537385719108724,0.3765580125149906,-0.3077219658207057,-0.15598866394112124,0.7558688584391593,-0.2183573448452493,0.5017150655605833,0.3956272062362716,0.31733898646400527,0.24662760891842278,0.6844443686286292,1.2953854105545402,0.47919618615890935,-1.280137219202009,0.8177066548761337,0.2708178007323299,0.7044026695904277,1.0439579830184151,-0.11301162848928475,-1.0716097023252273,-0.9343014945833975,0.07688690478431923,0.35447103426848564,0.7170389247463004,1.2576953254542906,-0.009222106246501532,1.8765796181659355,-0.010335268665440975,-0.03875345806309956,-0.19993741820720265,-0.665823278567838,-0.7009287620084322,-0.9892505541673937,-1.3516283197441161,-1.1315164806180444,0.7630780563499541,-0.16214013247158474,-1.0226468372858413,-0.7126746083241091,-1.1653448397106063,-0.1872277461278838,1.7011595124782866,0.584500444347553,2.1034757726342277,0.9377017780339881,1.7494497713541404,1.65834990990933,-0.12252271620870572,1.2064580648308973,0.21211648442729783,-0.14313513209648068,0.6629243357553709,-0.09514653786522946,0.4772613511354128,0.06807478453740248,1.2147024330674059,0.5820847229266688,1.192231541617106,0.8571030331048206,1.8720959098820378,0.9931807116479037
Lance,0.9372051047188564,0.41313279763407584,0.33396463516204833,0.6087932117326398,0.2855103492452275,0.16147567433987067,-0.24587070648923898,0.9483221093296641,0.4815543531092126,0.05723079084942479,0.4829364170816018,0.7130851040309045,0.612941301096662,-0.3204392434977373,0.28412840599384925,0.582723364675828,0.45106318226022807,0.43888694497466096,0.16969516473564655,0.22866561863016846,0.5644086549737041,-0.01939610751392016,-0.2844223050895329,0.976744556295335,0.386633222748156,0.7305116897923283,-0.3770290895971032,0.22407190272983035,0.3633919829741268,0.49651103666335933,-0.7698884880710878,-1.1106993202134958,-1.6974831069107386,-1.2211954309566855,-0.6147705833488717,0.20629620519521388,-0.37559704740837374,-0.6177151000122532,-1.3256543078397078,-2.139833669359494,-0.54483289615309,-0.8990999908484603,-0.5817765489612603,-1.03425616024755,-0.9086397319446351,-0.6564310185623006,-0.7054632063063637,-2.033498799388552,-1.2453546971219913,-1.6094190295912336,-0.9157606241707774,-0.49076505273959004,-0.48177363157355735,-0.6782088589737693,-1.570003036083368,-1.643079840132174,-1.1068767126424233,-1.3193173975445467,-1.3516613401624635,-0.8663404850470676,0.5090686597552116,-1.1107571821106461,-1.3073636680331335,-1.5919636889718354,-0.6901816675681128,-0.7442056411667876,-1.1551362900290805,-0.0579404260919787,-0.526136605729659,-0.9639835181924302,-1.2285182004871829,-0.6523131934182278,-0.8573385270800457,-0.8930208109759399,-1.164374886356274,-0.6959933828432433,1.0455423468986924,0.3479939221387026,0.2773091535864055,-0.6428794974091293
Mabel,-1.2020317895510109,-1.3936980715685834,-0.3887391013196099,-1.3600543957136786,-0.6281356998551076,-1.0183054988103821,0.013110125702406123,-0.8465345069443488,-1.0312501692286646,-1.0014563880419325,-0.8488136603388149,-0.12449548914021467,-0.654055556976891,-0.8310264883275708,-0.15989461925950788,-1.2162024208131728,-1.3693497799043075,-0.6176638911736031,-0.6069103632613938,0.03673400865354942,-0.7201104595474948,-0.37432680983984995,-0.9572605710800319,0.012392949729526438,-0.6765244119078068,0.9250370491728783,0.7164980985592753,0.5709078409937002,-1.053587173307436,-0.16653532286323944,0.39665756941570285,-0.1282289361428363,-1.1015535957429123,0.006510797620552335,-0.028614974387140755,0.910856460896971,0.20801833323091726,-0.15346400243081434,-1.0788514802238536,-1.0003829828468978,0.2781809553386352,-0.14740582546094266,-0.06126983858764696,-0.30583744827909254,0.005825105743559198,-0.10252446085374946,-0.3021652621606592,-1.3242184665571834,-0.57694102558405,-0.3382256782516379,-0.5570598765115915,0.15542187654672684,-0.1866887778055523,-0.07513071985297314,-0.39724571277455756,-0.27175826433655437,-0.24873901391094047,-0.9522298540396837,-0.8558810859659816,0.5225915477518775,1.0251212036728667,-0.22147986658445845,-0.12772966584229353,0.0856406623032148,0.22127380993035234,-0.01380603248600356,0.029449975544150818,0.725367699646365,-0.08529458795410748,0.1775984409444961,-0.1726356395302136,-0.35990745730506213,-0.5776526828599805,-0.09365207752095006,-0.206014193080225,0.10848210950871266,1.259896160175753,0.9656114180460171,0.5856052553706595,-0.3646852529608595
Lisa,-0.6644598962673675,-0.3599422702848238,-0.4169311403982897,-0.2381663428053814,0.18134498547066535,0.40078725476504845,0.15077078252973247,-0.865058012652567,-0.7044986029988367,-0.07471159743718575,-0.613065503084803,-0.28303015678081217,-0.16942998809887289,0.20025954550599034,-0.9226990668517889,-0.28815282211139503,-0.44687773174827566,-0.0006135514000767401,0.10416041684928187,-0.5293548882448451,0.009541124825359357,0.28754874418506476,0.1705571275355419,-0.7783742644586581,0.3149446772023834,-0.7306950537414685,-0.20719261287591687,0.17389144046950417,0.027559885382053253,-0.03868718155875999,-0.059555901287890574,-0.008803853761240054,-0.4801821755906204,0.1682200410192418,-0.3031980952911853,0.31673231163092447,0.24211306314503261,0.3325556578256398,-0.5001340967940534,0.570173922499278,0.38030508522016787,0.5262250640077395,-0.008029818147988073,-0.013687466589040489,0.6806780313437708,0.7069537051885619,0.5185630540354256,0.28130122041754574,0.3288559783406163,1.0574270882519787,0.280358250070014,0.7126723644773222,0.7851080490995194,0.6259277064660818,0.9750639304954839,0.7082295135837816,1.4141974166614328,-0.24508154834799398,0.22045076670833122,0.5248917204443769,1.1559148582721543,0.7985609265000527,1.1597664460111659,0.38243614977972845,0.6577514610827349,0.773446799165592,0.6809704833986122,1.3788347205035523,0.6952829921556248,1.1066249813370814,0.5710024067840107,0.3086693747329769,0.7038554798346122,0.4722145769577208,0.14798369757975316,0.24420839052118923,0.6392010895926019,0.2906305607658614,0.36298652576307283,-0.36672964362547705
Curtis,1.2402731795359756,0.6661274772078426,0.1647111172438655,0.9125225628505822,0.41165424975632686,-0.08788088543802977,-0.1916606118093009,0.3493872849735624,1.1905669741935185,1.208736288091015,0.7914188257127353,1.4993435309909307,0.9342043991970026,-0.3872521230673132,1.1460314343369418,0.3332680955222039,0.2684941325948551,0.02074928099010297,-0.08763217601732766,0.1662542241869522,0.39038916204490726,-0.14279927812640889,-0.43066505234623925,1.0517191570913569,0.029245728189873994,0.9160555421876382,0.2548226423158553,0.30388020082012185,0.3133370418570546,0.5074807133713459,0.9570124679448943,-0.5305148633732963,-1.3446498349905736,0.1957033021230499,-0.2572894896488327,0.37334481715784257,0.45535294500790136,0.1762095978415364,-1.4216989760417418,-1.2918882504872142,-0.44770416404591745,-0.2300855651515223,0.05536227203127534,0.1280565304730848,-0.9408456274734132,0.477822869593292,-0.2161105930131919,-0.8299525021852969,-0.7476209655365105,-1.1197705358426067,-0.8081498939362087,-1.0442590763501762,-1.075551135432908,-1.129057677517869,-0.49057272069177615,-0.7806704912920229,-0.8931944096283161,-1.4380983986262201,-1.516741895954873,-0.4975057416701555,0.9842694599331451,-0.18767629114344764,1.4776769266380188,-0.07093328748559888,0.8562053088225356,1.0398661451575455,-0.6710802608514047,1.559916553933554,-0.43432685269255744,-0.40460092103165357,-0.14501420562869816,-0.8932820546154332,-0.37026251392493786,-0.4196564664617493,0.2592055784382477,-0.13873197817008798,0.9549330677424339,0.6171887198383682,1.682899069986276,0.3648757810859401
Carole,-1.2582768623491016,-1.2237200203457188,-0.009348872111765244,-1.0224990059914527,-0.01462785452950402,-0.5932857568215184,0.3420942443620542,-1.7937418097870066,-0.9564767124086005,-0.9158207330997448,-0.7655805704646955,0.25885198638686585,-0.5565878736655681,0.08276551728564013,-0.7313593416478109,-0.5243017647453726,-1.5374050386174989,-0.07465601439325353,-0.4584690212308823,0.026116139879397145,-0.8194233173773665,-0.01124906076365893,-0.37623929808502815,-0.9577829331896709,-0.10172909495859772,-0.07882901144574994,0.13109355882765558,0.17024650269875646,-0.8260004053006619,-0.13047518876644618,-0.890896390556136,-1.1061712988869707,-1.6697571096724946,-0.15670361775010658,-1.1121923680569725,-0.4519827182843235,-0.8414056551768989,-0.9775205858388696,-0.839642648907523,-0.9496305345062251,-0.48236401517113453,-0.7292268717664299,-1.0180010862660838,-0.3884154880553593,-0.2630670008400546,-0.015845870540643674,-0.6936033244516165,-0.8685947379707559,-0.7691985832099828,0.12431915474005222,-0.7138933015529547,0.7203282586051835,0.07660502737904001,0.2350403089286523,-0.2814559044312929,-0.565904955749372,0.4831975966727526,-1.050512297540634,-0.8033491558285922,0.20285868288858405,1.0814666695180217,0.23731870618910553,1.2243620916734848,1.023681896091719,0.3166043485815871,0.8821044867291473,-0.3640663453502975,1.5944943984602489,0.21912651002289615,-0.20377866206838144,-0.06616755916457792,-0.37247855351861864,0.16654491681999323,-0.7934779538724295,-0.5406583082838567,-0.4392596392862907,0.16657228673405686,-0.5639342345973023,-0.5895822235895939,-1.3402179501573592
Isabella,-1.1758058829438416,-1.2882734091750374,-0.4851501448720433,-0.8868433495907041,-0.3861276173426323,-0.4443758772470132,0.013009987594472196,-0.0592644919995258,-1.313923566677006,-0.47320505995550083,-0.5020227033510467,-0.8335331830016678,-0.8799025983657209,-0.15762371264801595,-0.7284647908862308,0.08236222959999229,0.13165250497577055,-0.2438672389700148,-0.3837829669511755,-0.7772512066250955,-0.28392371402911887,-0.2815550420926148,-0.4437817605279983,-0.9259105032632308,0.13457476245225397,0.12069364135913531,0.003734127504659104,-0.30964727675348663,-0.35776106513845585,-0.5948103402937186,0.19890069443507552,0.524937989144023,-0.16953595772030697,0.3044010907410403,0.01832734908131898,0.2188394079831995,-0.17450011747511515,-0.20252053079419183,-0.41786807237547174,0.04978813510527593,0.12251925067248112,0.3126174394639659,-0.36310928109897067,0.14613059518468122,-0.12965114305669906,0.8784124033473437,-1.1163282854384837,-0.4073762789759414,-0.018124211163582264,-0.1955161203514327,0.3073876784782174,0.755301388165246,1.0714989953733611,1.3741636422602044,0.39352125957399986,0.3884747014774511,1.1579406160468408,0.5774754015186793,0.5131904444588004,0.3673998974712298,0.4344782702455267,0.4048083618941346,0.0008239430123367879,0.1216079776355935,0.23099497734894536,0.3589213910872001,0.8853791036349713,-0.11630468915807889,1.056597244076288,0.8859502649615884,0.6753524873282611,0.9014353081677666,1.057092108476154,0.4299642264743018,0.7354038122134665,1.3214330481210477,0.5822890696393023,-0.10468518759148489,0.32867897602644175,-0.061762164744894474
Aubrey,0.32909747494492125,0.22691294005879747,0.6333629380023343,-0.23083012798621547,0.41111179542274423,0.209168403915173,0.2517663076055013,-0.8902745040681246,0.14851959273917723,0.5794983200774587,0.4656565205943428,0.7386521384090287,0.225540964454022,0.08324337018905151,-0.2617230600461608,0.30195334130365636,-0.11841618914417248,0.169791533866972,0.32878869119534837,0.7213537148308055,-0.30495425937794707,-0.3206976843033791,-0.14823215918179974,-0.4573142858520569,-0.2143687370861871,0.6472904431724744,-0.059643618074259316,0.2289252653579943,0.41846124903639037,0.37477667584505664,1.277675461946354,0.4055630839306463,-0.6053248211918489,0.6364353881520596,0.04801029631593984,0.7726561204936804,0.9882625823125435,0.4020911935817888,-0.8137588108419463,0.03641539768385263,0.5132501692557249,0.40072052540587183,0.3773392101249312,0.5590210172499578,0.44257639153708916,1.506308563559174,0.5321034206005562,0.1513570458513938,-0.12841267744127774,-0.08305250553981401,-0.7817788611161118,0.30249590219581196,0.27499432671979773,0.0032832517885074803,0.5810045895376911,0.02984618661374237,0.34089902520922666,-1.0174812834096405,-1.086338494730234,0.6236146216298204,1.5131452206248315,0.5534916359270321,2.303542001013818,1.295422032514377,1.4502645743869564,1.8609202804702702,0.7489623042163857,1.55462655237664,0.35877609282274403,0.9160508153386665,0.9719205175362015,-0.013959232787678858,1.2726444480739587,0.5373229158439039,1.1837983849915337,0.5034874783739036,1.1395963243938343,1.235443961772558,1.7834666012884057,0.8146098364488203
