,sport,yob,direct_correlation,indirect_correlation,same_correlation
0,football,1920,-0.2374202074475308,-0.41881354756723405,True
1,football,1921,0.04077216375436368,-0.3379196779661381,False
2,football,1922,-0.18862832001589813,-0.2640743016582559,True
3,football,1923,-0.0896397857666438,-0.3382673939469347,True
4,football,1924,-0.1595202418988909,-0.391643541931362,True
5,football,1925,-0.25394420198115675,-0.4758160684052501,True
6,football,1926,-0.4633193432989173,-0.5227655630976911,True
7,football,1927,-0.2301299436766765,-0.5214136402159169,True
8,football,1928,-0.2951675048638969,-0.5289581862065917,True
9,football,1929,-0.2729932393022611,-0.5245837001747546,True
10,football,1930,-0.5592287633104479,-0.4979726496293416,True
11,football,1931,-0.4225543477917673,-0.5800341449264893,True
12,football,1932,-0.495296592527823,-0.5999964136141857,True
13,football,1933,-0.39582640233978295,-0.5654875721396104,True
14,football,1934,-0.3239079246171371,-0.5309976366686752,True
15,football,1935,-0.3424762318013276,-0.5030728997738859,True
16,football,1936,-0.32628619039344176,-0.5318765051560943,True
17,football,1937,-0.3646360524302885,-0.46939579841212,True
18,football,1938,-0.2035503815584631,-0.4439108890438795,True
19,football,1939,-0.1728433222871954,-0.37941539748810604,True
20,football,1940,-0.4222673640316344,-0.3810247384075369,True
21,football,1941,-0.2295003361999641,-0.390331441294194,True
22,football,1942,-0.22412286213660101,-0.3507810736469905,True
23,football,1943,-0.24446933874511964,-0.45504375060426,True
24,football,1944,-0.35818173255129504,-0.5302113520883674,True
25,football,1945,-0.19408752624173106,-0.34768220299227803,True
26,football,1946,-0.24754901052476874,-0.3788018880575693,True
27,football,1947,-0.4096561246362498,-0.4770302928191445,True
28,football,1948,-0.5124213372283815,-0.5053103370486461,True
29,football,1949,-0.4640712546869731,-0.3896131200814344,True
30,football,1950,-0.39681772341805255,-0.4056955173811073,True
31,football,1951,-0.4858001871312697,-0.41295357726776055,True
32,football,1952,-0.5957655964955099,-0.4792956277814685,True
33,football,1953,-0.6102503889142229,-0.5152312432535576,True
34,football,1954,-0.4118078368935585,-0.4159161569811181,True
35,football,1955,-0.6078017724827768,-0.4693324702946222,True
36,football,1956,-0.7757296393290523,-0.361417926270883,True
37,football,1957,-0.5910234291657985,-0.3408411706886182,True
38,football,1958,-0.6285824287896605,-0.3793914099509524,True
39,football,1959,-0.6727323019942221,-0.2559509975338472,True
40,football,1960,-0.6729086067864297,-0.3529398366528041,True
41,football,1961,-0.6606586821843553,-0.4092504309727089,True
42,football,1962,-0.5901203423607668,-0.2458159883621129,True
43,football,1963,-0.6217011560890885,-0.3976037457750303,True
44,football,1964,-0.632261002880973,-0.3067451767753746,True
45,football,1965,-0.5146213249429964,-0.319383873483423,True
46,football,1966,-0.3691711756949079,-0.32858294852732434,True
47,football,1967,-0.5516477035278929,-0.2528054841730553,True
48,football,1968,-0.3817192163201665,-0.3446500322192929,True
49,football,1969,-0.5528075786222005,-0.10999136468957936,True
50,football,1970,-0.3400425183250105,-0.1324484458655129,True
51,football,1971,-0.30458158981981903,-0.11708046531726655,True
52,football,1972,-0.3459634114122167,-0.19345531132826865,True
53,football,1973,-0.2475598347777876,-0.2079994203469964,True
54,football,1974,-0.14202942720102066,-0.1869884790575235,True
55,football,1975,-0.196192698437224,-0.09779821921671253,True
56,football,1976,-0.20113206392360494,-0.11057904991403338,True
57,football,1977,-0.07075597161041397,-0.0808744958406345,True
58,football,1978,0.028789222222720755,-0.14798869971190864,False
59,football,1979,0.01603773763135414,-0.15393005263079762,False
60,football,1980,-0.008954687309431619,0.006094746296672962,False
61,football,1981,-0.004789530262778204,-0.08233807673459438,True
62,football,1982,0.1091641638056994,-0.14704197401943045,False
63,football,1983,0.12933542109007154,-0.19434843356883785,False
64,football,1984,0.019291973986859903,-0.24413244669044346,False
65,football,1985,0.1540669799909561,-0.13991911404529409,False
66,football,1986,0.12327959040964505,-0.16191974471195955,False
67,football,1987,0.05640303493512532,-0.2360167514424252,False
68,football,1988,0.12174514702303653,-0.13565191943683835,False
69,football,1989,0.11081385200331692,-0.12976340375561676,False
70,football,1990,0.2418111665869577,-0.06346019808718538,False
