index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,male,female,boy,girl,man,woman
Michelle,-0.13629894425098465,0.4305743795487086,-0.09490034691684027,0.2198303456346792,0.13914331751814615,0.24035320385233788,0.5078116725750622,0.33016353737174353,0.5799448915953369,0.12706316834444997,-0.22122374682057944,-0.16027890974782533,0.1618994369755571,-0.47539113552454276,0.1255251471675043,-0.3946711426488541,-0.6643293737466224,0.5468462304615795,-2.4580934532168173,-0.20040528824093778,-3.430114902725623,-1.2542878768010355,-3.5102921930133686,-0.5897368069151471
Deborah,-0.7991895825754514,0.16456921551309056,0.10676230611685968,-0.36794382606994186,-0.5293944919308976,-0.44477166505809806,-0.9455032993922017,-0.4285671263794057,-0.03331423869212645,-0.3126552169266391,-0.45367006822234607,-0.6271809610461673,0.5006889868155479,-0.1736259230948599,0.4505638664824534,-0.1452878588410181,-0.1294717907054177,0.5508660916753392,-2.540981968024152,-0.24669672369688042,-2.814353112270812,-0.6820904287797163,-2.813416157172558,-0.016798746912025094
Scott,-0.22577588153089698,-0.07426335203297943,-0.9603659701844545,0.26563326073994226,-0.747905694784332,0.5324250964154558,0.0034570224756823,0.027314629859323168,-0.06499893077850964,0.31984926612352366,0.4012526529222596,0.43259629981542724,-0.2651382300709288,0.028385368790214482,-0.052116904166846466,0.017552836804658776,0.5567880745140316,-0.22172991753242943,-1.3739424851123672,-2.994479294597769,-2.82826819892447,-4.573583691599498,-3.1379391535583734,-4.183740913607844
Declan,-0.1413674864572021,-0.4380142181744692,0.3359754525912486,0.00909709075833933,-0.988269184120954,-0.5236464837955571,-0.22779322745545777,-0.9422125161546884,-0.43556430838169713,0.3516723850363386,0.0662912238887595,-0.20404471248868192,0.2672172064324219,0.32164009510651964,-0.5187640124306154,-0.14987532749090673,0.41370492780904844,0.5323084323119559,-0.286142269299315,-2.813149354666686,0.3051773133575932,-1.6770343028447074,0.8111373145580378,-1.8826394785453466
Josiah,-0.0766232120492271,0.08873442743306542,0.3616536441942283,0.0638511875988598,0.24000363493057314,-0.19726066126814173,-0.26746297435647715,0.0016187268710573708,-0.5169138141418409,-0.1179149038343962,0.06550966616319465,-0.3940519111480339,-0.2857961025346502,0.2580021167976637,-0.6848760862946957,-0.5588374683121928,0.0776804811275676,-0.7413449537249178,-0.24755829020877695,-2.5419302875822742,0.9545835043080028,-2.1851688749204037,0.4281640061698673,-2.4661271304318326
Wallace,-0.08415541896184876,-0.08855628205558183,-0.24695019845768418,-1.032906160538592,-0.6539856165741925,-0.36089556287286867,-0.28962262884997075,-0.3503887220453619,-0.513833054223134,-0.3751351568003644,-0.2392731756385252,-0.16595003300771158,-0.8054546450856842,0.05446756507581872,-1.022150012267272,0.5840886784839201,0.31381402047706414,-0.9206919737271063,-1.5928439775948795,-2.455830425875332,-3.9902628175873667,-4.737820430337623,-3.7403314905607896,-3.5847267952362993
Hazel,0.5850667793066207,0.42063632193754963,1.0867374896388635,0.5789323430833664,1.5755724592406337,0.5849180757874264,-0.5148220663538671,1.1062583941040567,0.44337268639064725,-0.5280549093244773,-0.6051237344268572,-0.0570798152458309,-0.46489545018405654,1.256327138667271,-0.5084299390106128,-0.09003204865201345,-0.38586265310620343,-0.38519878544048475,-1.7878757238803022,0.7841214628118939,-2.05373139078733,0.4539894943882774,-2.5634655863150355,0.4282816872662282
Whitney,-0.49120513409041894,0.029310767832847813,0.06904646865511589,0.1482037306154721,-0.5371539767030585,0.15879026996816234,-0.17045713269407411,0.24514376547450295,0.10977946730307733,0.34594705456704516,-0.010005843900274055,-0.4100529550938777,-0.009872356867997926,-0.4661918328465018,-0.26897987259876593,-0.2782449588253398,0.292324500939169,0.4902006919783371,-1.8073727793447045,-1.3741432990104452,-3.98975148622206,-3.2970353910040266,-4.051833680116852,-2.224079853384129
Paige,-0.12336803072124963,-0.054844189052811534,-0.24758134377638497,0.2887873588097416,-0.3599224975168927,0.4989879793720031,0.31398534547182405,0.06243909129269954,0.5594374170785321,0.19604617267336938,-0.20724669250035196,-0.1354247256117883,-0.5885437415439685,-0.6101137536096639,-0.3803762527853907,-0.267674772362935,-0.39555016699308626,-0.22952331171350526,-2.774929735368359,-0.2524750467058324,-2.480566641668166,0.23579863329212217,-2.930392881900114,-0.2966635924357562
Sylvia,-0.6586728436159065,0.37121587681933116,0.9267546483383968,-0.39625569123099835,-0.16160262087662097,-0.5603836875600928,-1.063853733372788,-0.09105975241224208,-0.2544782761489081,-0.3996611077144745,-0.36079266244279284,-0.37216017151187214,0.49768908010939955,0.5402174162495531,0.11504530849117482,0.4092605748107011,0.2523626416560069,0.9460959956548246,-2.9691458917719764,-0.8612604256967861,-4.481443391914863,-2.2810330888584875,-3.962238250686816,-0.9911547726679175
Shelby,0.22577226524914137,0.340466402429107,-0.3770139372845795,0.09779561221416551,-0.21538723225285375,0.9003531025795556,0.5324698882490015,0.3544493005137689,0.5941349667201566,0.3446386884437894,0.10379249146641754,0.02553438197054454,-0.07557939259488572,-0.04311145440791042,-0.2595195335484465,0.31848394413694925,0.7508829355492185,-0.26516392023474755,-2.267119582591008,-0.1008775332560117,-2.225717227260899,0.21105740737697629,-2.4061223755138443,-0.07107480925329186
Olivia,-9.397666606131745e-05,0.017355198529645552,0.16845917385441125,0.09770978343881913,-0.08774729665135514,0.17952930462511976,-0.11962993885243794,0.01968815441458078,0.5646101515709795,0.19620516129999985,-0.31112804911210584,-0.7931505988513461,0.045239642468233754,-0.13672187214004045,0.032969264024278244,-0.06803201309542584,-0.1453370106255049,0.7627249119982495,-2.489417601933817,-0.2077745533777279,-2.674407392354617,-0.1630329162548978,-2.580872933195705,-0.08741245132494559
Calvin,-0.42483067956759396,-0.052064130606851375,-0.33062010585371165,-0.5392376484349837,-0.2681331338164815,0.20557859972013579,0.41474899133932613,0.19862440484469623,-0.1309877878117743,-0.16148908258597192,-0.027040298023295543,0.09602276157936505,-0.47627124817940314,-0.1019154819559976,-0.41827721001077284,-0.5938228451642165,-0.1607007901444138,-1.0297578644749346,0.09710809937789533,-1.5945156525743747,0.16896555929147583,-1.9335624334340447,-0.5100924280902948,-2.251196286283269
Mateo,0.7317134200712466,-0.5862243830565954,-0.5010919017351766,-0.11145803678037444,-0.9901285065925901,-0.29045539385368596,-0.056323460881358776,-0.7769128402526398,-0.00801604386765541,0.04128021092121761,-0.37972599707184534,-0.6737356192357267,-0.045230010239969996,-1.3450045191428286,-0.5420630000710638,-0.45440734378096875,-1.2172635079931997,-0.6605360405459373,0.02676809424072055,-1.5496831601615568,-0.4405447656984606,-2.118078380781699,-0.7706114169091586,-2.1422269742252014
Ethan,0.16473532775150423,0.10626544891144284,-0.6255710960335515,-0.4778305669061479,-1.0669091321860098,-0.27424497726875546,0.2727312730082725,-0.5149099004306057,-0.1566034871131127,0.3660265579448544,0.0852671588553839,-0.16574252070898954,0.134963202123675,-0.7184103339299235,-0.1824301652658913,-0.32964168661901544,0.27561267707607173,0.21433439975307916,-0.37225043360581755,-3.097831082340022,-0.008135618603693585,-2.424725410188065,0.4775863874155775,-2.5739069328497823
Dominic,-0.4823701041079325,-0.7899549082851635,-0.8474266127729012,0.5451221047758467,-0.845521877426987,-0.5149591461652789,-0.509723967760876,-0.6956332059307837,-0.40623782281257453,0.36835680251498976,0.3564387739581302,-0.35518307404705407,0.6921640536335516,-0.535767303191083,0.132934971494699,-0.24026837650489527,0.0857430953754698,0.562327087277795,-0.36748658126590855,-2.4632163789571675,-0.5072163842922167,-2.6505609361437017,-0.5167403902619805,-2.8258954996313004
Riley,0.4437816573362242,-0.042420637634764655,-0.508987666269904,-0.05682402708582776,-0.6584251955086494,0.3756887142954217,0.4787125962305739,-0.26508918210472326,0.16215263944517938,0.34671046767682484,0.16348023927331312,0.12747074733770283,-0.5663996486954918,-0.38066282821025077,-0.28948423945400714,0.30932193887340936,0.13172931460110732,-0.643682474837335,-0.12897986190816607,-0.6900946412686784,-0.10335177401403589,-0.18188971339402382,-0.2409583549036987,-0.8762743537442981
Dominique,-0.6548991857634239,-0.8598311960066058,-0.9910479393135342,0.1206742945516347,-0.8698949484313313,-0.9298381306453012,-1.030075898820265,-0.6847921562377683,-0.5250255009967141,0.25385479093009633,0.14741858856381876,-0.5696859073070181,1.3097440775046048,-0.6977324938532803,0.336583406817516,-0.1234877382867604,0.07246952420536774,1.405548342429056,-0.8722261713111135,-0.35780464839899695,-2.1981924331146154,-1.6805623731053072,-2.099102768199314,-0.8073510409999136
Ellie,0.1349016276396427,0.3398782383110414,0.29148536776917466,-0.07774573251978995,0.2669811445113758,0.5946799511757852,-0.19885764294672464,0.38618146156270067,0.7588944842677394,0.16384626705083324,-0.1592557816453748,-0.019234227859907162,0.036270013947197616,0.31627487160841616,-0.15945213537036582,0.3111628526608315,0.12769990537612458,0.14709310823640098,-3.9674151150043593,-1.2131350476170903,-2.636294246013133,0.8388573292130634,-2.5613815712778862,-0.2068413779732783
Vera,-0.4406497753486074,0.09917396834373775,0.7905933402181256,-0.09968394313232154,0.4736628609192996,-0.21062212324407148,-0.4028090478010035,0.36792262998761466,-0.08367640885003817,-0.3184799465948253,-0.37511581633752483,-0.20339557994661062,-0.01189688958437751,0.015810661311602872,1.0145870687862628,-0.06715832160643433,0.15207435049649762,0.25549841753722186,-1.9214518021243712,0.13828549562277698,-2.7600724454230603,-0.41327347614589316,-2.564058459016332,0.14390531391598058
Carter,0.07678876640460479,0.4578347324531432,-0.07738734184757681,-0.003145211452230773,-0.15018093183201423,0.39596010958749933,0.22316135131688178,0.2122741600425269,-0.15691849253940227,0.12870241555452852,0.2187015830603952,0.2795407974580136,-0.3655701899580941,0.5177994540011029,-0.1938854489087085,0.12144557944059647,0.6316946102560864,-0.4865295359215278,-1.101349382934894,-1.5872264678961996,-3.2394452253428256,-3.3724537164837582,-3.2437099349032756,-2.6422110481692704
Herman,-0.4631994596476883,-0.11628611809348204,0.14571573364904367,-0.5653426263366877,0.3692917486818062,-0.6118906028768749,-1.1113212966941106,0.32409635462096986,-0.6552291432372228,-0.6540515812737723,-0.1123394710315351,0.3329064029811575,-0.20009903145723928,0.3161709226390531,-0.0037386614905561754,0.07353902597193031,-0.15199142850756187,-0.5629366858368119,-1.366417069864095,-2.005258771578606,-2.97427959189816,-4.008019680598723,-2.9157082764582936,-2.831628628164395
Melvin,-0.31411725673954816,0.21436772141707117,-0.3309155144066616,-0.05298531351382657,0.015925828238625823,0.32166328987900183,0.06625840853458813,0.6099906719600253,0.11208121461441203,0.019119920598190548,0.23555231885001765,0.25150121045273466,-0.9428838274038199,-0.39038417230483846,-0.23696722557940064,-0.13892396568727164,-0.04873640481897417,-1.1479985667668038,-0.765136522382614,-1.768037488933734,-1.681039955219112,-3.1551678153705622,-2.2179028268966343,-2.7926876502994493
Lucy,0.028197352352692082,0.0904507448397327,0.6764315015436021,0.29973869774574874,0.7742239065566728,-0.04295767389232585,-0.30016186618586715,0.430603795853765,0.3543890613754838,-0.3188702465363882,-0.501577683546754,-0.5655448447626691,0.35380464735497047,0.6666911527719295,-0.16603621861988113,-0.07167028296831156,-0.3089203033164621,0.35413372121433906,-3.079285706634326,-0.4499025985952474,-2.2730136221508386,0.49811696511626313,-2.1974205745058315,0.27065407669659663
Clyde,0.0737967162310294,0.009627599173836472,-0.2020765503798387,0.30856367324768025,-0.4370834619569795,0.3525096634727767,-0.16714227109415894,-0.12353952950371211,-0.3683344736677178,-0.17481361835843537,0.285451014358912,0.24353981537360414,-1.2573197536252412,-0.29577459345537077,-0.43339826907562123,0.5461764041600017,0.39651651607820415,-1.5417454410870148,-0.11099331097870466,-1.30461545058757,-0.5024622773544891,-2.432351035021525,-0.9274977034883787,-2.0440788105012606
