index,accountant,air traffic controller,architect,artist,attorney,baker,banker,bartender,barber,barman,barmaid,bookkeeper,broadcaster,builder,businessperson,businessman,businesswoman,butcher,captain,carpenter,cashier,chef,coach,cook,computer programmer,dancer,dental hygienist,denstist,designer,developper,dietician,doctor,economist,editor,electrician,engineer,farmer,filmmaker,financier,fireman,fisherman,flight attendant,gardener,guidance counselor,hairdresser,homemaker,housekeeper,interior designer,jeweler,journalist,judge,lawyer,librarian,maestro,magician,mason,mechanic,musician,nanny,nurse,nutritionist,optician,painter,pharmacist,philosopher,photographer,physiscian,physician's assistant,pilot,plumber,police officer,policeman,politician,postman,professor,programmer,psychologist,receiptionist,salesperson,scientist,scholar,secretary,server,singer,skipper,soldier,socialite,stylist,surgeon,teacher,therapist,translator,undertaker,veterinarian,videographer,waiter,waitress,warrior,writer,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Michelle,0.10465166618251152,-0.1181726417670298,0.08833704690887031,0.1859121129501117,0.1335235942407185,0.020645233884543746,-0.39072276898638436,0.6100569556783038,-1.0628250442450993,-0.6995773385314812,0.043457850232974146,-0.4980520390344072,0.15461262535056763,-0.2790151386103857,0.35902450190460256,-0.05588401856939541,0.7345414197901694,-1.4004401090941279,-1.0435586519503142,-0.557063255944611,0.3707781451738535,0.6491441667401714,0.3813088884062968,0.1837586160321501,0.46798823238825915,0.3245318200593778,0.13751607355126,-0.13121412197612756,0.5914438542614127,0.4144181624776344,0.7257719139175192,-0.2508841260932906,0.12687451266536814,0.3130173090350704,-0.027166623202245017,-0.28405052450069734,-1.4629652276650145,0.38125826241014227,-0.13223816957299322,-0.9588422855181608,-0.7718947233934422,0.7508912207456513,-0.5725407073209006,0.7898188759297904,0.7809268873182652,0.3715744027087601,0.008482058567526748,0.6597982494944326,-0.40680104957185464,0.30019760670391454,-0.4076435573112473,-0.0035181258461026064,0.04432797847758377,-0.8181901960580632,-0.9286766602178408,-1.3782945361907197,-0.5119353934228208,0.043144866820806455,0.6892303681969736,0.48766015063927776,0.7874248428450439,-0.20742922961046212,-0.21247487898065776,-0.3256445641232912,-0.6036908078393289,0.2521884332542562,-0.0597900292580182,0.18850695055510555,-0.17382200691809946,-0.03323832146158869,-0.3567839055599405,-0.8327938653810838,-0.10971050305457652,-1.4556897450192854,-0.29691333056944386,0.2973034300632382,0.2874142993500307,0.08168435567033461,0.35488775275743595,-0.5499449602300344,-1.1519572729918808,0.3975759105077356,0.99523601780011,0.2581314996728157,-0.21591207268790294,-1.194038710465725,0.590975560565342,0.8281792279797446,-0.2206390602544912,-0.06216261454608868,0.5460846743054097,-0.20999433738210388,-1.6119005043001673,0.2566968905973869,0.6205365094238694,0.22689282781798523,0.755908653172608,-1.7523953085751107,0.17040297190699052,-1.1542884057570084,-1.3702368972402874,-1.1998654515364708,-1.1808184676571385,-1.1856427566293342,-1.073192694579653,-1.0573622141111128,-1.240788696497563,-1.5011887518668527,-1.1103655168769542,-0.952386477040989,-0.902547019162183,-1.209965150911279,-1.3423372016725383,-1.3081535363600856,-1.0222551585697213,-1.0354700657364204,-1.00246849470751,-0.7387287006523474,-0.6246719192415875,-0.08036772005364227,-0.4270388419787951,-0.4683851410699047,-0.6607109308321714,-0.5136366190898124,-0.5533968379740415,-0.457817101041473,-0.5902701330560592,-0.5152795860646492,-0.6471242714633004,-0.3419507162030867,-0.4175412564499988,-0.6471870290104772,-0.1847864030105803,-0.24249682812840023,-0.23687409308725746,0.09633575080663824,0.22733683423464218,0.024688917271725022,0.3704145740198281,0.6268034305993738,0.5232915532623913,0.5006850582564377,0.5825225810321756,0.5455513563554696,0.5758126857917277,0.25287713107366333,0.3452881387507189,0.04366480663493424,0.19162518573281467,0.37283447413037696,0.22592267599647547,0.22701837960726687,0.43048454317207413,0.5459072234325113,0.7005507108531829,0.644165742444742,0.6786046021460552,0.3396780377069466,0.33214610530872424,0.555228167348054,0.5466361898106104,0.3990183718316285,0.32935706608348714,0.33427854138664986,0.36423327973342456,0.44133508916699343,0.41904694878054866,0.24262317059677843,0.4179940292849928,0.6597206761972702,0.38369349462860586,0.3348031936984062,0.42426361813954055,0.2963176600822448,0.48496501522920665,0.4018985528119208,0.3975370781637175,0.27763475450814956,0.043789651911272445,0.12923097831248895,0.047436044488072086,0.060865543038937285,0.17902800799591828,0.13099178091659047,0.22258625998635018,0.41612819329842593,0.2646999998226068,0.26089620804137054,0.3730044129332051,0.1669184922187817,0.3048307476401232,0.14763445321260685,0.13607944777362066,0.2018933856205314,0.2529855216684614,0.033590947169786056,-0.2688071767473721,-0.12122961340070315,0.11978636967572254,0.002395593656831389
Deborah,0.15061835949170682,-0.758828509220552,0.2225826048879652,0.33405022797212,0.3342529271214267,-0.020068195210729934,-0.07089160079253129,-0.639921234862787,-0.4590800978398214,-1.195847421419149,-0.05558778358099857,0.04585037512056214,0.20368656206513044,-0.4529125571599255,0.16287570164004725,-0.36572118801413345,0.6732705473536102,-0.676536916644099,-1.3811982667586524,-0.46274053980478724,0.19192186872332453,-0.2304998903591766,-0.8705182655821893,-0.045485557083211066,0.006759599212680103,0.07444210491774612,-0.05370939982548862,0.09534546951513508,0.26747404032249966,-0.2234454588598303,0.40519707770894997,-0.03687962521487047,0.41889655883627536,0.5125691289131697,-0.2407583813802295,-0.33719857764796574,-0.6833809627009862,0.17802699746476275,0.026820656308073197,-1.509416040059054,-0.7404131407291844,-0.20612501243278306,-0.719418681868517,0.09161708381908251,0.42004450257988074,0.024724302035835744,0.13982456762952256,0.4761381160223463,0.05783559702446735,0.48735002449992143,-0.03362385590578727,0.24661282369443754,0.4760914445917576,-0.33689962080709884,0.12276032730335873,-0.26556135277146375,-1.0263315192525866,-0.32170761066438497,-0.08193003677740761,-0.17464030690810745,0.19709696002728744,-0.08533252393191364,0.40991680904377253,0.16047278120861436,0.46563622963206847,0.11480542189286568,0.2886653386052546,0.25912584320642335,-1.0763454853417151,-0.4822239582855009,-0.6287346364660974,-0.776203017402005,-0.32035444174756106,-1.1144868506727241,0.3083450305741124,-0.4050653910838719,0.6418990722464845,0.11749549540359079,0.43048997809406847,-0.25931283332061994,0.9818542003403634,0.3200962590440274,-0.5653905482135925,0.3342286270519797,-1.0179025031592652,-1.5049332448732764,0.36356361786516145,0.11815737219937902,-0.293739882323922,0.5141849777514615,0.5050448051474055,0.2506272894249652,-0.2699807092013324,-0.19614827995774586,0.17715456491358408,-0.3835501578264474,-0.08422707847516306,-1.0676612949188968,0.5557323681165885,-0.518894323620318,-0.8187771056776435,-0.5575289058858476,-0.650673725891954,-0.6162240220478788,-0.3223868268319527,-0.1981384282779339,-0.33262568134796333,-0.38986353125974565,-0.1126383188165284,-0.13132433256262874,-0.11112725081707606,-0.3361365631120665,-0.1701183681052995,-0.3299073749859645,-0.204070772660835,-0.153112237744967,-0.27438209885272064,-0.0687909187262898,0.2126518297104779,0.3554253984926497,0.17754833455941257,0.13793884749301993,0.1550012037857736,0.2499474412214403,0.2099442529199106,0.07723976086444197,0.038864119673601503,0.2904805516569541,0.21586605111129498,0.35734242822705065,0.23541380671408035,0.14972233258133136,0.6166969794876873,0.41465457064574707,0.5361245618937466,0.5355937238385482,0.6767142944240102,0.5041408711017491,0.6285922327754817,0.8757840909949128,0.727746528056442,0.7273198193084346,0.8158695603377201,0.7368106857144071,0.897998620462053,0.6365290073044231,0.7375081636814056,0.5836761601107111,0.7145703829193355,0.9489558506937145,0.635298283786621,0.7942283268449364,0.9970037162268544,0.8222131942196466,0.9023709891617434,0.9729895471434207,0.9652395351711746,0.5988628962528358,0.6705385844993166,0.6591364344402422,0.6230485159645551,0.6042001905086002,0.47664075387090377,0.5978574839532116,0.3897141682876414,0.45352520434437454,0.4632944442975536,0.39134922497131747,0.45973697864987256,0.6544609390983993,0.21822856544246652,0.3753388508555822,0.3469120081101513,0.26798617450250306,0.26653858087040455,0.157218687861911,0.14149967731746843,0.06750546255493682,-0.12219658664014019,0.011285737306470912,-0.16970521351591444,-0.06558291556499364,-0.06880425223817037,-0.2015925813837897,-0.3279883065402729,-0.2531991070558369,-0.4683448861665794,-0.503431096387399,-0.30644333604832613,-0.3602933852525734,-0.4341905899357546,-0.4874695202389922,-0.6116167799123848,-0.725710161304413,-0.7548073977447118,-0.8557126153133067,-1.0114567228838038,-1.121421500572167,-0.6470135550858811,-0.6398181779294678
Scott,0.4773458248883719,0.8959092530076185,0.4090133873539314,0.28349149879193225,0.7351813978624427,-0.3444769913616219,0.4859174979225993,0.5753295934986373,-0.055780606976004836,0.23513149945709158,-1.0295005211773431,-0.23686936429315872,0.4828647576341493,0.3735834915139188,0.4412852883540525,0.6146611840375977,-0.2546591796356991,-0.23434570602585997,0.5524080837945305,0.2773813123017317,0.07795314450324689,0.12481828826946703,0.8309140064948455,-0.42792203206873636,0.8808221360009929,-0.3274985202707538,0.43734806993766456,0.14437592284540912,0.17330409530334284,0.28901280732313034,0.04303478777486034,-0.010708993062226614,0.40675469488130184,0.713604309443692,0.6546700283086467,0.7683618904506493,0.012554659333325412,0.82537366390032,0.6710092868656524,0.8506233321643923,0.02017812918456719,0.5984299716352275,0.3485226889718899,1.038236320558207,0.15918304186312485,0.16102755171268632,-0.5112773875728535,0.41191852583328054,-0.032627286136980634,0.1537722078611793,0.04233387063981266,0.3375744962646218,0.2054929141623064,-1.363436762869522,-0.19456648636227167,-0.17385655558766547,0.6014931413249012,0.5659722343330316,-0.8169316088676033,0.0034356932493978852,0.22796090309784386,0.3091573950548354,-0.014943563016000657,0.16090206683045433,-0.07862460941826913,0.5846736542136609,-0.03269390884782728,-0.03839893704017842,1.037059413997029,0.6722659857044714,0.42181922709619163,0.1665015770027074,0.2647659014902979,0.10680064868290165,0.6425172604807708,0.841591876083754,0.2712514000252679,0.25531951103099637,0.20042753235619784,0.4778507573340007,-0.32576412431813595,0.014283197382072,0.5872474341008845,-0.13318104688509425,0.6521827527800658,0.13098305961436835,-0.03506638138395065,0.2611597263046,0.20768660465662986,-0.15082528303614687,0.32497512505466497,-0.3705734089968619,-0.07216474856497189,0.501436996476578,0.7501976243236804,0.21647374444293851,0.14015399755717944,-0.793927764012132,0.3223795856650223,-0.7022183082278913,-0.7855068178266568,-0.5114286964608069,-0.6748544803111743,-0.8035862024073139,-0.7169758833407892,-0.8034204441912998,-1.0258778280179417,-1.2216809377762656,-0.746404660882778,-0.5229501987653057,-0.7866733936779243,-1.1531522093721671,-1.1609786722484998,-0.9696348163500847,-0.7741887756001112,-0.7685156614304864,-0.7291325275955383,-0.6225603051821547,-0.34632478037083775,-0.02562409910135747,-0.27758605313147017,-0.2728288915258374,-0.6520104491167525,-0.6168679858820025,-0.2991695189399366,-0.6348931229264019,-0.836993173581403,-0.8029654438790472,-0.6007223154631299,-0.3671774511182206,-0.5989962507028683,-0.8850905975781663,-0.570663877683603,-0.4105097774533142,-0.5142171178079166,-0.3488708121462386,-0.15501008042407008,-0.21584515719330935,0.06389997939592718,0.07729596249457,-0.26860682930277435,0.00034708188586854546,-0.2497112416375551,-0.20485267851155675,-0.29276388925936253,-0.41925781603690326,-0.32379325456335784,-0.6023902163554008,-0.26320353318303774,-0.1650585971455381,-0.24353666395850115,-0.48624775729807135,-0.3076267519532245,-0.25735406870999633,0.016469536108652642,-0.21101379658556588,-0.22824375259388188,-0.4968839371231713,-0.49274816331202387,-0.1219093723552643,-0.3670971379778213,-0.5130811102510339,-0.7603814344063394,-0.7804634603656203,-0.6966795106554169,-0.7053685829804631,-0.8913798317669398,-0.7178913632297788,-0.6086917748470564,-0.3748656241128795,-0.5883494618992209,-0.8407235853101143,-0.6282602864978231,-0.8176230801167395,-0.5129213189794338,-0.5938402130650186,-0.6912731838410062,-0.6602603418528279,-0.6332368621241957,-0.7533643809679442,-0.9103555500483046,-0.9609558060696233,-0.8366287881507002,-0.8249262953734612,-0.5927798432660019,-0.5108206972781063,-0.5870639716971474,-0.6140399780544176,-0.5300571849436875,-0.6930823792676585,-0.6328833402100448,-0.7639342927224815,-0.6826150539143128,-0.48132616278974927,-0.6466147375548332,-0.8297255209391519,-0.8617142723405194,-0.5526345949660257,-0.5595144844518719,-0.6119875550505401
Declan,-0.495400728146853,-0.48103413432262293,-0.36134565729026313,-0.24853927713210802,-0.6190282601012352,-0.5317744858017409,-0.5775764934727029,-0.23853166547631752,-1.0383016446371072,-0.33791443735575466,-1.1183582622481267,-0.8653026450486866,-0.3861210536141036,-0.6126810672630233,-0.6187075195818242,-0.05324115460782742,-0.7110774240092135,-0.4677407625016071,-0.30883617804150354,-0.6626397019328213,-1.2526973904412864,0.04197993003448141,-0.8321866829935076,-0.7125473643233682,-0.3945908349682709,-0.4158286672332809,-0.8067256041776161,-0.9793980334533163,0.09859845310969613,-0.4259485572005382,-0.5267372922636158,-0.5974361498935843,-0.538098999670704,-0.5394977872659843,-0.6607448403141652,-0.5876330829439129,-0.7866715942196538,0.1490365491669537,0.11854694472352212,-0.7687888914500879,-0.4119570223468526,-0.6185873343959493,-0.3293994606454294,-0.5889555666470989,-0.3060049757730617,-0.9540031813318092,-0.801792568563282,-0.11715425649497292,-0.3725345514847601,-0.4528733035568043,-1.2427157936111508,-0.7371807156536303,-0.5657607186824265,-1.2759207262185372,0.2868772301846935,-0.6815294521618893,-0.7677853907245278,-0.13816397311663958,-0.8802758047226216,-0.6142710026854228,-0.430316643225063,-0.6234566991391383,-0.6865085220254099,-1.0954222241905907,-0.38175053658884883,-0.15475927648886365,-0.925504106796191,-0.7156925210868856,-0.19701825849013932,-0.7238537549466281,-0.9860791142579347,-0.9759478873518291,-0.7018206467892171,-0.6431594020320796,-0.6492877229323124,-0.21781797541420844,-0.6030280945216274,-0.5798334477773845,-1.1197621829840685,-0.3382302090800055,-0.64611936633554,-1.0641814440344692,0.09480914623695412,-0.8919113063516564,-0.5839515337388824,-0.19201264480329153,-0.11041926239782157,-0.2139170545855556,-0.49291319273628287,-1.003514016775266,-0.15368326363744017,-0.26922366447494334,-0.7659292563011114,-0.4785578197827802,-0.24483035948050721,-0.23308875693766035,-0.7440814937141115,-0.1476513286877328,-0.48354959737641395,-0.23831805336794443,-0.3849545566388865,-0.09654806221501869,-0.18569440519998331,-0.40771744974511315,-0.26165093943053935,-0.43616031291473933,-0.514860495445224,-0.8456663464002779,-0.4214209028938209,-0.42431154492923934,-0.4584943238700583,-0.5433217384592283,-0.7256749179858468,-0.8435259003238295,-0.7392370120446287,-0.4933353824783215,-0.3539844559820746,-0.23949460214785495,0.06389284706926801,0.5605682797076208,0.18250823911863762,0.06075956218533204,-0.043058522522158596,-0.0037570678836304013,0.00756521303643835,-0.03885542213335474,-0.09722446312621874,-0.26551300719475673,-0.3673614539664058,-0.21074364684896574,-0.2681312896203761,-0.5496845670343864,-0.08146275921767422,-0.14839132371400296,-0.2601181947009216,0.09418955901056643,0.22138456058871897,0.046351194777560084,0.3018245151602334,0.5277283590393474,0.4367779651542356,0.4214106633770636,0.529807009040156,0.4674694155352032,0.5676432292385943,0.09187423431080448,0.1954613896222663,-0.03597549652931106,0.2843711972095812,0.24114464846598177,0.22947734336742973,0.20713350033303865,0.4475700081870223,0.32079589409199866,0.6159365345671391,0.566243983202513,0.5511628718839249,0.07720236598531785,0.13766571162428354,0.3783517648216084,0.5263504010400951,0.22835546849242344,-0.005026305682703824,0.16233670084949484,0.22700179765922107,0.2342417675385662,0.27917704055548764,0.21397145415069055,0.37249083240848657,0.4668813603866677,0.2681670310873477,0.32254058417002934,0.4277062039890029,0.1714725083193719,0.4502722712932779,0.4742385263374539,0.3697294024467135,0.28284824311797224,0.07831813256481324,-0.07141507340721559,-0.1900036430071582,-0.0955888365650814,0.0820815711005382,0.15469019228662884,0.2102250812937305,0.3180818912278687,0.4286353959074962,0.4447844066208203,0.42625872118947694,0.08353279794149947,0.2910720442081584,0.19493753155942434,0.15301327863957856,0.3540861076067812,0.20183685564691484,0.09458790995452178,-0.34556329251826823,-0.08949613457100947,0.6646879477679104,0.505367000276636
Josiah,-0.4211233364527537,-0.7039856492636893,-0.4309413902145334,-0.5120301115813051,-0.21414455189333748,0.07983938022609506,-0.05530864416052348,-0.8136381082340053,-0.009026282823321026,-0.5913198552978488,-1.0654094742582305,-0.2371519467328603,-1.1042284779703821,0.04528476443240646,-0.20005686259545263,0.1354317573239679,-0.924033600165698,0.6388929619989558,0.21690610146910105,0.21001306914565368,-0.8564806901232148,-0.41308679136915866,-0.9916375779636756,-0.373786055848819,-0.35175612212896445,-0.9621958679050292,-0.670943574452739,-0.591775916708515,-0.49520035638220183,-0.6175022683347646,-0.8097638840875012,-0.165870810289787,-0.057789072364674475,-0.6671922074565108,-0.7863256759058135,0.14893115413944785,0.9683967429934168,-0.6740011292711248,-0.0013297247497278946,-0.635601029510326,-0.025623162826640105,-1.028111873180078,-0.13951599574031856,-0.6150821182504076,-1.1839398006821733,-0.676310387871716,-0.5070181911684046,-0.7227757449811635,0.06826910819340475,-0.6422780017814373,-0.19589483374988695,-0.24162936576729893,-0.4058300021599575,-1.9580067466115216,0.10151321734445218,0.9912856052628928,-0.5405980121567302,-0.7309613093785845,-1.5515625427249875,-0.6555296230204555,-0.8055116922312889,-0.14960090836975998,-0.6511076368595514,-0.23044974528604747,0.3217874192802408,-0.7454769040514101,0.10079070872756841,-0.2619251477473582,-0.49821916818243034,-0.556244357347898,-0.5604593011932945,-0.6550735574417782,0.02520283471759586,-0.207881203876974,-0.09843702377433437,-0.2828348784897658,-0.5865619887660397,-0.75723622917045,-0.6799205982642881,0.6828269534875625,0.8387459580720179,-0.5945923467538332,-0.2293415959576581,-1.3168400693923827,-0.9393648375408313,-0.07947091073511267,-0.41066261782766,-0.9224859882449705,0.1752050681389703,-0.36338834325661656,-0.6571310559699494,-0.3337585371481327,0.3142367182868769,-0.7985374927053592,-0.7654221709273185,-0.5713307135925015,-0.9530512854264256,0.1670197159091141,-0.6694618705659834,-0.37895601568022214,-0.5811162806693638,-0.4761977549952745,-0.43746607233350193,-0.584757824179837,-0.36717062370600106,-0.4360310253425625,-0.7494157595460036,-0.7547688147881169,-0.6434727523523721,-0.5499745623314433,-0.8875617322266877,-0.8316820635549165,-1.0556333955845223,-1.079132834796189,-0.7660942640915086,-0.8162452682109669,-0.8809586381211129,-0.9253148599659845,-0.7345710580264452,-0.17393344793219895,-0.5116579056651362,-0.6271001710892876,-0.7494764465452324,-0.8847651066059253,-1.0047613396771298,-0.8838254652999152,-0.8429835194236314,-0.7297164022596887,-0.8513417941855782,-0.6843620975912788,-0.8631141413924341,-1.034870460753716,-0.8580681195008257,-0.8685397191331812,-0.8459806905248528,-0.7826359124693568,-0.6017753412236024,-0.869079648485283,-0.5516285734882183,-0.3443091589030093,-0.49775581294136484,-0.6705973833086387,-0.5408633627458485,-0.5191237369034368,-0.3434956086210544,-0.9116182490707546,-0.7877597443816984,-1.1204639686788784,-0.6916192928383805,-0.6739622915688438,-1.1273760189736315,-0.8868904419417911,-0.7178564964483407,-0.7518150581931834,-0.7167729609066007,-0.4649607469216275,-0.7685691404609394,-1.2446361337782705,-1.1369556880538725,-0.9525765750148687,-1.0051432182736602,-1.374304659390709,-1.3335587457969273,-1.2539610409650004,-1.4352585289915076,-1.445352226961427,-1.3664640661457073,-1.2207220348010939,-1.5544587650161086,-1.2387854598401506,-1.5368300141672904,-1.3920837182396604,-1.1924498559922752,-1.2622347820214974,-1.14765421407906,-0.964096557386443,-1.2371706757264385,-1.2485688885436632,-1.4099407979337104,-1.2473405913670703,-1.5792694705954267,-1.6166348024143333,-1.5538161008465128,-1.5290962385183837,-1.4363402571869952,-1.4034902600879433,-1.5007382715676865,-1.4800003863328444,-1.370932360366832,-1.2292792380010351,-1.1754695444306604,-1.1214679540904422,-1.1827594268561843,-1.1200879990413928,-0.9556975019652456,-1.101987143618112,-1.190932028940642,-1.1201588282421804,-0.12685206178420397,0.23574892731578442
Wallace,0.22388115124271524,-0.00893492099800375,0.03732914981724958,-0.2815342976875504,0.4316092575901785,-0.04249653990587854,0.8441070636865431,-0.5871228405379295,0.5878608364533873,0.19055995631244516,-0.7999268537923312,0.37226013614169234,0.23356357181182735,0.3731523503198751,0.23837836377042748,0.47714914303289147,-0.4822876542725758,0.3302069936750104,0.2956622618826642,0.23946843682155897,-0.3811554474953524,-0.5311288571982801,-0.10422256538980271,-0.35366649561343166,-0.18767683403942526,-0.9458277656674174,-0.09703905942992513,0.05022882258861086,-0.8038495800276343,-0.22595861475511736,-0.22455144912698274,0.1474669897505366,0.29828444061042714,-0.0316322465095293,0.03142995365048097,0.2255786966221657,0.605506084482093,0.044138692992754275,0.7161755755621639,0.043040492759470535,0.13633091515710077,-0.9325384429706921,0.3734867783834563,-0.4635201178797414,-0.6408680989914876,-0.403295477727042,0.14803444440541735,-0.5025463821159935,0.5370654816441816,0.018707632295840215,0.6957208349904621,0.23749097186379994,0.04622858689376673,-1.6612658137194745,0.6696288901450959,0.6144888354018282,-0.01633178491090491,-0.41282481908704705,-1.0873428554339437,-0.6107089362043668,-0.2313147909761515,0.29932997155470986,-0.1995471276540275,0.4962295003994008,0.5823890636042435,-0.07597858777560607,0.15079824127670038,0.09268064143978201,-0.0901113427204159,-0.022087553024680864,0.22788686192921798,0.41820711467979754,0.7569464684310059,0.5584763658276463,0.5463952403740867,-0.17354224083384662,0.250091935995653,0.15295537163977457,-0.06704201285891036,0.8535179529110506,1.03074954972426,-0.15475433313903286,-0.8099198931579934,-0.6599082802724899,-0.1903630438228534,0.06961656529019648,-0.10928271053853447,-0.6685246848269002,0.40974869459923036,-0.21769613521483652,-0.29739091900066617,-0.17174183744504487,1.1038902531030546,-0.00828158815646345,-0.2994030739872082,-0.5783798524347352,-1.1394750345671802,-0.06170358490800409,-0.0939517696726578,-0.48561723947583546,-0.52725004934501,-0.23826649308274,-0.4308049061325737,-0.6354261980899565,-0.5879462541573744,-0.5552910857319877,-0.8356961013137686,-1.063906512893299,-0.6071672530670978,-0.4411684742530261,-0.6433157806185874,-0.8842835401404773,-0.9381165446650692,-0.8397149090288821,-0.6788608158574131,-0.6172150104302967,-0.6457317226628437,-0.6044916282940225,-0.317454938617952,0.06776567752686981,-0.1720682177492985,-0.2276896299773247,-0.5418445536833759,-0.5673632309048064,-0.26467224317733434,-0.5822381857842607,-0.7645831344058767,-0.8290555409068491,-0.6510498873176358,-0.4506426410427126,-0.7422298918590617,-1.050590608203677,-0.7182513244071157,-0.6674884963979536,-0.6871719085501471,-0.3512250459704696,-0.27122900285713153,-0.3159432626618493,-0.00689296300474263,-0.051008533792441774,-0.3234778191920892,-0.07857031479108133,-0.2533636151361281,-0.3400392707270334,-0.3939111930929385,-0.4841591183142122,-0.3933805178370113,-0.6228489992724174,-0.3570871330399749,-0.21866162042035917,-0.35437977783605495,-0.6532347543270051,-0.4934015772026951,-0.3985733176172792,-0.18978268181411614,-0.3716475735902898,-0.3905431721785344,-0.6732156308553574,-0.6700428728657971,-0.38405495261303507,-0.630783504572441,-0.8238190289206889,-0.9997344299439255,-0.9854249861636943,-1.0157329564515836,-1.018325044738459,-1.0870484879065365,-1.0209643497855423,-0.9363714059484854,-0.6882788130559027,-0.9905791190298987,-1.230179857060224,-0.9655967153517849,-1.1926598883936215,-0.8976362922679794,-0.9354925258364101,-1.0439297184288476,-1.000048541399223,-1.0422953710642668,-1.1989157283843874,-1.2600254869301344,-1.346133198977646,-1.1686026081069236,-1.1954829149006512,-1.0433454821357304,-0.9618504375898863,-0.9908598164790828,-1.0915382742934618,-1.0692599898371675,-1.1839818042250903,-1.153539025997668,-1.2970096781501557,-1.1702047428707993,-0.9628109374734894,-1.0592108809537117,-1.1334134826363382,-1.0862834332199232,-0.853251199393628,-0.7925681192946572,-0.6077310555586829
