index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,Arab,Asian,Black,Hispanic,Latino,White
Travis,-0.5370941057076689,-0.3479800023504093,-1.3275194445000382,-0.0035147595183102017,-1.4372046218236978,0.3742922273043822,-0.1422858489235567,-0.27359545197275126,0.16701755747216893,0.4606777207253979,0.4561816049336119,0.3298632231014276,-0.6214799067369375,-0.5211794283046874,-0.23170124851637594,-0.08309266648645912,0.3853997115624918,-0.41675634545990436,-1.0507228694600268,-0.379045210212717,-0.5840728816904202,-0.6913839434194324,-1.090697825064052,-1.6114324192638712
Hadley,-0.5754942942920038,-0.0018892350088035618,0.2981252734246595,-0.5469105418667324,-0.4010721789826538,-0.011596687575071969,-0.3520540076425491,-0.19668743438718245,0.22703575204955517,-0.2863954715861468,-0.6092192204601381,-0.30367388628006464,0.19156163813700974,0.24668971224851277,-0.1897348583614226,-0.0719064699965927,-0.16318380598047585,0.5515051215801875,-0.3561844077616588,0.1997170067361061,0.8169541447431149,-0.2562942405889887,-0.9433831943052822,0.07539250119427929
Allen,-0.08810285175358534,0.05188466243928987,-0.4511729449218386,-0.3555098755926618,-0.9499094430142301,-0.021319789776423147,-0.2230833704784813,-0.46703453201481004,-0.3692299951864709,-0.0008218827209553369,0.27507683418795736,0.19412661672291195,-0.4828167849748319,0.0987022573196054,-0.681425249574165,0.06195672724586936,0.35497723374938,-0.9068961274810013,1.0392949368897642,2.5471714746200305,3.6660122968087334,1.8905056903555564,1.5902147377214118,2.652423145874198
Lance,-0.20559957280863317,-0.2520926555214047,-0.7164507869643599,0.02395669990092331,-1.04401852207166,0.11016713635147152,-0.08254747526050696,-0.4801778606298422,-0.28936112408912773,0.06497970356156842,0.034488002057899286,0.08132226867034309,-0.8652312029289173,-0.5419269409500644,-0.7764899579496582,-0.22294112933150054,-0.14032224637198576,-0.814833678773279,-1.0499601970367836,-0.6556388000383955,0.2672794756965989,-0.7296061011800045,-1.4504879534460966,-0.6542362591856441
Mabel,-0.37406357775663546,0.8648678930403263,1.108031379251349,0.1735633814660547,0.7865308530513336,0.09840301884472882,-0.7080558186614146,0.38246455892949477,-0.0663698407480516,-0.3272663891068421,-0.131447226146335,-0.09006995648775466,0.3538142748006948,1.0695859827106708,-0.5616066233077279,0.7400695163020045,0.7060284610006505,0.5595408040363851,-0.9805667867838224,-0.3164373007445789,0.288838158112624,-1.0084939453154318,-2.236061913133754,-0.369050481084098
Lisa,0.040745385658120865,0.5327985748016366,-0.10721791672488136,0.5651249058772709,-0.08098508266370219,0.3018923675857168,-0.31703836169845995,0.2778664135862862,0.4487915757972091,0.01600324864901136,-0.3399488172012913,-0.21904777879847095,0.298416625243253,-0.18164006333224328,-0.06371148674763676,-0.2830206090048559,-0.5790337747082703,0.18528755678412187,-0.7334498117496746,-0.0025832888186077692,-0.030467648414314374,-0.2991036852921633,-1.5467791802029889,-0.8675576301138674
Curtis,-0.899784437587823,-0.005955761802311141,-0.23535762767178056,-0.8847534237122257,-1.0703101846319265,0.1936846525742736,-0.26177799130335466,-0.41203705016567843,-0.6038061083655947,-0.082985532243669,0.08444056534490707,0.24204622732742953,-1.151704627937027,-0.325501237733377,-0.7293834080583348,0.21131038014743328,0.4013781289280243,-0.8987233599313956,0.06844427162405699,1.133601516782887,2.0750299806979915,0.34313751476005777,0.03355729704175911,1.1380669070375196
Carole,-0.7532064140995197,0.6174141284752338,0.33553853374248926,-0.14062799513956684,0.010994549807093705,0.04330817088134582,-0.7234614483912353,0.2098477584504536,0.19911678328739227,-0.41326543639738783,-0.5523168349201272,-0.2592654339481766,0.24128548112656273,0.6048274028574415,-0.2226674603674421,-0.08362283998927197,-0.40999606919669096,0.4829063398715047,-0.9344056743065795,-0.2836918907451228,-0.4682195891525424,-0.7060503327641373,-1.9077360683655638,-1.0656928055562906
Isabella,-0.26566218698413085,-0.23911394977344708,0.3124986711381347,0.06346143857394612,-0.21872629444202554,-0.915759452154687,-0.5433752162504253,-0.31142758472919,-0.0967690529357155,-0.2554298293056617,-0.4365048081271045,-0.9854623669988329,0.658640838391404,0.6538958640239595,-0.35488443285296695,0.013540159310088562,0.22732476635241078,0.9598660472404681,-1.0724529928792454,-0.6813569689718426,0.08957852332343758,-0.7162257137441235,-1.8982783867123822,-0.7841095851269836
Aubrey,-0.32351278870757455,0.3974528265232023,-0.013919342316511627,-0.36018045635284457,-0.7129900600684422,0.17271599963399248,-0.6802438391543202,-0.07865607221394083,0.17288107852473744,0.223837997622536,0.11765723852001159,-0.2023278359112673,0.13067442310305571,0.1101102055561969,-0.25027101573026905,0.16359190606637314,0.4651833599139841,0.23129317112007186,-0.13988353476838183,0.6094853651589207,1.2360010410581221,0.23455307438344825,-0.4414084134823846,0.31410902958075243
