,country,beverage,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,water,-0.1784815808712817,-0.038917545986586914,True
1,Nigeria,coffee,0.9756752215564862,0.056227740004717405,True
2,Nigeria,tea,0.6898558325650749,0.17299998979161044,True
3,Nigeria,juice,0.4470463205100492,-0.013498330239795645,False
4,Nigeria,milk,0.270067300287355,0.12363289284346378,True
5,Nigeria,soda,0.06335758131364426,-0.1847576817920216,False
6,Nigeria,alcohol,0.4544227044999749,0.010625553074320206,True
7,Nigeria,liquor,-0.5545925796489405,0.09962280895941332,False
8,Nigeria,beer,0.018772233634276728,-0.028863252303735844,False
9,Nigeria,wine,-0.6772374947176768,0.07545571396968202,False
10,Nigeria,vodka,-0.637943560891137,0.03953369664758871,False
11,Nigeria,whiskey,-0.1934212191261642,0.022623050888776502,False
12,Nigeria,champagne,-0.16549361462162385,0.1447121653667452,False
13,Ethiopia,water,0.8760294569630719,0.18784598994002066,True
14,Ethiopia,coffee,1.5584207549009832,0.12369473770534015,True
15,Ethiopia,tea,1.1444798742526368,0.25356565071739673,True
16,Ethiopia,juice,0.11497719324631205,0.08908746293644379,True
17,Ethiopia,milk,1.4257303908363719,0.2265651972821434,True
18,Ethiopia,soda,0.15298512129299366,-0.21317203497513326,False
19,Ethiopia,alcohol,-0.10755578308092544,-0.041784696689297185,True
20,Ethiopia,liquor,-1.054292693671981,-0.1423525365211452,True
21,Ethiopia,beer,-0.727612105652432,-0.2717486199623158,True
22,Ethiopia,wine,0.14098660078544994,0.3161098723917751,True
23,Ethiopia,vodka,-0.73211800143686,-0.06211682999848126,True
24,Ethiopia,whiskey,-0.8598425416372383,-0.2137924575778332,True
25,Ethiopia,champagne,0.25414851817630785,0.267411125148063,True
26,Egypt,water,1.7088187997488558,0.236601423115544,True
27,Egypt,coffee,-0.05102557752740127,0.06330615620299991,False
28,Egypt,tea,0.9396582420023152,0.1498748041727086,True
29,Egypt,juice,-0.2849653898258888,0.14710060843495093,False
30,Egypt,milk,1.0275889683818924,0.13373093835158306,True
31,Egypt,soda,0.3450173142360969,-0.054517792298463284,False
32,Egypt,alcohol,-0.19656765007930285,0.009797264087847528,False
33,Egypt,liquor,-0.6872029171583921,-0.13051600073528505,True
34,Egypt,beer,-0.7019566977847395,-0.27604580482187585,True
35,Egypt,wine,0.8572639247499713,0.29858981609033936,True
36,Egypt,vodka,-0.7947276619676632,-0.002870921707592997,True
37,Egypt,whiskey,-1.0943464694303444,-0.21360581031270728,True
38,Egypt,champagne,0.598363459519308,0.2453824936988574,True
39,Congo,water,0.6107897083662126,0.015591407021165463,True
40,Congo,coffee,1.5496250142532424,0.07476059038001086,True
41,Congo,tea,0.4998984349230638,0.1939187262021651,True
42,Congo,juice,0.6275238267806247,0.02000004709711117,True
43,Congo,milk,0.2859400717274461,0.15100932711123224,True
44,Congo,soda,0.040259793537608335,-0.3111252033038923,False
45,Congo,alcohol,-0.13777520593764864,-0.06826713992431452,True
46,Congo,liquor,-0.7514785922313613,-0.06899853514035735,True
47,Congo,beer,-0.4138600711303636,-0.1951345845664172,True
48,Congo,wine,-0.02916129186024548,0.2633789174271802,False
49,Congo,vodka,-0.6311721544060497,-0.03692571305507125,True
50,Congo,whiskey,-0.09515663243535183,-0.10181498644711924,True
