index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,straight,homosexual,gay,lesbian,bisexual,bi
Michelle,-0.13629894425098465,0.4305743795487086,-0.09490034691684027,0.2198303456346792,0.13914331751814615,0.24035320385233788,0.5078116725750622,0.33016353737174353,0.5799448915953369,0.12706316834444997,-0.22122374682057944,-0.16027890974782533,0.1618994369755571,-0.47539113552454276,0.1255251471675043,-0.3946711426488541,-0.6643293737466224,0.5468462304615795,-0.0941519086035059,-2.605045734866663,-1.1874953403576398,-0.599100364058053,-0.10726188921728073,-1.2890943409152849
Deborah,-0.7991895825754514,0.16456921551309056,0.10676230611685968,-0.36794382606994186,-0.5293944919308976,-0.44477166505809806,-0.9455032993922017,-0.4285671263794057,-0.03331423869212645,-0.3126552169266391,-0.45367006822234607,-0.6271809610461673,0.5006889868155479,-0.1736259230948599,0.4505638664824534,-0.1452878588410181,-0.1294717907054177,0.5508660916753392,-0.37519762236634024,-1.027018471188736,-0.2601294013398598,0.4980506885864038,0.9208406219039941,-1.0076220856950844
Scott,-0.22577588153089698,-0.07426335203297943,-0.9603659701844545,0.26563326073994226,-0.747905694784332,0.5324250964154558,0.0034570224756823,0.027314629859323168,-0.06499893077850964,0.31984926612352366,0.4012526529222596,0.43259629981542724,-0.2651382300709288,0.028385368790214482,-0.052116904166846466,0.017552836804658776,0.5567880745140316,-0.22172991753242943,0.12954961374778043,0.7367309825626623,1.6028128031437223,-0.057758405352531135,2.960430411441508,-0.6776450401404368
Declan,-0.1413674864572021,-0.4380142181744692,0.3359754525912486,0.00909709075833933,-0.988269184120954,-0.5236464837955571,-0.22779322745545777,-0.9422125161546884,-0.43556430838169713,0.3516723850363386,0.0662912238887595,-0.20404471248868192,0.2672172064324219,0.32164009510651964,-0.5187640124306154,-0.14987532749090673,0.41370492780904844,0.5323084323119559,-0.03375651435787763,-2.419616258172981,-0.959486668764461,-2.875751642639047,-0.513961598638135,-1.9118970563457303
Josiah,-0.0766232120492271,0.08873442743306542,0.3616536441942283,0.0638511875988598,0.24000363493057314,-0.19726066126814173,-0.26746297435647715,0.0016187268710573708,-0.5169138141418409,-0.1179149038343962,0.06550966616319465,-0.3940519111480339,-0.2857961025346502,0.2580021167976637,-0.6848760862946957,-0.5588374683121928,0.0776804811275676,-0.7413449537249178,0.08345676016450015,-2.1430796619486445,-0.9594639469849885,-2.9260843182006058,-0.9747838938526594,-1.6169847189948725
Wallace,-0.08415541896184876,-0.08855628205558183,-0.24695019845768418,-1.032906160538592,-0.6539856165741925,-0.36089556287286867,-0.28962262884997075,-0.3503887220453619,-0.513833054223134,-0.3751351568003644,-0.2392731756385252,-0.16595003300771158,-0.8054546450856842,0.05446756507581872,-1.022150012267272,0.5840886784839201,0.31381402047706414,-0.9206919737271063,-0.5476499681839534,1.7866830917451133,1.2502406781214728,0.724255736818618,3.626025127360132,-0.9063128766956169
Hazel,0.5850667793066207,0.42063632193754963,1.0867374896388635,0.5789323430833664,1.5755724592406337,0.5849180757874264,-0.5148220663538671,1.1062583941040567,0.44337268639064725,-0.5280549093244773,-0.6051237344268572,-0.0570798152458309,-0.46489545018405654,1.256327138667271,-0.5084299390106128,-0.09003204865201345,-0.38586265310620343,-0.38519878544048475,-0.35484124051437604,-0.44596820977200413,0.14837213993913773,1.5152226019306967,2.470890075049483,-1.1837339778310159
Whitney,-0.49120513409041894,0.029310767832847813,0.06904646865511589,0.1482037306154721,-0.5371539767030585,0.15879026996816234,-0.17045713269407411,0.24514376547450295,0.10977946730307733,0.34594705456704516,-0.010005843900274055,-0.4100529550938777,-0.009872356867997926,-0.4661918328465018,-0.26897987259876593,-0.2782449588253398,0.292324500939169,0.4902006919783371,-0.06897572921659864,0.05860673204695558,0.8142677105185556,1.260512498707762,2.6688743864601845,-0.29419561716109627
Paige,-0.12336803072124963,-0.054844189052811534,-0.24758134377638497,0.2887873588097416,-0.3599224975168927,0.4989879793720031,0.31398534547182405,0.06243909129269954,0.5594374170785321,0.19604617267336938,-0.20724669250035196,-0.1354247256117883,-0.5885437415439685,-0.6101137536096639,-0.3803762527853907,-0.267674772362935,-0.39555016699308626,-0.22952331171350526,-0.6986984909331632,-3.8081911195945257,-2.2834281051056347,-1.6383695642648934,-1.287765702733455,-1.9523178419553513
Sylvia,-0.6586728436159065,0.37121587681933116,0.9267546483383968,-0.39625569123099835,-0.16160262087662097,-0.5603836875600928,-1.063853733372788,-0.09105975241224208,-0.2544782761489081,-0.3996611077144745,-0.36079266244279284,-0.37216017151187214,0.49768908010939955,0.5402174162495531,0.11504530849117482,0.4092605748107011,0.2523626416560069,0.9460959956548246,-0.8141367171461057,-0.30294304268547834,-0.08172392468765684,1.3401177689143648,1.960862034758502,-1.2523853140764223
