,beverage,yob,direct_correlation,indirect_correlation,same_correlation
0,water,1920,-0.4544064549518925,-0.09774937439255477,True
1,water,1921,-0.4629981903272381,-0.10534424687723697,True
2,water,1922,-0.3150243464583872,-0.1568150925151472,True
3,water,1923,-0.12761770725301805,-0.12933506547479795,True
4,water,1924,-0.2531827133553369,-0.1180042300117642,True
5,water,1925,-0.0756420545281437,-0.10092524788344948,True
6,water,1926,-0.32718035710156257,-0.08371573337452842,True
7,water,1927,-0.34804747070806064,-0.05562299181609622,True
8,water,1928,-0.4734045896848279,-0.09968036184028682,True
9,water,1929,-0.3499145981119835,-0.13317311390643655,True
10,water,1930,-0.17487552365394432,-0.12293091731797925,True
11,water,1931,-0.222301817951377,-0.12332319726635635,True
12,water,1932,-0.011299290838355592,-0.10090780388243308,True
13,water,1933,-0.02569157478556762,-0.09981349778952207,True
14,water,1934,0.13661197110197415,-0.13308949055993574,False
15,water,1935,0.08053287361806896,-0.1432404109998299,False
16,water,1936,-0.01059843551521575,-0.12503674302406956,True
17,water,1937,-0.18545610424262746,-0.19615232071373695,True
18,water,1938,0.18621136157192952,-0.1909059367478931,False
19,water,1939,0.09346619252252313,-0.23564517975314495,False
20,water,1940,0.0463634440133609,-0.2018908325612136,False
21,water,1941,-0.1634996123785474,-0.1951424793788593,True
22,water,1942,0.03839926432856229,-0.21170518642179895,False
23,water,1943,0.11556722691981558,-0.14511785207470362,False
24,water,1944,-0.2015957710628756,-0.1771996799811841,True
25,water,1945,-0.17751574824944802,-0.2482474269664135,True
26,water,1946,0.0264342578636428,-0.19289515667926752,False
27,water,1947,0.12304817350044565,-0.14805258809903124,False
28,water,1948,0.07217067958416055,-0.15749789589328927,False
29,water,1949,0.23240594166140915,-0.2187279291586515,False
30,water,1950,0.22052586660988832,-0.17716619152451754,False
31,water,1951,0.015752364246962032,-0.22021780130755653,False
32,water,1952,0.06113363004309753,-0.16344489572970866,False
33,water,1953,-0.06493714370760864,-0.15641664552979748,True
34,water,1954,0.10270962171968777,-0.2252303047777533,False
35,water,1955,0.19445383909506705,-0.17311932089476018,False
36,water,1956,0.18009578346891958,-0.17162851554160027,False
37,water,1957,-0.003177506891017325,-0.18582158694904646,True
38,water,1958,0.1858789503478496,-0.21854361541225084,False
39,water,1959,0.11985296937758838,-0.20472586176212387,False
40,water,1960,-0.13021240261290362,-0.210635368501276,True
41,water,1961,-0.056970084196939774,-0.19451515330191652,True
42,water,1962,0.04753016667579237,-0.2169092387933444,False
