index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
Travis,-1.0254782894476353,-2.0201030082603726,-1.4207583727669464,-1.7825303803152552,-1.017451183757225,-0.6347475740382855,-1.0433336983131447,-0.946644203311794,-0.8235587691644515,-1.3871095382250662,-0.9953078052615003,-2.260661416809774,-0.8035446569457263,-1.9476053512219271,-1.7169359797735122,-0.27290474010086124,-0.06597927425306345,-0.30531894373198915,-1.4197788347946634,-1.2388851087071224,-2.2700833278489663,-1.0087258937425072,-0.22341795834221587,-1.1985066872032957,-1.4784945380630121,-1.0007504926426214,-1.9060196652975332,-1.4220741633147018,-1.204778779276241,-1.0928916444810604,-1.2633855858905638,0.84271159768075,0.5345427333286723,0.21172290003875932,0.04874584087468374,-0.773933921782162,-1.0118403155828972,-0.8518571136312931,0.16800693862175448,0.04438606581356744,-0.35653196644723906,-0.4058505122223331,0.889171033756524,-1.0631964624109802,0.06456648246912566,-0.2161748893735882,-0.6322367650440687,-0.5276507740918388,-0.2819475320856235,-1.0874223833535186,-1.6756480435926098,-0.07801117938737705,-0.4153002059984561,-0.1549260151823159,-0.12277333820082609,-0.08560774610574431,-0.6586537243954753,-0.34362631778787717,-0.46308627959379967,0.37137776426700464,-0.8145664122348247,-0.8572424050591246,-0.21218286424354985,-0.26151923150843037,-0.14203933640033703,-0.24006060342617844,-0.18985337533282381,-0.36839362125581204,-0.005361301134380736,-0.19543768935822947,0.14699575301787549,-0.06475434884551963,-0.017251948917355167,-0.09500809312742597,-0.15765672138108233,-0.11731852678565749,0.09760679904783418,-0.0635921562339381,0.026729212422069108,-0.13108337791244482,-0.10486693450460755,-0.1051803856973933,-0.05266657468853162,-0.3920987038794509,-0.24681285207614528,-0.2760301869503287,-0.4095401280119335,-0.4205913676768984,-0.4707379311278749,-0.49935400074151987,-0.6773245065401287,-0.5411909222755874,-0.4750795570806311,-0.6275473141770145,-0.7026122273029352,-0.5791396999008395,-0.7808436991292667,-0.8317371044264612,-0.764553736157525,-0.7136269687576806,-0.7236764668467054,-0.9652797362679045,-0.7854023571356361,-0.9447280600406258,-0.6901255614015909,-0.7818012491777212,-0.7657363248788827,-0.907929817605996,-0.8234223126048988,-0.9371437497653258,-0.9015512096670272,-1.0320656755460171,-1.1076910631018178,-1.0450884335658817,-1.1029661069494014,-1.0787686753593873,-1.0331962104950603,-1.2833785437622618,-1.4492938612819168,-1.3136289240999566,-1.3639236440885345,-1.5636232169220803,-1.2798346838791046,-1.5613260416785073,-1.285251758231519,-1.3962394949983323,-1.449096896530798,-1.530766525784689,-1.3532816984052864,-1.4498025841629796,-1.5793088697243793,-1.4923859466267644,-1.3676135795727042,-1.5590776899138397,-1.5132165621581657,-1.3144603287603547,-1.359063200631911,-1.287497797043097,-1.1649147711652459,-1.3569591712839917,-1.5276010966908604,-1.4430972221395657,-1.5737208968562482,-1.4341648670187408,-1.3766556068615137,-1.2676445048824265,-0.9999760505056418,-1.1266095638123035,-1.2487267435945315,-1.274203030757658,-1.330122183906566,-1.3468086708079086,-1.425037048059425,-1.3398661163890766,-1.3124244981131454,-1.1894488982972982,-1.1940014180992742,-1.6105047113162836,-1.4363170343531246,-1.2208482608729765,-1.2988240044204091,-1.141527236918099,-1.1512342247349525
Hadley,-0.8541587724814537,-0.0019795901719504216,0.22378088521660913,-0.37522279452170254,-0.19780648824473682,0.04848940908489931,-0.07661743362465502,-0.32366482002452124,-0.4067950532010269,-0.3645661295445128,-0.5868174159424461,-1.358889538187698,-0.7312198238760582,-1.061048504939351,-1.4440793517376258,-0.7397750855942058,-1.1019750550402478,-0.7189292353953054,-0.883033450464182,-0.6086445086478475,-0.9899456665732329,-0.7062257665413051,0.45005242733961487,-0.2701008219300858,-0.16513306407384043,-0.561751717721987,-1.5326987933640606,-1.0474988264108427,-0.7024416965733192,0.04053397242619519,-0.916538990870875,0.436075028395366,-0.9720112931857473,0.36480899765651725,-0.620014721698387,0.030888542079672152,-0.666395128875715,-0.6936532922433003,-0.3599165820427582,-0.5912753218688306,-1.1780006329758175,-0.47797766286069976,0.42771194057414064,-0.6711443577810396,-0.4062922953462424,-0.5652273240201603,-0.7012937138141008,-0.6167187152521988,-0.7485347058692179,-1.1012374643653362,-0.5387963608749475,-0.06761775421397061,-0.5864092700319363,-0.07847210254439228,-0.1598764992070172,-0.5594761221446364,-0.7250185334684612,-0.31799492466580215,-0.6476640397639195,0.06234617268139335,-0.5982572606241798,-1.0535939948342479,-0.8432416244490216,-0.7401228202855543,-0.6302381325535852,-0.549127129755862,-0.6777115124963314,-0.7994155478162762,-0.5542141527892338,-0.5282268028597061,-0.20466365765916625,-0.34284802102826384,-0.23700242152552364,-0.24811778396491313,-0.21029791451065627,-0.13362050352429988,0.017703272876458762,-0.10486119035031193,0.019008297814886155,-0.06794669936003092,-0.060750773439152965,-0.12668132483799627,0.00829601027101017,-0.14579488624820858,-0.060867625570024946,-0.10061989150370725,-0.1843578992204964,-0.1389948057702239,-0.1341076452053681,-0.13197360814034165,-0.4184262051685252,-0.275185552853083,-0.5011847639700414,-0.48270876791363015,-0.5731806553110335,-0.45506750041620114,-0.505415624176516,-0.6214475728359987,-0.5534249918476256,-0.5203073410513649,-0.5482600736167328,-0.6730870248241736,-0.4714514133721278,-0.5527801911805968,-0.4970375391746753,-0.3098823591315102,-0.3268056137090786,-0.3679688125615368,-0.2761768689978275,-0.5143774684990012,-0.42101709229758033,-0.5420471051426251,-0.7541266992850453,-0.6094684763139865,-0.8241998999387684,-0.7799114061417115,-0.7722013738319282,-0.8188545943260074,-0.9274535626010993,-0.7402624665022522,-0.9039991282193397,-0.8805870017563426,-1.0034103567105104,-1.0652977921099447,-1.1343195979186882,-0.9937536270973443,-1.0984431081246022,-0.9930810333647511,-0.9451852274220088,-0.8318092773864914,-0.9703333241311268,-1.0261274375622855,-0.9176464996718591,-1.0076231426096813,-1.060308732513055,-0.79427309580409,-0.8415603645828177,-0.988794290120813,-0.8340277065347373,-0.8977483388353837,-1.003433174391069,-1.0511936175979473,-1.2019595508494334,-1.1031779699063549,-1.1541563968357889,-1.0436058114314959,-0.8768409431522266,-0.986354899157808,-0.9422324122299532,-0.8765977438158695,-0.8630107087830441,-0.8764642716758627,-1.2116151669796036,-1.0348645400288365,-1.0259648030092297,-0.8970230996392891,-0.7791032609927109,-1.1347684078195193,-1.1578143682609936,-0.7717064854026098,-0.9310718715814449,-0.7881072554738868,-0.8837694340044446
Allen,0.007411338689739436,-0.18067748794560387,-0.3698967628344024,-0.21249628233318685,-0.3864239007355803,-0.11078955226998725,-0.11712480364593623,0.018779042563666422,-0.19941125667110424,-0.899847724914672,-0.33033597777451496,-1.5469024237657798,-0.25616700168678824,-1.2365124646764825,-1.0335648816024485,-0.33983280533657306,-0.11359368069900048,0.07007214324680225,-0.7989228923111976,-0.40857680589937956,-2.6094927821945406,-0.7820109776293712,-0.46777534599174125,-1.5473198718126422,-2.3538082691171014,-1.278407721556555,-2.3141770723012107,-1.3151903861310115,-1.9379477961756932,-0.5291777542624635,-1.0739010277808163,0.5063033753175387,-0.4805322295083486,0.23979207121803484,-0.07770195608919032,-0.06398780208936067,-0.21291122887717512,-0.645375199981106,0.1576384504549193,0.14199715368614643,0.205866263735733,-0.8465925174990981,0.7125802865729678,-1.3325688543758396,-0.9087595973127852,-0.9764593859867206,-1.1794194201622386,-0.839445981903146,-0.9970435926219581,-1.297486348737251,-1.3052662993244666,-0.30866176959958236,0.04521966300981433,-0.26345886416370995,-0.19706890574437155,0.1763067064544502,-0.13022974005417423,0.3452806319712624,-0.31843419581881127,-0.022286683802571216,0.13711326307308486,0.174367661845745,-0.4901479093633193,-0.6022185120200922,-0.49769240734566644,-0.6747629152933954,-0.6875586201603742,-0.8450436932654102,-0.7824777340809893,-0.6637833860314765,-0.6954627246160965,-0.6486982408599654,-0.6971754046976731,-0.6327227424886502,-0.5846879961492746,-0.5628340626727956,-0.2755292620034971,-0.27929972201802555,-0.13868610240315105,0.0029387011210193865,-0.2240433675510989,0.22967739765627507,0.22901341063392558,0.13838571475360137,0.20257669234764,0.24418433597979566,0.39756995540728635,0.31169856648413896,0.42531906847743994,0.6382909958183224,0.151328164061534,0.5440840271755161,0.37933202631700147,0.46551818980005993,0.5404391366071333,0.4055584237807718,0.40176471877963377,0.36420629470276594,0.5717947702274617,0.6514529770579152,0.21894165162152832,0.5840280829066263,0.5543931391738236,0.731260322066842,0.8799832337681485,0.6557762923916612,0.7493446812071538,0.66471277589328,0.5513099608065967,0.7401634655161237,0.4077908720093769,0.87076508437849,0.5503572829888649,0.8029281794730363,0.8454048224747847,0.607820036467721,0.7402636205776149,0.6108999320733837,0.5889673394627076,0.76728968719326,0.319151581502302,0.5834667147483754,0.5830495995333501,0.5342877920926088,0.544855265854092,0.5011508299499291,0.5944305100521922,0.6051838611992596,0.5920594808843688,0.8484568129239228,0.4471128490955837,0.8777220398936532,0.7579738825747162,0.6671651516969354,0.7602098906210588,0.6794009667271479,0.7795692738775555,0.6251662911177394,0.9654723932867657,0.8232231806589689,0.28765591205631863,0.6746295857869888,0.8054323439558935,0.6666411282186219,0.6399295328537009,0.7123017877354783,0.9352322408890883,0.789127254230049,0.7821495898006663,0.849705022111412,0.45698858439771234,0.8245175612666299,0.5608602762878009,0.5525186371687295,0.6258691396619498,0.6497495622678632,0.4927388417286906,0.4316819320852558,0.4510058990992227,0.4131018009226606,-0.10521106782963131,0.15716478185462102,0.21348602921104104
Lance,-0.39853572941836507,-0.7247741475847072,-1.4439745061406697,-0.4829121892764877,0.23189725089401106,0.4218669518767113,0.31591966429352447,0.44707307384682315,-0.5811254407164165,-1.1642030269584465,-1.342563340721335,-1.3994439652490906,-0.3556435609326808,-1.1673224412249013,-1.7683570805798585,-0.5757609491619773,-0.24151505826171196,-0.12855269092363472,-2.2616889479004345,-2.1775017019580165,-2.513249738267391,-1.063312057870629,-0.2589912247489782,-0.9392479553627223,-1.637430672376233,-2.474075764321006,-2.665022416685235,-1.9839531157560668,-2.084150652700196,-0.39127887016243895,-1.5615847573435302,0.26488461325958035,-1.4051786061996745,0.389694871940757,-1.455285847470766,-0.8820850737249468,-2.7543062192414407,-1.9606035970871227,-1.2280732224532698,-1.3263995974949516,-1.7074707529653073,-1.4573028042372589,0.3438545903702093,-2.3744788714973417,-1.0285655518275472,-2.1584825903955642,-1.7040484634116917,-1.3502593479200184,-1.0174778812497687,-2.600195083460972,-2.9044227857660623,0.4420530485420832,0.6797292410786847,0.40615282105892553,0.7319778306183978,0.4739760969160013,0.5060084943792112,0.7138412915317077,0.11805860177968118,0.415188253380687,0.41145246415940806,-0.4587619650913383,-0.22861985953286573,-0.2806178589344372,-0.18659385567500256,-0.2362909398410528,-0.18792394048538,-0.24666637730714713,-0.056458161014456235,-0.1170319165182882,0.026874097963277336,-0.01990083887463517,0.04781501440524795,0.07710118922807448,0.005274034031154158,0.08885912989580577,0.22182699026271346,0.1951665105606134,0.24937208032230918,0.1902277293343763,0.1810025663241205,0.21371380021405673,0.31269679047332477,0.13449688448178113,0.15101634457135532,0.18533185712972441,0.06089112714567342,0.060729951749398645,0.04437344023429945,0.05515634822363912,-0.13834340641700918,-0.022638559051849232,-0.07821816473589825,-0.07299616160822629,-0.13863025274272678,-0.07416628339521608,-0.20784405576032466,-0.2749320425769757,-0.2991770996977541,-0.29009542297926905,-0.22866246020772757,-0.3796559299952359,-0.19867410202240823,-0.22319612731269217,-0.1928447201641785,-0.2910759010206099,-0.23190855074868777,-0.23387201069231156,-0.3034460110498577,-0.3079015389899753,-0.321867946672206,-0.37377709310779267,-0.4505676377116392,-0.38622518629981756,-0.49367244105822655,-0.443464694249132,-0.4279878240109905,-0.5841417548464873,-0.6127105002310825,-0.5801277172766355,-0.5818026029991129,-0.6486040093788982,-0.598279992838006,-0.7190599516232857,-0.5670325347636316,-0.6514048308409377,-0.6473512134117613,-0.648015031223181,-0.608372581386237,-0.6540482965624476,-0.6930698475147385,-0.6693970927514298,-0.6319246903755276,-0.7575661186334518,-0.7401815722679422,-0.632033113602622,-0.6778117945063755,-0.7022112919412177,-0.5348917151597287,-0.7533548445052761,-0.7925582801583901,-0.7998780333073576,-0.9131264111045734,-0.7099598276783077,-0.7565225481356822,-0.6455343979619228,-0.5708334917989839,-0.563634827049031,-0.5135690037281528,-0.6646179982045848,-0.7606558810480929,-0.771833357787113,-0.8408955941512374,-0.85093099909139,-0.8348482558809852,-0.7999456935967469,-0.7930243481515773,-1.02534773656404,-0.9291550784886198,-0.7513136292635573,-0.7313368023115683,-0.7760711887119749,-0.8059552862001518
Mabel,0.7414391243086206,0.3006009640396096,-0.6747860129333377,0.8124167629300224,1.0353470669336107,0.2331647277586662,0.5684852796921899,0.9733577362341882,-0.28060997258169906,-0.9775384740445248,-0.6549310142230028,-1.2283726956570304,-0.4657108264846709,-1.5347138916742278,-1.3455053072076972,0.0140528348830676,-0.3689711400094416,-1.104275662873153,-2.5760407910787144,-1.3216545300975329,-2.1268228513657608,-1.078219484926623,0.09313252365090227,-0.5715876320149406,-0.632794112495077,-0.34629471435477566,-1.7539481395769958,-1.0315717642305013,-1.1726291551887262,-0.41222420128710874,-1.6822928863841706,-0.14548061958061037,0.3981061398119994,0.21356934954134651,0.0023414403249010915,-0.2835234565527713,0.36416481874667467,-0.20382663263797773,0.07884845986973872,0.04385604341682838,-0.07374370120996833,0.25287871796869466,0.013289471767833745,-0.21600445439395688,0.19784716318828674,0.10994249312913887,0.0029985062697076466,0.025946647748235952,0.3878774547704818,0.24199541099802716,-0.17976797687851648,0.05463672664859365,0.13748347191648963,0.175860315436815,0.4056724126467116,-0.09348936171593798,-0.24912480478011226,-0.18048437355288757,-0.0052788344341573,-0.1560551273174281,-0.02935795560723768,-0.34942716596992773,-0.2872328029245921,-0.2535069784825452,-0.11616772773003857,-0.08361784651847246,-0.19796422733565638,-0.23883280936874254,-0.15187435129170682,-0.07521616239703842,0.08234320756072484,0.04146015522353189,0.15277020988451234,-0.019236254695175956,0.14063772028119892,0.17509921557833857,0.10829836760745572,-0.021485313536988154,0.09575590496049999,0.08189934700994715,0.036474482234448005,-0.07254781924091591,0.10227462344476976,-0.061549071195750704,0.058447189967429466,0.012143598699762323,-0.08859430034495705,-0.11025402286748363,0.024673943740969987,0.11117037755753939,-0.013728248565376173,-0.1049808139956832,-0.35190592043673036,-0.2536088116879469,-0.1462445147195161,-0.1936503314860026,0.019257256450380778,-0.2628451439179204,-0.08341621290094076,-0.08727289928207731,-0.17726616508127752,-0.3083014948393045,-0.1584503789067818,-0.1699810754296534,0.017495190203908866,0.05578084005586418,0.10073318814002127,-0.004430745309596329,0.10929507614650387,0.03919954095924591,0.017572002984556717,0.03310985176142147,-0.19762128265043127,-0.08322916679905443,-0.11808320208735897,-0.04399878093021401,0.010084379758690564,0.041508700624537626,0.050047012597463636,0.06906584045683996,-0.05306084299181449,-0.04603329777115344,-0.18827793591276815,-0.13186867205435696,-0.18981426405276022,-0.16171678291767308,-0.31971447636939015,-0.07862467795632719,-0.13429408674068324,-0.050688350044160294,0.019207649825676014,-0.1726558841507977,-0.03274599223649084,-0.09313928835855571,-0.015129497725075186,0.08922220985901257,0.03466197387996291,-0.16394375186321813,0.08763253848578005,-0.06894463528625423,-0.043461286604337186,-0.23463695349719416,-0.19117466913764133,-0.17934286394727134,-0.1438594576040832,-0.07634711197289895,0.03853565777023994,-0.06627662907935396,-0.0011007690382074616,-0.01898993099241613,0.09560414438385083,0.039627333750932026,-0.1539356811997658,-0.042912261923808925,0.03934761752719169,-0.012013939809861682,0.0751444060747806,-0.07401740574476295,-0.17444371808478865,-0.046502479420331096,-0.3011279969709986,-0.2960072574167042,-0.17502654960588443
Lisa,-0.3688649813306786,-0.4645305422708885,-0.954694559095819,-0.24365555978687425,-0.3159487216955969,0.06184193048836992,-0.18919829130827587,-0.1643176583714467,-0.386776688700531,-0.23504483422033196,-0.15419644317974246,-0.3192209327557816,0.22229922592007387,-0.42475122526310505,-0.9215452297378003,-0.22923581359822853,0.13475465393786762,-0.4419581207524648,-0.14912072179969305,0.4533781060574098,-0.5968976661508582,0.3838515787314774,-0.024360004918111747,-0.24118589540515648,0.39583826221376334,-0.2425003989170696,-0.1063141518927222,0.2510164995775791,-0.12088931490451361,0.11522134014591048,0.20940130651309063,0.39169726812834954,-0.4492132929685265,0.4004624580373662,-0.015003525550779597,0.39121477486030987,-0.6591666266683676,-0.0032371141622390904,-0.04396422891750204,-0.07745648226314478,-0.08628362923331168,0.2362147156732806,0.3192002444549597,-0.5098861537585375,0.14099116210768112,-0.014712979415055245,-0.13077690987064292,-0.07371316914875473,-0.000888218237962766,-0.6029935852716234,-0.5643676953036478,0.12539768900063206,-0.08312083357626604,0.1278991883191278,-0.30476211776352136,-0.028404302936208242,-0.41366910833431736,-0.36684494753803953,-0.18977696969322935,0.011687402990484846,-0.7371064781722478,-0.3496690712009835,-0.3283243300325926,-0.25236895128479264,-0.10502208955934511,-0.0538727034461614,-0.10598931975150731,-0.1279272731021375,-0.037223323688210706,0.04828165182606826,0.12497271222035158,0.10614859359375607,0.16595550130521947,0.07540382561001707,0.1452979007755896,0.24935229473910855,0.27249856609989354,0.08214873763425515,0.12668558100108449,0.1200752129924602,0.013080456905286596,0.034807122396863635,0.14708338692936923,-0.01914740559585025,0.03677388765011273,0.11092533470865307,0.0028352853212213923,-0.06303519831625043,0.00025323786712793176,0.05969064606460566,-0.0982709475381441,-0.06428268760304265,-0.2567556838053213,-0.21105874788851373,-0.17486290101731858,-0.1982989046234616,-0.16247673681643418,-0.24374180520330205,-0.13232560307048827,-0.10175976399426513,-0.2399717714392757,-0.2671732143366859,-0.19787515695536217,-0.16525081547257114,-0.11805443237354718,-0.13232352537594033,-0.07993124717720865,-0.12210717349823272,-0.08696646828030594,-0.14719206993541542,-0.16038843048412882,-0.09572975656474222,-0.2933558079818217,-0.19089653731138453,-0.267241101105232,-0.2750394151666742,-0.25531685818053534,-0.25710000507671027,-0.19462729737307927,-0.1838771546909469,-0.31661075436625985,-0.3206562991843548,-0.3895900417131476,-0.34931344719577373,-0.42816401354603256,-0.4429440691424413,-0.5671975979943791,-0.3283259353734601,-0.4408887265414362,-0.35868854895897284,-0.3500329683018647,-0.37259721309676747,-0.2999491792287312,-0.3244008055464977,-0.39769437934794183,-0.2313920890271594,-0.214245342746193,-0.3568220654502126,-0.156085297532167,-0.3058713035504531,-0.35996498371318875,-0.3258165407184506,-0.3571883544921893,-0.2738065909332691,-0.38423610187052215,-0.3364988313279711,-0.20469330899497493,-0.35093789494828753,-0.32900817864410076,-0.2910782757693749,-0.3224010325654646,-0.23803249414201616,-0.48902138948772805,-0.3498313753701322,-0.3211977960938802,-0.262169037046846,-0.24729819534632527,-0.4248582029067173,-0.46596637151944253,-0.40770909271480016,-0.6483552892877961,-0.45732817772190504,-0.4511232469102655
Curtis,0.3303650925117479,-0.5803743871276617,-0.9850308898557686,-0.4461885069504819,0.12924817649395762,0.5139501439426457,0.47420730475966494,0.42705560267642867,-0.037304981162104206,-1.0657826607441532,-0.9408516641127407,-2.336567671160252,-0.3926256280057363,-2.3015562715398135,-2.1878650733857974,-0.5586949765297574,0.07064848479824909,0.5791850561753183,-2.388684323427386,-1.6708805965146307,-2.1783887524549237,-0.9419030051121384,-0.09299516187759528,-1.647328458919244,-1.607445114217986,-1.3694190017447039,-2.315400570229915,-1.549708515518073,-1.898800206132071,-0.3787089054787508,-1.4334330470361618,0.8999264969562123,-0.5100091355009999,0.5074146158143887,-0.12216212045981753,0.11821738821366566,-0.4396471399688008,-0.6605806151766892,0.10287649481843808,-0.09977731097885285,0.06484741880179686,-1.228289780225776,1.2228694993427662,-1.064122186061888,-0.8721290978181869,-1.1153931947540507,-1.2299146954485576,-0.903380667381994,-0.6701318610492951,-1.1552856573038122,-1.1897745101941928,0.21746201183718533,0.5206860824641744,0.28963124608260504,0.7448764656940771,0.9985895254591557,0.23060615520982317,0.8803877393281452,-0.02874692154427144,0.5224199321222371,0.6008067669960767,-0.053010244299113184,-0.1488358417974567,-0.15176418547579587,-0.0032294257182594144,-0.1522023499589485,-0.11071539761819105,-0.2772905459195453,-0.01076435621709389,-0.09354324244193432,-0.0005246425314689355,-0.09135649457145024,-0.02864385020192737,-0.030138825372545495,-0.08977652236296643,0.009399929031104013,0.23202869568105292,0.11808320545487094,0.23700267536647293,0.25987725869305944,0.14823458858208133,0.33629678805296404,0.4031466270403163,0.18608332617049317,0.35500136842955754,0.32087680804384333,0.30023842390991057,0.24536909819435648,0.3253830846594472,0.40259157247555966,0.07206955788007724,0.2690520476360493,0.17821492637110162,0.1711083498829499,0.1661254091459365,0.10765336432957627,0.04968426348527856,-0.06410971453451851,0.09646321478718695,0.18031641802240803,-0.03528184809616075,0.011988831555536974,0.08013988457934311,0.09175604798971178,0.276264955937805,0.10206672691511377,0.2105506695715501,0.13316828617342924,0.04701239785273603,0.15175499827557812,-0.06340748523213315,0.14448379669123865,-0.11559556293200454,0.03084324131325148,0.0068136901910721415,-0.07266407672663937,0.022284488965984166,-0.12446945279015868,-0.1969030631783536,-0.14927006166949708,-0.36299296689487626,-0.2290489458264831,-0.2223657607897333,-0.31223055598315214,-0.21206219610705623,-0.27058102144109014,-0.29465622440779105,-0.2663097982895617,-0.2744732796364899,-0.12420351695822021,-0.38240755481721833,-0.1589469499468649,-0.1633110690018695,-0.3075267705171873,-0.17409899092373676,-0.25026644026235007,-0.18427387131237946,-0.2178923266812498,0.10774605172619302,-0.07442243039290836,-0.46900390768305183,-0.3068153216179422,-0.30496700598505916,-0.28842824286382845,-0.35667424540439796,-0.22426481978795393,-0.003658948087938975,-0.14557967089900042,-0.057171531874759506,-0.16569281196713642,-0.38048823934464404,-0.2067253664674622,-0.42856777578633726,-0.4025633526818091,-0.29562784037369927,-0.31525430265526816,-0.37346295073419666,-0.5042514710158669,-0.5436672079838197,-0.3312005401185976,-0.6629423261051207,-0.6340136980447972,-0.49525681960692547
Carole,-0.5482326416763156,-0.8248541521851276,-0.667385600536878,-0.005789122379105031,-0.3475213214470254,0.22212670973258278,-0.18817608076563988,-0.18205100588579745,-0.6589845669548084,0.7784208513295273,-1.2157565965320778,-0.5907248973055199,-0.6756164597170154,-0.6554179199848337,-0.6743339239425978,-1.6120905973610626,-0.8358795584231165,-0.7957550069129986,-1.2465333201465452,-1.4495173750942303,-1.6207512176787442,0.1053559144066055,0.46530215284174653,1.4757196007438198,0.18659046341797075,-0.6156871870689852,-1.4248739479728818,-0.27666090946791877,-0.8380095029719479,0.11316897380862648,-0.0931997130994963,0.013140474119616505,-1.4303902947114429,0.870332355791444,-0.7609265580988219,0.5808830752969718,-0.9488388977029348,-0.5007890748530545,-0.6172707176643305,-0.7172074395264357,-0.9560555196857896,-1.500254132042337,0.43495880595801506,-1.3140948935311494,-1.4470194965729146,-1.402605841013569,-1.255787095608543,-0.8931141147547161,-1.147168144724485,-1.419891572907832,-1.4327341280062085,0.07360197670671699,-0.27302749213305305,0.11240839581166967,-0.8601866813884418,-0.2980672430067584,-0.28743907676880087,-0.7811179238202532,-0.741164841890331,-0.8401984367213744,-0.6711838610315065,-0.8552290664271366,-0.7495298655656653,-0.686049991415564,-0.48377433571167244,-0.48292298991660426,-0.4925125476964779,-0.5382676067894222,-0.40739227445417153,-0.25639575020898253,-0.19396416006007347,-0.23127845540792732,-0.12196141025128435,-0.2082111252984156,-0.06884877077565725,0.07893786843538617,0.14038535950099537,0.040371780370564346,0.14352459061806672,0.20104727021679808,0.13458382907354932,0.1711614929543003,0.33569347902644786,0.19787553331887137,0.28267496214517435,0.28357206067688107,0.22897114268821137,0.2010602088138629,0.263050380581997,0.3546981221307847,0.0860780017250505,0.29146596905745287,0.12582248411863783,0.15201609013579306,0.16984469934623397,0.07635003761642192,0.19449889393861677,0.040130341475804465,0.22930235974425967,0.19009877744314294,-0.07792329825851872,0.06379457157217035,0.15323312763945987,0.20605648708710764,0.2408805302505964,0.17338629395787564,0.269774904682199,0.14953138138295843,0.20153321943211458,0.13759111061156026,0.019399762296637188,0.21175301970581156,0.00672987250202513,0.042741206188380676,0.07542787670451369,-0.036414964950377354,0.021005723209033437,-0.043425653114489086,0.030297721109606008,0.06945244712822565,-0.16615463775045544,-0.08795318466020549,-0.12032689910803732,-0.13629341773358894,-0.23061404057817958,-0.27280699874950626,-0.33050435721857724,-0.07248770675868173,-0.16830144322386573,-0.08780417217197714,-0.2526431246575146,-0.20531335536949927,-0.08221532727287631,-0.20169148621369382,-0.208397576562389,-0.15506478107000496,-0.1148463340325745,-0.33144354647363433,-0.04491662518384069,-0.1831124209782928,-0.3442451980835967,-0.2814352334903246,-0.17870762194923015,-0.20321270811325892,-0.3517062777132269,-0.2456626513212609,-0.07182774777684649,-0.22059400398929077,-0.1903592537390224,-0.22828136649429812,-0.3276217754828527,-0.15439243724165475,-0.3443508409293804,-0.2850926434154324,-0.24899256231108993,-0.13719503104948996,-0.19749120842722634,-0.3872309534790164,-0.39015477026556133,-0.34934216774074,-0.854996531299333,-0.5435854948298458,-0.4615620415665619
