,occupation,country,direct_correlation,indirect_correlation,same_correlation
0,accountant,Nigeria,0.008159229381635047,0.11282150938379705,True
1,accountant,Ethiopia,-0.6278150931508016,0.02965405290070964,False
2,accountant,Egypt,-0.4205731099387027,0.005344464647645714,False
3,accountant,Congo,-1.0856276322728884,-0.06909147974478333,True
4,accountant,Tanzania,0.052443707993176734,0.001597514351631936,True
5,accountant,Kenya,0.1076495179111911,0.055639213410007486,True
6,accountant,Uganda,-0.4345567352588301,0.05699635198760914,False
7,accountant,Sudan,-0.8234522126500367,0.020357936566109836,False
8,accountant,Algeria,-0.4864008038290798,0.07169765573132411,False
9,accountant,China,-0.3667329418987825,-0.1058662993251725,True
10,accountant,India,-0.5167071385550701,-0.10778938921646447,True
11,accountant,Indonesia,-0.8901440764805688,-0.05829514501247321,True
12,accountant,Pakistan,-1.2235345722605713,-0.07650352681357198,True
13,accountant,Bangladesh,-1.473164673147351,-0.12240815821952525,True
14,accountant,Japan,0.11616354627429035,-0.04085599707289923,False
15,accountant,Philippines,-0.7968857035140303,-0.03782543623499522,True
16,accountant,Vietnam,-2.043017832661792,-0.12252796128539305,True
17,accountant,Iran,-0.9093154983426904,0.021213519825947002,False
18,accountant,Turkey,0.5601538710138874,0.244165903699031,True
19,accountant,Russia,0.5417474748380008,0.09222811011663026,True
20,accountant,Germany,0.2985701601610398,0.2191144190252398,True
21,accountant,France,0.15276606788185193,0.1848548965211909,True
22,accountant,Italy,0.09631531662362908,0.07208098246118237,True
23,accountant,Spain,0.3239686653976767,0.1095186783048371,True
24,accountant,Ukraine,0.5657651251525261,0.2344491603140108,True
25,accountant,Poland,0.09456032754721908,0.2707720991742518,True
26,accountant,Romania,-0.1323457548327232,0.18002381830498074,False
27,accountant,Netherlands,0.0038372020490458577,0.19886224435047092,True
28,accountant,Austria,0.3398432194115058,0.2684250135869469,True
29,accountant,Mexico,-0.4803896183583774,0.02374256145858131,False
30,accountant,Canada,0.0894668214383021,0.21905765941212169,True
31,accountant,Guatemala,-1.305496934646181,-0.05363081645039375,True
32,accountant,Haiti,-1.5658456503285716,-0.07468804538122592,True
33,accountant,Cuba,-0.9442895575563208,-0.06097938707083905,True
34,accountant,Honduras,-0.8526812587945756,0.046258192426972516,False
35,accountant,Nicaragua,-1.329221080929648,-0.042303556310439694,True
36,accountant,Brazil,-0.4774210019197055,-0.10612544151790164,True
37,accountant,Columbia,-0.15441554411989544,0.20335538521369267,False
38,accountant,Argentina,-0.5208438756579177,-0.010183192763145936,True
39,accountant,Peru,-0.3442710704533249,0.02649151601492069,False
40,accountant,Venezuela,-0.4579915353266278,-0.057163899896658335,True
41,accountant,Chile,-0.4463527297425351,0.03811553178529588,False
42,accountant,Ecuador,-0.6814412019568441,-0.058876482631976174,True
43,accountant,Bolivia,-0.9959382493039444,-0.16307367600802652,True
44,accountant,Paraguay,-1.5426368146741471,-0.08925336134767838,True
45,accountant,Uruguay,-0.7747584331468864,0.019773658641157862,False
46,accountant,Australia,0.09517310744132533,0.19470511382747488,True
47,accountant,Fiji,-0.8178550588456751,0.1328165572505723,False
48,accountant,Samoa,-0.7849012868461903,0.1382464607677545,False
49,accountant,Tonga,-0.8467202597089242,0.14142548288860196,False
50,air traffic controller,Nigeria,-0.42254687435195604,-3.149925463934341e-05,True
51,air traffic controller,Ethiopia,-0.9744947391050118,-0.16763057223816238,True
52,air traffic controller,Egypt,-0.7477610430179994,-0.1875006746766996,True
53,air traffic controller,Congo,-1.4676438890675148,-0.0828373526537303,True
54,air traffic controller,Tanzania,-0.743670558757187,-0.08388632995664654,True
55,air traffic controller,Kenya,-0.7517779556345985,-0.027815145048770647,True
56,air traffic controller,Uganda,-0.6138819337885131,-0.04558453458932735,True
57,air traffic controller,Sudan,-0.7089858161836635,-0.08804809096468731,True
58,air traffic controller,Algeria,-0.34844591932798785,0.007921436327901177,False
59,air traffic controller,China,-0.37178360983196457,-0.10510232436196268,True
60,air traffic controller,India,-0.666988846559089,-0.012799715204806016,True
61,air traffic controller,Indonesia,-0.3405679992536251,-0.05309953319995332,True
62,air traffic controller,Pakistan,-0.4760854790667501,-0.003071820940726706,True
63,air traffic controller,Bangladesh,-0.5649303781317226,0.02475596311957901,False
64,air traffic controller,Japan,0.4312244297931975,-0.06577853935560612,False
65,air traffic controller,Philippines,-0.5648020501207838,-0.0007750829823216899,True
66,air traffic controller,Vietnam,0.1165591386394974,0.07403897255334424,True
67,air traffic controller,Iran,-0.2057270609661944,-0.021473860732305124,True
68,air traffic controller,Turkey,0.7535011982947524,0.05886988100670992,True
69,air traffic controller,Russia,0.6499384935635033,-0.024364520123515226,False
70,air traffic controller,Germany,0.4460502071240751,0.17249180544214146,True
71,air traffic controller,France,0.1537887607205688,0.12712373725364284,True
72,air traffic controller,Italy,0.014151491638938828,0.05915939410363874,True
73,air traffic controller,Spain,0.21113174681503025,-0.01930123091404531,False
