index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,football,basketball,cricket,hockey,tennis,volleyball,baseball,rugby,golf,athletics,badminton,boxing,cycling,swimming,shooting,gymnastics,wrestling,skiing,bowling
Sawyer,0.5685155153136112,0.19868516407761086,0.42895135614223734,0.62560628567471,0.6807747059860475,0.5364944836026324,-0.45138840842655403,0.521777095787803,0.3773834226739211,-0.26424915301631147,-0.025912687325664704,0.049630269389805595,-0.1788053512158354,0.2676630089248387,-0.1830223072523344,-0.3944365556885638,0.8519586471408277,-0.03668528449358732,-0.9983862278427983,-0.3256721923551975,0.04997823725773042,0.17858357337276137,-0.43057115573907084,-0.5429978760142009,0.19465784579823825,-0.44184579275001706,0.44919335436350416,1.5125499948050014,0.025912108947831,1.1337715917389666,1.2222039903438853,1.4097442290366755,1.7478502838923693,1.2028235138118686,0.8682017311496839,1.4936979882081702,1.8984453852005043
Vera,0.6824200511168395,-0.008001907467625528,0.4474700280300001,0.1965466437626231,0.8190146621608676,-0.05086664947891635,-0.15768646557961782,0.26745253037787176,-0.312330130237238,0.19988168022700115,0.6187774635844135,0.17112287262972453,0.27380310813806485,0.1855188393588493,0.9521416222196879,0.31861459849005974,0.508238769415208,-0.11914704165154273,-0.9221877314848573,-0.4654488485382609,-0.3567391433252308,0.07373275303184713,0.1195413437619806,0.7599737854893449,0.09495238780606739,-0.3918597386673143,0.3740396456776577,2.171127433373591,0.7212720490596677,1.4470207469892709,2.5239307345717616,2.825268626495614,1.9254255421107345,2.61769627184592,1.3757291080260432,2.5582050799182245,2.2082840964210257
Beatrice,-0.4126147873281856,0.10729869724899534,0.06807214059525525,-0.40419823134100497,0.093414017857999,-0.1334328344724093,-0.353051999530979,-0.30496274881883706,-0.42034054891636685,-0.445707625470618,-0.445267697460246,-0.6180188813399785,-0.05550506901913937,-0.3731271734599595,-0.6591234710619871,-0.3185836394814237,-0.5659494837007532,-0.3076536768072957,-0.47430699569927454,-0.04999542444420065,0.513022579942644,-0.2614982440277486,0.20377046106580105,-0.05404455291786775,0.2842315550431324,0.05915743208922295,0.24324766688179403,1.605877366488538,0.7674647401943697,1.1287387140398148,1.5736332201072774,1.7510543145254747,0.8739166260046264,1.716531901872177,0.3564810575955959,1.6066328715079032,1.8309497183239174
Jace,-0.1944997658294688,-0.367318024395617,-0.5271527186621526,0.20855705844930744,0.304871064076554,-0.06700580352770737,-0.22079901451925155,0.01584174961637969,-0.16867735517150786,-0.26111329897965396,-0.36787403182494827,-0.12164853969433108,0.068648702140418,-0.20593642305094542,-0.22606596998327666,-0.2680052722440623,-0.36000136028511975,-0.09995628101454963,-0.45026770636934776,0.40868284730630006,0.21894180583857692,0.6379525164315935,0.24917825444860547,0.44769794676960023,0.7347139464507236,0.29884111252194095,0.7419620303727503,2.2732144965287784,0.9942115370992011,1.8421411802854026,2.3559329926069523,2.3991858966079653,1.8516076090296476,2.543095110545433,1.557417664704789,2.212864498203545,2.512264881686572
Clarence,0.1042618483074175,0.041728915792047204,0.16184934516672317,-0.30286735448817365,0.4848509261130066,0.19633441306227048,-0.6495316631810566,0.22075830940209282,-0.46031654888534207,-0.1496515384017077,0.3741531967207998,0.03755121625973668,-0.03521576820589472,0.315275225952161,-0.10088335661061144,0.258974639370366,0.6903182783909666,0.5082772622980584,-0.8731238465394441,-0.713499741504299,-0.5831355931569234,-0.5900683001666591,-0.7646840488691768,-0.970352811014235,-0.3285069664788397,-0.36131214409218126,-0.3560016105285143,0.653354845672598,-0.5240484749010488,0.6144554767007219,1.2579258985247213,1.0049702528966027,0.7920719334133939,0.280667383434687,-0.2540994565278568,0.7505421675471028,0.597258161462
Allison,0.24650740581825495,0.5751601437031287,0.3140486170637119,0.8120105685668256,0.4080455978750208,1.003422515283222,0.598705679504552,0.7419440565308292,1.1710789630242746,0.5753685117242041,0.22105143289306348,0.5331545795345383,0.19230400326046498,0.4294217615506719,0.6042526539221604,0.12426620519551675,0.5476305714962928,0.5484563796208148,-1.1319070120182593,-0.37442525593850723,-0.07885145454899098,-0.02477815032848864,-0.4416453125180742,-0.49565018609740025,-0.15184155218872045,-0.14322597498405715,0.3384137714379261,1.850932515901732,0.3085844079453937,1.195919615788648,1.949563876499035,2.0624714236495922,1.6637770537448981,1.7670439628302352,0.7549808283623631,1.8816729549846563,1.879426150238164
Amber,0.38537270009311086,0.16927370423903346,-0.02347358933726748,0.23147413870129557,0.3850131259310685,0.3629789521892436,-0.026235257451675136,0.45718339952583265,0.38531899107702916,0.15797344393120058,0.11987711753370214,0.6678376773474198,0.43384224025941664,0.292115110251364,0.3818762693766151,0.3193134829551156,0.5460985927042337,0.6314453559064236,-2.461743496328866,-1.396632337045996,-0.8832563643888378,-0.9534763226852067,-1.2839475006436516,-0.9184542649272864,-1.2822864549138593,-1.3665733863840928,-0.4311163137782073,0.39173718365205346,-0.3169054088618853,0.4598715973276774,1.3613556411992247,2.459020940765017,1.45138708919446,1.3128105051370227,-0.7950407050996585,1.3218570316170286,1.0711367884884186
Brooke,0.018961983478883476,0.30578178226894254,0.2707470842722721,0.42353570761076476,0.27049118796949756,0.80256287391459,0.20037478726834768,0.5902752148791588,1.0026416629434762,0.3004827292488961,-0.0029598467595324095,0.45772572751131335,0.07678418809081029,-0.03159497452474174,0.18372761689718373,0.02322881224873616,0.34334514809064504,0.5811288651661979,-0.6885576580862518,-0.12469535165346284,0.11759247838344669,0.46048667968822693,0.11545148092102892,0.3291707504655365,0.280631291049196,-0.04293759180968088,0.7398584589455808,2.197431152263524,0.6630855124194607,1.5797310653786232,2.537841301200321,2.4941269384550693,1.9603363131916207,2.4351378145576867,1.3845766053763984,2.4720031237577715,2.512457310142706
Diana,0.23242753987736403,-0.3739906233057553,0.038087519710170485,-0.14449631073535504,0.13705651340155509,0.03391712641732699,-0.17571892530638672,-0.18565811058900442,-0.5318945874451432,-0.09883812005109359,-0.1381061181006716,-0.19401391220671405,0.25012837278487093,-0.08238007500773095,-0.17721438861137798,0.1929532908794633,-0.02426582806894144,0.5464427344333599,-1.0156435697827728,-0.46342948300982434,-0.6639932760023989,-0.18229010675459428,-0.17439630372668485,0.599606650208475,-0.0870941120701243,-0.6415976774782323,0.5516200683009863,2.0664051701948942,0.39355700874850746,1.2982911808445017,2.3225985988534106,2.5479861698527557,1.6266909177691884,2.468469241002466,1.084281632586043,2.1870337375244047,2.1123450009805467
Laurie,0.003032215477851056,0.45403444875699883,0.20700448749678596,0.5697399780069615,0.4125857511218148,0.8429903132434885,-0.04385317242441996,0.6091068511741707,0.7250163398730489,0.2569230846100467,0.004396087017755226,0.48812820197518725,0.09278739952083735,0.42995929312077075,0.10703134866288708,-0.02602344118533659,0.27868146867713595,0.4043246561873887,-0.8217041708518243,-0.2935710054850376,-0.26182258640993894,0.12088304432928734,0.0922472451145868,0.2622627804916927,-0.059371742451413904,-0.017230361661934836,0.5645474562878544,2.424792223726379,0.4101184112926263,1.6728823560529391,2.3472178795160463,2.4606221426035844,1.7228891316355561,2.502843680759511,1.261945482045749,2.4888919641102776,2.169006688609671
