index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,heterosexual,straight,homosexual,gay,lesbian,bisexual,bi
Diana,0.02464974514038504,7.529032561417782e-05,0.24379712827441877,0.003323866418890538,0.12374753769823085,-0.149352643305073,0.005148999297170439,-0.09698559045917006,-0.031631228143434886,0.16722171384744114,0.21670240917293263,0.2522817814375126,0.0466985445451515,0.11962823038735529,0.09122130140472827,0.28697695965144693,0.2268623797365958,-0.06798719751456887,0.04511139397955612,-0.2588415375505265,-0.013100998669978662,0.08642158334769728,-0.13095426978817604,-0.16790526507624498,-0.07710648313669047,0.24701515637041288,0.17292348990529363,-0.2687723329902313,0.03419800854205997,-0.2496262055386199,2.356924941530094,0.8067329498676077,2.3888550555921744,3.076684760999264,3.5978385343286248,3.9657177001458335,1.7638769024885328
Laurie,0.264816557197735,0.4250746664066848,0.230528016441057,0.40810186115397123,0.3296049504339104,0.11042601380426592,0.24383483818241236,-0.07144049087518264,0.5790110401300116,0.3807179987769133,0.37254501417116564,0.5170632569612909,0.14995802860927357,0.010103470584113516,0.09842823015630331,-0.02385075201646886,-0.12347859834293366,0.3210638222721103,0.20114302890874589,0.3897006187034023,0.41938618719083165,0.13037196715461155,0.2116437944377409,0.1362256318532157,0.4970915046027084,0.188525237432793,0.1431005534237669,0.374306398696509,0.18479895341741828,0.43702090654095593,1.563826860610312,0.5958683555114194,1.1669280212610944,2.146250782566557,2.2319141606321904,2.6071872149218813,1.5093169083004674
Alan,0.600718506667624,0.41168427828800286,0.8485495323633091,0.38658634404908987,0.4423774879965444,0.1828167113539971,0.40483886869974495,0.12128165657143407,0.5931512949894746,0.5385765694062833,0.6769516986356132,0.759171021410967,0.5329969693790546,0.5560275474566692,0.2548383411423397,0.07362860131560438,0.0903251761552994,0.297314250379025,0.6196858105221581,0.10282526056246999,0.21455294279487794,0.24220032568579966,0.4159178460310218,0.19925555595135952,0.4680896177262887,0.3091017211054457,0.5889110468106468,0.2430773335744575,0.38303023443898154,0.6416255685669662,1.880145565475123,0.8214427723173523,2.3279663894996285,3.251246679458767,1.3905632063237128,3.3042670211718925,1.3207590434850902
Louis,0.16609823335018736,0.08481757672605574,0.023000338833340152,0.23680785466769505,0.008400778278355331,-0.17897124330495331,0.0065856536992965715,-0.0492293980910468,0.3744106559991296,0.49776294681348215,0.12307870943623593,0.04635139025601805,0.01616032257198627,0.07041929697458128,0.33624612531832443,-0.15707100104392707,0.09456486758522624,-0.008328268862620305,0.2080091617697182,0.010540408391377307,-0.1479465990831199,0.0853985077268803,-0.008391805575924158,-0.12353254253472656,-0.2629927849344117,-0.05463706385999378,0.12998193467830302,0.054532468324010035,0.2141241774124466,-0.08499379836582327,2.392245302775355,0.8631717385249559,3.1068199931110105,3.552776106091619,1.8731874106446842,3.2705404045537785,1.4684056366689766
Carrie,0.6163464714828853,0.8759127043066279,0.42321743520507904,0.761164142813318,0.4783757496666734,0.347791025129283,0.4687222083614608,0.16040878148562215,0.995120380690649,0.32360611909636466,0.4280629707593236,0.6680774424062158,0.48537952267815027,0.4873437687314225,0.36277992190629144,-0.44252470492287843,-0.10124942877618798,0.12472548509434885,0.7101244687584607,0.4483476606639699,0.62894258751024,0.45903417944618524,0.5262171600473707,0.378333558788888,0.5899819187445836,0.045579387306904466,0.2608535831451425,0.6095862711025667,0.7006713389406429,0.6390793924776265,1.7750387537752736,0.7533024192448314,1.5019193932188006,2.3693762347513605,2.570390996171623,2.897041891699195,1.4484958770452852
Phillip,0.7655407208639741,0.694528671352992,0.7901767999204998,0.6398291692227819,0.5956351827793406,0.6457466668278944,0.4830611589167061,0.44647768433296886,0.6966320089497375,0.997090932972099,0.7530552248275928,0.6160243442423377,0.7534314888999475,0.6307767795278826,0.560140137086053,0.26912594343908114,0.5135564408362293,0.4910577509986796,0.7768236248426339,0.13830678988252193,0.31699945079958414,0.44274779297017214,0.5059381325825134,0.4561746779435967,0.491125464833855,0.5543238426024901,0.5365403059846928,0.4036240895891179,0.6400811273113345,0.27607243786212615,1.9092406166520142,0.8180724051505923,1.8870663147358675,2.9457436999288356,1.3147591578128666,3.0279769407385815,1.6266298217204065
Chelsea,0.6353056354988338,0.7000013691803415,0.42314027672099275,0.7262647688393478,0.6235604983907952,0.5686357802528517,0.4620641931737138,0.0399827461758838,0.6478750644708005,0.606796219922479,0.790662270045396,0.2406687882044182,0.42552829526591956,0.2531818843878754,0.38660474720633164,0.48383291957127034,0.3290777203346199,0.2918155178090812,0.43199920714053275,0.7266529685289669,0.29875323892229816,0.625283254770734,0.5908138033595026,0.4333741656182071,-0.05784514296174018,0.19366951715022043,-0.5256599580963504,0.588607271635807,0.6604011747905627,0.6362140378054201,0.2633510299949337,-0.06507538228863496,0.35808216899979634,1.162283188179518,1.2880306162925899,0.8948634158507206,-0.1473153877624196
Eileen,-0.4672518902065848,-0.6635270197532113,-0.4461292839719704,-0.671201719945509,-0.19039796350919208,-0.4653800177514824,-0.15176682119426282,-0.39752252495617385,-0.31177816651717793,-0.37217193202867976,-0.26706972540202645,0.07695046524405688,-0.3463731712764968,-0.47753748511320815,-0.31423786794517955,-0.0213600299260798,-0.4336733621325288,0.28039094123289876,0.0892044306264012,-0.40459975836222695,-0.3018880654250233,-0.07170187579743581,-0.5028856076273662,-0.4235186026093271,0.32160076004102534,-0.13661661931758642,0.19490615384607796,-0.47277371188962386,-0.48660544223302327,0.1281699936272402,1.5454634174658781,0.6037177656148239,1.454055685347533,2.407651282318752,2.2138791771847486,2.6533661799258796,1.5980566400994594
Alice,0.1555173777334833,0.13602529461671284,0.4581822546599382,0.08632138063805232,0.08086399131958293,-0.1264309410668953,0.24251099400355677,-0.12676746009523404,0.40634812873024534,0.17024826479229974,0.18927279979296252,0.26011527763100495,0.16153141037559862,0.26674714596976895,-0.11534822362301059,-0.8398370830992795,-0.6112848092096557,0.10983705294050021,0.8128574089323239,-0.07157045955125864,-0.039721296706208414,0.22221311434846724,0.3746536203096603,-0.1707404372024035,0.4145249121821305,-0.31061100972311034,0.6359238491240733,0.3649316407637104,0.25425239021054225,0.38153631294651014,2.3813622001174775,0.9910130541076371,2.358709733105376,3.0662949032886835,3.6355682824112927,4.2469333701084615,1.5127630991781638
Amanda,0.05477702275601941,0.05308549947759671,-0.0698353280563718,-0.019377184724477258,0.3109503338785599,0.3778282162045,0.22092217351846896,-0.04106721942397589,0.033538722523599185,0.26804205527700103,0.05151351387916368,0.3036208495310219,0.15301578110745595,0.02785748799437721,-0.05762760142607059,0.11111158333044734,0.06172648792963054,0.26951819327409854,0.15201537610725877,0.017433545724475804,0.1950452277742272,0.394280000583002,0.11011731157742444,0.1284604789819435,0.1189410390819325,0.14996394284353964,-0.15489238049064516,0.20464664692790982,0.07152335957811662,0.0038160215454842105,1.0499246593257772,0.482525733495126,1.00986619117602,1.7004716024035176,2.241393259628289,2.659764265297335,1.0966248758052843
