,country,trait,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,contradictory,-0.9408625059492356,-0.008145150843569026,True
1,Nigeria,obedient,-0.9366245380279554,-0.07859886741246623,True
2,Nigeria,objective,-0.57237727918284,0.1170645554509428,False
3,Nigeria,troublesome,-0.5594852710490341,-0.1345103599788361,True
4,Nigeria,determined,-0.20847825955856691,0.06268314885410081,False
5,Nigeria,patient,-0.8166478326680989,0.0606023545450342,False
6,Nigeria,gentle,-0.491723431504019,-0.08359769391584197,True
7,Nigeria,demanding,-0.652369052360051,-0.10595619229943692,True
8,Nigeria,progressive,-0.5762338816924001,0.012634822942753577,False
9,Nigeria,sweet,-0.07898828475453605,-0.15387941336368802,True
10,Nigeria,vague,-0.7417709905652234,0.0020704325192614954,False
11,Nigeria,predatory,-0.7493296263438495,-0.05788589816183156,True
12,Nigeria,delicate,-0.5477146329192875,-0.17347514425836827,True
13,Nigeria,wise,-0.9942856937047588,0.0494472444711656,False
14,Nigeria,passionate,0.17503565909330368,0.058098623599366815,True
15,Nigeria,paranoid,-0.9593955660718204,-0.012727019040573993,True
16,Nigeria,hostile,-0.19014251533201668,0.006443149805138084,False
17,Nigeria,religious,-0.4490212656952489,0.03702814973763728,False
18,Nigeria,neutral,0.07591603092848842,-0.11388867228955853,False
19,Nigeria,bewildered,0.20710356862524548,0.03363699042250018,True
20,Nigeria,muscular,0.3595855452844326,-0.007438150730454514,False
21,Nigeria,energetic,0.6469315513660072,0.019321097925701032,True
22,Nigeria,odd,-0.22016651463899345,-0.1625891344629985,True
23,Nigeria,efficient,-0.6934527950636735,0.04143771540977737,False
24,Nigeria,ripped,0.1437557693036358,0.007938591482997867,True
25,Nigeria,mechanical,-0.8177866551770345,-0.0005411541207184165,True
26,Nigeria,criminal,-0.4601040127543708,-0.06516634277389638,True
27,Nigeria,generous,-0.6475739976058213,0.055445162378359086,False
28,Nigeria,destructive,-1.3167295262398793,-0.13638190348374274,True
29,Nigeria,organized,-0.3424115377490813,0.08645363351277596,False
30,Nigeria,solemn,-0.9333239554926308,0.0019987080524586803,False
31,Nigeria,simple,-0.4881758876417802,-0.07521000138476024,True
32,Nigeria,greedy,-1.1100625486481814,-0.09183671553600138,True
33,Nigeria,fiery,-0.12713723975871058,-0.03631616511024803,True
34,Nigeria,provocative,0.1522619286514433,-0.10589485725080376,False
35,Nigeria,unrealistic,-0.7003197395459102,-0.08584871723158886,True
36,Nigeria,coarse,-0.23523605906664144,-0.08655979298060361,True
37,Nigeria,faithful,-1.1550850142073246,0.0517989680183303,False
38,Nigeria,romantic,-0.4068291929801341,-0.12336306307862314,True
39,Nigeria,dedicated,-0.2155702171692262,0.17897585128084842,False
40,Nigeria,smooth,0.1551197463093658,-0.061840700234071073,False
41,Nigeria,invisible,-1.5358982518838846,-0.14064531825989798,True
42,Nigeria,relaxed,0.4500293569469805,0.03725735368658527,True
43,Nigeria,grim,-0.5256045694326216,0.10338535132881754,False
44,Nigeria,leader,-0.41769964091727824,0.07565762407558496,False
45,Nigeria,anxious,-0.09411321218684922,0.01759688769705988,False
46,Nigeria,clumsy,-0.4842972045164157,-0.1356489610280335,True
47,Nigeria,strict,-0.7094022709851696,-0.09716398247246834,True
48,Nigeria,gloomy,-0.9067048633109528,0.011296676146234431,False
49,Nigeria,enthusiastic,0.7081736282868714,0.07950021652612836,True
50,Nigeria,brittle,-0.9470261839799587,-0.1166896576513626,True
