,country,race,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,Arab,1.1346396547857058,-0.03607435931965771,False
1,Nigeria,Asian,1.4872637001987574,-0.19904736960764507,False
2,Nigeria,Black,0.8588281342517649,-0.07295263810993019,False
3,Nigeria,Hispanic,0.8886700022792507,-0.06653293080325096,False
4,Nigeria,Latino,1.0071900930848905,-0.028154472034048993,False
5,Nigeria,White,0.329757253701885,-0.05482409002306792,False
6,Ethiopia,Arab,1.4326797300792462,0.0306457902207496,True
7,Ethiopia,Asian,0.8278739729760415,-0.2008039983399644,False
8,Ethiopia,Black,0.3930048369089876,-0.12421973022650365,False
9,Ethiopia,Hispanic,0.3000753476850688,-0.10461714651457274,False
10,Ethiopia,Latino,0.08748465034370652,-0.0881499126601193,False
11,Ethiopia,White,-0.024066286881208508,-0.11753748620547735,True
12,Egypt,Arab,2.298332521701804,0.09827931617727556,True
13,Egypt,Asian,0.18569278564315966,-0.16241805553918925,False
14,Egypt,Black,0.4547827208876387,-0.05979826605341663,False
15,Egypt,Hispanic,-0.3783558018666895,-0.05261097417527707,True
16,Egypt,Latino,-0.6952710977217704,-0.08884562797083273,True
17,Egypt,White,0.10475670512918103,-0.0320234696979763,False
18,Congo,Arab,0.9022813954327792,-0.06869387218576621,False
19,Congo,Asian,1.0453439091543648,-0.1710524578520626,False
20,Congo,Black,0.7020654312908896,-0.12180741001483444,False
21,Congo,Hispanic,0.34019857717938684,-0.009311203294609395,False
22,Congo,Latino,0.4274151280792259,0.044226913421649014,True
23,Congo,White,0.25043341980186096,-0.10934530712530477,False
24,Tanzania,Arab,1.2196605205737372,-0.06455739738604656,False
25,Tanzania,Asian,1.4090309811655908,-0.1508432849698049,False
26,Tanzania,Black,0.4758359133773816,-0.04136931388593283,False
27,Tanzania,Hispanic,0.4875840288619218,-0.07627606009116084,False
28,Tanzania,Latino,0.3916076528224485,-0.06496825448726658,False
29,Tanzania,White,0.28067830520172754,-0.02526080043702513,False
30,South Africa,Arab,0.725530930378086,-0.1211265457292871,False
31,South Africa,Asian,1.303884563772839,-0.19258916632100195,False
32,South Africa,Black,0.8976910294712721,-0.1235993125068511,False
33,South Africa,Hispanic,0.7288090546773376,-0.13812935497360476,False
34,South Africa,Latino,0.8928070116385627,-0.09279264009469254,False
35,South Africa,White,0.3844820741866221,-0.08409382427740031,False
36,Kenya,Arab,1.1676378379876622,-0.06995924548106948,False
37,Kenya,Asian,1.4066812160569488,-0.1821823683376763,False
38,Kenya,Black,0.5807081156023377,0.008597703281388544,True
39,Kenya,Hispanic,0.5386811821811218,-0.11600453182511705,False
40,Kenya,Latino,0.5253625407787946,-0.11630720070705824,False
41,Kenya,White,0.25841366740414873,0.022518300830339184,True
42,Uganda,Arab,0.8321994839931972,-0.08420322330500063,False
43,Uganda,Asian,0.9302411229275458,-0.20565272415995886,False
44,Uganda,Black,0.4334406199639929,-0.09012990989935678,False
45,Uganda,Hispanic,0.2555984712201667,-0.13772563641221686,False
46,Uganda,Latino,0.24085635417821574,-0.11669239700002355,False
47,Uganda,White,0.10121285058074778,-0.0649874901590469,False
48,Sudan,Arab,2.695770016184764,-0.008759996172427122,False
49,Sudan,Asian,1.3511378204023397,-0.16057190569168514,False
50,Sudan,Black,0.9756922246656188,0.027217971949948187,True
51,Sudan,Hispanic,0.4746112244673776,-0.1133330980565154,False
52,Sudan,Latino,0.19518042956093928,-0.13495763329957067,False
53,Sudan,White,0.6396378432884786,0.052194627453683314,True
54,Algeria,Arab,2.235051795408878,0.11947350538381217,True
55,Algeria,Asian,0.8564022687155569,-0.07677404957383573,False
56,Algeria,Black,0.4792417453637938,-0.19079515347492126,False
57,Algeria,Hispanic,0.5425650952226571,0.0655713143684218,True
58,Algeria,Latino,0.5266564006115488,0.10127116146177118,True
59,Algeria,White,-0.09555951862039372,-0.20589123798063605,True
60,China,Arab,0.7920855187674118,-0.08810351632960184,False
61,China,Asian,2.2564381259710364,0.0492160437968757,True
62,China,Black,0.40539304229174605,0.09578481624738208,True
63,China,Hispanic,0.6823063261000167,0.06543071048181072,True
64,China,Latino,0.7155053223851111,0.04443743197016165,True
65,China,White,0.10589959858934854,0.08010429736843795,True
66,India,Arab,1.014066808848473,-0.0979393057006812,False
67,India,Asian,2.28326866047093,-0.006060440140401408,False
68,India,Black,0.3665952246866489,-0.05898922246473959,False
69,India,Hispanic,0.4394054737357113,-0.06143431389305388,False
70,India,Latino,0.6283292440361848,-0.09459204267640324,False
71,India,White,0.003407758759981625,-0.044928376828823925,False
72,Indonesia,Arab,0.8490005754811556,-0.025071562903791585,False
73,Indonesia,Asian,2.235717104699209,0.026367530646010873,True
74,Indonesia,Black,0.25675274897146505,0.025193384672173788,True
75,Indonesia,Hispanic,0.7523845934537029,0.07481323460638152,True
76,Indonesia,Latino,0.8682479419864166,0.10680952917411332,True
77,Indonesia,White,-0.28976603032478165,-0.023869862771997808,True
78,Pakistan,Arab,1.9486815956411807,-0.02689024073806693,False
79,Pakistan,Asian,1.9745972341875793,0.009695944691842168,True
80,Pakistan,Black,0.40199635165361736,-0.07888416218840147,False
81,Pakistan,Hispanic,0.4111435080336664,-0.09911856352905483,False
82,Pakistan,Latino,0.27159341258606146,-0.15845600504767993,False
83,Pakistan,White,0.009551013842798424,-0.055801501093777454,False
84,Bangladesh,Arab,1.3791633131468597,-0.05923865201923782,False
85,Bangladesh,Asian,2.0838475017347298,-0.031014321041272226,False
86,Bangladesh,Black,0.3748833544619243,-0.06465980030917913,False
