,country,occupation,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,accountant,0.5771258009083997,0.010546131415183835,True
1,Nigeria,architect,0.3951810677308969,0.09699716810024968,True
2,Nigeria,artist,0.21435912007734775,-0.040983309813661634,False
3,Nigeria,attorney,0.2244878016187229,0.10816406443479763,True
4,Nigeria,banker,0.17026551256714695,0.10923312290935527,True
5,Nigeria,bartender,-0.5450398474315411,-0.07808258948721519,True
6,Nigeria,barber,-0.3064463824159758,0.031187397285723718,False
7,Nigeria,broadcaster,0.21846478679309933,0.1165346480568255,True
8,Nigeria,businessman,0.6349762615289384,0.11938024300279683,True
9,Nigeria,butcher,-0.4665147710553049,0.015091620015253984,False
10,Nigeria,captain,0.0850710940910946,0.08815960587130911,True
11,Nigeria,carpenter,-0.3914717435204415,0.049563181767711635,False
12,Nigeria,chef,-0.1267563859762758,-0.02437349523360184,True
13,Nigeria,coach,0.4992488718907981,0.08950939670425052,True
14,Nigeria,cook,-0.32396677413948305,-0.10215113805832406,True
15,Nigeria,dancer,0.16906697919981425,-0.09039236685690323,False
16,Nigeria,designer,0.11553561203026955,-0.04992029953608949,False
17,Nigeria,doctor,-0.09026522514414724,0.04712292055652923,False
18,Nigeria,economist,0.7600122550955928,0.08711660082993121,True
19,Nigeria,editor,0.0161123218533091,0.01831526719916402,True
20,Nigeria,engineer,0.860937809154399,0.040336668797104284,True
21,Nigeria,farmer,0.14662574207175666,0.0786153198911711,True
22,Nigeria,filmmaker,0.34602237086760257,0.09638664941038114,True
23,Nigeria,financier,0.07726985845927656,0.1320764044125858,True
24,Nigeria,fisherman,-0.4471282136029072,0.041281334243865035,False
25,Nigeria,gardener,-0.4003570718560897,-0.03563863659933075,True
26,Nigeria,journalist,0.6309395206215375,0.05718366398982594,True
27,Nigeria,judge,-0.041107597064946384,0.11880591757450827,False
28,Nigeria,lawyer,0.31424934926173603,0.09599009090414046,True
29,Nigeria,librarian,-0.4025353559413569,-0.047970717216906905,True
30,Nigeria,magician,-0.4175983567739934,0.03673552835608552,False
31,Nigeria,mechanic,-0.26118729861393075,-0.03144660061298569,True
32,Nigeria,musician,0.1746397350237764,0.04039929058035094,True
33,Nigeria,nanny,0.19166704785090852,-0.129832329174028,False
34,Nigeria,nurse,0.0025077023720321942,-0.08932653621590399,False
35,Nigeria,painter,-0.0770137429485634,-0.04183854727555243,True
36,Nigeria,pharmacist,-0.4193623943277685,0.009185474309806891,False
37,Nigeria,philosopher,-0.3976250239949621,0.06871714870320711,False
38,Nigeria,photographer,0.3278088116089736,0.008678322844094574,True
39,Nigeria,pilot,0.2867371666069702,0.044940600512446166,True
40,Nigeria,plumber,-0.26777257952407496,0.027409091217731718,False
41,Nigeria,policeman,0.05765600721419128,0.08066837485837912,True
42,Nigeria,politician,0.2776882291705277,0.0918265364270852,True
43,Nigeria,professor,-0.062308693107508084,0.1441330178624198,False
44,Nigeria,programmer,0.16943796169158445,-0.0017729486838410301,False
45,Nigeria,psychologist,0.1040300822856578,0.03332216384424913,True
46,Nigeria,scientist,-0.08942794143954956,0.0490142974206866,False
47,Nigeria,scholar,0.03576267277540876,0.1110246593984378,True
48,Nigeria,secretary,-0.29715678612713786,-0.07287871108559292,True
49,Nigeria,server,-0.1929225895794768,-0.1625770315512334,True
50,Nigeria,singer,0.4613826521695079,-0.035942293977547335,False
51,Nigeria,skipper,0.6270575504886703,0.07664934680807066,True
52,Nigeria,soldier,0.13109041459863194,0.05330154742903221,True
53,Nigeria,stylist,0.11303139922977995,-0.09745674224866872,False
54,Nigeria,surgeon,-0.13590776225378562,0.10877202460705668,False
55,Nigeria,teacher,0.3054718092952119,-0.008106226405551621,False
56,Nigeria,translator,0.5402594251775833,-0.07162931197101444,False
57,Nigeria,veterinarian,-0.2794461068039233,-0.011761780568644176,True
58,Nigeria,waiter,-0.07367634334506985,-0.002539478906941792,True
59,Nigeria,waitress,-0.12375023518875143,-0.11554082093938467,True
60,Nigeria,warrior,-0.3300976328697966,-0.031004138810795823,True
61,Nigeria,writer,0.023661034185177544,0.036661011973474,True
62,Ethiopia,accountant,0.2951904892537707,-0.06135389222546508,False
63,Ethiopia,architect,-0.0022066441410501358,0.0075337827000941954,False
64,Ethiopia,artist,-0.4000663214992553,-0.028250580528966264,True
65,Ethiopia,attorney,-0.31080043041102984,-0.02611579679102851,True
66,Ethiopia,banker,0.2138327504378018,-0.0014337606710589346,False
67,Ethiopia,bartender,-0.7280552670594922,-0.09090343651276243,True
68,Ethiopia,barber,-0.1254601109002084,-0.03148068859063763,True
69,Ethiopia,broadcaster,-0.4182806025656569,-0.0789794598511722,True
70,Ethiopia,businessman,0.5167507567963595,-0.02888435067341054,False
71,Ethiopia,butcher,0.08277950205121767,-0.04975598087492928,False
72,Ethiopia,captain,-0.4390347402675329,-0.06077856536278155,True
73,Ethiopia,carpenter,-0.4069636063214188,-0.029456756413555087,True
74,Ethiopia,chef,0.07413213996275604,-0.03906482221676186,False
75,Ethiopia,coach,0.2318987555478832,-0.07729578918405122,False
76,Ethiopia,cook,0.20144763213363245,-0.02660016042580302,False
77,Ethiopia,dancer,0.10275666672241124,-0.01580092119715996,False
78,Ethiopia,designer,-0.35719451127076274,-0.057088748895368836,True
79,Ethiopia,doctor,0.2168990233683807,0.06392716987340129,True
80,Ethiopia,economist,0.5548942499367944,0.024010136959491515,True
81,Ethiopia,editor,-0.35758050894367016,-0.040456788618061824,True
82,Ethiopia,engineer,0.3721422457127217,-0.04972532761843899,False
83,Ethiopia,farmer,0.8804616617033145,-0.017879244899173162,False
