,sport,yob,direct_correlation,indirect_correlation,same_correlation
0,football,1920,-1.3492713828361502,-0.06695147941003378,True
1,football,1921,-1.3746214329337003,-0.0616029231127198,True
2,football,1922,-1.4531134749517354,-0.08540988799511748,True
3,football,1923,-1.493285154300222,-0.0678552093787607,True
4,football,1924,-1.4171145730731562,-0.0756950006492194,True
5,football,1925,-1.3688253719049668,-0.08458255126315171,True
6,football,1926,-1.4550895486922977,-0.09168576328046504,True
7,football,1927,-1.4894901990376193,-0.08209083792249777,True
8,football,1928,-1.4802467268598392,-0.09496659118433408,True
9,football,1929,-1.477510853759026,-0.09025663350250393,True
10,football,1930,-1.2745302127368496,-0.07777235362897984,True
11,football,1931,-1.31343364089856,-0.08039084093020278,True
12,football,1932,-1.3722874173465032,-0.07642333155944142,True
13,football,1933,-1.53750300441952,-0.06672246865650618,True
14,football,1934,-1.4785922094568476,-0.08821750141412005,True
15,football,1935,-1.2948087175343994,-0.08621996404959427,True
16,football,1936,-1.2475751515896931,-0.09407092952219168,True
17,football,1937,-1.3202466777473014,-0.060096343311240114,True
18,football,1938,-1.385158650316518,-0.07904215860343741,True
19,football,1939,-1.2677589083911778,-0.060489719194256435,True
20,football,1940,-1.313694986806539,-0.07528376240737944,True
21,football,1941,-1.259281496550716,-0.038699598576933114,True
22,football,1942,-1.3183300326183167,-0.07266692401700771,True
23,football,1943,-1.3132916375299732,-0.0882021123970882,True
24,football,1944,-1.3581489481387388,-0.09272189407355573,True
25,football,1945,-1.2267242418615718,-0.061041539377374,True
26,football,1946,-1.2140602657613548,-0.06690634298074565,True
27,football,1947,-1.1696359334091642,-0.04610990892646221,True
28,football,1948,-1.2738241255718847,-0.02912539648226802,True
29,football,1949,-1.1974555071452713,-0.017020009391479126,True
30,football,1950,-1.1995247595456562,-0.059242295215531475,True
31,football,1951,-1.2740673669578484,-0.06136053348047137,True
32,football,1952,-1.3640207756609568,-0.08388297294017663,True
33,football,1953,-1.4872500483389752,-0.07928440502875994,True
34,football,1954,-1.3777660383014014,-0.09943462755149224,True
35,football,1955,-1.3404423209041565,-0.08922652521113437,True
36,football,1956,-1.4037151338250409,-0.08557288294766653,True
37,football,1957,-1.2708506076528097,-0.0830749293272922,True
38,football,1958,-1.2236401920735935,-0.1006850689007676,True
39,football,1959,-1.3476906836994338,-0.07547442342412647,True
40,football,1960,-1.1153274168580796,-0.11022930060540607,True
