,occupation,yob,direct_correlation,indirect_correlation,same_correlation
0,accountant,1920,-0.2580194222851436,-0.10399467099158224,True
1,accountant,1921,-0.2021690653912826,-0.08916546080396236,True
2,accountant,1922,-0.2328909998373596,-0.1248115050187402,True
3,accountant,1923,-0.2866792501195693,-0.09974570820149914,True
4,accountant,1924,-0.3339379697026581,-0.09487637029830737,True
5,accountant,1925,-0.3217359252686873,-0.11801462281811415,True
6,accountant,1926,-0.3285587659546015,-0.1267980143815017,True
7,accountant,1927,-0.3401177620793429,-0.13149627962829602,True
8,accountant,1928,-0.2791567186255288,-0.13116970386233073,True
9,accountant,1929,-0.18480478816400192,-0.12897315057371153,True
10,accountant,1930,-0.2646513354768549,-0.13280761580830308,True
11,accountant,1931,-0.10646638856299886,-0.12391257820560955,True
12,accountant,1932,-0.15656958001618748,-0.14461763243511205,True
13,accountant,1933,-0.20188093942661425,-0.14177762994557175,True
14,accountant,1934,-0.1542828776792283,-0.14352055132392974,True
15,accountant,1935,-0.1388447226753898,-0.15158987736102714,True
16,accountant,1936,-0.046406119608366665,-0.14018477635444365,True
17,accountant,1937,-0.09343423694866236,-0.14725268795645988,True
18,accountant,1938,-0.20692450573794505,-0.13495003916782095,True
19,accountant,1939,-0.19384462227693466,-0.09533141787435108,True
20,accountant,1940,-0.18010854367282955,-0.12701913345630145,True
21,accountant,1941,-0.3134202404464506,-0.13051642676338313,True
22,accountant,1942,-0.43269698332204576,-0.1765023350236887,True
23,accountant,1943,-0.4642518931874464,-0.16547387120441348,True
24,accountant,1944,-0.3894070005189239,-0.11924583069067962,True
25,accountant,1945,-0.35480596218735083,-0.13384542884581907,True
26,accountant,1946,-0.25757965327468324,-0.12354779384184755,True
27,accountant,1947,-0.2314058853218641,-0.13842644303077578,True
28,accountant,1948,-0.17813245979458195,-0.12537689696690088,True
29,accountant,1949,-0.16161414936851198,-0.07518526490718325,True
30,accountant,1950,-0.1961039836297397,-0.1354084263744584,True
31,accountant,1951,-0.1990963131541971,-0.10230965234889268,True
32,accountant,1952,-0.18346411565687454,-0.1433176810613137,True
33,accountant,1953,-0.3741189586477994,-0.17247057063156265,True
34,accountant,1954,-0.3447055598117587,-0.17375327596049306,True
35,accountant,1955,-0.29630165421606025,-0.15689116273911022,True
36,accountant,1956,-0.2342770459800447,-0.14512728285969906,True
37,accountant,1957,-0.20678694104611345,-0.1500177769021073,True
38,accountant,1958,-0.22334739088260644,-0.16355283267206422,True
39,accountant,1959,-0.3081637534683363,-0.1567186844572749,True
40,accountant,1960,-0.1989754109453278,-0.1847425444056169,True
41,accountant,1961,-0.21772580309858744,-0.18068757800636429,True
42,accountant,1962,-0.24216950437788226,-0.19143869563516724,True
43,accountant,1963,-0.2836550933391653,-0.1984228691359084,True
44,accountant,1964,-0.26267470286628525,-0.20878170903942891,True
45,accountant,1965,-0.3576284859195855,-0.2179197706833736,True
46,accountant,1966,-0.2472034952685919,-0.20677935525016136,True
47,accountant,1967,-0.23473279492888996,-0.1831295825025961,True
48,accountant,1968,-0.28196100628115633,-0.16881034451294166,True
49,accountant,1969,-0.1465151786792731,-0.2006243479742928,True
50,accountant,1970,-0.11176815131561073,-0.20534266357659697,True
51,accountant,1971,-0.2777262492634611,-0.20422180132543286,True
52,accountant,1972,-0.20519409807153724,-0.161714961362297,True
53,accountant,1973,-0.2082776061719572,-0.2287844241575795,True
54,accountant,1974,-0.09913346098187163,-0.18153081797907245,True
55,accountant,1975,-0.20986012646046212,-0.15067519142096028,True
56,accountant,1976,-0.1759788587145775,-0.13782198689330852,True
57,accountant,1977,-0.137463128597827,-0.16086052197338746,True
58,accountant,1978,-0.1514050923177734,-0.1779430151449386,True
59,accountant,1979,-0.1895107772606182,-0.16329971132833773,True
60,accountant,1980,-0.06150856649056807,-0.15768115053009107,True
61,accountant,1981,-0.025075773692461747,-0.15233316440974756,True
62,accountant,1982,-0.1824650925470183,-0.1991387250525513,True
63,accountant,1983,-0.18737022833032685,-0.1483500635530684,True
64,accountant,1984,-0.0920759748236742,-0.13283361538492458,True
65,accountant,1985,-0.11314538072682258,-0.14583358880188466,True
66,accountant,1986,-0.04777072672868365,-0.14492930536931845,True
67,accountant,1987,0.008141664213594416,-0.1325653812587739,False
68,accountant,1988,0.06136128824364901,-0.07231097286602546,False
69,accountant,1989,-0.049246782416523,-0.08100228921562992,True
70,accountant,1990,-0.016859449558716176,-0.11493510705271365,True
71,accountant,1991,-0.03433353655829319,-0.10145028653081972,True
72,accountant,1992,-0.009966778302333432,-0.1109327177349894,True
73,accountant,1993,0.033707331915898926,-0.1211076986421078,False
74,accountant,1994,-0.05338504961659008,-0.1611524703471158,True
75,accountant,1995,-0.054692457133318315,-0.10706602051027418,True
76,accountant,1996,-0.03781077558378045,-0.1117430786521368,True
77,accountant,1997,-0.07379677429709368,-0.11882718167284564,True
78,accountant,1998,-0.131535713368421,-0.11534767663169257,True
79,accountant,1999,-0.1566924347475862,-0.12425530585893473,True
80,accountant,2000,-0.11852534075240807,-0.16045792820309965,True
81,accountant,2001,-0.134666513630067,-0.1290754465322379,True
82,accountant,2002,-0.22111933241288956,-0.13689161166256314,True
83,accountant,2003,-0.30949480772968274,-0.14080031577304095,True
84,accountant,2004,-0.3691063044430789,-0.1285041905028655,True
85,accountant,2005,-0.3468608442322547,-0.1335090679350134,True
86,accountant,2006,-0.4657818352254793,-0.14793939279034388,True
87,accountant,2007,-0.4419585513687324,-0.1366446496594009,True
88,accountant,2008,-0.3772055531412568,-0.11579830200637647,True
89,accountant,2009,-0.404405842754488,-0.1135497681793944,True
90,accountant,2010,-0.4302270339416469,-0.13382035763181954,True
91,accountant,2011,-0.45420607290591203,-0.11899556118477228,True
92,accountant,2012,-0.4946260111396749,-0.11036912278121268,True
93,accountant,2013,-0.5036989336374448,-0.10954086555052496,True
94,accountant,2014,-0.5886055710759621,-0.11716952655975005,True
95,accountant,2015,-0.5025364348543635,-0.10417826207223772,True
96,accountant,2016,-0.4549120872809368,-0.09462770199206544,True
97,accountant,2017,-0.5386849849489133,-0.11283250927146725,True
98,accountant,2018,-0.4418126911570092,-0.10713911689696602,True
99,accountant,2019,-0.6334323156534754,-0.16723516167779465,True
100,accountant,2020,-0.4529401429946779,-0.15910687189770753,True
101,air traffic controller,1920,-0.30648579735808185,-0.07441077852800378,True
102,air traffic controller,1921,-0.32497597163046554,-0.03914089685313176,True
103,air traffic controller,1922,-0.3761111044201955,-0.0722904239240598,True
104,air traffic controller,1923,-0.4492499620111491,-0.06023198324456356,True
105,air traffic controller,1924,-0.30175440748285903,-0.048321315565254506,True
106,air traffic controller,1925,-0.31396308660627115,-0.059226175818989826,True
107,air traffic controller,1926,-0.3466941042949942,-0.06649029342305575,True
108,air traffic controller,1927,-0.3016954590676263,-0.07349275823159962,True
109,air traffic controller,1928,-0.3247521737527266,-0.08767697340228578,True
110,air traffic controller,1929,-0.3306465760893611,-0.0979588075991236,True
111,air traffic controller,1930,-0.3759732994621551,-0.058918304784814676,True
112,air traffic controller,1931,-0.2886833288384853,-0.04236932570210244,True
113,air traffic controller,1932,-0.33302795950030295,-0.08115723735058349,True
114,air traffic controller,1933,-0.3302671471666034,-0.07977795437040916,True
115,air traffic controller,1934,-0.18467408462043916,-0.048203441870023116,True
116,air traffic controller,1935,-0.1879188884460858,-0.040631163384148655,True
117,air traffic controller,1936,-0.16283957571590948,-0.05579518411666478,True
118,air traffic controller,1937,-0.11216559790011782,-0.04671874947555808,True
119,air traffic controller,1938,-0.1190597094623818,-0.035022208383176275,True
120,air traffic controller,1939,-0.12450859435136673,0.008022221590463282,False
121,air traffic controller,1940,-0.08440302481228923,-0.025194955513215524,True
122,air traffic controller,1941,-0.09355626574870528,-0.020170917925990687,True
123,air traffic controller,1942,-0.04756420359906372,-0.041357388745473185,True
124,air traffic controller,1943,-0.06345674510068887,-0.024321524486035424,True
125,air traffic controller,1944,-0.018159049234368733,0.0301544593844156,False
126,air traffic controller,1945,-0.023856678969549024,0.015646820590826532,False
127,air traffic controller,1946,-0.031156576134044843,0.013341507905358893,False
128,air traffic controller,1947,-0.01449556719071162,0.006139860746576113,False
129,air traffic controller,1948,-0.05218097047969022,-0.0515412549238842,True
130,air traffic controller,1949,0.06559302291961708,0.04557307131885797,True
131,air traffic controller,1950,-0.10749279055050467,0.008880870680580485,False
132,air traffic controller,1951,0.0393564535035513,0.05345103151521878,True
133,air traffic controller,1952,0.026081966375306492,-0.022832281296115274,False
134,air traffic controller,1953,-0.10186741955935384,-0.007152850699820209,True
135,air traffic controller,1954,-0.04404354622257384,0.0024053697402726965,False
136,air traffic controller,1955,-0.034218934196673656,0.00454805720473844,False
137,air traffic controller,1956,-0.05979264906802648,-0.005474074255559482,True
138,air traffic controller,1957,0.01446660073672268,0.012345332579239868,True
139,air traffic controller,1958,-0.0303775820435653,-0.010474031381970384,True
140,air traffic controller,1959,-0.08973793912216019,-0.0012663527108639607,True
141,air traffic controller,1960,-0.08186952431896423,0.003579347621544804,False
