index,yob_isomap_x,yob_isomap_y,yob_tsne_x,yob_tsne_y,yob_umap_x,yob_umap_y
accountant,-0.740993923343104,1.4387220963868124,166.54016000000001,58.916252,3.9007330000000002,0.8090698000000001
air traffic controller,0.5071598002225247,0.5195544349421335,73.244156,-109.31583,1.1859187,3.9328547
architect,-1.0410423804745514,-0.1472670400465643,2.4703715,173.0899,8.865506,8.627411
artist,0.7117951794916324,-0.5420874522202883,47.97858,-200.11989,1.790646,5.3565016
attorney,-0.5238952533201999,-0.016883043240875476,-70.34035,57.553368000000006,6.6899395,7.734948599999999
baker,0.4505774762378937,-0.7789048541224702,-92.1257,-92.74458,-2.0415864,11.613259
banker,-1.3899289507204915,0.007944262115228456,0.8527896999999999,209.41054,9.686731,9.332075
bartender,0.6261821216698955,0.3490194694218078,112.30788999999999,-60.950188,0.9199428,2.6089365
barber,-1.083588064822773,-0.02832187800118805,5.259633,235.56682999999998,9.371499,8.61536
barman,-1.2921427141360846,0.0637032778398716,5.6682024,225.1215,9.641672999999999,8.758225999999999
barmaid,1.038136840315095,-0.9402753014530016,-132.75331,-114.054825,-2.6300318,10.705555
bookkeeper,1.330076474666627,-0.3525090054276044,-141.25581,-97.61397,-2.7045372000000003,10.866972
broadcaster,-0.09323671805782613,0.4641512830185348,69.731964,15.165506,2.7048254000000003,2.9483237
builder,-1.336068027611177,0.06609479604390259,-17.439867,235.24222000000003,9.852822,8.738159
businessperson,-0.7759844223020538,1.507338706470854,154.53976,56.115086,3.9712767999999996,0.84996223
businessman,-1.721211702361238,0.014745626459688474,-13.876153,205.46812,9.611229,9.241465
businesswoman,0.9483431743837568,-0.6915727475885316,-115.803375,-100.30076,-2.3880696,11.034075
butcher,-0.8335447752916499,-0.1989487058963308,-21.52644200000001,88.63689000000002,7.9002633,7.8603725
captain,-1.2186128603529194,-0.4900744692599494,15.250077,119.76239,7.6300845,7.028515
carpenter,-1.4600870209849974,0.12581412705350614,-24.694447,244.3749,10.13791,8.8494
cashier,0.10404709791029597,-0.08853320310382462,11.146666,-46.38535,2.5782712,4.720003
chef,0.9440466707121156,0.5147714825260478,125.13268000000001,-68.415596,0.6857813,2.6216974
coach,-0.7593455896884219,1.5392969635761282,161.20398,47.255221999999996,4.046675,0.8787879000000001
cook,0.6670891801947205,-0.7528989355144318,-101.07558399999999,-101.10727,-2.0238934,11.289458
computer programmer,0.8762025304841001,0.3239244931071491,56.832703,-116.25799599999999,1.1917201000000002,4.173763
dancer,0.8754224388199918,-0.9397343140919316,-142.98532,-112.66389,-2.7319169999999997,10.793239999999999
dental hygienist,1.4940130098098128,0.5033499947294746,53.355236,-163.66391000000004,0.4143552,4.343535
denstist,1.0747463536732915,-0.21106163662356245,2.386129,-141.92271000000005,1.3266497,5.0530696
designer,1.1917661762572245,0.2723485837675507,35.452667,-141.27414,0.8065384,4.6649275
dietician,1.7025268060491645,0.3166550717191361,-39.04014,-220.33972000000003,-0.26325184,8.545595
doctor,-0.5883341662168159,-0.28450620536115484,-24.808949,63.395,7.3686914,7.9928794000000005
economist,-1.3871739880921656,0.9519888855233404,594.1357,-833.2196,3.6390972,0.3523672
editor,0.5865053626814715,0.6930099697873516,100.52163,-24.111897,1.8258892,2.2025308999999997
electrician,0.27107323625233376,0.6758807720847059,96.57432,-12.3137865,2.1941025,2.3528130000000003
engineer,-1.1976107261966578,1.0578159962486802,164.70748999999995,70.40947,3.831321,0.62384796
farmer,-1.346119585302693,0.2188506126477512,-20.11674,256.053,10.2308,8.74916
filmmaker,-0.21475586750610845,0.07639631938548185,48.907455,1.2511529,2.9267316,3.2405619999999997
financier,-1.647060842011948,-0.1548944545782403,20.520247,197.40166000000002,9.433862,9.315906
fireman,-1.3168745881930644,0.2270556694867121,-9.236831,260.2723,9.867165,8.533536999999999
fisherman,-1.0019433765713324,0.015412784135157832,5.0272856,251.27876,9.489607000000001,8.451316
flight attendant,0.4059154943282613,0.1929812687050234,101.36238,-51.124072999999996,1.1894776000000002,2.7096431
gardener,-0.37999353106261796,-0.4427799897500497,-25.542904,-24.772585,3.550064,5.895594
guidance counselor,0.5067556868496398,0.5581071023186513,100.81734499999999,-39.950367,1.5274809999999999,2.4451144
hairdresser,1.747467168868811,-0.8249592147161362,-129.73805,-142.71473999999995,-2.3309805,10.259661999999999
homemaker,0.8991629661319516,-0.5187881772165609,-86.32739000000002,-118.859276,-1.8227063000000001,10.969299000000001
housekeeper,1.2153308746075755,-0.8857583461233366,-132.26445,-126.04511000000001,-2.5674,10.629599
interior designer,1.7374733176815569,0.3438192909303595,-42.995373,-231.66547999999997,-0.08649581,8.37545
jeweler,0.3466524451060596,-0.4747760589098825,-64.88063000000001,-16.681581,2.29617,5.4093155999999984
journalist,0.15174971384731334,0.2740808272714533,59.035587,-15.807946,2.4373178,3.1278675
judge,-0.9837517337979259,-0.8769163294748744,-49.81068,138.76294,7.7093534,6.163278599999999
lawyer,-0.7440040510204871,-0.2822246720503569,-55.173030000000004,79.50835,7.0820630000000016,7.3463970000000005
librarian,1.71243039856545,0.31518166156121546,-29.15182,-218.37515,0.07857280000000001,8.1971245
maestro,-0.41079095396899823,-0.7537430060626927,-73.44468,98.69245,6.5688076,6.636120299999999
magician,-0.28969017597516344,-1.0884620134885574,-73.59974,131.47104,6.897556,6.366340599999999
mason,-1.1632144678389589,-0.4146398734843601,-20.864705999999998,127.37047,8.161528,6.7301273
mechanic,0.13366700187156955,1.2709615865909591,131.02809,13.419785999999998,2.7114117,1.465065
musician,-0.6226919734359334,-0.1468420256919517,-49.927883,34.939796,6.5688834,8.085415
nanny,0.6402591732512898,-0.6494735486019675,-88.118286,-104.69089,-1.9066379,11.332725
nurse,0.7521909796926435,-0.5506401553203563,-105.66001000000001,-88.365685,-2.2104013,11.512162
nutritionist,1.2537612741426771,0.5207109215752389,65.17538,-162.23058999999995,0.49720418,4.2017055
optician,1.075778751900036,-0.031701838626745894,12.576314,-137.21106,1.2026992,4.9388165
painter,-0.1087861146587106,-0.6908306342909077,-25.320467,27.349558000000002,6.273105,6.8344383
pharmacist,0.7960085785972146,0.06499199793727528,96.45492,-64.54460999999999,1.0493508999999999,2.8060462000000004
philosopher,-1.3060263895673376,-0.32948212506682456,-1.8894863000000002,125.68388999999999,8.045974000000001,6.976567
photographer,0.8629475816005772,0.4159539300500002,49.014957,-125.23007,0.9831554,4.2838097
physiscian,-0.8503567822829157,-0.7229632265022141,-93.292114,89.45985999999998,6.944883,6.8677635
physician's assistant,-0.7877102512871864,-0.7028075511265289,-84.40373000000002,96.89289000000001,6.7757815999999975,6.728345399999999
pilot,-0.15481117100216818,0.2818931516788074,56.673719999999996,7.977686,2.8655992,3.1215452999999997
plumber,-0.0815015198128564,1.4814951582594027,138.45158,21.896864,3.0190377,1.2534319
police officer,-0.5368631984810665,-0.1461788515487761,-58.47549,55.985992,6.6969705,7.762405
policeman,-0.8063614152784637,-0.17437796432858438,-23.382944000000002,79.325195,7.7098559999999985,7.903379400000001
politician,-1.2268221020039078,-0.10645944565050794,3.7675626,183.86852,9.252297,9.160427
postman,-0.8033062854801869,-0.2329949143058561,-37.90762,82.17328,7.5996747000000004,7.7955003
professor,-0.30262386191956464,-0.3056242204788577,-25.84275,47.870148,6.3040805,7.525838999999999
programmer,0.3897912871456852,0.9297980963850732,113.53811999999999,-2.869628,2.3955321,1.8252182000000001
psychologist,0.5983648938452344,0.2253599063058296,37.83244000000001,-73.48743,1.8147176999999999,4.2238727
receiptionist,0.12073816883183446,0.6689101554505136,77.68822,6.468331299999999,2.5187720000000002,2.7346353999999997
salesperson,0.31492033016269416,1.1140105262464972,122.8604,4.6338615,2.5725417,1.6112157
scientist,-0.5255991619876703,-0.1296395446932658,-52.427525,47.508114,6.761396,8.075325999999999
scholar,-1.2408751167708365,-0.678001764179636,-39.115142999999996,136.11244,7.9553337,6.3591595000000005
secretary,0.019692572469029317,-0.4897574523538016,0.56873107,-40.939957,2.9679232000000004,5.4128675
server,1.1415615997117463,0.5317629651636085,75.13252,-160.33032,0.5502352,4.0611215
singer,0.462826070185918,-0.733956731982492,-78.71396,-24.45948,2.1073467999999997,5.517512
skipper,-1.4728509275919643,0.9560100764426712,40.505367,299.52185,3.7012047999999997,0.41964987
soldier,-1.0167778073526712,-0.2800628329475572,-19.63034,113.637245,8.278638,6.813259599999999
socialite,2.3042336626813578,0.2342913825039649,-39.426243,-245.74411,-0.14989957,8.440396
stylist,2.005070106532886,0.38540988097988826,-29.849876000000002,-231.8867,-0.02524978,8.312582
surgeon,-1.3773069675398213,-0.04094954735332065,5.117817,200.04363999999998,9.461894000000001,9.295319000000001
teacher,-0.10534462330822253,-0.700477672531427,-31.209809999999997,-39.90437,3.4354663,5.803468
therapist,0.7270336139644376,0.12249373026020513,29.854277000000003,-79.26572,1.8886023,4.432764
translator,0.7565255879372426,-0.009615218125036679,9.003426,-126.749275,1.4368546,4.899664
undertaker,-1.0224208694089971,-0.2962141958882201,-9.5752125,111.69349,8.20332,6.952292999999999
veterinarian,1.0978588703746468,0.4542208668487763,50.207024,-137.70096999999998,0.7401333000000001,4.331835
videographer,0.8610567403482362,0.4056780843676291,66.205124,-121.2031,1.0987163,4.0689470000000005
waiter,-0.3169694937767484,-0.4467809463454568,-20.01553,-32.581866999999995,3.4072563999999996,5.772978299999999
waitress,1.4868290442897958,-0.8822945844493485,-117.13212,-138.67445,-2.2673200000000002,10.403689
warrior,-0.7279517664972024,-1.073287277870587,-62.496365000000004,136.83905,7.509825699999999,6.170449
writer,0.4111943713115389,0.04096695175694614,28.860239,-61.025673,2.2650666,4.412016
