index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,Nigeria,Ethiopia,Egypt,Congo,Tanzania,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,Mexico,Canada,Guatemala,Haiti,Cuba,Honduras,Nicaragua,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Fiji,Samoa,Tonga
Sawyer,0.5685153989590194,0.1986850260302994,0.42895135511937815,0.6256061064784514,0.6807746094593363,0.5364944909060145,-0.45138843856178457,0.521777040398198,0.37738329883537014,-0.26424913059382216,-0.025912850269976518,0.049630143896624145,-0.17880554558770195,0.26766289665215315,-0.18302234894379998,-0.3944366355830997,0.8519585763913088,-0.03668535586583282,0.1737314280741339,0.34596165175815674,0.524721689796212,0.04280507235592856,0.19173179131838883,-0.5521355541996773,-0.19045584805543447,0.39629638914769766,0.01244554572019144,0.6691400496085648,0.4692506425838108,-0.23289869560645932,0.3998891161570293,0.17595145585213054,0.039090154613270076,-0.6326603801976315,0.6538677855586539,0.9812835647553086,0.2794796877107736,0.3450303901191321,0.2700178226224251,0.12645567057516738,0.0018360104537912183,-0.18035019706887437,0.5134109030031608,0.13624309192077302,-0.4035446449897762,-0.1286765479271477,0.24747844224931595,0.3738343853601228,0.11217993317725462,-0.13615637406382056,-0.4496080250697467,0.2475040294097292,-0.5716534603447928,-0.03575211061644235,-1.0341860534896044,0.2971427157530077,-0.4788864889678339,-0.21488882268301848,-0.23613401511073034,-0.1948310414072641,-0.6477526791540075,-0.16137307762850225,-0.009691710704395739,-0.4072593850643195,-0.060202882571019814,-0.22211372279233613,-0.5334290928728241,-0.2999386163530813
Vera,0.6824201530428159,-0.008001874841324285,0.4474700906799925,0.1965466244041684,0.8190147517538846,-0.05086645875154278,-0.15768649079421607,0.26745249387007614,-0.31233014061347425,0.19988176930698834,0.618777570688862,0.1711228655870767,0.2738031221492594,0.1855189451743553,0.9521416883444515,0.31861457184185477,0.5082388173246734,-0.11914690431241153,-0.17520362399844222,0.7723365869228744,0.35329434853024827,-0.15049534708964685,0.037300797006995984,-0.4969777232130266,-0.23143690723631413,0.38159803063243014,-0.17630503455895877,-0.06006305415329531,-0.3192800267552259,-0.5612218164459606,-0.27784331149707137,-0.6060178829957072,-0.2414970015574347,-0.8524894830436351,-0.181033874285678,0.389671065534517,0.42845193940172716,0.28610897566855764,0.45818282559195106,0.13919977884938994,0.25700678890745904,0.5889238853949469,0.981336848161224,0.48809295308012246,0.5284749376934716,-0.15988676115114173,1.0539027668723684,1.029721384632034,0.2138250746176239,0.546837476383713,-0.10097379839086659,0.6154609068465289,0.18311967686896954,0.38297063352758537,-0.5800419177350087,0.18964518142747872,0.012042216758597553,0.462063151143096,0.276882307035028,0.4411148949791681,0.08786393278294949,0.4564563773100104,0.5906541696252582,0.33160433988447985,-0.08584263426484698,0.1906804974023891,0.04565270751918334,0.12861686669116687
Beatrice,-0.41261476644713235,0.10729889427495387,0.0680722676821275,-0.4041980493340471,0.0934141464583595,-0.13343279029436855,-0.35305187709431957,-0.3049627578340034,-0.42034040070235124,-0.4457075607031937,-0.44526765988345496,-0.6180188226372061,-0.055504942738193924,-0.3731270512413319,-0.6591233223797833,-0.31858347829154543,-0.5659494047052012,-0.307653510322176,-0.9011799491293913,-0.04203389087590875,-0.025832393818032786,0.34254664707861265,-0.42747728404285884,-0.8479578456259497,-0.8020247310600148,-0.36433382551561877,-0.4011040330408317,0.1512691400563,0.23979068435693962,-0.6591415734175304,-0.19962926238140552,0.38430791915604495,-0.6423768567116487,-0.6464673251769928,0.05722161430613234,-0.03845141694318439,-0.5761155253418109,-0.6681200881100959,-0.5141745505957128,-0.23094303932312624,-0.03624109644328559,-0.3954021747098127,-0.5166136733933151,-0.33019303931755395,-0.5981724151987853,-0.8062306430202876,-0.1088219447346188,0.06888054323097985,-0.6456268695031994,-0.17824445360308472,-0.3144273240720396,-0.2812718771123704,-0.5469252010915429,-0.5240932892311017,-0.2878973015828246,-0.38183001263808963,-0.17483693197115593,-0.4531082530734247,-0.14483382445910087,-0.30862443933339273,-0.38104571059425396,0.15707034726928568,0.576173992272385,0.07860803043584001,-0.3101511222297859,-0.5506724134478804,-0.6303977981575483,-0.7518534143420229
Jace,-0.19449986598354715,-0.3673180205883729,-0.5271527960032861,0.2085570767705536,0.304871020245756,-0.06700589303347577,-0.22079915423394925,0.015841670597418728,-0.16867738086989006,-0.2611132602362469,-0.36787407611782863,-0.1216487558003714,0.06864866805295874,-0.20593647082351108,-0.22606589730317148,-0.2680051821999118,-0.3600013758516884,-0.09995634424100241,0.24664526634287706,1.0177949494669625,0.7561246542387965,0.4671745532415799,0.480518162176249,0.0810124361311699,0.022230496280079264,0.7583614937234655,0.14385336969158286,0.4950696372807134,0.05333116657242673,0.005587350035086337,-0.008435559652939054,-0.4239637102001296,0.32305623254418553,-0.47993533584983955,0.16292709948582756,0.5437963769313979,0.4794029190450532,0.26452794720223116,0.5113749622169205,0.2051564478623468,0.46625432342447815,0.36349354322412475,0.7156067448301644,0.5518269978330775,0.5087393560146143,0.13232088774063253,0.9274872729110272,0.6372636539058516,-0.014295848314704004,0.17948238505604108,-0.14780923271276303,0.3590778546501871,-0.015278228837927649,0.07206809161162547,-0.6914734037422315,0.10452193428348366,0.06989639589460543,0.06650089656047442,-0.22981357762634597,-0.03079068641800381,-0.31834313734928116,-0.07560593657521142,0.15736381914511471,-0.058244293566535175,0.13047417697151997,0.485807711203366,0.7041373900307839,0.32107485905390803
Clarence,0.10426185745984347,0.041728893982375115,0.16184925251083604,-0.3028673023785107,0.48485086502039054,0.19633444201986636,-0.6495317112350364,0.22075834066988828,-0.46031631631711784,-0.14965169888679575,0.37415332213372704,0.03755127816849823,-0.03521580555958178,0.31527513196043455,-0.10088330061195762,0.2589747447588443,0.6903182907014228,0.5082772528989897,-1.5212656201141483,-0.880897411446785,-0.6998039694567164,-1.316519359593108,-0.9185071304090932,-1.0573111332349483,-1.1262405236620792,-1.1371610082294097,-1.4256165505026923,-0.9214275527846834,-0.8865258451797746,-1.4743325395680362,-0.8030983738108474,-1.139055204306842,-1.2009524391144786,-1.78069476044694,-0.5603731460739741,-1.2939006016788233,-0.8420623494816075,-1.2349204929903816,-0.7180891409184003,-0.4984740962677763,-0.6925509654128084,-0.4865433055602979,-1.1962410450426129,-1.0373255163812347,-1.8579515980692225,-1.2225935535372228,-0.5985618753822302,-0.22538930329424375,-0.16149254634907673,-0.6054656718692187,-0.6500808908983068,-0.18365519131524646,-0.8552437222600696,-0.9132449647557093,-1.6651824251091472,-0.23839341086438828,-1.3725747958176813,-0.9385482081918872,-1.2741527631003076,-1.075403170330537,-0.9654384421146246,-1.1458937468244954,-0.8826210677004015,-1.0889053700226472,-0.20374210553055042,-1.4491073919688855,-1.4715916195912064,-1.585637279763584
Allison,0.24650730179011038,0.5751601960906809,0.31404860782391164,0.8120105776117666,0.40804551826106317,1.0034224291357414,0.598705686695356,0.7419439120509139,1.1710789767559746,0.5753685789424553,0.221051285996253,0.533154479889041,0.1923039500100827,0.4294217973266511,0.6042526883775663,0.12426625356550605,0.547630522429581,0.5484564139868136,-0.1664795804421446,0.14238720130280252,0.5106462627727689,0.21831851385890072,0.27502911321609136,-0.37669813697211807,-0.1479148890071351,0.6942445525975974,0.10210773394728784,0.6590114634458251,0.269285012899594,-0.7426236324596274,0.21276114655680245,-0.6655817691926537,-0.166882359721112,-1.5306402753958857,-0.3399171523161833,0.19673693630243422,-0.07819448128329973,0.10575170306040606,0.38139688566296087,0.3312871241592096,-0.04888887890712539,0.09995459679305668,0.013230883697731493,-0.2841887522876569,-0.9401566169137173,-0.44611648415240074,0.3471662161926525,0.21882612672264276,0.40446784432317406,-0.6228465830572049,-1.113905269288184,-0.4109639454052495,-1.0354786964227922,-0.8715245067517705,-0.8095796774671817,0.4706567915684287,0.35627975636938886,-0.06058267504235018,-0.4046122920782965,0.10694669655365889,-0.4670212992215035,0.40806047370120735,-0.24450618849034383,-0.523003426862333,0.3027332788397898,-0.052143551761525485,-0.8966608458215218,-0.22787202449260438
Amber,0.38537284154930923,0.1692737505469829,-0.02347337582335481,0.23147424532878777,0.3850131998667622,0.3629789529421308,-0.026235322542837274,0.4571834405404424,0.3853189866928674,0.1579733265416184,0.1198770730688319,0.6678377267436267,0.43384225514778174,0.2921151254087352,0.38187630592749144,0.319313487923674,0.5460985534664607,0.6314453471392416,-0.957596602866693,0.11254276976893351,0.6864534629873271,0.5292951018924181,-0.4076362104939636,-1.2980773745032634,-0.8541809004226341,-0.0981752410188567,-0.6370221726849173,0.9630868039716666,0.34398147945352153,-0.5919203860133682,-0.8595892310995197,-1.138535398703317,-0.23190376885099917,-1.2912175842959943,0.27319433050494246,-0.5114700216110193,-0.16762173548123024,0.7431750294397328,-0.25549483082445984,-0.018171103048835173,-0.014295357880411587,-0.003874718588474929,-0.08932068307028404,-0.7478726460662307,-0.7361659458193295,-1.0170346261234953,0.03273652986388352,0.6243083360196175,-0.028782476318298177,-0.06998183288649905,-0.7665511499649622,0.09907023807894393,-0.8203875883381966,-0.48296621262204237,-0.7848199325949722,-0.26491631207891014,-1.0496773975015128,0.19038957068845833,-0.8646083029855518,0.07155986006176654,-0.33727912278887895,0.3165607520025548,-0.32408939224472766,-0.7677650941040395,0.4463194308205365,0.005027812603977906,-0.8852539467298939,-0.2601500156069097
Brooke,0.01896190081492498,0.30578163146740805,0.27074687955239707,0.4235356179233687,0.2704911283202795,0.8025628440128068,0.20037476112883373,0.5902751597756473,1.0026413805049366,0.30048266393674483,-0.0029599339874414074,0.45772557092429833,0.07678425345261523,-0.0315950960657624,0.18372758598263061,0.023228716135384218,0.3433450132731692,0.5811287874150703,-0.041070161551473326,0.3777041532064727,0.15443290802004042,-0.026266407407603394,-1.94155060397185e-05,-0.24986620278720562,-0.13922341447709868,0.24397021244395053,-0.3636031255765259,0.07223925645413384,-0.2058224945234814,-0.6292719328451015,-0.18795782003090525,-0.5399806315835648,-0.24313919658404776,-0.9402408519313957,0.16724438673952544,0.10530287177016964,0.23381805137678727,-0.014822815706099137,0.5492737763773942,0.12254977255528549,0.20123138975255464,0.0324173967600062,0.6304606711633344,0.374567402778461,-0.06081973095205934,0.09203245349063474,0.8478599531639669,0.43579033924438465,0.3821169787889094,-0.2092263020486631,-0.4713244480823376,0.1946285936651347,-0.4417452593184805,-0.23740448893508778,-1.0782255587590674,0.4668815906062546,-0.4451898671456088,-0.10307675334924375,-0.38203929698355743,0.039023378773225544,-0.6456786248618916,-0.2384545513875084,0.03462189245025103,-0.11926762928795737,0.19615010682936554,-0.07777266463390498,-0.005097600026560023,-0.050314167813836526
Diana,0.2324276389678054,-0.3739905851958165,0.038087575438450795,-0.14449626102431098,0.13705649669331108,0.033917163724576496,-0.17571885335724047,-0.18565812186426695,-0.5318946173305854,-0.09883812397869525,-0.13810618675087633,-0.1940137801327938,0.25012846689886115,-0.08238005672580838,-0.17721436531669832,0.19295330233678637,-0.02426568222485855,0.5464428081921631,0.22703300434012794,1.2889417541940247,1.185835143078762,0.514248601320891,0.675784298772586,-0.281602761488939,0.13294261590054662,1.154126048559625,0.21896807824274195,0.2611831582348942,-0.06452708321749472,-0.38800257645916125,-0.41992352651852594,-0.8902130917813466,-0.26158849359165026,-0.6985636876834194,-0.005062825475712171,0.6282797500043177,0.8213873686746029,0.38072641947524083,0.07586631275801287,0.1969825817245992,0.4676541079191868,0.4683666775623557,1.0389698408426955,0.3835899745785713,0.5776315166541124,-0.38650546499033894,0.6694918063759057,1.0757806573714948,0.04901380207806499,0.47189712387799265,-0.08796024655402485,0.5385501987984345,0.05849144730835773,0.14680987870299572,-0.7599046086456237,0.04538782123792852,-0.3002204036152523,0.274792692837479,-0.11672338834481825,0.06221742384751822,-0.1532905346713966,0.11548537562289575,0.22805883414920697,-0.2784610945707276,-0.03364612008313324,0.00980251339713679,0.13822480194680065,0.2842008373147428
Laurie,0.0030322396655457985,0.45403455823166644,0.20700449423406214,0.5697400097680484,0.41258571710772235,0.8429902429711131,-0.04385310386241314,0.6091069077797354,0.725016364180498,0.25692314143319506,0.004396106257743986,0.48812812907227754,0.09278733077600597,0.42995922004930454,0.1070313194657601,-0.026023356194179014,0.2786815030529373,0.40432463896938514,0.15896938419545736,1.0214188708492191,0.7554746443711188,0.8109838839819542,0.46061430698611755,-0.05153853771351337,0.17272116583233948,0.741966812323264,0.6700214501905833,0.14518166555177814,-0.06960205404048204,-0.5631043710134385,-0.32154284157637764,-0.614406827628537,-0.41001801204031857,-0.8345824068384395,0.18920707732660116,0.09937369691380728,0.2523909429912965,-0.013830252064846602,0.22201216244279645,0.7527986020695715,0.7640000960587162,0.5535064217298544,0.38026653926650705,0.053394787043930816,0.6379007196546351,-0.4868913953064396,0.9138139657614163,0.7017948455102415,0.2375467933148633,0.34556405229194587,0.30379064862189326,0.39621067130871795,0.10744347064465395,0.1776087207610016,-0.495089664843265,0.06075899539912854,0.16340551398159422,0.3284111494118273,0.1746374265335895,0.5093978112859529,-0.12180525431698623,0.5964274015218606,0.6416852077704742,0.16981078787305212,0.10104171505550501,0.46550379702474537,0.4273164118417672,0.5059044627870746
