index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,atheist,Buddhist,Christian,Hindu,Jewish,Muslim
Evan,-0.042460411627877184,0.04608827650125351,-0.00149987068194547,0.09223696145861403,0.11577183626762859,0.17391321866214365,0.09244948529473616,0.07896259143561093,0.12080489429383313,0.011063693802395452,-0.08570428890168696,0.26701728440932193,-0.271896847612526,0.06772051607042444,0.08421505925860297,-0.07360800684535071,0.298922972433377,-0.15489812850707657,2.735520325183355,-0.8945204904584052,-0.39862437351671837,1.30779540069971,0.49154668370068155,-1.6555037220557987
Gene,-0.06865325346271234,0.013740803019015266,-0.20099452997955458,0.42689838071981073,0.28080818136074853,0.19106425539949823,-0.0007127601537356302,0.104843384106945,0.1877803078500483,-0.25482795781038076,-0.22390792909135576,0.05668100376207824,0.06384686120439256,0.19891556703062888,-0.4349527676119181,-0.09000273436187115,0.1772794792809558,-0.05387351240970156,2.008669748948608,-1.7865034204906238,-1.0842323671718423,0.6857744199576821,0.19995424907657847,-2.3903116986857422
Dillon,-0.5318655295096371,0.11886136166441694,-0.32792723974994303,-0.0383834221440283,-0.6548135545111342,0.42439149516614405,-0.3338906490146999,-0.0033933229039281657,0.16129078117925874,-0.07822718902472627,-0.04783230585914946,0.23866291621483854,-0.47095272949278444,0.14230021646907892,-0.4039762956395632,-0.11309250346156842,0.1951932267001808,-0.15470446081198294,0.3968785198838733,-1.1376845462704117,-0.6520571708635946,0.31916082300400966,-0.06419371190263952,-1.8786598450108583
Marcia,-0.5223944238354286,0.1267569994967883,-0.43172198315623217,-0.32997038950689445,-0.6521151229174693,0.10997790944173574,-0.15632689084724838,-0.1828651075156543,-0.09612556336678194,-0.03312747513617696,-0.25731889882576453,-0.2783945061673349,-0.23854001639333164,0.21079343656864447,-0.578632057015616,-0.22151071801326272,-0.29328212739932175,-0.1700869444803435,0.8020361176240622,-1.123540907186538,-0.6715478162392584,0.6688989794771615,0.1725355274279305,-1.596744088392586
Annette,-0.5720220624778508,-0.33319715872358796,-0.3684501719796981,0.2981428257191544,-0.3558703889857178,0.01091688111819636,-0.44794629333555414,-0.13823619155340625,-0.07784867495831205,-0.44750845174869097,-0.45568088477815616,-0.36683327657555775,-0.35158100344948706,0.07381507977283644,-0.20237247433660216,-0.2512878377561642,-0.4916626593777356,0.2961747630849975,1.89830917780668,-1.1535967718150106,-0.6097493252910818,0.11848912904101487,0.43140560415454693,-1.7710903966512033
Gail,0.17316326356683834,0.2426204758860533,-0.01272513028706272,-0.4339730948555365,0.05425044205039044,0.524310673241981,0.15644942940513512,-0.011782603225128281,-0.2830380182969212,0.30813595248513453,0.27067248045820674,0.6741203326752875,-0.014999252644271172,0.23927712894231212,-0.23432868586784592,0.142056897050645,0.5168695406196253,-0.18682943419232054,-0.6448449459921561,-0.9772654498351725,-0.5221941893269998,0.10219044344604926,0.37658463731677927,-1.2879893711124142
Courtney,0.41690488944702214,0.8261902270732029,0.46394461409529647,0.738540374566935,0.2920662552802277,1.1504628603824452,0.2366023787152694,0.785540976262404,1.0436574250201325,0.4413193182470695,-0.02845308185425059,0.6482710526310742,0.053362071052657875,0.2827012928260281,0.37980281164530344,-0.01810181955211997,0.4138647456891681,0.5207926171653847,0.5363006678923179,-0.9272406682604286,-0.729842097227564,-0.19795529639836698,-0.4873739920266482,-1.5502095269770133
Ruby,1.3825428072515873,0.6325236658336562,0.7068005454724278,0.7962269340084968,1.2700920646302338,0.7908220930352526,-0.21220545608915709,1.0468653118835802,0.4775054748635603,0.03380781500861395,0.28754858204975237,0.662890837912415,0.9027339120684407,0.6479324311807034,0.3870698374748026,0.17920201555601084,0.926911467095031,0.5518154491732121,0.9838275811627364,-1.4543742005089373,-1.1357479578554934,1.640272837957136,0.30612912935750614,-2.0556739460859337
Jessie,-0.06361227649027358,-0.06876697482454094,-0.39224379744726356,0.6480394221328428,0.041420562165121445,0.2959095280971252,-0.1346445083084518,0.10134035000702812,0.2521411404317124,-0.20477878432523944,-0.36896712565610307,-0.06677406708327954,-0.49540981134718526,-0.032484635591693393,-0.46016329123653776,-0.5200601615517207,-0.33037215018605687,-0.6539734159293322,1.5451252043590271,-0.48550840187607736,-0.37403166291984913,0.2654790366576426,1.0393574160417993,-1.5422817882085142
Victoria,0.3122296695216424,0.28858865230808667,0.36355331689992326,0.3348837801443841,0.5798882845958874,0.28903166375603917,-0.07490324424096179,0.6468623057760554,0.4359573632502149,-0.01041523498201142,0.02139713510972925,0.18785217945565263,0.2675737513428861,0.14080602444050838,0.3028125402892569,0.1717752747908885,0.38198800714142883,0.8857175361653227,-0.7890570666177193,-1.5314561315719082,-0.44487548514449493,-0.8389237998723372,-0.6471891443457081,-1.7251395931714946
