index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling
water,-0.46297305169594816,-0.26218817761889357,0.12820336982612007,-0.5359835084087416,-0.1134978396824833,0.10925890925885251,-0.2106743064531419,0.009804163664312396,-0.37538947089477454,-0.9966291510164258,-0.7460620634942411,-0.27766614511617344,0.05137176308487602,-0.006481244321012427,-0.3990030668837396,0.11412774253456029,-0.38967365574575746,0.31309206400171813,0.8435048401178793,-0.6419330393609796,-0.22117526024849485,0.20155632971619764,0.3117997337119848,-0.30063875361266557,0.008171690903778856,-0.30642799021394457,0.19133865864544003,-0.4101174704400859,0.7651896884438618,-0.2777604608571503
coffee,-0.11125354546740887,0.08801944887772341,-0.12247051132455743,-0.23727144389823526,0.1051679558412824,-0.08145487191667805,0.12282380537402918,-0.45191126875222065,-0.053768678587691236,-0.16193122509841268,-0.17334470364520982,0.12914160752050557,-0.06357810104935055,-0.08049351149974358,0.009678537045802054,0.008726400944429039,0.16914370930477793,0.28438301930247206,-0.456822643442234,-0.3339975923593269,-0.2946703545724299,0.1863292471288659,0.027541758436755333,-0.3232768601091815,-0.31299783928396363,-0.3923962310056813,-0.6591736191176459,-0.27384205451795274,-0.31844921785659225,0.030818880314559212
tea,-0.23539941557496408,-0.29165137292866045,0.672234163021579,-0.2624213693282451,0.12690266411288692,-0.21568805747575168,0.04490818440240756,-0.09978105611581678,-0.29817404670675013,-0.8785999035823808,-0.07607835511523202,0.04864044205809669,-0.31782856321100084,0.30265473956022665,0.09473998836705376,-0.16029092065261952,-0.0314725878048588,-0.2279136911393205,0.2871616208592268,-0.2397075326995768,-0.2271974965115343,0.0107383607342648,0.1868811584126138,-0.29611005464181867,-0.13290620028634462,-0.2447013407549066,0.3833541864147152,-0.37142104808156445,0.0021844589948017933,0.13921772108017377
juice,-0.28163573797264163,0.13425194830103565,0.13207764809872893,-0.13779423429072335,0.1612104180707011,0.3009825662626825,0.21050127618189754,-0.07154603352677089,0.0356738528159986,-0.394270910873811,-0.24847549736402658,-0.07583919875080841,-0.01617501103651204,0.3859979551237336,-0.10603190714011101,0.12021282898536366,-0.1032641543365139,0.28314771660063903,0.8678893056791614,0.02812368690634566,-0.2460875116662855,0.36467550178638786,0.4203085575901967,-0.10848002569698975,0.0015703515256021412,-0.6422220885716268,-0.0793196845895319,0.352932754670874,0.5848623565103762,0.28773456818087895
milk,-0.6653639728721843,-0.6746636671328847,-0.1193537983127647,-0.4218069415419537,-0.6145205967755464,-0.3252203405270129,-0.6973191349305087,-0.5322519434108968,-0.37872974715895436,-0.8255339268138218,-0.620539273867409,-0.9190154500694071,-0.5893168622468669,-0.3500705365725345,-0.5427694801908565,-0.02510449861111209,-0.32729341758936964,-0.3512016153568409,0.4008267477970922,-0.827632549614144,-0.7050537777782911,0.14565387026571405,0.21283686877529323,-0.21127138284811092,-0.5130852518308812,-0.3407811184789416,0.5674120163232306,-0.34174546394459604,-0.07608875806744297,-0.5400553815389292
soda,0.26961537358259013,0.7628011381995436,0.08642844702135882,0.40511008166187285,0.4483109819354178,0.6683958294991897,0.6681230424105902,-0.13717461204527528,0.8830717935595992,0.36652760943377943,-0.19195381540810263,0.3479477628438581,0.3826673438061681,0.2892317295053765,0.263514400830306,0.4404459086999583,0.14871551429696941,0.2067592495005631,0.6534395824423704,0.29498109311776805,-0.09877478222582692,0.754573594571816,0.9254254515335957,0.25533271620264325,0.5733953223371907,-0.17335301509864043,-0.3829980551011718,0.9056529877320212,0.9548338541297982,0.7446700469138827
alcohol,-0.2256267463670051,-0.46370747610304447,-1.0078256696846606,-0.5321094636719277,-0.48988007891124685,-0.4838265947862234,-0.579010106688911,0.39301214104658255,-0.5905225745856019,-0.2576266809924296,-0.47588836868285694,-0.4640440426677322,0.37046718208132057,-0.6958014378454175,-0.17174640917561784,-0.24023557241024357,-0.34661723994746896,-0.3612849821733709,-0.9326231195345821,-1.1321879813560343,-0.4823534457543977,-0.22640129706474318,-0.6701812452993835,-0.2972113422897551,-0.3399957508319692,0.1429831172158766,-0.6980194525137541,-1.1065318596950064,-0.9280314751859936,-0.7843168939485365
liquor,-0.1221662026976984,-0.012853420327680895,-0.5443543694413925,-0.1333380139653299,-0.2009357509753038,-0.24733482672169146,-0.2588382219034102,0.4722608731590289,0.09865510283414107,0.10690492507004155,-0.3532487944786228,0.000984445758156043,0.08265493417947875,-0.32853101343509916,0.15749111901408863,-0.5124018290951322,-0.22368605417080728,-0.715573381913771,-0.757026926155166,-0.2158823815468438,0.023167521462650345,-0.11465359172521151,-0.20847297186000927,0.3007804777575786,-0.1637020518016503,0.17959436741836834,-0.29341793916376085,-0.43782740144790444,-0.7548573683985692,0.01326501887555796
beer,0.8374605758090747,0.8160079672824094,0.5725072677099599,0.9976468051636929,0.41889615887985115,0.6526473180553828,0.6193257730580759,0.17183485512084165,0.8681531241747145,0.9844994384911158,0.9375204059379417,0.5281855620066956,0.2907624470413507,0.6246498524571128,0.5388732685581279,0.2380251538188989,0.6231251767965242,0.44243953624021864,-0.3115494618153312,0.8895333173241378,0.3073539164225564,0.3481676331076511,0.5559214515746572,0.6146620372051617,0.4849545715444084,0.5458443535933559,0.002189405944880779,0.983078323831003,0.2962672055169722,0.7436806549105515
wine,-0.12325739243195404,-0.14747293040967366,-0.2154279698182084,-0.3652261263302141,0.13161137327996345,-0.04650812541611146,0.0947901813826736,-0.0631810134811451,-0.21963679804539432,-0.49573080512881756,-0.1853647229339821,0.08656526149729998,-0.2197711214240747,0.04109492850216891,-0.17592158669979235,-0.5199062228581012,-0.28796924346765496,-0.05898424213713897,-0.4042588473251779,-0.6018525293445799,0.01563563799192937,-0.22949669465367778,-0.34523664396947695,-0.08542260313670184,-0.14129848397762032,-0.08780391982144856,-0.27293069842377926,-0.45354644259481997,-0.7906013122646992,-0.17738174551133248
vodka,0.5168572366818284,0.5528952760485573,0.09876863327494148,1.0869129177975878,0.48804959701231965,0.5449598445046014,0.6159931125011303,0.3554583958378767,0.40734279200024076,1.0297616844860622,0.4917831662734486,0.49689905652043653,0.10340447145674393,0.6359686604262574,0.6555582603848245,0.7737640107449092,0.9696165113248306,0.20153330048142312,-0.08580744236600424,1.3272678822661976,1.104177732861716,0.7008313866486904,0.5389008200176061,0.5631392995156731,1.1701726340575516,0.34819470891798415,0.25264066637440535,0.7826562719959508,0.3320249212374429,0.642796334998056
whiskey,0.16528447092300727,0.3144831763113679,0.1971079158563884,0.6444356919516899,-0.05083893838668501,-0.3934939988882536,-0.026379247230163872,0.34890094050777115,0.6993613356401286,0.8147378747037586,0.2823743904775248,0.4899471643869032,-0.0683279651296452,-0.39149320684979433,0.8668138009352353,-0.05065974091554855,0.2919774482495849,-0.6830403008577509,-0.939564793905987,0.7981629985059926,1.363287323528503,-0.06926005089566678,0.15257837078878267,0.9413322437141198,0.27904032218776215,1.0786319966994116,-0.05406557629140932,0.44269420121668884,-0.5946309742309001,0.4368471422826814
champagne,0.8366867031097509,0.7539096167526478,0.8870032955034622,0.9599714101641743,1.1479532598066151,0.7094351437188631,1.1732266350971754,-0.016560455227203265,0.8246631559252263,0.6147719361977755,1.0674638712574422,1.2062961405060992,0.4687291066455221,1.0929551657437997,0.8288117442214751,1.6442430209081396,1.23717751975852,0.5337683879060409,0.2705404588882508,1.1750754669722798,0.6268346072754198,0.8623872508369541,0.5260943694951206,0.45446587196125743,1.1222811642207797,0.7904225436768711,-0.342816813183292,0.1321675720928948,0.5908440928417307,0.9933128964071787
