,beverage,age,direct_correlation,indirect_correlation,same_correlation
0,water,1,0.3462652279523513,0.15574434022858955,True
1,water,2,0.8648417373262786,0.13801850350211142,True
2,water,3,0.9321679128083946,0.1380030473783417,True
3,water,4,0.8773263404831407,0.11926069100498772,True
4,water,5,0.8408985977942407,0.09521123227207404,True
5,water,6,0.8441981622363721,0.0877042049761612,True
6,water,7,0.6943940449306074,0.06934266167424663,True
7,water,8,0.7183569608220585,0.04130090615094048,True
8,water,9,0.599438008850303,0.03667024105090471,True
9,water,10,0.3908854849673764,0.004592114679606886,True
10,water,11,0.241001996201095,-0.039707573066848516,False
11,water,12,0.2052785967097111,-0.047172035103857916,False
12,water,13,0.05547685643319565,-0.08695442926751024,False
13,water,14,0.044075831156543496,-0.14801937440308735,False
14,water,15,-0.09742147075228157,-0.1941660041115761,True
15,water,16,-0.28362246231704524,-0.2103563674338532,True
16,water,17,-0.4026868043441415,-0.2290738573225489,True
17,water,18,-0.44907887755401904,-0.2007795967253116,True
18,water,19,-0.6541997659333262,-0.2059820438689252,True
19,water,20,-0.4373004067407568,-0.1628739284880769,True
20,water,21,-0.6375339259817641,-0.17621346055113835,True
21,water,22,-0.6335766490725121,-0.18000343981118785,True
22,water,23,-0.6978528240919271,-0.18093660163919528,True
23,water,24,-0.645228999773602,-0.18577313919658092,True
24,water,25,-0.6198651936481545,-0.15988683331032846,True
25,water,26,-0.6374771216351668,-0.1724936225401046,True
26,water,27,-0.8065823010054259,-0.17761942761077312,True
27,water,28,-0.639243660755707,-0.16441387461302764,True
28,water,29,-0.8686564735071752,-0.1789584394257102,True
29,water,30,-0.6852216276361798,-0.13581117992811964,True
30,water,31,-0.8480332085471186,-0.16000170575843675,True
31,water,32,-0.6589504378970117,-0.15410829932455258,True
32,water,33,-0.7555473107029197,-0.1589877943525656,True
33,water,34,-0.7326668348161661,-0.16060003958219682,True
34,water,35,-0.6951975682952828,-0.17266333377904328,True
35,water,36,-0.7038394375819342,-0.15291528643190574,True
36,water,37,-0.7056277522903106,-0.14446677739576055,True
37,water,38,-0.6115506961545665,-0.14764417604006758,True
38,water,39,-0.815017861310188,-0.15584512238706735,True
39,water,40,-0.5813206821782289,-0.11235736840063013,True
40,water,41,-0.827800340398352,-0.1595760915990386,True
41,water,42,-0.581883093619912,-0.1514339363364189,True
42,water,43,-0.7635408893569484,-0.16009825085782878,True
43,water,44,-0.7407803754182397,-0.16060794276765175,True
44,water,45,-0.7034750397638008,-0.15516000650408338,True
45,water,46,-0.5410931153717051,-0.1397336251921278,True
46,water,47,-0.727408849173567,-0.14838066535868472,True
47,water,48,-0.6062099431912821,-0.13846839200489786,True
48,water,49,-0.6636672762122262,-0.14759315880542515,True
49,water,50,-0.4349100274636709,-0.094530656216785,True
50,water,51,-0.5948279439907763,-0.13572214456669798,True
51,water,52,-0.4083572791955427,-0.10891643509124282,True
52,water,53,-0.5485582782217373,-0.1141707407604818,True
53,water,54,-0.5408708611619949,-0.13005425708283774,True
54,water,55,-0.4805563265006485,-0.12987362592895818,True
55,water,56,-0.483367974046997,-0.12175224250002525,True
56,water,57,-0.4811395707075283,-0.12586013875414118,True
57,water,58,-0.42689101454930745,-0.12779788905747172,True
58,water,59,-0.5541284925296348,-0.13836304895222054,True
59,water,60,-0.3397418548086242,-0.09935104865129694,True
60,water,61,-0.5801382516502042,-0.1367372633783666,True
61,water,62,-0.3673316200106447,-0.12383298426907148,True
62,water,63,-0.4379360386970045,-0.12273229219581433,True
63,water,64,-0.29441997066468595,-0.11517198070982645,True
64,water,65,-0.2481594903746833,-0.12405982698856778,True
65,water,66,-0.422238120138219,-0.1090470671098885,True
66,water,67,-0.4237417996480203,-0.11984009314273765,True
67,water,68,-0.2414345485373964,-0.11045674610709448,True
68,water,69,-0.4849819019250772,-0.12914308412025474,True
69,water,70,-0.26374395949335,-0.09313675363349497,True
70,water,71,-0.4446800834876716,-0.12821748853339426,True
71,water,72,-0.3979930393805056,-0.0979573483161191,True
72,water,73,-0.4620144276261896,-0.12147545155595338,True
73,water,74,-0.4071103344437724,-0.11926030488050945,True
74,water,75,-0.2751784313553936,-0.11783398014827386,True
75,water,76,-0.2707294180419123,-0.1138969292420464,True
76,water,77,-0.3548097896891531,-0.1212182091308238,True
77,water,78,-0.3978905483453795,-0.11411224180179087,True
78,water,79,-0.31109190310158097,-0.11326439201697397,True
79,water,80,-0.1992731366705871,-0.08949866005734594,True
80,water,81,-0.3257350193281208,-0.12251096089033495,True
81,water,82,-0.25073646227147445,-0.1060612259549286,True
82,water,83,-0.38379242945232056,-0.1169234967493823,True
83,water,84,-0.28212066259889906,-0.10820166342174622,True
84,water,85,-0.2555034177776763,-0.11602348688349125,True
85,water,86,-0.3430583779831773,-0.11091966306666526,True
86,water,87,-0.423059354549626,-0.12299164709244605,True
87,water,88,-0.37735448905353147,-0.11171994632267457,True
88,water,89,-0.5052463518025161,-0.12711999716618133,True
89,water,90,-0.30782728785868674,-0.07854445020641564,True
90,water,91,-0.5167597575377957,-0.11330541615304628,True
91,water,92,-0.422053541959087,-0.10720707947662524,True
92,water,93,-0.40370872907808736,-0.09870852114065842,True
93,water,94,-0.3682580999733257,-0.09791890926042823,True
94,water,95,-0.2039681372459947,-0.07640422727329761,True
95,water,96,-0.33340387518857895,-0.07398193689584921,True
96,water,97,-0.20099839383803728,-0.07481428674074014,True
97,water,98,-0.10332894830785964,-0.05804495347735384,True
98,water,99,-0.13177798667166146,-0.0404858325827485,True
99,water,100,0.11662959861231136,-0.011478864666598908,False
100,water,101,-0.25803442806075644,-0.031241079788518436,True
101,water,102,0.033975870512677316,-0.024046436551552128,False
102,coffee,1,-0.217738075374882,0.006456996434427794,False
103,coffee,2,-0.002105591909940772,0.011286725321461542,False
104,coffee,3,0.01817392158902255,0.014801912073034685,True
105,coffee,4,0.0068933386495968,0.026544235578051915,True
106,coffee,5,0.07409607780201623,0.018368049162098048,True
107,coffee,6,0.0023460230471541122,0.017036085001480274,True
108,coffee,7,0.0058842623142127785,0.02300451867725004,True
109,coffee,8,0.01674909607992631,0.023786110451543597,True
110,coffee,9,-0.07833879189723843,0.0180312160838442,False
111,coffee,10,-0.06824176804757473,0.007200854437281041,False
112,coffee,11,-0.08243072700618867,-0.0002760774489419985,True
113,coffee,12,-0.180013910536724,0.006775154060422422,False
114,coffee,13,-0.1837522185779412,0.007991678158879266,False
115,coffee,14,-0.14212119033054746,0.029916221634910964,False
116,coffee,15,-0.13224717298203045,0.035149706445695136,False
117,coffee,16,-0.18309487805419164,0.047091528191227965,False
118,coffee,17,-0.18852667456728572,0.04965309441687337,False
