index,gender_isomap_x,gender_isomap_y,gender_tsne_x,gender_tsne_y,gender_umap_x,gender_umap_y
Nigeria,-0.3904719044225571,-0.07161696434322888,4609.417,-472.6445,0.46111113,6.468693
Ethiopia,0.12411675944054915,-0.04551929808874144,256.008,-112.54676,11.199271000000001,4.1559153
Egypt,0.20788313068273376,0.06373295613677364,147.44568,-143.54516999999996,10.572458000000001,4.3010025
Congo,-0.28484900793970336,-0.07233253737774481,67.235916,267.01852,0.13932644,6.9374759999999975
Tanzania,-0.4539804200716249,0.007459406728187708,36.991467,157.36557,1.5340635,5.3885856
South Africa,-0.2142894533683269,-0.12696470879907126,7.317141499999999,285.70932,-0.5189636,7.2702446
Kenya,-0.4780196935243018,0.025396529375620758,-11.796346,178.31735,2.2984927,4.3072867
Uganda,-0.3913783528646768,-0.01984869467481091,72.708694,183.89433,1.0819908,5.8456306
Sudan,-0.4334103307421337,0.1506025607337023,-42.918045,183.56473,2.5982666,3.8601629999999996
Algeria,0.3505807353626568,0.07988064640250671,121.864975,-36.251137,5.868589,-7.3703423
China,-0.08515910329506561,0.2845441095955504,-62.998474,31.435244,3.9954487999999997,3.8922133000000003
India,0.4163030404597993,0.09393384989587976,81.39413499999998,-18.940912,6.198208999999999,-7.1093744999999995
Indonesia,-0.19477412983422293,0.3272838158160824,-87.06730999999998,53.237324,3.8371858999999997,3.7206702000000003
Pakistan,0.5154906619641376,0.1150895511959658,-14.052579999999999,-20.2877,6.9296966,-7.0698104000000015
Bangladesh,0.13942413351285665,-0.05848637228474424,219.26183999999998,-66.73791,11.055048,3.9080275999999996
Japan,0.12637872385334445,0.10439715675768704,181.9879,-142.97745,10.582529,4.2095685
Philippines,-0.30907465247046945,0.300814147909035,-43.24008,91.4822,3.58225,3.2918556000000003
Vietnam,-0.1850470891609037,0.3465375538740583,-95.34021,18.146406,4.009752,3.9316976
Iran,0.546035505351846,0.1213724691286888,46.120438,-176.17596,7.072172,-7.8252625
