index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,accountant,architect,artist,attorney,banker,bartender,barber,broadcaster,businessman,butcher,captain,carpenter,chef,coach,cook,dancer,designer,doctor,economist,editor,engineer,farmer,filmmaker,financier,fisherman,gardener,journalist,judge,lawyer,librarian,magician,mechanic,musician,nanny,nurse,painter,pharmacist,philosopher,photographer,pilot,plumber,policeman,politician,professor,programmer,psychologist,scientist,scholar,secretary,server,singer,skipper,soldier,stylist,surgeon,teacher,translator,veterinarian,waiter,waitress,warrior,writer
Evan,-0.042460411627877184,0.04608827650125351,-0.00149987068194547,0.09223696145861403,0.11577183626762859,0.17391321866214365,0.09244948529473616,0.07896259143561093,0.12080489429383313,0.011063693802395452,-0.08570428890168696,0.26701728440932193,-0.271896847612526,0.06772051607042444,0.08421505925860297,-0.07360800684535071,0.298922972433377,-0.15489812850707657,0.18429112142835077,0.7066822511904676,1.4184198024513972,0.4120158301213469,0.5081107082354546,0.23372736178738804,0.26964733455986833,-0.2837566647433716,0.6678972736477647,0.5790375834781049,-0.027837458383916196,0.9177975128352797,0.3864438043283441,-0.2775435317148251,0.48945510808817166,0.8454443634405098,0.22548544021754932,0.8361679170306847,0.588023545564116,-0.4988931959175539,0.5537951151652872,0.5100836610112615,1.3749886404107015,0.2911307995180637,0.6144848966884877,0.626502580684306,0.07453813341515492,0.08501818311677811,0.3111603564975149,0.4502476837581553,0.9384936208562711,0.6196288910568566,1.4756167655761165,0.31399536470901496,0.5906747007616266,0.9101832432743199,0.5596412676377703,2.2577105489782205,0.2752796984732233,0.10302304692799277,0.09439180174698124,0.358988011132103,1.2103407286546872,0.8107639439780115,-0.6251046930804579,0.2477179576261748,1.184005134241163,1.9049325220327282,0.4904647610487331,-0.8130495596859851,1.7931054622691764,-0.41432770724355117,1.0951066571445647,-0.12612518831323438,0.47800342788471417,0.6577859180389499,-0.42467651336301987,0.29912044022033624,0.8918666164809781,0.7468121689073731,1.2716088456520518,0.7069873770468067
Gene,-0.06865325346271234,0.013740803019015266,-0.20099452997955458,0.42689838071981073,0.28080818136074853,0.19106425539949823,-0.0007127601537356302,0.104843384106945,0.1877803078500483,-0.25482795781038076,-0.22390792909135576,0.05668100376207824,0.06384686120439256,0.19891556703062888,-0.4349527676119181,-0.09000273436187115,0.1772794792809558,-0.05387351240970156,0.18875468708456986,0.23902994312510564,0.6172475000118264,0.6213990202669665,0.3499214666548095,0.22461441594253365,-0.0009372804323772041,-0.3482941985359432,0.5419999137885185,0.532270403165104,-0.22443980652885076,0.47330081309931205,0.4886109692893548,-0.31308827496618774,0.5220481868636823,0.02402973784293004,0.42403530562861824,0.8123119327395584,0.4409254592322646,-0.4012465830998806,0.6567525255670861,0.8262308810885106,0.2402464930903006,0.4747798123105605,0.6197124958093043,0.7518877529695024,-0.57656084749956,0.019750822541794413,0.18072986016161155,0.13388878363970744,0.4676503106399499,0.26049480997060376,0.190553922665351,0.3612543953496529,0.8229934026882625,0.28873413807212367,0.7497255836029304,1.5259646797985902,-0.22523994352127633,0.40507505427849444,0.07568125472650454,-0.41500517243835966,0.6176279638154618,0.642997950465222,0.11803688393541398,0.5252804507345553,1.804877110137184,1.1775768052298359,0.07765180496092017,-0.25426977569308856,0.4586753404075288,-0.22868452224246036,0.5695112023423416,-0.16110283677069642,0.9235814914214041,-0.06188340945867841,-0.4273680957655345,1.0188108366188378,0.323343880397629,0.4792462249732351,0.8864174554420912,0.11017239258278876
Dillon,-0.5318655295096371,0.11886136166441694,-0.32792723974994303,-0.0383834221440283,-0.6548135545111342,0.42439149516614405,-0.3338906490146999,-0.0033933229039281657,0.16129078117925874,-0.07822718902472627,-0.04783230585914946,0.23866291621483854,-0.47095272949278444,0.14230021646907892,-0.4039762956395632,-0.11309250346156842,0.1951932267001808,-0.15470446081198294,-0.1493437590237212,0.3320057018016186,0.32766839229806627,-0.07349851387386265,0.3333937624623189,0.5031034744806152,0.738297269617658,-0.38004168249205306,0.2525931829022179,1.2449593907745955,0.02435001071618178,0.982363682169784,0.7805751605350939,-0.05741511844046281,0.724869938539484,0.34886157493917935,-0.1634163786022183,0.2928194703355953,-0.10193546779729623,-0.9510434352691288,0.20649763312002745,0.7744555804610588,0.16351405122036794,0.2632414924793046,1.0424589521323726,0.7016439057326027,-0.4660517672870122,-0.016225151716487807,-0.1303057546723326,-0.09107559450665975,0.28198154713215307,0.4032144486757967,0.4538838980844018,-0.3501484672630937,0.2784699786633294,0.6180364426314717,0.6287794388467968,0.5578981137276667,0.04804488935862054,-0.24625970265529668,0.28405350791388945,0.4424939097660473,0.10950864439258755,0.24153068849634624,-1.2080803260548754,-0.46290817548907837,0.2901373953383825,0.5152623943927651,0.013748908571876745,-1.0032415075307768,0.27581792793109444,-0.3133822261527139,0.6671491990261488,-0.06413220094935741,0.6284167936652136,0.04615767317020121,-0.4628770264696561,0.5685878805548417,1.0593422186689998,0.3270645631677421,-0.07511781901243496,-0.41701556848981935
Marcia,-0.5223944238354286,0.1267569994967883,-0.43172198315623217,-0.32997038950689445,-0.6521151229174693,0.10997790944173574,-0.15632689084724838,-0.1828651075156543,-0.09612556336678194,-0.03312747513617696,-0.25731889882576453,-0.2783945061673349,-0.23854001639333164,0.21079343656864447,-0.578632057015616,-0.22151071801326272,-0.29328212739932175,-0.1700869444803435,0.15498128363049563,0.2987476915529938,1.2933730334991052,0.27893085352680935,-0.14144558308740215,0.28503681777067236,-0.929044189548963,-0.4143574937151234,-0.6197632423790991,-0.1261684737540471,-0.5793654175796313,-0.5783082560439988,0.6864614644754355,-0.13005303348193242,0.8348134379563702,1.5304902761289962,0.7478985509137167,0.34995051648431386,0.18946842098032562,-0.26988370877187245,-0.31833233139121087,-0.6870403049442416,0.49163893501773354,-0.5975615026508168,-1.1919393543880292,0.28782039295915013,0.3278889403893867,0.13071473484130858,0.3318710606504665,1.1142855205113271,-0.4902920735932848,-0.39591954463165474,0.6797054091163373,1.8567717673468291,1.9951267083521136,0.8651631494668781,0.3450662745777254,0.9891772293470645,0.5692779122539968,-0.8332536212389033,-1.2808086356016146,-0.7814031367218138,0.4070590263671699,0.05879416486662575,-0.8416023642818435,0.37329064567352443,0.23988566919804805,0.755220078283676,1.0719099855903955,-0.3678348318478547,1.7535410659837585,-0.8256837002940768,-0.11564064400772561,0.9674289467824059,0.041328690005120926,0.7140313653280579,-0.031646476380177466,0.1841354135453173,0.258010545845372,2.5876384416599176,0.4883556452502092,0.5284948120802736
Annette,-0.5720220624778508,-0.33319715872358796,-0.3684501719796981,0.2981428257191544,-0.3558703889857178,0.01091688111819636,-0.44794629333555414,-0.13823619155340625,-0.07784867495831205,-0.44750845174869097,-0.45568088477815616,-0.36683327657555775,-0.35158100344948706,0.07381507977283644,-0.20237247433660216,-0.2512878377561642,-0.4916626593777356,0.2961747630849975,0.07888353603550348,-0.190852862963325,1.5158443217201525,0.42962756160657817,-0.4212593067405828,0.6651378925529013,-0.9718849184795388,-0.07240295145821268,-1.2892997934868258,-0.22976289230803512,-0.7669114963967104,-0.6799513740406498,0.8962060929261153,-0.37192334690528756,1.4107213226408466,1.8181066523183693,0.6352932567411033,0.41045292973031916,-0.2528254264191399,0.2387094152628585,-0.7624188884903973,-0.6104157786235246,1.0597906458178152,-1.2059215129613898,-1.3934844859245885,0.5335088508745147,0.37351704769749916,-0.005894341430253964,0.13033937811867652,1.6613338879340913,-0.46552332105900546,-0.5637030094327345,1.3157909421478315,2.6523351812255975,2.509063039257253,0.7453111379533262,0.2222146928453585,1.0920837949473774,0.6589727181465618,-0.6593364732149946,-1.4901185786353892,-1.1636930987682723,0.5573260473930014,0.24201119405027618,-0.9426613533923891,0.42263509396273014,0.3841523383783559,1.0392416225594614,1.386380949231762,-0.6471667928350934,2.6049950161063613,-1.1038097017312818,-0.09069483321707271,1.1241476142371918,-0.06647326586476553,1.083062697058605,-0.47477297867974977,0.43706595541708476,0.20231307034027285,3.453458180630119,0.9266786397865203,1.200087965836815
Gail,0.17316326356683834,0.2426204758860533,-0.01272513028706272,-0.4339730948555365,0.05425044205039044,0.524310673241981,0.15644942940513512,-0.011782603225128281,-0.2830380182969212,0.30813595248513453,0.27067248045820674,0.6741203326752875,-0.014999252644271172,0.23927712894231212,-0.23432868586784592,0.142056897050645,0.5168695406196253,-0.18682943419232054,-0.13505221408700555,-0.11135908758234868,0.3419034044957314,-0.197572682372625,0.2621567916228137,0.3089942143812382,0.42809470486036544,-0.9796104155513272,-0.3368357626087828,0.7460069720337804,-0.29760752442696886,0.6232117316286713,0.3152945008875803,-0.4548965055090029,0.5005354752741775,0.282477246542897,-0.18918198415004203,0.408796242367863,0.18659746104384142,-0.9671569471824893,0.17004852285304942,0.6111894984163019,-0.29993368963573824,0.19995363736536137,0.2716327205323319,0.7344253447536553,-0.7821237689679554,-0.057312025147110326,-0.288843983961216,-0.12203610431761151,0.015712779414828505,0.2792028196799696,-0.08148825668256729,0.1262237295063068,0.8199445095366371,0.4940451004184015,0.7335746827032511,0.05774846410099908,-0.39463340731631913,-0.40824880320013845,0.321433683723716,0.04747169548557912,0.0912674487654644,0.10392546111327373,-1.2846844780970106,-0.23077584251888905,0.42849463905131824,0.1698471797790957,0.11140825334442045,-0.7223248474318023,-0.12103497220371524,-0.4357183290772072,0.29764365411756805,-0.049235061272939626,0.38598788754008295,0.03615283977268019,-0.7718655205900138,0.527370916917319,0.33520331182369795,0.6748081918844349,-0.15168795250309935,-0.6328313058628459
Courtney,0.41690488944702214,0.8261902270732029,0.46394461409529647,0.738540374566935,0.2920662552802277,1.1504628603824452,0.2366023787152694,0.785540976262404,1.0436574250201325,0.4413193182470695,-0.02845308185425059,0.6482710526310742,0.053362071052657875,0.2827012928260281,0.37980281164530344,-0.01810181955211997,0.4138647456891681,0.5207926171653847,-0.09816881670803512,0.22627369403033282,0.8699311065377514,0.2590193788838564,-0.07730041806074067,0.216034368792128,-0.23249410362781178,-0.5751293531697004,-0.5295290222761495,-0.14722121392721702,-0.633160787004535,-0.1668317493509379,0.4917283917819567,-0.19540109625601426,0.14017296434808899,0.6886900519989119,-0.1631750541475945,0.4205080320360785,-0.29578707569086904,-0.4641085236979866,-0.5072796212878145,-0.14586302800473114,0.17716205586627704,-0.3059274114719912,-0.7463938211474025,0.5055662789476231,-0.2530865506667003,-0.2080350928550746,-0.09529498495747993,0.4712232724695232,-0.08735878082161536,-0.536993639323492,0.21665683896171498,1.259465395595741,1.6118631551750353,0.19821778981912008,0.40760891707213964,-0.057685330726713925,0.22374152800099656,-0.039658700256873514,-0.7875840669095322,-0.2918326398321609,-0.2893740765749845,0.0173051711402412,-1.3337383217763783,0.48638472801577837,0.1622706938581229,0.3552122404274929,0.4064190268682827,-0.7574183246615623,0.16306792489878416,-0.6091812575180009,-0.04259441544299946,0.04027272541263019,0.29580372823080014,0.39806199015164256,-0.7589060728873536,0.5635054689319932,0.10038289202883655,1.2630987981574868,-0.4243342720385546,0.09864868815148849
Ruby,1.3825428072515873,0.6325236658336562,0.7068005454724278,0.7962269340084968,1.2700920646302338,0.7908220930352526,-0.21220545608915709,1.0468653118835802,0.4775054748635603,0.03380781500861395,0.28754858204975237,0.662890837912415,0.9027339120684407,0.6479324311807034,0.3870698374748026,0.17920201555601084,0.926911467095031,0.5518154491732121,-0.7122742528124555,0.015477721112167562,1.2155709139165747,-0.1748819989225196,-0.1816986825787723,-0.022389346743627,0.01744702079171121,-0.9901604146866,-0.46006341083084257,0.004037440786566909,-0.7114222638224561,0.40322846464792617,0.09789792029248261,-0.2647234050567952,0.16345451177696713,1.043948796412177,0.4903261359311229,0.20780503934345754,-0.4737866063012472,-1.0575089816603056,0.17312878446734933,-0.025639608501634676,-0.05014586158898798,0.06005111023351695,0.057636712145517084,0.6523341169286305,-1.1076662936544273,-0.8881849445524533,-0.586623860753437,-0.3466360944454464,0.5592987298599158,-0.44901204254794064,0.5066046794949804,0.5247952723634318,1.1153020079904148,0.8099406406586109,0.360495194343287,0.8297620848570272,-0.5323779959494109,-0.6337874529987543,0.11459112548612273,-0.4112311770122159,-0.1478165217723873,-0.2520541478816606,-0.5910447546400973,-0.056946187927499566,0.7432649573115192,0.4469866277409385,-0.23669388883397888,-0.5725518973327943,0.6587459305636565,-0.5235547432244602,0.26597033859284325,-0.09067665019969519,0.5439821736960329,-0.26784098751676605,-0.5407348564434871,0.6720953260984862,-0.2793675342615047,0.23389173541127625,0.7794586423482976,-0.5034845157016037
Jessie,-0.06361227649027358,-0.06876697482454094,-0.39224379744726356,0.6480394221328428,0.041420562165121445,0.2959095280971252,-0.1346445083084518,0.10134035000702812,0.2521411404317124,-0.20477878432523944,-0.36896712565610307,-0.06677406708327954,-0.49540981134718526,-0.032484635591693393,-0.46016329123653776,-0.5200601615517207,-0.33037215018605687,-0.6539734159293322,0.4909342755286295,0.39591908114941465,1.2425434601453889,0.3061079837678754,0.19953060175912443,0.5972360773043949,-0.4536250050981047,-0.3328503839333023,-0.5442427887401893,0.2583119115174443,-0.47840486390919595,-0.08751807899466961,0.9588268805523978,-0.39281677322578257,1.3095455712578337,1.6823624842128508,0.4770878662979,0.3068904664972586,0.50187893599517,0.01863494862532521,-0.16952974191083517,-0.37645064474788564,0.9912184317828545,-0.22761821620970318,-0.5938618169887028,0.7521787259477614,0.581579084231182,-0.11138506071750477,0.21028952101103499,1.3041375232965757,-0.7746156265153763,-0.011914292301986281,1.0952342527696093,2.2696063553202226,2.222602151572605,0.7636551029510339,0.3441289707921323,1.3499457279672626,0.6949993728848985,-0.5704023289894156,-0.7272103593250513,-0.3058472707066529,0.6923527270682239,-0.10658875710459412,-0.546082564421971,0.23992919268990787,0.336289696417429,1.1420833942428548,1.1873069231948223,-0.9042816809097339,2.0032286440102727,-0.4179641793421759,0.23659364246832715,0.8427403563241856,0.2367268192320076,0.7642414006486843,-0.3931868247726005,0.1404398924735432,0.7244347600940877,3.23390591515324,0.6202472182999932,0.8151236058350183
Victoria,0.3122296695216424,0.28858865230808667,0.36355331689992326,0.3348837801443841,0.5798882845958874,0.28903166375603917,-0.07490324424096179,0.6468623057760554,0.4359573632502149,-0.01041523498201142,0.02139713510972925,0.18785217945565263,0.2675737513428861,0.14080602444050838,0.3028125402892569,0.1717752747908885,0.38198800714142883,0.8857175361653227,-0.1802064033473834,0.11070151209128662,1.4055476789520822,-0.17264816665640328,-0.20788436938446828,0.2920948707560417,-0.6685804861099656,-0.5087382881057406,-1.4998132730297447,-0.04592432294250872,-0.6650785250985467,-0.8223026471498741,0.8482551088881979,-0.17982984521841802,1.4493836325390705,1.781766417093053,0.33675479172054884,0.5699466432292454,-0.37173264647784926,-0.34275182767765966,-0.6120758192013848,-0.5206745583513218,0.21525291788754658,-1.1090193288621741,-1.0586603148684448,0.9723937550768786,-0.3118551496939163,0.07258118939039969,-0.3707447709007694,1.4863689281363166,-0.2454869432283999,-0.2475353484375513,0.4776777485699148,2.8726439750659596,2.483808421220566,0.9973444346708086,0.22608700044830965,-0.32205979035254856,0.43723959000339135,-0.6247630173906401,-1.2299074903953284,-0.6463899382501777,0.005341571639250084,-0.3227793581787827,-1.5072942459958718,0.2483173738269197,0.1523511891171848,-0.19994739107811496,1.2362170847091252,-0.8520582104672269,1.5899694752291993,-1.1142956016577559,-0.4283550711942734,0.9191641588751284,0.017901830813106184,0.932839413592712,-0.7870946843021175,0.3958476106327048,0.07835520521555639,3.202353164620156,-0.036006924036056646,0.14163929410541112
