index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga,accountant,architect,artist,attorney,banker,bartender,barber,broadcaster,businessman,butcher,captain,carpenter,chef,coach,cook,dancer,designer,doctor,economist,editor,engineer,farmer,filmmaker,financier,fisherman,gardener,journalist,judge,lawyer,librarian,magician,mechanic,musician,nanny,nurse,painter,pharmacist,philosopher,photographer,pilot,plumber,policeman,politician,professor,programmer,psychologist,scientist,scholar,secretary,server,singer,skipper,soldier,stylist,surgeon,teacher,translator,veterinarian,waiter,waitress,warrior,writer
Sawyer,-0.24474036952083716,0.005654296783613281,-0.49992951573646366,-0.17910521443983612,-0.17303950616129257,-0.11010917213269418,0.1479925606855846,-0.13561797850963805,0.0617096462149812,-0.9854255317203786,-0.18449227285359873,-1.8329956316920037,-0.9424619008582384,-1.3426206786230828,-1.3166778564135246,-0.1826297908373024,-0.810906764005915,-0.20911785659887566,-1.749149373341685,-0.834304598213104,-1.0433075944897017,-0.9931068634638429,-0.6372876777403392,-0.8333906382215907,-1.4477059827510783,-1.2491989478651844,-1.6535716805539937,-1.2953935231769202,-0.7834999204068029,-1.5601733372241224,-1.1546436787713321,0.09861232750976774,-0.6207964392351997,0.1402806124043139,-0.8456987904950866,0.09901307525489587,-0.4518775634698798,-0.6376824264232683,-0.18672068824581536,-0.4110192355987851,-0.35564346918281,-1.0735464705433007,0.5416275287508621,-0.9236986375679133,-0.5750774949424436,-0.7634669272582683,-0.1536512721475348,-0.38369144488050116,-0.37967610687901504,-0.754902186752866,-0.9071268017279717,-0.1550794666451954,0.3608515541032433,0.06301685748447891,0.20627543187196712,0.13817562058062938,0.3245445161455748,0.39992807571340866,0.035306795019335147,0.16595255051600188,0.558714955645376,0.09672796685926822,0.5195820901696079,0.33576182678970945,0.3855965258706541,0.45932483467714513,0.198379789612798,0.3641308777685567,-0.4264348545469176,0.1408104510404246,0.9165428122948674,-0.5156560404100741,0.9317660696514788,0.3485852713536694,-0.5846022188963159,0.13433099983915317,-0.36041231033440574,-0.17239114886614818,0.13240059415506847,0.2581221784876558,-0.6777289770683683,0.32906288652532406,0.8107101085646984,0.22284014029736895,0.5697707989336191,0.16267275973942247,0.47749108736533713,-0.5305736912760481,-0.15723837067689503,0.12822380296398447,-0.2256998730649964,-0.18598528853786073,0.19301996455350456,-0.014605947185282995,-0.4455385833534391,0.3807037408356316,0.4691374357559856,0.6048622524142125,0.024852564774273393,-0.19965541688727464,-0.6759171211254829,0.38385839960574075,-0.18153329635544926,0.05878990947847216,0.1221531441477048,-0.8514259292329341,-0.18896014088313934,0.41338472460202363,0.35788607675099404,0.012206952649897452,-0.47902962652062964,-0.471257792990387,-0.34395952571859334,0.1710067495100335,-0.008966943478346569,0.26598243113463105,-0.2461293114628794,-0.8716986635398074,0.25639036878632454,0.15142853279629334,0.10139723172837942,-0.18985500007525152,-0.4548831966551384
Vera,-0.37475434204700286,-0.4525604749615441,-0.21786780574760747,-0.09983529531933884,-0.5569805480104311,-0.5706494699172127,-0.7806004071867648,-0.6808797804852258,0.0003105871821309609,-0.17372050528487248,-0.12371022961308523,-0.33766813255837524,-0.6008644903121806,0.06138682022790658,-0.30017993234835977,-0.6575602897349445,-0.39947875210444633,-0.34911205965319647,0.3539554076325113,-0.1775484144473171,0.4982522937202444,-0.3225776631121885,-0.6351775362868869,-0.4757672679794377,-0.29365327775754274,0.15722642415177082,0.5977526229565931,-0.21737816511612662,0.27101472045551067,-0.4163805754075112,-0.1640400089109117,-0.5074777231838559,0.4472755020527274,-0.5365064178518686,0.2956188933300379,0.1172059157136658,0.6419180295873098,0.1212834763321878,-0.02946474371801689,0.31327218971459214,0.2970808431938183,-0.11621830152713387,-0.540220114037529,0.23424041550600505,0.1831928311077196,0.6071051431516356,0.01151829346876365,0.05292636530693922,0.43958681747979733,0.3451023888245504,0.3680489051085135,-0.8435007427157584,-0.38783888110880077,-0.812736882946706,-0.26575462330179556,-0.5638992521971047,0.023427548905325436,-0.5072407535374901,-0.25007249331958814,-0.08481568814439872,-0.6085347896827626,0.15004867766978133,0.07265523693358313,1.559740270972241,0.41908219502098953,-0.09406240481050467,0.5834402238567866,-0.8552231359002134,-0.10966778996148369,-0.8839048174778888,0.07527606215866453,-0.4774374492628732,-0.4602784956706272,0.813098014573407,-0.3865831347798158,1.4741512049236263,1.7607593954538716,0.43833727503344727,0.43595703872607977,-0.0007908408706677575,-0.12326738231516374,-0.3689212771267287,-0.3431547660583144,0.8007147031247448,-0.9524951886126924,-0.7594380431572861,0.759004925077439,0.3063385033623143,0.11530988060409822,0.30319224272389844,1.7000342158282866,-0.37733711833735006,-0.07820973994386533,1.1980676614101509,2.550792008272078,2.2204857993273706,1.0666859221242035,0.3300060990568909,1.1373138908477418,0.6393759859504212,-0.6328086677650594,-1.2117980633683314,-0.7179870377891922,0.5886341321170829,0.16356921618719364,-0.8625694280021129,0.4322353278669312,0.5475629307806966,1.0034767963724132,1.3651727141340906,-0.49485629249193314,2.194478629471792,-0.7804695955101963,-0.06977918877327578,0.7831454375722768,-0.15378335681188401,1.0461997292486622,-0.21087407957125642,0.5167198345673107,0.4201791094617796,3.438820414162628,0.9700684905209436,0.7829503028373856
Beatrice,0.6032530657806314,0.8094621842615903,0.47788878347195307,0.6267853222328753,0.4720665238461929,0.7074694610677154,0.3815170695620854,0.6503570444916319,0.250364827726223,0.6481683868657989,-0.7501948674432591,-0.14545859519196608,-0.08725939170485093,-0.573366339837376,0.2687760625379893,-0.257194272580551,0.37457579873493246,0.024585826683780232,-0.5441073501955644,-0.3874707439749565,-0.38017392646849,-0.014806552500712741,0.07187708434372075,0.7416245359179264,0.7901732910138081,0.27276450636683464,-0.3087189525058116,0.4449144855880781,0.2692571848557153,-0.09972182227182654,0.0049706161528059005,-0.26002770714313544,-0.10256691708820977,-0.28580197944370633,0.33484516756544636,0.4615817692094538,0.1977409816905251,0.4876593120162954,0.2120320096193769,0.4992688969795785,0.26366627194298364,0.2789769779848201,-0.32038839543629016,0.6116744724228598,0.4202454968962058,0.1905099916548256,0.4927304116482994,0.4255290420713665,0.40619639121385487,0.576663029329432,0.617020461585239,-0.16140283850600895,0.2940141937521803,0.13811976694177297,0.37139996632953953,0.3863077158547437,0.07153116150607962,0.8334683296664217,-0.13006442793103767,-0.043381765004291965,0.7954464372988193,-0.9215902222931875,-0.5134014394218647,-0.3950009481339072,-0.9109100549245862,-0.5027925749488212,-0.6910158667060321,-0.47987738016686154,-0.5150102415619598,-0.9753056981255068,0.3620690867515381,-1.1117748170494717,-0.6124258910649156,-0.551663906958507,-0.5819344780049368,-0.48141849471826,-0.9505132185963683,-0.18256466394783086,-0.7345680950860133,-0.6525639998148934,-1.083094594167275,-0.6727099414088838,-0.08318803239074322,-0.7890502602276561,0.33727222951447516,-1.0181816302991156,0.00680131651458748,-1.4791113990194797,-1.10733582989491,-1.0960045362752138,-1.0865963171863038,-1.2059311857239043,-0.8593082740606067,-1.3076006940774296,-0.339993279792082,-0.04627825009114522,-0.4182209794289993,-0.4696326091208456,-0.7360700232368763,-1.0652024168622352,-0.9587487769519281,-0.4116511462691415,-1.0947910270447165,-0.7753548241245823,-0.8276064642755758,-1.4023984527179478,-1.4719703533361985,-0.40250446238118454,-0.578776278170148,-0.5975534007554348,0.5924657215671345,-0.9338154432420591,-0.7075746619648112,-0.7200423904222102,-0.39370955815801456,-0.4590436686242061,-1.2486589186143529,-1.2275071789285543,-0.03037706885279223,-0.8497566576348514,-0.2572739120242368,-0.1676763047344036,-1.548150226148986
Jace,-1.335654342416108,-0.3158363031166031,-0.21739683304193336,-0.7080283249236826,-1.0838022606451363,-0.7167692027587926,-0.7955727094414249,-1.2567054644762383,-1.1426517837096042,-0.07946727298562122,-1.291828060903766,-1.8287311033896683,-1.098729660987454,-1.7989226958533282,-1.249276123396496,-0.41440195109053635,-0.985865264675769,-1.7391429778591707,-1.2612131464696916,-0.12475400710396545,-0.8856852563777704,0.03179962271553161,-0.7774704719895531,-0.16699399251365155,-0.2237032907320653,-0.5175976275983113,-0.16970097238804321,1.5914954361581912,0.5103539240282209,-0.7244280287977543,0.2664604663310396,-0.7801417596932184,-0.821837515876515,-0.8258373322303679,-1.437811944645973,-1.237001929553692,-1.3922458556971111,-0.5818945086739785,-1.08466667496206,-1.1009600914603073,-1.159770054346372,-1.29041607251736,-0.5646213776600878,-1.0142651553539548,-1.0321513325367968,-1.3952997794675834,-0.7235336784720211,-1.0415160931392464,-1.5501799186370728,-1.2667804577107211,-1.1399859624725401,-0.998285160434381,-0.813869031512031,-1.043381233282737,-1.269216420483597,-0.9675501097584185,-0.8169561871866385,-0.8047022171369606,-0.41500665269879344,-0.08556173142576887,-0.9156115279436626,0.17561542024075558,0.3762365773030563,0.9313063324593418,0.2034100549946206,0.3220888636422477,0.545628679432021,0.149525860687781,-0.44835119674013774,-0.05375422055281223,0.6234760074906178,-0.25570380714433716,0.6343563137440215,0.6461797592973808,-0.18057357345167183,0.7188195761145055,0.7258058664892238,0.3630920299635736,0.36990947715961575,0.18876985380443517,-0.47501447993633406,0.1874779659465399,0.10000995644905074,0.25611303534043117,0.07704364886216765,0.2550669894365589,0.6613753002014872,-0.2672532223759888,-0.02544944152636166,0.05567984582192678,0.4186465902682661,0.18510870905528887,0.5191529239003221,0.7278688859237028,0.6585075093184342,0.9024492245846261,0.7708144563518562,0.3904881211511507,0.9695197449903791,0.314593099039997,-0.17381295907606323,0.00041665417072577973,0.05040899504064472,0.11793602584675565,0.006850756145576184,-0.5096740838694241,0.04004309902376269,0.4794691483963402,0.647168188046842,0.47510139720389943,-0.45446199635268864,0.8866480558851586,-0.23162351500870063,0.4526797733987497,0.271438547537174,0.2636320545528208,0.1526197802991736,-0.476175214321912,0.24813020403543234,0.7888326963242263,1.2553451508638231,0.5580558133521115,0.28382421670130786
Clarence,0.07041721573032746,0.061274537850201816,-0.3861217650419603,0.20946876887338495,0.05591197657592252,0.038712573549210635,-0.03960003069894386,0.16384062159009688,0.5779348463629659,-1.0567961838905606,-0.16002714306249347,-0.62085660218519,-0.4204355463415973,-0.9599057269017914,-0.4141121080824452,-0.755270641465657,-0.2516050869782293,-0.2388597541947962,-1.1392513841088314,-1.1354304033035472,-0.6494188367856435,-0.545374032571879,-0.30395992556952184,-0.661592225189395,-0.9012397933433688,-0.8525278540484738,-1.0983771896141807,-0.9387126804115777,-0.6468462328610308,-0.3180951372945336,-0.43331248042659354,0.07899462282051223,-0.34502531157900124,-0.06012490860161558,-0.1001729215070639,0.37879864039708777,-0.06594462111294686,0.1176732276608617,-0.18020190922700702,0.055414007348440965,0.14687272519600622,0.060308816372059426,0.31436165676308975,-0.39038274120771044,-0.12036950519255397,0.02315507030796752,-0.20707094952095378,0.11771823547087812,-0.11461438193516357,0.2744668154185777,0.0607825986466842,-0.07450640859601981,0.24525542529164882,0.024840685098901683,0.41617389848044817,0.29630114256609685,0.38916014491221584,0.32589306835222026,-0.08813306669655929,-0.023467631180915115,0.35574165217623,-1.8175229702253402,-1.4511954958275708,-0.8735471951843063,-0.725609826911975,-1.3022756984907151,-2.513622792271979,-2.562555545165992,-1.0941505880077307,-1.3208102466198586,-2.7344819744565343,-1.1853317387552487,-2.4881327737277026,-2.31528282504898,-0.6664142912316084,-3.0402808001946826,-2.21590531819565,-1.2716339004864425,-1.219964833000534,-0.9873141411580492,-1.5382692079871487,-1.8057556039747782,-1.9264228809697188,-1.393052269400824,0.3071443924927239,-3.1834012853916938,-2.9186045060475916,-1.9746829301420907,-1.44923940050261,-1.2287670631155836,-1.9031825679168355,-1.2511525005695805,-2.7294221133947323,-2.090970180974891,-1.4115011289900168,-1.4802449622893459,-2.599828723843403,-1.6357763705986703,-0.02887489704887721,-3.018087137236439,-1.0972970279869998,-2.1941107232938557,-2.0296895186482797,-0.30744478948001336,-0.5529563524953671,-2.1999412829324707,-0.9352208159441104,-1.12231261501886,-0.40835868626516547,-1.5079977470497352,-0.3237464642474337,-1.9447174690390447,-1.1902671883117972,-1.0662010707886433,-1.6272907727454646,-1.4919025280406482,-1.2678578112253105,-1.9904689364792933,-1.5472083072465352,-3.20063134397135,-2.7581981627632235,0.047838924004467064,-1.9893003384599597
Allison,-0.16462310412691986,-0.11910265795528839,-0.8338322134995032,0.1010683587244387,-0.10891391707245664,-0.3021342831804536,0.14208131961793402,0.09491596876818821,-0.010087687740040697,0.03224845741357782,-0.47465353023828266,-1.3732200132120866,-0.5422502627865612,-0.9230330509759135,-1.1080458263673085,0.08518655744639243,-0.6441265444168841,-0.17785842869351906,-0.3729173105095152,0.06761872301037146,0.121644874624782,-0.07966138666205265,0.17206792252604608,-0.08815717549143712,-0.792079724834135,-0.617125214279545,-0.05313591578424116,-0.03858733759509414,-0.4028912464927984,-0.5966107905835087,-0.09505795052362827,0.6482775646639625,0.3304236748113147,0.9578400094576323,-0.012236714804950342,0.31927939893462337,0.06498768063155042,0.20413573396312792,0.34202620158197344,0.1672570531742904,0.14786310420225846,-0.43854760251399055,0.9306641092629765,-0.14367787104516647,-0.28018204604317404,0.00843829478115688,-0.1027618091765625,0.27627717205642577,-0.24662066544871084,-0.1807627026342441,-0.5029555258395338,0.3064654325991896,0.27994726071814735,0.17190246256038075,-0.12450167653834045,-0.12027766882896287,0.20575082326480892,-0.24612978287031081,0.007754161948275602,0.24668209450490922,-0.06688470680677161,0.19292463179310754,0.2093787588740856,0.5392915848340948,0.3659496328908723,0.357007831669764,0.016308716753128494,-0.26510174295722133,0.02935924107274629,-0.09847795667792417,0.1831762078129972,-0.1590433359127653,0.10108873989141398,0.3342451377507648,-0.16162243654577743,0.0675300526020223,0.45018853067466624,0.07430493497041626,0.28922851846467507,0.35672614362611677,-0.35780825808792244,0.2951319655424988,0.32782629597314705,-0.02541752999778505,0.21125409852806573,-0.1609637911934592,0.555748360641176,-0.26316739346089646,0.0805314521913513,0.08027018761387018,0.3326546416621004,-0.3433910434997101,-0.1273850013547739,0.37498714126616767,0.5456091488351819,1.1781850580001534,0.17809689426048514,0.49604805567651034,0.5292367444280724,0.033617933183882655,0.0745321673222629,-0.38137164867085405,0.041230445776639216,0.19571757222104977,0.1655176327760083,-0.6961853708195175,0.1300461392668021,0.6092777533764855,0.6468439396510509,0.28936088558598627,-0.47769235942248256,0.7294553093970437,0.006213992052257343,0.3122844946052138,-0.012165779150151119,0.47141228175753846,0.026382155985030086,-0.6274932948339687,0.5386433844400743,0.14072280557068897,0.7643850955258931,0.37312413573521724,-0.15539440919739758
Amber,-0.6223216865598757,-0.19392611388362666,-0.7138133582759435,-0.5547135364788099,-0.8777812326543131,-0.9027886484307885,-0.764758768366164,-0.9747163490016842,-0.03286185775399385,-0.8029865839272614,-1.1660286598462501,-0.521238991600298,-0.2561571853514862,-0.5827126865392069,-0.7504112202970166,-1.5705604257343748,-1.0110773313305972,-0.6395405032789951,-0.8546146302528247,-0.6586679093282772,-1.3354981830047759,-1.2196705044466316,-1.4305739210785993,-1.3643444720478304,-1.5968483155161208,-1.6513182276164962,-1.5399134753788835,-1.5221924688309878,-0.7702191499327515,-1.2411140848140163,-1.0759594901551808,-0.9422948220231305,-0.538314886366441,-0.9627387767292703,-0.9468195780774771,-0.7689621908999145,-1.29700232298533,-0.8964395078186829,-0.8512883810307016,-0.6439683626915497,-0.6386036321924676,-1.301627880330485,-0.19230360753781317,-2.058012932876979,-1.074053977189075,-1.302115677403137,-1.330829707749131,-0.7985951578729249,-1.3195205524859839,-1.3554511917991228,-1.3967715893186232,-0.6984387328338032,-0.22333209503557322,-1.0769997005758138,-0.2478473160611987,-0.7976517756904631,-0.2015323411585392,-0.8127141988693037,-0.6128541878567507,0.05689904497387214,-0.5090620768252897,-1.9392169024671937,-0.8618300862760733,1.2584499794963897,-1.258749588634906,-0.9033074845033041,0.11674058977294542,-0.33411998321354613,-1.6955916427632691,-1.9168072062568073,-0.1423752245360942,-0.6463614234715178,-0.4455584295223578,-0.217388569007299,-1.0732237605886659,1.1738048112870485,1.4567104828863988,0.08342021993793619,-0.05588526795431807,-1.3381313330544167,-1.1832530554907204,-0.5768621831445403,-0.2032768548643567,-0.48175859080043354,-0.3845157216344514,-0.3872301098982801,1.306938580215137,-2.341243805293754,-1.0911557214469982,-2.1016667908991593,-0.4983448799513867,0.08361457059808254,-0.8880825551791717,-0.49012600496748904,0.953118633497263,1.3736581784024027,0.8343912974854137,-0.3415496371873155,0.07326246773103028,-0.5519150484913502,-0.5378006602266148,-1.1747543335836148,-1.3359464519690252,-0.8207886057886041,-0.6692268638065519,-2.477562181244539,-1.3724097751757658,0.7398850416142714,-0.005074972959891342,-0.21305797631569634,-0.25411331798435083,0.7894656663690066,-0.9152638826608419,-0.19190968667831257,0.36533870626220993,-0.10750166407693622,-0.7680462420825636,-1.503825108028548,0.15424599964425692,-0.5573215934524445,1.619023180643751,0.8497655045506864,-1.3068554977068805
Brooke,-0.2191170480953418,-0.243864164991667,-0.7593229866534608,-0.1919430539969093,0.2089100523652272,0.28312825601493247,0.25778276471484035,-0.20116444543123302,0.22792301270490622,-0.3603954057090685,-0.5502695938090927,-0.3884190350596453,0.005297566993600223,0.1243535925008724,-0.020042785143767148,-0.4502486558568316,-0.39370021567660607,0.07397610266850164,-0.5203429308749357,-0.634701449480541,-0.9584022757654734,-0.9439909443949024,0.02389728376007694,-1.0068933194898597,-1.0280447678325317,-1.2381098017589367,-1.4507818903646796,-1.507985260392477,-1.6172924238203095,-0.8109998718606081,-1.0231172085347457,0.05110833843481351,-0.3691286379989858,0.1541348293621161,-0.5684508221126586,-0.1252312370264391,-0.6155007445680277,-0.48263891579091744,-0.5240404184008334,-0.5336064030398853,-0.479729232465069,-1.0083307353143163,0.6724497223779626,-0.9590996771607317,-0.6328551418676879,-0.7710716311111828,-0.6706367119721138,-0.3956223598722678,-0.851903585828325,-0.8866952536672541,-1.079031109313852,0.4174757927787099,0.49021903902546893,0.527486580723212,0.29597337337189983,0.017951960157048273,-0.0652328066879696,0.033285622014081674,0.00837536621926337,0.1311753276576588,0.016791664686915165,0.24591616189831292,0.5655656390101056,0.9741161216687142,0.5511795482379551,0.2528410643434707,0.46454070393384445,-0.1243030080375005,0.06275259552436085,-0.010706846859671958,0.527311972861668,-0.30365714528083815,0.48046168452938653,0.6925920198695108,-0.2520589413900475,0.7273224142827952,0.8380388258312922,0.2475205096473384,0.5302604054041021,0.3979430070086155,-0.3072329503932719,0.24022296966863538,0.39273954473411254,0.6901488358215562,-0.04894775090958291,0.1119399532731029,0.7115284735364019,0.11132752204693325,0.240613330462013,0.3398274497964574,0.8591116263987124,-0.020632610833223444,0.19739784312429434,0.8753180863405821,1.0313200277213481,1.4464734089849698,0.7925198718776243,0.6702130472956023,1.1580462270381322,0.3866985766375287,-0.24876464193171496,-0.09908585983675389,0.16065299572336444,0.7391147122506393,0.29553103502422307,-0.8148126618384898,0.34749992406471386,0.6439510407833791,0.8576464216357194,0.5389299403980856,-0.7328812867140768,1.137083206172927,-0.30373743862286,0.45334693111939656,0.28889890224348874,0.4733032080102206,0.38465380217280354,-0.6187565654122223,0.6259273385754643,0.5469980036799602,1.620324336448977,0.4297933862048141,0.33590177731302334
Diana,0.13873143570350138,-0.340553240064221,1.4515135137195732,-0.02941865982606222,0.0926358816638459,-0.02781500578269519,-0.05844051875024119,-0.04630177061227519,0.2855315274218828,0.33054391576715253,-0.4715141334959498,-0.2886359907818501,-0.06514632990246637,-0.3053810874667316,-0.420254022208838,-0.32442600084066814,-0.3382827892768142,-1.0358563005647536,-0.35381610629981636,-0.011257577124700933,-0.15743540960805522,-0.30443739678862514,0.11462564018276168,0.0306376222175636,-0.25664844863452296,0.29257443080065204,-0.4088630880446616,0.009109940615909001,-0.20541176978000342,-0.2877461003649812,-0.246693453533319,-0.24207006986764934,-0.015664605075099387,-0.2588454279792692,-0.30114860729839493,0.0062892199716270926,-0.21853336856069153,-0.24482704112379755,-0.05774459410438862,-0.04388333547690684,0.026010742658340445,-0.2262491278854166,0.06838996447224681,-0.0016246523797102798,-0.055883286983643025,0.03528951758336799,-0.119951997941995,0.00741198926854914,-0.28367884969036883,-0.11352914023543978,-0.10841488692252771,-0.017115374251138238,0.05133002168083802,-0.028569379861859357,0.1752791986786315,0.23099671587921342,-0.02816381466481761,-0.10682063337599848,0.01947080776598529,0.03635011929808462,0.2596026897116214,0.11464354715013933,0.00595518234221297,1.6651510767612523,0.3408856250081278,-0.19976624131403684,0.6157509082106598,-0.5010327417910675,-0.5257820015053872,-1.0290018793473275,0.13560419063982265,-0.7744819318684832,-0.32395404191688665,0.7183126165938395,-0.6394483537437343,1.4618984526151237,1.9278054844886967,0.4881433726958522,0.5154592451464634,-0.04074210968509737,-0.13576019756458196,-0.41479732607995395,-0.31241910471460527,0.6348938663144993,-0.9056281122306733,-0.5915254005439418,0.8712842651035552,-0.0005766581943085034,-0.22090708178708146,-0.005665907755394863,1.5648896710465747,0.017683237915542636,0.04699700496818591,1.1067806137872949,2.5969310808480746,2.2414800884164037,1.0522757471621316,0.22809914815071597,1.4265104418313796,0.5234361539876391,-0.6758621822793011,-1.0225934558799579,-0.699940071045696,0.7018988033748074,0.13118249892498932,-0.904950355511333,0.2617574504066007,0.7247670711107312,1.1509561009671647,1.2955513134162364,-0.44347262456112874,2.2929459943459847,-1.1257271316906066,0.14014816027716193,0.703229051837122,0.09246822294982773,0.7842575076668031,-0.4392768128803788,0.6569969937685701,0.3933371096235504,3.339455538837545,1.1738456581162355,0.671267829837771
Laurie,-0.46970372038217884,-0.3203638080813253,-1.2372164794979352,-0.22301656052523192,-0.1231778624292574,0.18708881552776221,0.041524753204567104,0.06483397543557352,-0.035158349970167334,-0.4669905684268388,-0.34541133143924546,-0.7425251936370544,-0.34350670019679136,-0.44517621557125975,-0.4122865851773532,0.3396493514472311,-0.6028796525153904,0.2032171544944449,-0.8973298399530107,-0.6802163750698118,-1.0243858808712236,-0.4459012134840072,0.10338393276490658,0.005355635246025694,-0.6177328069494721,-0.8405269881522656,-1.689724809663249,-0.9011659633654695,-1.398977916816221,-0.5778043652370707,-0.35860070972180463,0.10209768010823392,-0.3808787286072973,0.41103450322402374,-0.4310516481171544,-0.1533239420212037,-0.6223619883115056,-0.37076298343365427,-0.3829087329292277,-0.32011115699966697,-0.12867601087583194,-0.9435646864062573,0.6439479431490002,-0.5725255823412733,-0.49648858724449807,-0.9095251281986679,-0.4727427602178693,-0.19969837064262358,-0.7187703198403678,-0.5440506388901585,-0.844663151210245,0.3192104168490612,0.316560807078911,0.6675746269929917,0.08262192464532271,0.008768077563498263,-0.0036074566857756435,-0.0978036650990282,-0.012629803315468374,0.018415328902430195,0.179358117075779,0.0372680410641813,0.3286075484377106,0.9904092006095472,0.02852928976867539,0.08945591568573287,0.5277040755723557,-0.2822027795468636,-0.543898796140764,-0.7820158309407599,0.277510503345063,-0.7205919353702834,-0.13318023194902934,1.050505925954941,-0.19335461254669728,1.1793416964315457,1.4392119296927866,0.3996720387920269,0.4880935996730802,-0.06253213540714879,-0.4040275127940208,-0.33139952148613167,-0.23098996429166166,0.3007453144476185,-0.5730545888714812,-0.525475722356366,0.7331068388401089,-0.06824780518816681,-0.04020992683589776,-0.010941016304334288,1.0558272201265342,-0.3049533407778286,0.08295070700605554,0.5097762223164264,1.7856879935614545,2.0607885340130836,0.9613647506344718,0.5473153844926528,0.1980431753358555,0.5956965393051248,-0.4576155256160881,-0.7474969889982456,-0.4673336659893446,0.0700959076512207,-0.15645523427619148,-1.310992565910804,0.18866215826166097,0.13627458140088625,0.07801319293918933,0.8795991466324704,-0.725887324489837,1.0561843248224616,-0.8533206550262126,-0.28720902007814036,0.6910059889727598,0.23216162159036077,0.5273864343194405,-0.5197254521024345,0.6095321570553234,0.6009316048432038,2.5974222119997115,-0.1644984963531521,0.1680111490385102
