,country,sport,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,football,0.8977591789739965,0.030485079605251694,True
1,Nigeria,basketball,0.6230505674023116,-0.0025217630400604925,False
2,Nigeria,cricket,1.1235175320957216,0.037612055639396895,True
3,Nigeria,hockey,-0.4098260462468782,-0.05304003107187128,True
4,Nigeria,tennis,0.13190348254407225,-0.04406660130334656,False
5,Nigeria,volleyball,0.8497910000904566,-0.12045727064629835,False
6,Nigeria,baseball,-0.3762300020976175,0.02708199936747473,False
7,Nigeria,rugby,1.3506960194900428,0.04063158088439933,True
8,Nigeria,golf,-0.2887547012878626,0.06030563867738468,False
9,Nigeria,athletics,0.9802325780056178,0.09218720863098173,True
10,Nigeria,badminton,1.4936979865761522,-0.02724934522962404,False
11,Nigeria,boxing,0.980971473178102,0.019650521535601533,True
12,Nigeria,cycling,0.1689124566020373,0.005196076939268849,True
13,Nigeria,swimming,-0.02227168713111126,-0.0695063229667894,True
14,Nigeria,shooting,0.32215043688156625,-0.010662525144198224,False
15,Nigeria,gymnastics,0.6373502077213421,-0.017627000908202482,False
16,Nigeria,wrestling,0.8262075044555826,0.06567588608995525,True
17,Nigeria,skiing,-1.1127218730495203,-0.07018473020869374,True
18,Nigeria,bowling,-0.12907513482496313,-0.0163121431194459,True
19,Ethiopia,football,0.40997150888023975,-0.06604753773640037,False
20,Ethiopia,basketball,0.6770870254309722,-0.03812868651320142,False
21,Ethiopia,cricket,0.6855147072405234,-0.03447753339094189,False
22,Ethiopia,hockey,-0.5463497673185223,-0.15603159344007014,True
23,Ethiopia,tennis,0.034913373025997084,-0.04707429031805842,False
24,Ethiopia,volleyball,1.0765853775898182,-0.045229707367897685,False
25,Ethiopia,baseball,-0.4296366398385211,-0.10912444444491523,True
26,Ethiopia,rugby,0.9288428073054402,-0.056569129467836536,False
27,Ethiopia,golf,-1.0270260404814302,-0.08781915743045708,True
28,Ethiopia,athletics,1.2075301371745193,0.037731070017566336,True
29,Ethiopia,badminton,1.082726577777968,-0.05801061861356241,False
30,Ethiopia,boxing,0.014033729639827752,-0.09311290081041036,False
31,Ethiopia,cycling,-0.3414798027525383,-0.1095054222122698,True
32,Ethiopia,swimming,0.33841796121662593,-0.09234531257886333,False
33,Ethiopia,shooting,-0.7356135396371327,-0.10211081494593968,True
34,Ethiopia,gymnastics,0.7503800097242544,-0.028001953662697417,False
35,Ethiopia,wrestling,0.16162550742742068,-0.0577789112451606,False
36,Ethiopia,skiing,0.22404539113711028,-0.11201230768200136,False
37,Ethiopia,bowling,-0.3914904758369822,-0.08570968157220861,True
38,Egypt,football,-0.10154867235930057,-0.10769302251728173,True
39,Egypt,basketball,0.5786082620325229,-0.07143399891591906,False
40,Egypt,cricket,0.725948189777845,-0.09582138555949604,False
41,Egypt,hockey,-1.6881159223093172,-0.19772956537409453,True
42,Egypt,tennis,-0.2988113127766914,-0.06266387915936295,True
43,Egypt,volleyball,0.09837147000122247,-0.028951204451846287,False
44,Egypt,baseball,-0.41455836379238375,-0.09975847416519606,True
45,Egypt,rugby,0.253877496700134,-0.14709916888403254,False
46,Egypt,golf,-0.07434629087135941,-0.09039129631550256,True
47,Egypt,athletics,0.3679082739414008,-0.030354671354497,False
48,Egypt,badminton,0.5324219638587357,-0.10859917273305264,False
49,Egypt,boxing,-0.8884224382552768,-0.10514036970064683,True
50,Egypt,cycling,-1.3360723788626538,-0.13498129838819906,True
51,Egypt,swimming,0.1180053880836975,-0.020038473150902916,False
52,Egypt,shooting,0.37595579040729815,-0.12210038759588712,False
53,Egypt,gymnastics,0.3963880182875843,-0.05007364707198533,False
54,Egypt,wrestling,-0.2265077415640802,-0.13800546043622328,True
55,Egypt,skiing,-1.3542315322640952,-0.08183843129182969,True
56,Egypt,bowling,-0.6497174509504413,-0.10521457857948624,True
57,Congo,football,0.11931785140785844,0.052295513947424384,True
58,Congo,basketball,0.8543040071554946,0.008378477679588785,True
59,Congo,cricket,0.3808332051762141,-0.007551354455567794,False
60,Congo,hockey,0.4404660695513807,-0.028534436539384037,False
61,Congo,tennis,0.11198649266215803,0.04992336461145948,True
62,Congo,volleyball,0.7397059084815945,-0.04939791665202903,False
63,Congo,baseball,-0.5736703016125698,-0.004010522116910931,True
64,Congo,rugby,1.3045184794626787,0.06161263469986278,True
65,Congo,golf,-0.480628378173981,0.02721069251573529,False
66,Congo,athletics,0.4720952549880992,0.05769620265331578,True
67,Congo,badminton,0.7376385011073745,-0.04567659526741899,False
68,Congo,boxing,1.297429383976361,0.03049606078270057,True
69,Congo,cycling,0.5551355603336421,0.07119293587098194,True
70,Congo,swimming,1.013191256652626,-0.04417948081128634,False
71,Congo,shooting,0.4129005475116796,-0.04569477699321239,False
72,Congo,gymnastics,0.9122414324795024,-0.0032794954049233586,False
73,Congo,wrestling,0.5738922924190938,0.0262061678635642,True
74,Congo,skiing,-0.5662825565922935,-0.03316490492414032,True
75,Congo,bowling,-0.4928240404744046,-0.029526757296998232,True
76,Tanzania,football,0.09062344542516056,0.008574083975882161,True
77,Tanzania,basketball,0.9214231330580483,0.010071328172338958,True
78,Tanzania,cricket,1.4033360478088828,0.06584606188235356,True
79,Tanzania,hockey,-0.4858468631123598,-0.009488122363461813,True
80,Tanzania,tennis,0.6472538135701127,0.001083568135783108,True
81,Tanzania,volleyball,1.0805525356629977,-0.061063705381098635,False
82,Tanzania,baseball,-0.329283077853049,-0.0024400909770624173,True
83,Tanzania,rugby,1.0266630856533605,0.0597416375665315,True
84,Tanzania,golf,0.4689664565247129,0.10616699590045924,True
85,Tanzania,athletics,1.049611393624681,0.10282752499211677,True
86,Tanzania,badminton,1.7766561377970014,0.015532353958957863,True
87,Tanzania,boxing,0.0550928480787178,0.02292608486213624,True
88,Tanzania,cycling,0.8075355718887172,0.06935205618921886,True
89,Tanzania,swimming,1.2250116737259429,-0.02884865562255803,False
90,Tanzania,shooting,0.2893220974197452,0.01194857971537807,True
91,Tanzania,gymnastics,0.8529276319637138,0.02876266125748262,True
92,Tanzania,wrestling,-0.09110600582858114,0.06918738432164935,False
93,Tanzania,skiing,-0.0766383606814821,-0.0024745507663121165,True
94,Tanzania,bowling,0.5522239408203213,0.07013320630747005,True
95,South Africa,football,0.3991199400075539,0.02555911619814769,True
96,South Africa,basketball,0.4117761007846351,-0.018738282921422208,False
97,South Africa,cricket,1.4504011712798413,0.09747829444606224,True
98,South Africa,hockey,-0.066280319428457,-0.018153762024476564,True
99,South Africa,tennis,0.35569031663972434,0.0071332055835122265,True
100,South Africa,volleyball,0.7360644669780751,-0.08846478267018322,False
101,South Africa,baseball,-0.2859836459099703,-0.032394354280236425,True
102,South Africa,rugby,2.0597749813228146,0.09149433758672028,True
103,South Africa,golf,0.315450686949885,0.06471187902915047,True
104,South Africa,athletics,0.912583184909542,0.058380015042974964,True
105,South Africa,badminton,1.2411350960420062,-0.0007595122072749478,False
106,South Africa,boxing,0.24295463618715465,-0.01852426601038876,False
107,South Africa,cycling,1.3844513919359256,0.036906844171524435,True
