index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Columbia,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga
musician,0.1746397350237764,-0.2452384832726422,-0.5467800943597245,-0.23396250985483355,0.0704632873070482,0.1341887378348433,0.029217820853598035,0.0525160049421791,-0.1754314582307036,-0.27131398732701695,-0.06085516266916976,-0.04216013115814126,0.040126856784933454,-0.626666648697658,-0.39651770081454035,0.4247771475798065,-0.1067854686253514,-0.45911604269519973,-0.18359442597702139,-0.04646678465335389,0.051544841842473446,0.34530890471427583,0.04773646269579706,0.014254703601969974,0.2565888666974188,0.45718587098167546,0.2791716393927571,0.07179321736596367,-0.138919573952778,0.15014282476702454,0.19423986864669343,-0.029535255184446878,0.044850135745627205,0.23421681523754814,-0.26168227488324697,-0.6132982237277659,-0.05075544988886836,-0.10235792379522925,-0.34827058487497314,-0.0022092216061765204,-0.019551751087928407,0.24010570301834214,0.1859197815228975,0.16382547581592072,0.3050278881784186,0.0345942959280887,0.10084427712948126,0.3919814056375946,-0.09534232460938517,-0.06936209003379641,0.07379673398025668,0.2700876778646995,-0.31376739854341557,0.16897194528028608,-0.1963089024196063,-0.15114967646242822,0.1777785647980686,-0.1058078441846567,0.17631269523657947,-0.2398029048735794,-0.3185053675757614
nanny,0.19166704785090855,0.535589897445512,0.3775915433450073,0.41426186774484547,0.4236463766268315,0.34417845282501336,0.5186192474388573,0.7174482585108609,0.6508476070508998,-0.18696377755794732,0.19542005815410138,-0.23425024963835156,-0.09407111484008535,-0.17678185777415076,0.09936208509408699,0.15045209181154273,0.12259729561541649,0.1222573844560527,-0.51102414769347,-0.31945885888010356,-0.30517471477703556,-0.013793422353254555,0.07428007483128615,0.13174180105090766,-0.07713705791327617,0.06143187994806983,-0.0387700985300163,0.15375685818220555,0.2762265677503926,-0.05860444790623822,0.10753477477001011,-0.19086418472162867,0.15818838786047254,0.11132301344812827,0.6267590723306726,1.1000195577358862,0.26141408897904306,0.28299204424215424,0.5910079607747268,0.45337012830672047,0.14428826843933631,-0.04737164506374542,0.2226064368016489,0.03632183739181197,-0.017937165872945644,0.2927352171189971,0.2811493947367471,0.23907988667341942,0.17822141002117434,0.31052840194311837,0.26535352961645514,0.22738764073045717,0.19836826240646177,0.19465887906275858,0.44744843472715695,0.3872686268207866,-0.10011119024412678,0.6196995129918531,0.1323935555299958,-0.11668247256153363,0.5330194042761709
nurse,0.002507702372032194,0.2390322106055886,-0.04965276286951964,0.4674071792223358,0.20951563273433782,0.014692190130404756,0.2216234853232208,0.3496788546043374,0.2908164601731649,-0.10717391629214564,0.052677768823685654,-0.032119382742230355,0.007988800480435324,-0.004742046008050836,0.21553829916330142,-0.10104761450381075,0.23377254927606714,0.5127751731253227,-0.20814584648102452,-0.46220981682109663,-0.23140484833035666,-0.31440595242384217,-0.08488058780974037,-0.13856479348234754,-0.1598331023788545,-0.5437319227924251,-0.1952033911206315,-0.2794543057405939,-0.092842990459056,-0.23047292232067,-0.1224562447390936,-0.00019849100637643277,-0.12011824545217603,0.277891918905497,-0.09436994836074859,0.563499213071863,0.028715940139679326,0.005162544923688393,0.10421644865050139,-0.07246850995338758,-0.18693710087641166,-0.2523217674904167,0.1700341481346874,-0.2683002909144021,-0.23237349233480115,-0.10129908465649119,-0.11713818433072815,-0.16135637732657154,0.06403386560166302,-0.03048181017423457,-0.20552825570888067,0.27878650263168,0.5236206802393027,0.2718649126669433,0.3485988580524829,0.16512134629546202,0.21685898000310275,0.3361701571298992,0.303811347326103,0.2919334372026383,0.3118519555057297
painter,-0.0770137429485634,-0.7537322918140437,-0.25792137572329266,-0.29735403337462474,-0.4184111533539103,0.10080145941382172,-0.47554441161723376,-0.5968110073235573,-0.3522446851742067,0.051468403904592716,0.34763531962104444,-0.06057606559200723,0.11670721640309281,-0.20237114427521266,-0.4273941364270282,0.2888223114861535,0.026156403924318238,0.2747347204055432,-0.20819445300282716,-0.037380012477392054,0.08492502127675378,0.4559561078028005,-0.225729776772319,0.6776303426280319,0.6048552349477865,0.547642147855191,-0.03865066533271951,0.18455854853784673,0.33173567769774,0.46425333388090867,0.23623265436061652,-0.40764393097988644,0.27325655089013595,-0.24698900964234854,-0.34893188302886907,-0.5095711782076245,-0.13424384412988596,-0.1207433085888185,-0.26092506888971023,-0.13457338787709514,0.16306854240761046,-0.06873506013559298,-0.07526987676619401,0.03945887001411914,-0.33819478206274545,-0.041042786483392865,-0.0770427232488348,0.22318658448100637,-0.3064457822314305,-0.016843865508841923,0.10756822668897499,-0.09038886001308803,0.06213711719924769,-0.24956156568326227,-0.33561062746754855,-0.516758440938247,0.125539622917369,-0.33776045102127106,-0.20568798574994424,-0.22874216699380726,-0.40076606555234673
pharmacist,-0.41936239432776845,-0.34198937457942546,-0.429793238240549,-0.6298766019238695,-0.5432430408485576,-0.5724428575873025,-0.7141964037090865,-0.5199893497965901,-0.8279219382232158,-0.12385568387408713,-0.3554749775202937,-0.08161572281511187,-0.3406336052392829,0.05900486716431824,0.12139876545351022,-0.580808556644912,-0.17241135487292686,-0.10809865969972578,0.026099052015693836,-0.12165731802491436,-0.027617888967872904,-0.042250113644821785,-0.10472732516244418,-0.16239439449734328,-0.23655524216610654,-0.08646004379846794,0.0477614250309045,-0.1808758306864173,-0.2648979956432939,0.009212495450996842,0.25178495345531604,-0.19185533565418403,0.16954924605451252,-0.17818738171629617,0.02626035623453231,-0.00623085557762611,0.08978737486705543,0.22838533510914558,-0.0876805328053676,-0.2442157034223477,-0.09556799936711045,-0.43681305165370626,-0.3016681606778346,-0.16429426808430095,0.1346218582792249,-0.048705494546952825,-0.22111493531033607,-0.1926134389186765,0.48522049795547945,0.004859508750645028,-0.09834300513375872,-0.46718063746726834,-0.3081495674779444,-0.5549848122674201,-0.34711951081088727,-0.3515878653981156,-0.15923745096034228,-0.4240195628374429,-0.06946410445772928,0.18252991522536127,-0.858006786604725
philosopher,-0.397625023994962,-0.5075631141883135,0.305355745215046,-0.8043024692249778,-0.5964950674111883,-0.4341657758768855,-0.9538173179754511,-0.8344026107740902,-0.8657573871963918,-0.3369659435791197,-0.23932542724761807,0.08592846733518127,-0.6345128052342307,-0.7288217390863946,-0.7285478271480773,-0.3113183875173696,-0.8333234820756382,-1.0546541304796104,-0.16998594528327757,-0.3225550957054013,-0.07981580476161577,0.10395374799165569,-0.5223831884392578,0.16002733048086903,0.00621151904597493,-0.07602796118718133,-0.4003913915977861,-0.30756631543726776,-0.46194651542025383,-0.292577308261224,-0.14239955158962364,-0.8802756162643319,-0.9161836537378715,-0.8839170978036057,-0.8437001654555761,-1.139963745293329,-0.550283341833253,-0.7888087535230307,-1.2327962466548472,-0.9607883629079053,-0.727383663554469,-0.32344593985622283,-0.7506278854026613,-0.5767272765398244,-0.45768795785165095,-0.5537873355883087,-0.5202656469448618,-0.6571367980543207,-0.38043335723254995,-0.7169069505844888,-0.6163034136081141,-0.7389924287018298,-0.744127004703259,-0.54817168671069,-0.7896193218199168,-0.819996357740326,-0.22389757439514962,-0.7727105760456672,-0.5078578524847903,0.05758064116751792,-1.2712972984055064
photographer,0.32780881160897357,0.1166425453537585,-0.14781240965161052,0.27100453121797097,0.5836647879495331,0.8749917805750836,0.5010495348121793,0.5801018259685284,0.34573211243496216,0.5156690225400957,0.21529406631324066,0.294097989033093,0.6171148046465046,0.40072755843903224,0.18827913490496276,0.5815950760697349,0.3362128104436223,0.3967017955430832,0.1094284258320632,0.6449536304109447,0.18328255015965594,0.586822805369554,0.5596827962462106,0.7344167231215677,0.8482250363945621,0.696293981028361,0.19121604660212313,0.4386792474249305,0.27020888375974156,0.6260309436483885,0.9364246007878585,0.4422902950392249,0.6991809742197617,0.5298382975177719,0.47714674217814884,-0.02959323426842851,0.2126134904140354,0.18758268125259098,0.29273363850069845,0.33561326280935655,0.5200476181400205,0.37570005607021945,0.6813849710499468,0.5839678681300882,0.8275053030534518,0.10630577642234387,0.8611054223001352,0.7581135626728001,0.19618851340081278,0.2981680986334451,0.41939099949025294,0.7498914974022223,0.5678210382027976,0.8968853916107786,0.06631649513003922,0.33519329167227857,0.23117662159633176,-0.01035316790633817,0.30876777618610923,0.34868177982126886,-0.1155198272616483
pilot,0.2867371666069702,0.5129664756060042,-0.3956003420129304,0.24973284318618275,0.6546501748626339,0.18887231559626103,0.4936759581667387,0.5536193021576437,0.1380643305681084,0.6476786342395321,0.12685966005195165,-0.03003309421772874,0.6689488486102872,0.2726070202586808,0.2941351370061028,0.39040016952354867,0.5338303767326295,0.5953841539339189,-0.08162051677072284,0.24423709228188417,-0.22455165430768023,0.20543332471215048,0.19351043153441053,0.4429842351853612,0.22087844378735338,0.35645494831226515,-0.4352072359318409,-0.09649693621788845,0.29420766812273325,0.2945222789670979,0.3978743594853396,0.17898442458385133,0.2530700425041004,0.4992481273797152,0.3123137184673458,0.16988318248273748,0.4171290509794304,0.18530175138658014,0.733167001891035,0.824338968080378,-0.0324037560979737,0.3862270086804262,0.18953313015425516,0.41699123519824466,0.3775526145171915,0.31301963194473614,0.5022364297718652,0.5875458752450565,0.5078256442448358,-0.056412717773576655,0.28527140093677233,0.584169981285437,0.753311124058417,0.8311248393486715,1.27230682646861,1.1083867076755407,0.5856806562039811,0.7112968497376109,0.8303456896553644,0.5321987971424753,1.2139962343468353
plumber,-0.26777257952407496,-0.5766172745248387,-0.8874025477406263,-1.0203021841459252,-0.587976261478993,-0.8449796821890981,-0.3362111515139085,-0.8667684999497781,-1.113853301139689,-0.6439446729084578,0.4731038294819927,-0.1202850166323446,0.026926409069577956,-0.37384978179783807,-0.08860295503365102,0.049358830067682866,-0.16641915188700068,-0.16175692751015208,0.21421645722822696,0.207700240644056,-0.12255258003574844,-0.02691755274468416,0.27283278970074026,-0.0551344455210738,-0.18040137601733092,-0.4655021316797667,0.11846764607055181,-0.05498192851487067,0.29384221003298383,0.04476523545798355,-0.006571324061774676,0.17181038647512797,-0.08789346708786183,0.026874533845168837,-0.40338176681971666,-0.27552906764414087,-0.3321199996476441,-0.5958300086995054,0.14029046917904436,-0.13963340793841364,-0.2747528009776865,-0.115494560466849,-0.06413694889693884,-0.40640731507806616,-0.5863988649601187,-0.17856114805512854,-0.5254442863195047,-0.218959884329381,-0.3660318541252401,-0.3308721191555126,-0.16346318845082786,-0.05979920809067792,-0.03980124229273424,-0.11971226967307518,0.20648852670523143,-0.36604696636067646,-0.19653885534643692,-0.05966413350899514,0.049296812238054606,0.24280558676860142,-0.23287912033360178
policeman,0.05765600721419128,-0.49504511907455034,-0.48285056229327067,0.07655141532787298,-0.07761843598364414,0.057083334772270185,-0.12831122206855158,-0.16545443615424268,-0.12912349920600694,-0.04406562360297457,0.19311283963156983,-0.003009374673325627,0.10207209289848282,0.5338150515062251,0.370208091778197,-0.017179556412254264,0.19462172555820803,0.07851260284253246,-0.08166752717123706,-0.06676622146894119,0.018584675585778313,-0.04626815462122171,0.17819880614817832,-0.14460327796276262,-0.017071554127515362,0.0650945066628647,0.06171919120994493,-0.02436683995163853,-0.0016332935882695547,-0.06854893140385347,-0.08267575148274736,-0.44764519707064065,-0.15819720616969957,-0.1952303279267411,-0.2877830323530113,-0.4100228529742057,-0.177669646759044,-0.5683518751565627,-0.10632834891326544,-0.2858299803546105,-0.10347753656920616,-0.32614787559608854,-0.42948112232532976,-0.17308835927420252,-0.15341448637199856,-0.14339478235202904,-0.37598368499619583,-0.2521536192619838,-0.0962838295291749,-0.08186740349135747,-0.07984774487637095,-0.09893761594381793,-0.07739462083169436,-0.2043797049569363,-0.0742606373883835,-0.2478801904110336,-0.28122941029480875,-0.10361021651184174,0.2605196742146066,-0.23001258331115584,-0.16594020385294922
