,country,age,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,1,0.11344533647488307,-0.06468030746257546,False
1,Nigeria,2,-0.41127464872807135,-0.15612733798908854,True
2,Nigeria,3,-0.5629043109468461,-0.15625903015110915,True
3,Nigeria,4,-0.5682808903130225,-0.14751860161209104,True
4,Nigeria,5,-0.4723021702176386,-0.1502515617777807,True
5,Nigeria,6,-0.6263070764050136,-0.11635838388666365,True
6,Nigeria,7,-0.53510493953295,-0.12665931345663728,True
7,Nigeria,8,-0.6293227793800662,-0.12246791426230455,True
8,Nigeria,9,-0.5589217354413198,-0.11391809562324068,True
9,Nigeria,10,-0.4700804915173407,-0.10697962850604584,True
10,Nigeria,11,-0.3471904178562837,-0.052709083045490886,True
11,Nigeria,12,-0.2910793899148306,-0.07721393759923173,True
12,Nigeria,13,-0.1932934735361312,-0.03184635159246383,True
13,Nigeria,14,-0.09106531839727923,-0.009709851167275208,True
14,Nigeria,15,-0.021751921208666387,0.015186400215548831,False
15,Nigeria,16,0.03848935324695047,0.06372733531978526,True
16,Nigeria,17,0.13193811797670582,0.1312658407480333,True
17,Nigeria,18,0.3062690150208929,0.10738714432828686,True
18,Nigeria,19,0.3843470561675294,0.16575321763617165,True
19,Nigeria,20,0.3076801113263329,0.14934676626647614,True
20,Nigeria,21,0.6255362095483155,0.16314087126038335,True
21,Nigeria,22,0.4973567637067826,0.17046619509812386,True
22,Nigeria,23,0.5617934578736042,0.1707254130878147,True
23,Nigeria,24,0.4939115309240317,0.16588833265483358,True
24,Nigeria,25,0.4514671833327951,0.1629407747626081,True
25,Nigeria,26,0.4628667701756442,0.17277543254246333,True
26,Nigeria,27,0.5379453225414508,0.18178764808528866,True
27,Nigeria,28,0.5038728214392905,0.1689092054195117,True
28,Nigeria,29,0.5644193818813618,0.17520787609472066,True
29,Nigeria,30,0.3340136138713347,0.14745680517789045,True
30,Nigeria,31,0.5138945571936754,0.17427186922254292,True
31,Nigeria,32,0.3909499195433153,0.16119264274799294,True
32,Nigeria,33,0.4262703129047995,0.17596857372456864,True
33,Nigeria,34,0.4187832725353153,0.18142460264893284,True
34,Nigeria,35,0.36883233964214734,0.1726488846746428,True
35,Nigeria,36,0.2643103072750418,0.17210718062866506,True
36,Nigeria,37,0.3035152944805158,0.17388393346944192,True
37,Nigeria,38,0.27299128970253284,0.17983958845996456,True
38,Nigeria,39,0.2549987141286711,0.17617694847228668,True
39,Nigeria,40,0.159133300167928,0.150662850602691,True
40,Nigeria,41,0.3587545773704735,0.1737453974886671,True
41,Nigeria,42,0.3151487368341713,0.15262813020514848,True
42,Nigeria,43,0.3447906664372985,0.16650046633546514,True
43,Nigeria,44,0.28162217217701296,0.1667145032871548,True
44,Nigeria,45,0.3337508148271925,0.15605726115948138,True
45,Nigeria,46,0.22275967334345625,0.17135796246992066,True
46,Nigeria,47,0.2750505679666491,0.16666324298991272,True
47,Nigeria,48,0.3473492663211874,0.16816776179136173,True
48,Nigeria,49,0.454916159733913,0.159506779870667,True
49,Nigeria,50,0.14770990822772245,0.13933429915657006,True
50,Nigeria,51,0.4114486555517517,0.1680954603632959,True
51,Nigeria,52,0.11797776935964277,0.1580693934169551,True
52,Nigeria,53,0.35516872288297097,0.16214636472180818,True
53,Nigeria,54,0.267996508179631,0.1584830401958905,True
54,Nigeria,55,0.284621222784302,0.15226815102548805,True
55,Nigeria,56,0.18026277600711127,0.1565489310193271,True
56,Nigeria,57,0.2749507001462515,0.16994616368032514,True
57,Nigeria,58,0.22797354418709426,0.1619235686012084,True
