,sport,occupation,direct_correlation,indirect_correlation,same_correlation
0,football,accountant,0.15122231544760106,0.13316300563502592,True
1,football,architect,-0.2233273716889579,0.12619941414990885,False
2,football,artist,-1.0985787652687418,-0.015772087029855983,True
3,football,attorney,-0.8399684190262324,0.15625931490073344,False
4,football,banker,0.3684930905696431,0.18476795832932225,True
5,football,bartender,-0.3427293887862126,0.08395833743091195,False
6,football,barber,-0.7270621023152816,0.1733527651067854,False
7,football,broadcaster,-0.2420759673020908,0.14319392969351635,False
8,football,businessman,0.569881168884429,0.22150181708750044,True
9,football,butcher,-0.42937935173158986,0.12682801868858093,False
10,football,captain,0.4526496207968809,0.2250540421873415,True
11,football,carpenter,-0.0753699368127961,0.20659565922784326,False
12,football,chef,-0.27475100535324165,0.032971249430770386,False
13,football,coach,0.6283290054437712,0.1386877809790707,True
14,football,cook,0.04769265101325199,-0.060892375595372215,False
15,football,dancer,-0.946984717525917,-0.10338459005911683,True
16,football,designer,-0.4727019499642142,-0.01352692421943622,True
17,football,doctor,-0.4216066521576223,-0.03411414424350702,True
18,football,economist,-0.5961202576574338,0.12186623250750557,False
19,football,editor,-0.6408199781147021,0.04133471271578958,False
20,football,engineer,0.08127050652157705,0.1906920076758607,True
21,football,farmer,0.5656595907345093,0.19275142501596024,True
22,football,filmmaker,-1.1920459281374387,0.08109019607458348,False
23,football,financier,-1.0142643422610276,0.19964708177108076,False
24,football,fisherman,-0.12104627857525348,0.2282661357491691,False
25,football,gardener,0.1493326637329005,0.03080575623448373,True
26,football,journalist,-0.07502250234459637,0.07801337434340815,False
27,football,judge,-0.3882784989248216,0.08253710754192757,False
28,football,lawyer,0.14607137943553306,0.1293578292586835,True
29,football,librarian,0.3683588329008948,-0.08167839397144988,False
30,football,magician,-1.842739904543852,0.12818091572898693,False
31,football,mechanic,0.2474410983099295,0.1939335513062989,True
32,football,musician,-1.3050997970652447,0.11729957015800126,False
33,football,nanny,0.5881351425787418,-0.13858024133072386,False
34,football,nurse,-0.035198406834339495,-0.1623467110420572,True
35,football,painter,-0.5917386251189851,0.017338364867597992,False
36,football,pharmacist,-0.5054878723889455,-0.0029053428876589325,True
37,football,philosopher,-1.530010180820386,0.07982857240892664,False
38,football,photographer,-0.5579433192691126,0.03653333168933709,False
39,football,pilot,0.16435140288830594,0.24798704046590636,True
40,football,plumber,0.20319960949423066,0.2297353865395569,True
41,football,policeman,0.2889206134562192,0.21402589284987208,True
42,football,politician,-0.04174240684412818,0.09432012577763547,False
43,football,professor,-0.6696489879617668,0.08368494437526118,False
44,football,programmer,-0.40327045506749015,0.17359536648709878,False
45,football,psychologist,-0.5731266706277336,-0.021198355604198284,True
46,football,scientist,-0.723465884198588,0.10391735857562144,False
47,football,scholar,-1.0124012017569692,0.10860311202792354,False
48,football,secretary,0.33703034087394546,-0.0512167933638907,False
49,football,server,0.18376400357060574,-0.06080376328748612,False
50,football,singer,-1.3674795472487224,-0.0122761176382525,True
51,football,skipper,-0.44946405325970185,0.2523021833962201,False
52,football,soldier,-0.009758971415240366,0.210158170388043,False
53,football,stylist,-0.6982906502019788,-0.10003506946285698,True
54,football,surgeon,-1.5593720515457057,0.052376327949671835,False
55,football,teacher,0.5110387685332747,-0.0634964880555676,False
56,football,translator,-0.12849284154678975,-0.03408568201810958,True
57,football,veterinarian,-0.5956141426596921,-0.013383365517755869,True
58,football,waiter,-0.21970478320289846,0.15937561745968487,False
59,football,waitress,0.8318554363426257,-0.1262075229238746,False
60,football,warrior,-1.082933358721176,0.05687595665309655,False
61,football,writer,-0.0818390020983783,0.08745120072043286,False
62,basketball,accountant,-0.13634888266123035,0.06411240818181947,False
63,basketball,architect,-0.5075384619266134,0.07715104696021666,False
64,basketball,artist,-1.089954771609393,-0.06998164747166494,True
65,basketball,attorney,-0.17526361645327307,0.09427417637981814,False
66,basketball,banker,0.1868418518241965,0.1149978885474875,True
67,basketball,bartender,0.24164662638662598,0.027403040572970855,True
68,basketball,barber,-0.4718747180738409,0.13021286799811413,False
69,basketball,broadcaster,0.2476158386556909,0.05717152922157408,True
70,basketball,businessman,0.06306126378829863,0.14719686512185007,True
71,basketball,butcher,-0.555494455524143,0.05513667928347691,False
72,basketball,captain,0.3630711692140249,0.15028388652782562,True
73,basketball,carpenter,-0.17783231469341762,0.15675044428229404,False
74,basketball,chef,-0.07150204063680073,-0.034489921260730694,True
75,basketball,coach,0.8442064158419343,0.07201289084544146,True
76,basketball,cook,0.06135453897946689,-0.1068377641561616,False
77,basketball,dancer,-0.4984539219123563,-0.1292486426307003,True
78,basketball,designer,-0.581825427226078,-0.05565341837818028,True
79,basketball,doctor,-0.1974350270104121,-0.08864118134013647,True
80,basketball,economist,-1.0580419680930313,0.06676280275592031,False
81,basketball,editor,-0.3970798327057853,-0.011307600965828956,True
82,basketball,engineer,-0.3729284290340762,0.14136210689916395,False
83,basketball,farmer,0.3014582929221876,0.14268794917990615,True
84,basketball,filmmaker,-1.1068528914898998,-0.008266053408955415,True
85,basketball,financier,-1.1759543573566824,0.16427608933813168,False
86,basketball,fisherman,-0.26160599844092985,0.15961830994067905,False
87,basketball,gardener,-0.07467120874599263,-0.0067941731841618894,True
88,basketball,journalist,-0.6874620760576587,-0.0045783825345630785,True
89,basketball,judge,0.030753729796286763,0.008067362235991164,True
90,basketball,lawyer,0.32780706927970504,0.04993599555134619,True
91,basketball,librarian,0.6724798655184694,-0.1159899810516518,False
92,basketball,magician,-1.8059993805232692,0.07820518869870731,False
93,basketball,mechanic,0.21007212920607266,0.1077312535183308,True
