,country,yob,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,1920,-1.3478556505398145,0.03416410628973352,False
1,Nigeria,1921,-1.3726306819109515,0.05090788627157319,False
2,Nigeria,1922,-1.075551160959604,0.057926572638348564,False
3,Nigeria,1923,-1.1399293106727522,0.0535900163528646,False
4,Nigeria,1924,-1.5315359320420132,0.05490024745521065,False
5,Nigeria,1925,-1.4927619095429674,0.08302283582765298,False
6,Nigeria,1926,-1.3723848373436909,0.07739533863814918,False
7,Nigeria,1927,-1.473312450415714,0.0860670716313726,False
8,Nigeria,1928,-1.2116687825866543,0.09186130489347366,False
9,Nigeria,1929,-1.436176144311602,0.09317233190665863,False
10,Nigeria,1930,-1.1550319291141675,0.07234640340606383,False
11,Nigeria,1931,-0.9688594551393628,0.08459827963075055,False
12,Nigeria,1932,-1.0285516372713543,0.06383896737246518,False
13,Nigeria,1933,-0.8328184470021976,0.09539494510400556,False
14,Nigeria,1934,-0.9328607729184932,0.08032109814095245,False
15,Nigeria,1935,-0.7600382018869419,0.08967805900766118,False
16,Nigeria,1936,-0.6560947834707025,0.09649724713371004,False
17,Nigeria,1937,-0.7995904148690288,0.05923496061620572,False
18,Nigeria,1938,-1.154441176100701,0.06429284182333198,False
19,Nigeria,1939,-1.1451051762545834,0.06662643431008307,False
20,Nigeria,1940,-1.1793199692812284,0.06315923907066147,False
21,Nigeria,1941,-1.4553400621098491,0.0444087890727752,False
22,Nigeria,1942,-1.3849015020167412,0.04621394239027828,False
23,Nigeria,1943,-1.3429593902151231,0.034498726228775284,False
24,Nigeria,1944,-1.8186027538598528,0.04095181173193097,False
25,Nigeria,1945,-1.331052265657138,0.03691386584494905,False
26,Nigeria,1946,-1.2006895732750051,0.04522689795296087,False
27,Nigeria,1947,-1.110806211503179,0.05570985098930172,False
28,Nigeria,1948,-0.8804206680729612,0.07164893967487003,False
29,Nigeria,1949,-1.328382349936678,0.039716939611444124,False
30,Nigeria,1950,-1.0842674365102134,0.02983007737337937,False
31,Nigeria,1951,-1.2686468118973608,0.05114576404327709,False
32,Nigeria,1952,-1.1743014467750148,0.035358415444117115,False
33,Nigeria,1953,-1.2763428029942303,0.061873332995663964,False
34,Nigeria,1954,-1.082876975222398,0.04127562992694979,False
35,Nigeria,1955,-1.4152856224625252,0.02931845106008973,False
36,Nigeria,1956,-1.3283347134160528,0.020326368078258567,False
37,Nigeria,1957,-1.1237165037646055,0.03889522339448487,False
38,Nigeria,1958,-1.0299836847812522,0.03176647178558064,False
39,Nigeria,1959,-1.0821383914745355,0.02628831348675757,False
40,Nigeria,1960,-0.4439211371622581,0.02351499423244429,False
41,Nigeria,1961,-0.8058724660132273,0.0360684108076269,False
42,Nigeria,1962,-0.6364155130999811,0.019939619317240555,False
43,Nigeria,1963,-0.36807430375159866,0.0033589007111368262,False
44,Nigeria,1964,-0.3946575803787981,-0.008276336568520552,True
45,Nigeria,1965,-0.6436744420184061,0.0076225176259081436,False
46,Nigeria,1966,-0.37334126399932255,0.013668608826484428,False
47,Nigeria,1967,-0.3581692814474008,0.052382944978557264,False
48,Nigeria,1968,-0.8360878452758386,-0.003320944321856275,True
49,Nigeria,1969,-0.5056715015662115,0.004019068358199645,False
50,Nigeria,1970,-0.2979364596213568,-0.005321536757630146,True
51,Nigeria,1971,-0.7075640476926047,-0.01978859522134557,True
52,Nigeria,1972,-0.5755880359863976,-0.05607331952905019,True
53,Nigeria,1973,-0.3908687975839765,-0.003513966756440197,True
54,Nigeria,1974,-0.3357616026589816,-0.02879542735746698,True
55,Nigeria,1975,-0.3227207034419469,-0.027931598761980002,True
56,Nigeria,1976,-0.05435227937914847,-0.010080919282228946,True
57,Nigeria,1977,-0.489499012535859,-0.030365095455003308,True
58,Nigeria,1978,-0.24831617887859994,-0.050890041696341405,True
59,Nigeria,1979,-0.7147395745628602,-0.05827366943789579,True
60,Nigeria,1980,-0.3139355973771907,-0.09430397539357213,True
61,Nigeria,1981,-0.6155241653709039,-0.05293991659515264,True
62,Nigeria,1982,-0.6147806509126089,-0.07994694619639765,True
63,Nigeria,1983,-0.320340689991832,-0.10118034250266868,True
64,Nigeria,1984,-0.5172411858530738,-0.12752580331870686,True
65,Nigeria,1985,-0.4630085921197713,-0.09975168155070636,True
