index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102
Sawyer,0.43225561067676005,0.5643443737248964,-0.056815963279647975,0.7732798779420383,0.08647875638330356,0.28349194531250876,0.15547085721693324,0.198635568626067,0.8652170115409803,0.6639197540565306,0.21990455789240598,0.290791641450532,0.41885397608783365,0.02827774105448987,0.20931130138200066,-0.3500730365589861,-0.11281066043458537,0.04578841652649906,1.2653816692228983,0.36856102551105785,0.4808197118555366,0.5993565480208028,0.46826171776876735,0.40002502181411564,1.3756745253844274,0.43889930698275603,0.23200028520811553,0.6752804682314059,0.5860970010127056,0.39855633027213017,-0.6083717526990877,-0.3300139430468585,-0.38173173236553304,-0.3400220034334246,-0.2898478543369243,-0.22692069308997773,-0.2600269423016287,-0.2283881961096932,-0.2845170228562271,-0.23284520302646342,-0.31457330604150435,-0.2406106298372702,-0.2471483422480131,-0.20361022861708863,-0.26592432186062903,-0.21539301260598667,-0.1582550766079407,-0.12969963379395927,-0.05390547163619124,-0.04537620723707693,-0.19600203598165394,-0.08901271350076975,-0.22186532677969545,-0.24768088508257569,-0.15142775962931646,-0.08733309790563286,-0.010925283220240212,0.0020636675123557515,0.05339935740054662,0.016583159105292247,-0.0066162324958464035,-0.01988729230910702,0.1165352151392144,0.3139335138104097,0.3017222347583066,0.28570447858492337,0.508581459061443,0.5295956209157476,0.5155866924089536,0.3904295239895568,0.3370368362254038,0.30699930898864214,0.32679032549325315,0.4266952139168185,0.3619755933511431,0.40115807914884666,0.27714579992311483,0.4223474957892699,0.3129776135271828,0.31362545905941486,0.4511218135128874,0.33519260376090265,0.296317849657349,0.4445597409005577,0.4348131955114554,0.37995944008419374,0.6345382543727816,0.611378753963253,0.6490454753868735,0.6256938140390925,0.6297051698183767,0.5689451588184246,0.5926366868897034,0.3031909560060514,0.5953236659499326,0.5392493820908549,0.6147962768978531,0.6341573782195665,0.5357714415738639,0.5665702902460259,0.4183061011556584,0.3456063607118601,0.4970069774384999,0.47547278058341985,0.5558610823543227,0.551022658420432,0.5381251350137389,0.6004839988509588,0.6781241904867811,0.6051951143722247,0.6892794981107486,0.6940014679094554,0.5585263261020951,0.6638089656101203,0.5544771547682895,0.5468361904712394,0.7907437967550568,0.7274052478334597,0.6990925567504628,0.43891929712486666,0.5477898872980443,0.46748270487099114,0.3170680682389475,0.4362386817174304,0.23446306890383936,0.041119422505930335,0.20491748559271392,0.01072719076571029,0.12189011162948374,0.17716411069767474,0.1903435293226981,0.12934660943172174
Vera,0.44241784825818675,0.21306429654174733,0.657805117395886,0.5376656848795581,0.5317569084014298,0.2511226551037871,0.3895134655573824,0.5549782236513647,0.39777658240489533,0.26515833313730874,0.05614235657324697,0.18170420780253463,0.26219059289968377,0.43683290188237484,0.4232873628947028,0.07591431963241922,0.46687382611483513,0.07500857879415261,0.259359907210513,-0.13680740085237544,-0.016182718462433104,0.14992795847135093,0.4350688561005946,0.07793290694634004,0.08863188845139097,0.5054115965357924,0.5814101202052363,0.14385677878490125,0.8714536006685906,-0.03912182586394819,-0.22394587388642095,0.550686174297046,0.5656519704532323,0.7179052616068945,0.7196766494958994,0.5984878647290613,0.5420639066231484,0.5465377959540048,0.4459982334191559,0.27885868785528406,0.403542332750233,0.22149172712554505,0.16922117597296157,0.1654940819522104,-0.10055144538779712,-0.11608381723304743,-0.32234029844695183,-0.34941791267331485,-0.473084422595179,-0.8460960958175019,-0.8954321653586674,-1.0622213046419449,-1.0648044385091775,-1.0719271292820642,-1.273839236996431,-1.1780029093241615,-1.298485396099,-1.183491864922916,-1.330316918694326,-1.5608085109686007,-1.5677312867747923,-1.845622297488327,-1.6900412878407172,-1.4571966039233795,-1.462188888026846,-1.4988070402665694,-1.533663594554293,-1.3831300123511934,-1.3520714648076064,-1.7176278221696535,-1.497801084966577,-1.536639343711189,-1.5664116691114127,-1.592066303670418,-1.4841129951506111,-1.661995631421244,-1.6822536983684584,-1.4548497745902,-1.6064699180651927,-1.8377922313984523,-1.6043456882105342,-1.796524983576679,-1.8227445660010893,-1.7040641860083385,-1.8400129250855144,-1.6991253259980275,-1.4661112296388192,-1.614860574218591,-1.631885359269871,-1.7454202667554546,-1.5313103248395907,-1.7766502522351222,-1.79827219876381,-1.9832498604355575,-1.8207523928001137,-1.964108870200838,-1.8565598701874357,-1.7979832348507188,-1.6675388392907482,-1.8382851667536615,-1.8192482363336968,-1.8060261540989568,-1.7674406572024035,-1.8606895043280092,-1.7544882330082865,-1.7176479345623659,-1.71220008759217,-1.8083148451909548,-1.5307482119099045,-1.7042427377816391,-1.3141654186375944,-1.410313585133244,-1.564381484044132,-1.4831922420368613,-1.460679725255547,-1.4424985566620465,-1.2837325004407754,-1.3021130176783418,-1.1868944264155,-1.5434470325328717,-1.3837252409790526,-1.41355644378323,-1.5401106956215083,-1.506069084767981,-1.6418347069988273,-1.6489169406532813,-1.643660427094716,-1.7742766639122596,-1.6596979844647202,-1.6954680496558803,-1.7361250537344668,-1.6077638838222634
Beatrice,0.04641058180178685,-0.07606448875123796,0.10092448880303512,-0.27091814752871757,0.1093401406272045,-0.16359557241455833,0.2018327440569091,-0.015244055564170361,-0.11647263005135744,-0.09689465948607663,0.49575216043817494,-0.18842925205369482,0.24952141721907775,-0.1901739900596466,-0.048923414514857565,-0.09226620563192454,-0.4208630714185759,-0.1984310850273704,-0.11660995462041333,-0.005191649001053872,-0.6929315578302021,0.49884753051608693,0.130506730118827,-0.14031477517146643,-0.38497733754333674,-0.10982927078670038,0.1933731160105639,0.050842867568352046,-0.12865450113416976,-0.15238722279724518,0.24380431268879632,0.8842113028559183,0.8170554370732626,0.8424689477225363,0.7185734135821449,0.5983900993892505,0.5750992612730228,0.5372725673080334,0.4017939314505079,0.22055870792868715,0.03066473316901139,0.026753831792152634,-0.04575290777504217,-0.05356998747409425,-0.28463671911706445,-0.38823318358791414,-0.4789296433820021,-0.5722138438422716,-0.553052350245693,-0.5216917873247491,-0.9205869586800272,-0.77199436292632,-0.9188200548350092,-0.8322809590179572,-0.8505944898053934,-0.8160098247463091,-0.8620035246230663,-0.7681866288076966,-0.9374024185420264,-0.8509144125401591,-0.9765606267682365,-0.9707666448644254,-0.9548205316129555,-0.8295591489933428,-0.9446361711083975,-0.8196829422974251,-0.7619561776772151,-0.6913398910623414,-0.7447274638646307,-0.8024521311206356,-0.9741800825096283,-0.8901957755774127,-0.9862344464539331,-1.0313154699607394,-1.0314445618282901,-1.0399054545766648,-1.1030377575936807,-0.7042887382370114,-1.1653654341366804,-0.9161109877574168,-1.1001433841222008,-1.0312157534732322,-1.0775651683578056,-0.9690188469518268,-1.1254198588878304,-1.0510326886285106,-0.8472346664320611,-0.8633337022448294,-0.9348733855859559,-0.820484954321752,-0.9449466704698407,-1.0191329628343575,-0.9360551893766887,-1.0650456483732782,-1.0994284540736639,-1.0500847239518813,-1.0877011482490373,-0.9288588730838351,-1.0728778143611442,-0.9271148610757192,-1.2632524759925996,-0.919102567103712,-1.0531969203778782,-0.9840469011625825,-0.8884686080608873,-0.9147247759034863,-0.958374244742502,-0.8944401455918026,-0.7622440598151828,-0.7041455935917114,-0.7005891053735647,-0.6798435452127412,-0.8092914782843069,-0.6613877535702146,-0.7936348137374786,-0.7753654884314873,-0.686815120770968,-0.6519369161869054,-0.8421416597702387,-0.6599117874405573,-0.8238480676405364,-0.7633222726689324,-0.7954897642351505,-0.7154705930609428,-0.8482521588447361,-0.7913958952296938,-0.7775643159139003,-0.8646651657413804,-0.8039598910509456,-0.334292446808297,-0.7799534039909084,-0.5695328957347928
Jace,0.586502017478706,0.3986001586881697,0.1430913834382577,0.5870656102011687,0.28586558094314446,0.6660847383415671,0.45125120619103615,0.4632647201441392,0.5783348535693642,0.16339555743964224,0.5478429264258703,-0.02806716483818236,0.3392913941740836,0.8478182395779943,0.21831384692343117,-0.024713889852977938,0.4987095006121223,0.18579526097070698,0.6145458366102778,0.2029569961404272,0.6121180700727333,0.691547830794582,0.7493512783860492,0.3480662859570931,0.6593175231530111,0.14271989744778507,0.6292031945956933,0.6630345237753016,0.322981163552728,0.3831064128347456,-0.10893951918765117,0.4797317078893315,0.4964128410476053,0.5616984845680257,0.5655382583583258,0.5600028556405103,0.4990631809151512,0.5322174914128519,0.49414802368244787,0.31409116323426867,0.41279784393664243,0.2575571157651065,0.2841066587334181,0.19287139261450817,-0.06300429605483046,-0.07267251117515831,-0.08843510863011995,-0.16789214855674747,-0.21266857094223776,-0.5687898154317365,-0.6620696046811884,-0.7449598334995293,-0.7874347918325539,-0.8133563595132068,-1.0153094603750463,-0.8629908208398105,-0.9347389313310526,-0.9532561774779195,-1.0071552774888912,-1.2882478818598442,-1.2440373288564044,-1.5327837744465378,-1.3956218741537278,-1.2485738345960946,-1.2700369781590901,-1.2756076279283834,-1.289231947593774,-1.1472969267269226,-1.1455413272720023,-1.5587078335854447,-1.366347755096235,-1.4510105484773295,-1.48556263472228,-1.4646443793141786,-1.5158190064236645,-1.5083837590505018,-1.5698014340968454,-1.2875341231611628,-1.587039879856851,-1.7760733312401047,-1.4919237923387239,-1.6737088898693444,-1.7923035805221188,-1.7053668351644828,-1.8821519390111816,-1.7053091727487346,-1.473968601112218,-1.5891220749372443,-1.555765975480671,-1.826738267275966,-1.6086656338264005,-1.905699977852592,-1.7714764010594535,-2.0168517616854555,-1.8490565270686181,-1.9548237612735444,-1.9067701446718883,-1.9010526313392144,-1.720094901987054,-1.8963036850595598,-1.9334800757669366,-1.8935450733591073,-1.8103592653784866,-2.0285380997213696,-1.9234202699133043,-1.781681732016853,-1.813796181372923,-1.9840717443000893,-1.7917931454472247,-1.900947628828714,-1.613965081180069,-1.773752669546924,-1.9021023197201594,-1.8046122788303727,-1.8926635362049242,-1.835175032586963,-1.6424397719905874,-1.673504632336966,-1.6505011673154368,-1.9006146110434448,-1.7427779355420847,-1.8449086242223955,-1.9605047228165322,-1.8783161398303536,-2.0375471580253284,-1.94534349672498,-1.9278065219056204,-2.1203854398575315,-1.857637871064481,-1.7550074260727768,-1.817042452598456,-1.7734381326365984
Clarence,0.33614281799669715,0.5384993001084473,0.7413600481522272,0.3237268768905653,0.4733530410107632,0.11168510641610022,0.3260132239368592,-0.27328070494778484,0.4897515850547819,0.7167808960292066,0.21363658082357828,0.41543160876926216,0.14775410165282077,0.24630674706449696,0.29297381362898023,0.17882759511913585,-0.08358302915038565,-0.1589684403404151,0.42810003021003007,0.4286201019512919,-0.3220875026194461,0.059846707493400327,0.3285726365693194,0.012283281287238159,-0.13049169596494847,0.4647011479012786,0.33605375205749916,0.4238692862964703,0.4503756323624363,0.5004258345884767,0.04070717543813403,0.22657054949081976,0.25748286720016894,0.14315984227143017,0.07658197738036551,0.12349431103927629,0.02324871805477275,-0.18477407590667677,-0.13506041963992918,-0.15881695779534055,-0.4449297026212121,-0.2163723889070031,-0.32945788429165745,-0.24695531836748785,-0.25558505523184327,-0.22242054076678763,-0.2405507774357268,-0.05024863094789766,-0.33418780539810666,-0.05954198592161378,-0.03581089722826388,-0.22656138421282354,-0.31327406326745844,-0.09596875768292631,-0.08414706948389836,-0.1747399941630276,-0.14108669477258381,-0.1381261873341583,-0.22264086222103055,-0.02486324277948632,0.0172364993837207,-0.032807425189316085,-0.11276903512187933,0.0394923846766064,0.09711503351254305,0.15042355305360858,0.1784113127152338,0.07934812999904552,0.08426063714648158,0.1657155501458014,-0.057093066825558064,0.010486833884036187,-0.033568307708119874,-0.022323850051614812,-0.07133586569583736,0.006095330525331619,-0.13064814542540754,0.17128788167459588,-0.02234056342823261,0.33912127600365854,0.09188872084891238,-0.04864394945596163,-0.020616553223964072,0.17416546336423414,0.19165582478107168,0.07392208168681301,0.17285870412414267,0.16769059432391317,0.2400553164233268,0.4305630465573943,0.2220584225691991,0.2363682004062985,0.19452473563333691,0.19496682792857722,0.3254826652707555,0.2120043358274498,0.3435174751044089,0.2179029558996013,0.02109518881466628,0.36465709478233016,0.03852002782884058,0.4376951896265426,0.03948320226251194,0.10254376234267835,0.32853706339785316,0.09982731971199214,0.10170599461231819,0.29351650324434386,0.21426795594497744,0.12885664138508177,0.024628260929191747,0.1435661691207143,-0.06441262682641923,0.22678608845357615,0.1103893518756526,-0.028851405443575284,0.21319609864943578,0.1668103915927585,0.0656190633032299,0.32938174789723634,0.1869806455585252,0.3502254973866427,0.2694897353909777,0.22358693956563308,0.21077853775735508,0.04312814303005763,0.1157626736789318,0.09320710244149637,0.3632829814502205,0.7560063569852938,0.563077861618888,0.29770723621641726
Allison,0.5222369496803914,0.7343252223790618,-0.08033538652843882,1.043645081782261,0.6145899038965607,0.7473340739392725,0.5004244800288598,0.5034585060898068,0.8105098436052088,0.5977079026212272,0.3479902698152464,0.641962669247102,0.6183112234857842,0.28274929110587965,0.5733730516334208,0.3674338495619146,0.48162672854687116,0.5737387528998251,0.6201270658151028,0.49930039534494436,0.7779863267811892,0.9430729263443821,0.5298455883101242,0.6803030751421563,1.1760544796756627,0.7174795892978009,0.15246960657086547,0.5991757798084227,0.5407367820135706,0.6672582130697281,-0.06523893887750618,0.5866101981972496,0.5826003381723974,0.6646509333308437,0.6664127985635808,0.6426706094767934,0.5499994401902195,0.5361142655256046,0.43904623901904755,0.21050779063820277,0.33156668202854234,0.1832643748551692,0.1609826836110878,0.12506636914918542,-0.15790738423152906,-0.18078776913772143,-0.140000822611569,-0.1832412356349346,-0.2145632892400388,-0.5715993831265552,-0.6080067236745467,-0.7081404682727467,-0.8074138898120418,-0.7105842903239109,-0.9020551394622133,-0.7558436960000897,-0.7317978226972901,-0.7627514085865965,-0.7518007603347664,-1.0527701174318762,-0.9512319334467887,-1.227476478215279,-1.0645218523573305,-0.7819980255072331,-0.8960187338697867,-0.8249091848581599,-0.738939388308887,-0.5835981458384301,-0.5931535943241388,-1.0511271725594156,-0.8587813494454524,-0.9329940589272001,-0.9011185042082326,-0.9273971070218032,-0.9959921507094541,-1.0242908807866746,-1.1030185376886523,-0.7573892106740572,-0.9820876129483843,-1.1771225917170791,-0.9775328087894116,-1.1326629994713915,-1.2034016303728534,-1.0881630662841746,-1.1509036659539593,-1.055559937743778,-0.7537208030637876,-0.880699974578087,-0.7645081442106217,-0.9861684817007653,-0.8160827854242889,-0.9930356994553767,-0.9823814080896689,-1.2282466300909796,-0.9370190428935319,-1.1822112567129903,-0.9752863708761792,-0.9698915007581274,-0.8342398743941836,-1.0742689830957401,-1.0712909666959425,-1.0141567485333376,-0.9835736276341609,-0.9990039047187228,-0.8813604439364795,-0.7481756506006502,-0.8762574475308734,-1.0099200601785208,-0.7297150608442298,-1.0495981803406242,-0.7337278706003103,-0.7722639288566141,-0.9294198857584642,-0.8405386091668773,-0.8227693952776527,-0.9083078028692987,-0.6458360615038898,-0.7215719422840361,-0.6002963758972891,-0.9996297651066676,-0.7563775468970395,-0.8351371329823638,-0.9367549564269562,-0.9282476874938679,-1.081226269415342,-1.2552941317470612,-1.1020748967053573,-1.2385272649587755,-1.1510708494759676,-1.0296261989044995,-1.0214080621474062,-0.8563748995227117
Amber,0.7625291828610377,0.9783167779226308,0.7445915497199114,0.9256776040691223,0.7020998066635574,0.7411769941320256,0.7067278215047665,0.36366599559273294,1.0526655676602237,0.5391330316736173,0.5861595209065028,0.578476423617034,0.6145477803598833,0.8663725787598562,0.4272203412072079,-0.7944524732927313,-0.1574590733489577,0.31523899438668895,1.0859975418855528,0.6351339647053208,0.5021402305614437,0.7703218993316273,0.8978962835827147,0.5392782663291136,0.6724198226127659,-0.006194605824036339,0.6863290822626684,0.9000671129966061,0.8600775535308405,0.8590553458902292,0.11163136365790753,0.8302286233376109,0.7833478866011441,0.7668110015017781,0.6907952616353817,0.5896285122687963,0.493759481107614,0.4544180888666767,0.3195429560235772,0.1070027720946652,0.05476605121115841,0.03693161460065003,0.012731043642469159,-0.14083316965034556,-0.33698367984756883,-0.40543349934653145,-0.4683558060120744,-0.4856260080382705,-0.5953420261712108,-0.5151913651424511,-0.781233225828066,-0.7777109270437605,-0.8645418076439854,-0.8313049042493922,-0.9283141837130398,-0.8049035164481836,-0.9364255409773682,-0.8303703850342106,-0.9833487204639679,-0.924296112910159,-0.8850630014929108,-1.0951606782600583,-1.0345871729711016,-0.963955824286696,-1.120837073518559,-0.8858432372301006,-0.7491452476441375,-0.7334484513901187,-0.7936238170929985,-0.8428438805338238,-1.0104510159846465,-0.883437654768586,-1.0119490709191907,-1.136877798987662,-1.1762140761215654,-1.0260802269093114,-1.1245375051711726,-0.7335551297190225,-1.1203735700730773,-0.7792127356975475,-1.0215655445962704,-0.8446723020079416,-1.0212516113867174,-0.9936686097938409,-1.1167791215554934,-0.95053120625662,-0.7266468032228628,-0.850065936960073,-0.9980686653279269,-0.7314135642124305,-0.9409514871998969,-0.9781634870905794,-0.9636000024990112,-1.0193871569481963,-1.0734767060814787,-0.9724396069825193,-1.0523925495852717,-0.971513801737684,-0.9900802225164799,-0.8215924095432114,-1.3059054412284516,-0.9313790135211876,-1.100223917592672,-1.0367985793288,-0.9888865381943296,-0.842323289726757,-0.9223227091665008,-0.9259993889263186,-0.8153276311131605,-0.655523189544545,-0.7147320760388909,-0.7416557227073949,-0.9736708177692124,-0.7561595505288722,-0.8193537287993223,-0.874053950071289,-0.6968454493498536,-0.5842651338077559,-0.85014067672851,-0.5982569573642675,-0.816633333108047,-0.6099181451023209,-0.7339020315960032,-0.7811572923803819,-0.7708557374613713,-0.8176491165653704,-0.7550989024104809,-0.6532133300861394,-0.6400547371713732,-0.2773188633914808,-0.4586487092729891,-0.40393839867108705
Brooke,0.6974463315355245,0.9750090418807048,0.5631754026963741,0.8862094804999691,0.9291614623398666,0.8775661043787342,0.847319347542002,0.6625477329878645,1.005538725704107,0.636235246093837,0.8816909907340642,0.990549686393374,0.6715373987127599,0.6875880606303241,0.7268576406983309,0.09503672516664942,0.3070917220809346,0.5950442892156989,0.7864981810206668,0.7159688151773046,0.6009028897837929,0.9944423414632825,0.6185273476231135,0.8955102676836943,0.683652911863577,0.5859499346912139,0.2388366572368312,0.761171142318408,0.8232117838837875,0.918378919147768,-0.13984266218470168,0.4702270713955577,0.39894962238744575,0.531440368989757,0.5070956431913467,0.42425998539872134,0.42083655466259284,0.4548799808295685,0.40596733551654507,0.20079552788232313,0.27449047093198586,0.16646019642919205,0.145029481259223,0.14165849347408868,-0.130528604324931,-0.11555735334285419,-0.1176434128074466,-0.19690759414370648,-0.18766396598272697,-0.4132578691830685,-0.5014434005710261,-0.5401728263988218,-0.5696798914916233,-0.5386090958155502,-0.7123870051310759,-0.5755272877973795,-0.5475680527794526,-0.513742621918847,-0.540574815439839,-0.8216018714762078,-0.7261524415362909,-0.9929196620946783,-0.8486980165352431,-0.5658879713253944,-0.6721424775552516,-0.661111736054888,-0.5660807754700873,-0.4534106186440577,-0.4178494544929662,-0.7902741103222721,-0.5573153565649505,-0.6547379271815068,-0.6249382762916315,-0.6019095473344896,-0.6737822701189552,-0.7190391113831389,-0.7794843031504333,-0.4511422151932542,-0.685303767206712,-0.891713732500778,-0.6929503443847757,-0.8213154878014184,-0.8831897126864282,-0.7718619813400086,-0.8891991825346365,-0.804751421719579,-0.5253696184015457,-0.662640882740743,-0.6036208206616878,-0.8245362296998752,-0.598564827812869,-0.8124086824014364,-0.8198217086274684,-1.1022424415814498,-0.8923647828379527,-0.9671484880876623,-0.797718819968171,-0.8193791839776063,-0.7271789193934982,-0.8917568986231849,-0.9013891936515268,-0.87228640164143,-0.8234483300538293,-0.9034415194080798,-0.8066090218263184,-0.7694943354880224,-0.7468138469672908,-0.7838537928439177,-0.6168966641110903,-0.862169650296824,-0.4861061522190375,-0.5716976938924325,-0.7162090786141754,-0.638558999009752,-0.7130061806593735,-0.7555659295662873,-0.47996075736630417,-0.547437758618665,-0.4172687628445703,-0.8393699553575874,-0.6049890496898563,-0.6514549503513576,-0.775441762999981,-0.7712064024233843,-0.9733941785863504,-1.0519329458206692,-0.9886058805760237,-1.142340180763693,-1.037083124500307,-1.0634266770816487,-1.002379583415292,-0.9267836013680611
Diana,0.02464974514038504,7.529032561417782e-05,0.24379712827441877,0.003323866418890538,0.12374753769823085,-0.149352643305073,0.005148999297170439,-0.09698559045917006,-0.031631228143434886,0.16722171384744114,0.21670240917293263,0.2522817814375126,0.0466985445451515,0.11962823038735529,0.09122130140472827,0.28697695965144693,0.2268623797365958,-0.06798719751456887,0.04511139397955612,-0.2588415375505265,-0.013100998669978662,0.08642158334769728,-0.13095426978817604,-0.16790526507624498,-0.07710648313669047,0.24701515637041288,0.17292348990529363,-0.2687723329902313,0.03419800854205997,-0.2496262055386199,-0.07583034453257477,0.6313805134247441,0.6067585152939202,0.6930975899466656,0.6654082536398983,0.5099877617139661,0.4705549775502424,0.42112991164278973,0.3189468003250287,0.19743610762214894,0.3265310607817807,0.23650174131615406,0.18733942380757945,0.08348002108790424,-0.20514384653597686,-0.25159951328139346,-0.37289681250289775,-0.4947589037080582,-0.6051414486435532,-0.9146252401391687,-1.0515665393751372,-1.1235251945938627,-1.166820590740805,-1.1858539475795895,-1.3119643741308114,-1.2624049046305343,-1.401112946457221,-1.349056039295206,-1.4664098891644826,-1.5812074599164216,-1.5676031376981359,-1.7932235235789094,-1.6737443792565658,-1.4426828013964845,-1.4522005750264166,-1.391420562589018,-1.3867983439830172,-1.2822890274391379,-1.2213153826791707,-1.563727980903281,-1.4030983199822755,-1.428730488724031,-1.5406953666473189,-1.5840322782029923,-1.5679638356241457,-1.6845000316492762,-1.6745188207762964,-1.4477019527433395,-1.7196889184432467,-1.7344911572164294,-1.636826233719349,-1.7037114875463977,-1.7496060059623963,-1.7168977608312752,-1.914097997844552,-1.7173906796199432,-1.5163722353593947,-1.6407908272396088,-1.6492614294473058,-1.6945594690877108,-1.6131743774945972,-1.7742423565009524,-1.75705942147551,-1.93198918272741,-1.8391197840921212,-1.9040460856094,-1.7800040638976686,-1.8330670880545128,-1.6458846417693271,-1.706955016455334,-1.8230549637494797,-1.618687734933672,-1.6227330939202418,-1.743392683754153,-1.7267537655764003,-1.6741281558110679,-1.7005836817753248,-1.807435325871261,-1.4743528178716736,-1.6183328408748296,-1.319149565815899,-1.3579747916857874,-1.5334011257096283,-1.4764185993475851,-1.5182848282136343,-1.464753370335494,-1.30114208785418,-1.412221572465033,-1.3223229781046668,-1.5045920577398693,-1.4888783313099476,-1.4058037979703084,-1.4310348237552637,-1.4638558890989013,-1.6069575428011493,-1.515866134426546,-1.5300985697423197,-1.657105086696656,-1.551389511967046,-1.479015546394857,-1.399692722653259,-1.1896739283916316
Laurie,0.264816557197735,0.4250746664066848,0.230528016441057,0.40810186115397123,0.3296049504339104,0.11042601380426592,0.24383483818241236,-0.07144049087518264,0.5790110401300116,0.3807179987769133,0.37254501417116564,0.5170632569612909,0.14995802860927357,0.010103470584113516,0.09842823015630331,-0.02385075201646886,-0.12347859834293366,0.3210638222721103,0.20114302890874589,0.3897006187034023,0.41938618719083165,0.13037196715461155,0.2116437944377409,0.1362256318532157,0.4970915046027084,0.188525237432793,0.1431005534237669,0.374306398696509,0.18479895341741828,0.43702090654095593,-0.19946177898306378,0.5352098056674858,0.4981965295206242,0.622605009017845,0.6236214521594885,0.518858082676628,0.5020712243551853,0.5055100177934843,0.37538579474671446,0.21607637673085786,0.29236399776717664,0.18402722693472154,0.13859947544377502,0.10632805626464532,-0.1879483443651654,-0.19560889203175597,-0.28446000095233015,-0.3909805773997159,-0.4783098619192882,-0.723192227212794,-0.9174946491936358,-0.9227526680297273,-0.9599143804351958,-0.9584273502425187,-1.1137092140183993,-1.022210297827667,-1.1273220403688649,-1.0557853649033244,-1.150158276317367,-1.3421675769330996,-1.2715165119395087,-1.494980806376215,-1.4393672326686524,-1.1927308797722747,-1.251542874269534,-1.2475914784042184,-1.278065866135724,-1.1468611593403084,-1.1296790093572096,-1.4360905496812733,-1.3579031610616379,-1.2987579267223726,-1.3926237991218469,-1.4514673599712098,-1.4266854085070517,-1.5349987193253865,-1.600637064753836,-1.279117221750094,-1.5077650319796194,-1.546544326227716,-1.470840036503719,-1.5237974727540444,-1.6356621773680065,-1.5532374851967012,-1.7048628557539518,-1.5661353676694172,-1.334184370656491,-1.4405815158036208,-1.428804773970033,-1.4834504203376897,-1.3912909068549175,-1.5246464354445335,-1.5213350145845217,-1.694821690392764,-1.5991314977712126,-1.6676344818114865,-1.5472909375535315,-1.5556353845526691,-1.4839520627757525,-1.500246723358095,-1.6470590220177765,-1.5174083497659354,-1.487483026652601,-1.52089406183326,-1.432952338907077,-1.4162813487344657,-1.4641836845985094,-1.544016668894078,-1.3125128625098386,-1.4398253015574776,-1.165887403521596,-1.191327590400147,-1.4081279735078247,-1.3016071196591534,-1.2795532145880628,-1.3552347268791678,-1.153917601708391,-1.1714631878394157,-1.175946159592349,-1.3738217583515702,-1.3263934350179694,-1.2489158330311303,-1.3766874612647568,-1.3221022098500683,-1.4899657236893522,-1.5485750249025212,-1.4542679529602434,-1.5633135456386968,-1.5227127013487274,-1.3429305079377456,-1.4159947541516695,-1.2238085387791082
