,sport,gender,direct_correlation,indirect_correlation,same_correlation
0,football,male,0.11397576409275048,0.04271695836526624,True
1,football,female,0.2882095598316973,-0.16308985391781086,False
2,football,boy,-0.3942503809553691,0.17640105108422688,False
3,football,girl,-0.0604071940700214,-0.1331765442125232,True
4,football,man,-0.6736573557951067,0.1602480001792647,False
5,football,woman,-0.4201055978478464,-0.13373679272855754,True
6,basketball,male,0.2965729071731999,-0.033268446364004466,False
7,basketball,female,0.5178033070456404,-0.1697733494559068,False
8,basketball,boy,-0.4672879117086447,0.10478893586674752,False
9,basketball,girl,-0.16993375927198429,-0.1296590249968316,True
10,basketball,man,-0.5568701136927698,0.08629724841751801,False
11,basketball,woman,-0.23076428637458446,-0.15674549030096355,True
12,cricket,male,0.5827347873510101,0.0717690479675687,True
13,cricket,female,0.6474643169342252,-0.04142169430742222,False
14,cricket,boy,-0.09772409759380234,0.16338458198417993,False
15,cricket,girl,0.007668042619655019,-0.00943955332803211,False
16,cricket,man,-0.4755720456023703,0.14037332894363913,False
17,cricket,woman,-0.6129169868399621,-0.006081462066365139,True
18,hockey,male,0.9312039976181188,0.012272863829055305,True
19,hockey,female,0.734647516486669,-0.1422778267461241,False
20,hockey,boy,-0.2255809993858217,0.14131392472347562,False
21,hockey,girl,0.046598975302453036,-0.1055380202811367,False
22,hockey,man,-0.3292222746680001,0.11142238692411537,False
23,hockey,woman,-0.7970560279014055,-0.1304673092265581,True
24,tennis,male,0.9640213671491256,0.060622942080225034,True
25,tennis,female,0.7314126398452028,0.003599578069267399,True
26,tennis,boy,0.02178010040953648,0.10786099077228647,True
27,tennis,girl,0.04090568619185613,0.02824740108647532,True
28,tennis,man,-0.3359290807713193,0.07941381583540001,False
29,tennis,woman,-0.4466367589424856,0.01777111108352505,False
30,volleyball,male,0.9355216503766268,-0.01143529621070928,False
31,volleyball,female,0.9350127539792308,-0.055909372339780716,False
32,volleyball,boy,-0.6069285727151309,0.07055797850034047,False
33,volleyball,girl,-0.3130977682160285,-0.02198122064543947,True
34,volleyball,man,-0.9818711728230408,0.01975546717684025,False
35,volleyball,woman,-0.7179363196630923,-0.0696206701793682,True
36,table tennis,male,0.5851071893598833,0.01008954503967206,True
37,table tennis,female,0.44156838931473796,0.013202875737612066,True
38,table tennis,boy,-1.2525281961870272,0.06848333847490178,False
39,table tennis,girl,-0.8302426734959852,0.05170532859896639,False
40,table tennis,man,-0.7231567200388637,0.0207757267178376,False
41,table tennis,woman,-0.3870765136360256,0.010475823845335151,False
42,martial arts,male,0.7934638083100842,-0.025849391580230145,False
43,martial arts,female,1.0265450951897501,-0.05899150805199702,False
44,martial arts,boy,-0.7038778157987561,0.06717452908272017,False
45,martial arts,girl,-0.6136070110538824,-0.016730176864027498,True
46,martial arts,man,-0.485147757438167,0.017813377781942214,False
47,martial arts,woman,-0.12104762584862848,-0.06113168545213925,True
48,baseball,male,0.5942537677927144,0.009049967750619772,True
49,baseball,female,0.8149867990854586,-0.20634154419866688,False
50,baseball,boy,-0.6671156338414007,0.17114497504896697,False
51,baseball,girl,-0.19366516456921773,-0.1664273114587082,True
52,baseball,man,-0.6098533271637727,0.1489399171492439,False
53,baseball,woman,-0.3522209371597635,-0.19002943341309386,True
54,american football,male,0.4742558290505811,-0.0876461428067171,False
55,american football,female,1.0047236677775784,-0.3266336499218199,False
56,american football,boy,-1.017027549026923,0.050821449017090715,False
57,american football,girl,-0.6992252506958291,-0.3216163513135814,True
58,american football,man,-0.8752304661824547,0.06431822436426014,False
59,american football,woman,-0.6397844194852702,-0.30300183456889346,True
60,rugby,male,0.16222387884412415,0.02667001532417601,True
61,rugby,female,-0.2483985960480168,-0.1552785349567001,True
62,rugby,boy,0.5109609168290002,0.14429879706124313,True
63,rugby,girl,0.4197076016160306,-0.13201448450521233,False
64,rugby,man,-0.5208486290899752,0.12742476547587508,False
65,rugby,woman,-0.9508925378370384,-0.12785511780355985,True
66,golf,male,-0.11043256093848093,0.1401311976617358,False
67,golf,female,0.3577200850035941,-0.10216858691915837,False
68,golf,boy,-0.2658536760937553,0.2231676642893197,False
69,golf,girl,0.11820935795060425,-0.09665718061975162,False
70,golf,man,-0.7330833177145782,0.24420659701235475,False
71,golf,woman,-0.22006768887566847,-0.05336275722091125,True
72,athletics,male,0.8300431343065622,0.0034569198774637064,True
73,athletics,female,0.8402389557032195,-0.13323427167698146,False
74,athletics,boy,-0.5327890543794103,0.09581158675935714,False
75,athletics,girl,-0.1950350073067212,-0.1178363357356546,True
76,athletics,man,-0.42901908823500384,0.09959193487726764,False
77,athletics,woman,0.01167418104611277,-0.10933290241358698,False
78,badminton,male,0.890319407047663,0.07463959398139397,True
79,badminton,female,0.6328095773053473,-0.0016164135463076403,False
80,badminton,boy,-0.08422672984278821,0.1729704292287268,False
81,badminton,girl,-0.03063252846502078,0.049694766704866944,False
82,badminton,man,-0.729287043690001,0.12490535807608265,False
83,badminton,woman,-0.7567372161199185,0.023677398623488718,False
84,boxing,male,0.7842767803347015,0.030637035637668338,True
85,boxing,female,0.8603208621323303,-0.21188349749707405,False
86,boxing,boy,-0.3635858986745306,0.17030848186547554,False
87,boxing,girl,0.06079960561676965,-0.18560967996005512,False
88,boxing,man,-0.6602905301381489,0.16126771566144002,False
89,boxing,woman,-0.4322931823868123,-0.17717980339473235,True
90,Formula One,male,0.3162544966735309,-0.0275347068715871,False
91,Formula One,female,0.8232599503583603,-0.07561290378544723,False
92,Formula One,boy,-1.0152083113421215,-0.04877825427589592,True
93,Formula One,girl,-0.662973508693513,-0.10996527179762552,True
94,Formula One,man,-0.7808652243544669,-0.03463566119303746,True
95,Formula One,woman,-0.9428891537663144,-0.0701939346063923,True
96,MotoGP,male,0.5757571882342295,0.051867300342852016,True
97,MotoGP,female,0.8836071189044696,-0.05008655579001619,False
98,MotoGP,boy,-1.9466096399612571,0.12013595403767245,False
99,MotoGP,girl,-1.478368983305847,-0.026381564688026,True
100,MotoGP,man,-1.1151228711583807,0.08622035437839957,False
101,MotoGP,woman,-1.1731984739811323,-0.0261299908115491,True
102,cycling,male,0.4193068761974688,0.06708594595239847,True
103,cycling,female,0.8983229164801647,0.0011621632873085649,True
104,cycling,boy,-0.7005585318071927,0.0749640177732215,False
105,cycling,girl,-0.25100086645379904,-0.0032471451684404204,True
106,cycling,man,-0.4858978871651938,0.05049633937260218,False
107,cycling,woman,0.042562203837549606,0.0013627506641256553,True
108,swimming,male,0.2342800195678683,-0.04228591505000365,False
109,swimming,female,0.19872749352534647,-0.11221079745243884,False
110,swimming,boy,-0.2136499119112365,0.10076709245592293,False
111,swimming,girl,-0.18958754573912232,-0.05132640068592655,True
112,swimming,man,-0.5319462697820082,0.04741141126447759,False
113,swimming,woman,-0.5839228462883498,-0.11990774342329948,True
114,snooker,male,0.26871421011132074,-0.09223135390023013,False
115,snooker,female,0.4139836238889705,-0.2723367282908941,False
116,snooker,boy,-0.5032101701311336,0.06097993509045816,False
117,snooker,girl,-0.3045085915020334,-0.23672526226279156,True
118,snooker,man,-0.5255401494183594,0.03298446807128804,False
119,snooker,woman,-0.3957718637330574,-0.2825519631735424,True
120,shooting,male,0.1961036718484451,-0.02412642167091925,False
121,shooting,female,0.3771654845247609,-0.21667988551458367,False
122,shooting,boy,-0.7709667546314509,0.14093025370713236,False
123,shooting,girl,-0.6082373548789073,-0.17288712046102322,True
124,shooting,man,-0.6624782552585475,0.11988408093350555,False
125,shooting,woman,-0.6943861216816001,-0.19789625237314692,True
126,gymnastics,male,0.9190619607326984,-0.08348828760550536,False
127,gymnastics,female,0.6839655994057025,0.04539540765166771,True
128,gymnastics,boy,-0.3937558849396473,-0.03973245222166149,True
129,gymnastics,girl,-0.5574084060625007,0.08862512400393158,False
130,gymnastics,man,-0.5483730727927146,-0.11063142732286202,True
131,gymnastics,woman,-0.0905114116961095,0.005251099701525366,False
132,handball,male,0.38485003567243975,-0.04000386127448968,False
133,handball,female,0.6954190282845247,-0.13858209454569953,False
134,handball,boy,-0.7365709517436961,0.11408264501428217,False
135,handball,girl,-0.3019324987945333,-0.07607190748702046,True
136,handball,man,-0.9011729567940654,0.0626322624774539,False
137,handball,woman,-0.4626954298505925,-0.13852195210020035,True
138,wrestling,male,0.8820172544400576,-0.0707565031346849,False
139,wrestling,female,0.8526789350207621,-0.2772607408715068,False
140,wrestling,boy,-0.6193674720613599,0.10687689508918714,False
141,wrestling,girl,-0.17300954548025155,-0.23216386657703414,True
142,wrestling,man,-0.4391381925829039,0.08361710634718203,False
143,wrestling,woman,-0.08788045472622552,-0.2707288496837179,True
144,skiing,male,0.24390679056729755,0.042359080969628114,True
145,skiing,female,0.3538723571281584,-0.06272200253647015,False
146,skiing,boy,-0.1719745633794111,0.11586922047267233,False
147,skiing,girl,0.050801025857842935,-0.0446565699985304,False
148,skiing,man,-0.6206842008429546,0.08320359609851755,False
149,skiing,woman,-0.2009004799007123,-0.06987516459889663,True
150,horse racing,male,0.6114878880777743,-0.01378288849580842,False
151,horse racing,female,1.013517609945399,-0.16411418465374852,False
152,horse racing,boy,-0.8249699078659716,0.0481707066539812,False
153,horse racing,girl,-0.8398189173316483,-0.17331635762246553,True
154,horse racing,man,-0.8413290466254858,0.06311862668600929,False
155,horse racing,woman,-0.0628584359982617,-0.15169406744676942,True
156,horling,male,0.4065228046809617,0.10056297297445936,True
157,horling,female,0.39832182002642735,0.164265906080673,True
158,horling,boy,-0.221583950586578,0.09729877370406656,False
159,horling,girl,-0.2257875937836108,0.18862385362889825,False
160,horling,man,-0.3744626933779853,0.045972487398060376,False
161,horling,woman,-0.2068794576994209,0.14819681645604607,False
162,pickleball,male,0.328252868238008,-0.07225682006301673,False
163,pickleball,female,0.6179239819855394,-0.24430210668132604,False
164,pickleball,boy,-0.3321941355770353,0.1098857276995574,False
165,pickleball,girl,-0.09643816681177557,-0.18731005044654284,True
166,pickleball,man,-0.8908837791315344,0.06953217307708884,False
167,pickleball,woman,-0.8071907104490336,-0.24938007747101626,True
168,water polo,male,0.636699647006242,-0.05188114518721683,False
169,water polo,female,0.7682858029567183,-0.15423661520752155,False
170,water polo,boy,-0.7185855059276626,0.08851161731211035,False
171,water polo,girl,-0.6187554996964116,-0.10340072286853476,True
172,water polo,man,-0.5973913788865599,0.05990154293713847,False
173,water polo,woman,-0.2610614824970077,-0.13719868102286684,True
174,bowling,male,0.1462112871412804,0.006469554711759125,True
175,bowling,female,0.5586366689531221,-0.13898250493982695,False
176,bowling,boy,-0.40267188888025895,0.12573328818651114,False
177,bowling,girl,-0.10204700886629893,-0.1075793453417834,True
178,bowling,man,-0.37012761878551104,0.10296977274912944,False
179,bowling,woman,-0.062098871284505225,-0.13555305428791606,True
