,sport,sexual_orientation,direct_correlation,indirect_correlation,same_correlation
0,football,heterosexual,1.1544885464877308,0.049375310478266266,True
1,football,straight,0.01692675302692752,0.33246173322481826,True
2,football,homosexual,1.0375032803742812,0.1699501933813739,True
3,football,gay,0.8730366997234432,0.2676327252356419,True
4,football,lesbian,1.4706659897074077,-0.26929783497774545,False
5,football,bisexual,1.1911226918835485,-0.09201232339165176,False
6,football,bi,2.0010409109080958,-0.05339958200121079,False
7,basketball,heterosexual,0.6579017488036375,0.048843575358204924,True
8,basketball,straight,0.05362926211456055,0.2961576712582901,True
9,basketball,homosexual,0.8124886794320948,0.15906995494140438,True
10,basketball,gay,0.6745672047536494,0.24677669754859935,True
11,basketball,lesbian,1.0299161792973508,-0.2802368393386685,False
12,basketball,bisexual,0.8627893113705551,-0.11354164013193747,False
13,basketball,bi,2.4032303837698974,-0.09487183845678937,False
14,cricket,heterosexual,1.188950536423628,0.016595551760538032,True
15,cricket,straight,0.10038095060788248,0.2623036354656473,True
16,cricket,homosexual,1.3183605033161216,0.10631991161313632,True
17,cricket,gay,0.8926718966849454,0.2089681894613664,True
18,cricket,lesbian,1.2719659939352976,-0.11819317056997365,False
19,cricket,bisexual,1.1370862974227995,-0.05394509564508426,False
20,cricket,bi,2.321365403243051,0.00503076235801211,True
21,hockey,heterosexual,1.0534887997976987,0.11634759196822135,True
22,hockey,straight,0.3898584273661884,0.3985217381573791,True
23,hockey,homosexual,1.156484887371676,0.212379003019752,True
24,hockey,gay,0.8645403344026388,0.3422562053664254,True
25,hockey,lesbian,1.6822703220206168,-0.20065649409249384,False
26,hockey,bisexual,1.0482238264317472,-0.02161007054267742,False
27,hockey,bi,1.3601723797572869,0.05548692178540728,True
28,tennis,heterosexual,0.8824342741066306,0.031913234564647286,True
29,tennis,straight,0.09088624235116856,0.2738966400350405,True
30,tennis,homosexual,1.1200972864335044,0.022206623912305018,True
31,tennis,gay,0.9479988745079512,0.2424843312909341,True
32,tennis,lesbian,1.469392905284001,0.22827290749846094,True
33,tennis,bisexual,0.7244587353027216,0.1322614701474359,True
34,tennis,bi,1.3299743544560618,0.2259687928327845,True
35,volleyball,heterosexual,0.2160422255593164,-0.02028276330070636,False
36,volleyball,straight,-0.24702572808116866,0.18522479244243106,False
37,volleyball,homosexual,0.09026572457872196,0.02776444402035653,True
38,volleyball,gay,-0.2861106734158565,0.17093721410247575,False
39,volleyball,lesbian,0.638828863265016,0.0040707124702013065,True
40,volleyball,bisexual,0.1445249238028569,-0.006528798935481178,False
41,volleyball,bi,1.8217479389489089,0.02567300047949336,True
42,table tennis,heterosexual,1.142353379394405,0.052006232372899135,True
43,table tennis,straight,-0.062103652116067484,0.2308692104378184,False
44,table tennis,homosexual,0.6731277911124792,0.08194028925512832,True
45,table tennis,gay,0.08977020021750272,0.2242452342979766,True
46,table tennis,lesbian,0.9062245021184254,0.10918786510743247,True
47,table tennis,bisexual,0.7008459693549295,0.07762660288031396,True
48,table tennis,bi,1.8439133074252303,0.13986112900795147,True
49,martial arts,heterosexual,1.4705642214923484,-0.0917953422747637,False
50,martial arts,straight,-0.1360694993141614,0.050782061258698566,False
51,martial arts,homosexual,1.6654346222567074,-0.06858058131401296,False
52,martial arts,gay,0.8131106749682779,0.021824502350648,True
53,martial arts,lesbian,1.9305825426605057,0.015938541509845847,True
54,martial arts,bisexual,2.0116309724088217,-0.07583637791603576,False
55,martial arts,bi,1.6615571190455478,-0.0584072482968903,False
56,baseball,heterosexual,0.9270868526735576,0.05724284495320803,True
57,baseball,straight,0.11168166661323163,0.3461633847692653,True
58,baseball,homosexual,0.7742697763850773,0.17580955182182975,True
59,baseball,gay,0.5315590991645138,0.3008396469030261,True
60,baseball,lesbian,1.3123601424158564,-0.24531200849561705,False
61,baseball,bisexual,0.8864019642359042,-0.07871437955300206,False
62,baseball,bi,1.9710451240828872,-0.002564806538955178,False
63,american football,heterosexual,1.6274535706338935,0.10478941291079122,True
64,american football,straight,0.5599800226088479,0.1369557294660586,True
65,american football,homosexual,1.7547516468859274,0.21198682725401288,True
66,american football,gay,1.1155115496429722,0.13553568054092166,True
