,country,yob,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,1920,0.12025153160632884,0.07618613255448117,True
1,Nigeria,1921,-0.5364279997313061,0.08156690399025777,False
2,Nigeria,1922,0.20090017738725885,0.08869200426641917,True
3,Nigeria,1923,0.0618921688146043,0.06655138754669547,True
4,Nigeria,1924,-0.6738481556965438,0.07663864303927928,False
5,Nigeria,1925,-0.20444836710576256,0.08122306056788188,False
6,Nigeria,1926,0.382264109829596,0.07327639251148127,True
7,Nigeria,1927,-0.18328954647704448,0.0671129552918953,False
8,Nigeria,1928,0.1991664574310047,0.08444495392129925,True
9,Nigeria,1929,-0.04772533779621077,0.0702439130660113,False
10,Nigeria,1930,0.4740468359631428,0.06211583821386036,True
11,Nigeria,1931,0.4107293058041298,0.0785433481502773,True
12,Nigeria,1932,0.8684434541467329,0.07584041024918728,True
13,Nigeria,1933,0.4385129943427265,0.08787210372866329,True
14,Nigeria,1934,0.5488453059425537,0.04889864706478323,True
15,Nigeria,1935,0.7401755994113652,0.06841271592637123,True
16,Nigeria,1936,1.0562902962578349,0.06223180846207305,True
17,Nigeria,1937,0.4787500245000764,0.05732388311469778,True
18,Nigeria,1938,-0.11452359851537615,0.04810108877084456,False
19,Nigeria,1939,0.2736602790515899,0.047879686243934086,True
20,Nigeria,1940,0.5347311229347662,0.06441025871400607,True
21,Nigeria,1941,-0.09974258977425902,0.06022605279800885,False
22,Nigeria,1942,0.30606232194080274,0.055052750461857626,True
23,Nigeria,1943,0.03779989519365864,0.0445328422942979,True
24,Nigeria,1944,-0.26111947783616024,0.016232569838361476,False
25,Nigeria,1945,-0.1703380268344565,0.03345445301014713,False
26,Nigeria,1946,0.10893453153347682,0.039403512610514994,True
27,Nigeria,1947,0.2639169809845691,0.05950498137791151,True
28,Nigeria,1948,0.3723042506403264,0.1108033348395174,True
29,Nigeria,1949,-0.11721229203198134,0.05815539902785807,False
30,Nigeria,1950,0.2327068546786241,0.045803843651869,True
31,Nigeria,1951,0.2874773744606363,0.04621072362983348,True
32,Nigeria,1952,0.5684493182582874,0.056764936035619225,True
33,Nigeria,1953,0.0859213415074005,0.048615028234629605,True
34,Nigeria,1954,0.6397459374773915,0.029536543520207733,True
35,Nigeria,1955,0.09548153323477232,0.03485688285809674,True
36,Nigeria,1956,0.37234359606493617,0.05876545771604728,True
37,Nigeria,1957,0.4839405582390053,0.055622257478049705,True
38,Nigeria,1958,0.4839055516200504,0.029223069174364787,True
39,Nigeria,1959,0.37051552154043177,0.01875189838677032,True
40,Nigeria,1960,1.1288879587736689,0.024477031049489804,True
41,Nigeria,1961,0.8543478620650002,0.03523238503981762,True
42,Nigeria,1962,0.8093508521751029,0.0334060691832625,True
43,Nigeria,1963,0.6686395348925066,0.0632720067467776,True
44,Nigeria,1964,0.8630807673225831,0.032811354369220065,True
45,Nigeria,1965,0.5083422898515819,0.04219321202639209,True
46,Nigeria,1966,1.1503421994893654,0.028260493060448626,True
47,Nigeria,1967,0.7387657874189368,0.05938294918650507,True
48,Nigeria,1968,-0.1649225687406025,-0.01112650969047151,True
49,Nigeria,1969,0.08350248005420935,0.010329474088678016,True
50,Nigeria,1970,0.3606313553662416,0.01851249349114156,True
51,Nigeria,1971,-0.3317324201621276,0.032188195539394934,False
52,Nigeria,1972,-0.02499102776199461,0.012776369739002664,False
53,Nigeria,1973,-0.10996577305193282,0.021930769971237076,False
54,Nigeria,1974,0.3740885853135809,0.01723072513670363,True
55,Nigeria,1975,0.4915343916897672,0.00888660915339783,True
56,Nigeria,1976,1.3167464158866484,0.01575693678092767,True
57,Nigeria,1977,0.6535545782586896,0.013321424562244409,True
58,Nigeria,1978,0.6247539492302276,0.012808107789214377,True
59,Nigeria,1979,0.3680599552901429,0.05243828132552423,True
60,Nigeria,1980,0.7515767490651952,0.024821197755351174,True
61,Nigeria,1981,0.8407622284037167,0.04884276226664711,True
62,Nigeria,1982,0.8446868527387825,0.01919391789201409,True
63,Nigeria,1983,1.1213812286535516,0.02200752110954917,True
64,Nigeria,1984,1.0445877596388602,0.010882189943668477,True
65,Nigeria,1985,0.9222563292420602,0.0030891288630071397,True
66,Nigeria,1986,1.112324621547355,0.004709025438933884,True
67,Nigeria,1987,0.6241429191851934,0.007933674805480177,True
68,Nigeria,1988,0.664562110361237,0.020935061526925768,True
69,Nigeria,1989,0.27231928184653303,-0.015719534768707827,False
70,Nigeria,1990,0.6809717393193311,0.001959105006257501,True
71,Nigeria,1991,0.5614693542121784,0.011926088129200358,True
72,Nigeria,1992,0.4383033311456302,0.0019261583636259703,True
73,Nigeria,1993,0.8048622850626401,0.0023643057144836954,True
74,Nigeria,1994,0.853639284957248,-0.011063234504289421,False
75,Nigeria,1995,0.6790611308222393,-0.017428563832719946,False
76,Nigeria,1996,0.8990666405355817,0.011258396043874458,True
77,Nigeria,1997,0.7081680930913123,-0.005521818566097088,False
78,Nigeria,1998,0.8592573879125155,-0.009678747380352605,False
79,Nigeria,1999,1.269305741171904,0.00648172657904255,True
80,Nigeria,2000,0.6889938709101422,0.05687035626466215,True
81,Nigeria,2001,0.1266104168074028,0.006881853745729218,True
82,Nigeria,2002,1.1106184556490395,-0.007881437011028976,False
83,Nigeria,2003,0.9175646580261596,0.004443599356333955,True
84,Nigeria,2004,0.849727190880637,0.03588886666885035,True
85,Nigeria,2005,1.1008225028339276,0.03856875114731993,True
86,Nigeria,2006,1.2793644914653342,0.030934243911221824,True
87,Nigeria,2007,1.1788154506689,0.04562120087793932,True
