index,gender_isomap_x,gender_isomap_y,gender_tsne_x,gender_tsne_y,gender_umap_x,gender_umap_y
Nigeria,-0.033929439638495706,0.2572416631358023,-271.2079,-144.39186,-8.24455,5.872689
Ethiopia,0.2593154225675169,0.09246876130224403,-39.039134999999995,209.8905,6.726394,-2.6260293
Egypt,0.735341431964266,-0.14676923233306435,389.9876,63.5402,9.738328,10.581762
Congo,-0.1610087483862632,0.056357369742702376,-146.68713,-110.08951,-8.510776,6.909292999999999
Tanzania,-0.19304025416187304,0.23084681617997405,-97.366974,319.46393,-8.263651,6.288017
South Africa,-0.3776370560893817,-0.029613422525414736,114.549545,-146.45662,-3.0418243,7.692408599999999
Kenya,-0.489030799005222,-0.05624514104130848,149.25961,-212.8302,-3.478507,8.253798
Uganda,-0.5102246575270496,-0.04959034783804196,11.69362,-200.39459,-1.8193814,8.72465
Sudan,0.2114247934365704,0.1225281134584186,-47.12773,177.39407,6.627032300000001,-2.5175016
Algeria,0.3496738558375085,-0.012047295881698571,125.017265,139.27777,2.1960017999999994,-1.7377748
China,-0.1918569962884695,0.260921520400516,-208.69653,-654.37,-8.086149,6.45616
India,0.21004695162641931,0.2024442640667059,-32.0732,146.21947,6.5679493,-2.1031833
Indonesia,0.016114723916852234,-0.011994357590621537,-210.06753999999998,61.022152,5.6784163,-4.622410299999999
Pakistan,0.19081988676912076,0.2437915938088108,-53.23503,125.03233,6.796087299999999,-2.1945136
Bangladesh,-0.4862247074202339,-0.03597381879240249,16.77006,-171.96295,-2.097501,9.018736
Japan,-0.034563797655211316,0.019515947053826872,-216.87087999999997,29.743672999999998,5.5223645999999995,-4.757457
Philippines,-0.09783284354956824,0.3025151967943346,-228.85419,281.6103,-8.446324,6.105607
Vietnam,-0.10074244040841257,0.01861156438419052,-175.25197,-102.14194499999999,-8.512582,6.892536
Iran,0.5732289412756839,-0.09982453469467777,356.09247,39.71947,9.506116,10.412941
Turkey,0.18442034722088246,0.09023248503890943,-70.85384,177.7997,6.3610225,-2.8533041
Russia,0.4968570359167272,-0.07977622698395258,295.9608,40.50476,8.876787,10.247524
Germany,-0.14906108049012293,0.014963213559041446,-295.54034,-12.738342999999999,5.145594,-5.0842220000000005
United Kingdom,-0.6968159919189982,-0.11424062124526105,103.82252,-315.67926,-3.738364,9.202525999999999
France,0.103526436186371,-0.01357311614298562,-186.55061,160.34861999999998,6.2825755999999995,-3.9323275
Italy,0.5806768995918086,-0.10296374482220053,357.14398,90.693855,9.441142,10.639992999999999
Spain,0.5188288344690826,-0.08612018779478425,312.9183,78.94161,8.970516,10.487436
