index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,Arab,Asian,Black,Hispanic,Latino,White
Cory,1.050333661475704,1.0178890836173333,0.2786422734734,1.3681247800743301,0.6290475378080715,0.6479430067791987,0.09065722182471095,0.4536942797000511,1.3442080971467678,0.3764545188875339,0.6424760920655525,0.6669954813832122,0.30881193672909396,-0.14831206853869147,0.7503378507690615,0.257712822610952,0.32844064218760766,0.16363892928132268,0.5985025484076401,0.8009193798092497,0.549096037269077,0.7548627110281729,0.6294978732738973,0.6487879681293618,0.6133622132318204,0.2238158907962373,0.4718595218931499,0.8911064400210205,0.38483398574837535,0.7689073775739061,0.06212202610714953,0.5849801327279188,1.8483867720195455,1.3600743943995883,0.9012820215077932,1.432985885642883
Larry,1.1283128598595409,1.2698694207876662,0.5600174981464665,1.3994137715698483,0.8812243536797918,0.5143400107083691,0.5007120992278821,0.0010574799040420568,1.4257396189886207,0.4843021346506918,0.8531727516581932,1.299026779753303,0.5948290873566201,0.3226083111013194,0.5150443576176361,0.04874840393173936,-0.284484870829898,0.19884900287502308,0.7772590369974304,1.1888881122270631,0.6919259700872281,0.5689468484099429,0.7442222626348088,0.8081081354505953,0.6660197181517429,0.4916839503202795,1.0789333967236163,1.0947991936534611,0.37857974780896175,0.9842580743453776,1.0043180237118055,1.0698584396104671,2.4287397861047855,1.7696724259019294,1.1019608222345865,2.3136945458993545
Ryder,0.8139715953150276,0.7997585270599343,0.20095116836654792,0.8680594224020561,0.2561743170366145,0.42742186742624344,0.1526313664913159,-0.02703546517081955,0.8337221036337843,0.40993432311969136,0.6540354290518859,0.6492158687015767,0.482253104830829,-0.26434311047693215,0.37720662701540303,0.0338863227704195,-0.3889921089605901,-0.08184293606435672,0.06972486859175935,0.7804213472606932,0.29415520054394123,0.36960303722108895,0.4729979383868285,0.6741749594027421,0.09159343358398095,-0.016526592197954628,0.34085656224802807,0.32806486277143104,0.05819748117719575,0.6999354446608368,0.30669154759202755,0.6586808937234152,1.67209466133938,1.3855460591677673,0.7935583753549096,1.4437050756842962
Alicia,0.6479976531543038,0.5802489721915408,0.328239816320658,0.4148148897572748,0.8229288261724687,0.5694427257998158,0.4422344139959363,0.43832131163535054,0.7424622543947701,0.38470806077620245,0.6257187409153743,0.3744846019776473,0.2839695072330909,0.2910683860237957,0.5368643348735254,0.39917745633246354,0.18702308126980005,0.012261734185590026,-0.14870615177111926,0.6960793841811882,0.07158321932449009,0.798411875626466,0.5043660749848955,0.17218155058348164,0.2666725903025991,0.11298976709863859,0.25926401383403574,0.5201096815200331,0.2674407438408608,0.5044898689184203,1.0908997444835487,1.3618560592781197,1.5325005974209314,3.154144900846221,2.5817523096387927,1.5698835631066537
Charlie,1.5370773744583428,1.4575038120088475,0.7190263455519722,1.696584741276262,0.8968771581303869,0.8454636991686367,0.40518688999702246,0.2747373620810437,1.6448053791965676,0.7906423108868049,1.1904883687241008,1.234324036846587,0.20675714893983013,0.1750920053598065,0.767813097144245,0.261290802701209,0.25817736980772993,0.20874145652703496,1.006162693692178,1.5242859556682702,0.993894692312048,0.8562008160149913,0.8822171848798882,0.8192454487301034,0.8742641573733645,0.42296044366007296,1.2151456587218383,1.488981911079347,0.4958145869526573,0.9711751531965431,0.7719340010410276,1.159653341652457,3.2858742726825567,1.7901605543130787,1.1115540040393481,3.196678995893048
Samuel,1.426586696919865,1.272500001388076,0.8945488298462729,1.2889081521341845,1.0336943235182015,0.980760323593809,0.8459856855619513,0.4538676519212498,1.4382660641657496,0.4558809661905786,1.319790229642422,1.086160856458707,0.8583461319032976,0.41356631412650174,0.7929682968448939,0.48734344346525577,0.348121878167308,0.6247263702791951,1.0469272075869032,1.3204028958718819,1.0154669010432553,1.0293102300230068,0.9238740344483114,0.7728440503103127,0.8841938008780187,0.5728381970760753,0.7429840597516291,1.2297433017017954,0.7547362665802788,0.9300846199950218,1.1344804053278241,0.6345092765808567,2.0087580359307413,2.5748171609846584,1.6891325375724968,1.7144537653840546
Selena,0.5755983190979808,0.7994263942988665,0.14071931833718332,0.426663551082591,0.647228008061865,0.8116790128927196,0.45520874403810024,0.5471348701174463,0.9719319465896626,0.48926739595969704,0.24640374708170867,0.3862318579067946,0.27797819109310795,-0.1305327462275766,0.5164186625050352,0.22810416513647402,0.37216147077233636,0.028124717188645173,0.1305072381618852,0.6240648875865615,0.5383132056086267,0.764030292799387,0.549000237292443,0.27404251308646665,0.41067706399097,0.38249788431080545,0.24952152920913653,0.5516875542003754,0.5125575277862938,0.27256217218106354,0.6594233569265782,1.3880883274991425,1.3850904957141124,2.1633447184025645,1.8741036741108386,1.2030583139532798
Jerry,1.472444090965785,1.1401870028087757,0.5667081751366659,1.1656905482367361,0.812499058993151,0.9597887283887453,0.7155045774063029,0.39691744847212157,1.5005508572450141,0.9013918942800437,1.1816548482492428,1.2209942490319934,0.7256993446657066,0.13020510026845672,0.831558950547254,0.24538430941539907,-0.059521084064216974,0.2857083872442209,0.7155681759624698,1.3729968051605634,0.6490754186139986,0.9481506812304438,1.1158394018158873,0.8452150200193129,0.6997142037552648,0.6893863034113207,0.9925677097296559,1.2431930020495767,0.7208246518354089,0.8476145662162556,0.6222090102526394,0.7343728032018708,2.4852869024394946,1.2500062488336758,0.46147773507394657,2.3246407528748487
Max,1.2315661249601118,1.0422101585662076,0.5139798609966258,1.2629893106785504,0.7163971825117594,0.6263162344206497,0.36143784903427484,0.3185496166815818,1.2066617056965516,0.23665507666729316,0.8512215038325162,0.5890830625193597,0.18069673454458215,-0.030159106378030803,0.6895170088933614,-0.048366111147984406,-0.2844458847439276,0.1099729001897007,0.7923037007325985,1.1189407300610543,0.7975564248922647,0.9403330846426848,0.7665784274295325,0.4984454871626685,0.5588901327652457,0.2536162030142585,0.9183981343118571,1.4889882157392276,0.12927671464516488,0.8713125518020531,-0.5395734251177421,0.15243650046588464,1.3722948577455851,0.23557318726983592,-0.10168839022254901,0.8830384616577387
Stella,1.4724210251428824,1.031595480389694,1.0159145539912373,1.3608916523694847,0.978311983186934,0.820840801066395,0.5279641892206887,0.3212191316003209,1.5497435355023488,0.31177798089282266,1.4723039820992758,1.0388863330417255,0.7448936193667508,0.5365657177400718,0.803873606190089,-0.21886823400072486,-0.15569116021097654,0.1979150267449761,0.6711315121013098,1.4157873214017629,0.7297892072295347,1.1072437617925124,1.1429021315883272,0.41065079692302237,0.7623433134936282,0.7886200172847551,1.1680341104921752,1.2733609848996583,0.35385764396027086,1.0232920999907555,0.17713661874191217,0.707754118922379,1.1771628402238248,1.561891061232536,1.5158611996901756,1.0246321675150971
