,sport,country,direct_correlation,indirect_correlation,same_correlation
0,football,Nigeria,1.2776938436225618,-0.06816790687435986,False
1,football,Ethiopia,-0.6917770614869627,-0.1390172325571969,True
2,football,Egypt,-0.9424273948393044,0.08789314149685175,False
3,football,Congo,0.09451014427268446,-0.0457056141299862,False
4,football,Tanzania,0.2565365231249685,-0.022703090105387957,False
5,football,Kenya,0.15847066428310624,0.1283263409702803,True
6,football,Uganda,0.7936729073669981,-0.00580264084299115,False
7,football,Sudan,-0.14522582310875107,0.04954457055105714,False
8,football,Algeria,0.22184349402548936,-0.31897128662277874,False
9,football,China,-1.3148973042057217,0.11808678622961237,False
10,football,India,-0.5454058441176401,-0.008513303998436793,True
11,football,Indonesia,-0.3973286839637677,-0.13635369894342392,True
12,football,Pakistan,0.2605840159555243,0.02080741466688284,True
13,football,Bangladesh,0.6335994681675218,-0.11781054999130065,False
14,football,Japan,-0.8294894899517541,0.01597460792704005,False
15,football,Philippines,0.06952049080759347,-0.21059476925581605,False
16,football,Vietnam,0.1441540223531587,0.0513697592924173,True
17,football,Iran,-0.6852431790261839,-0.0614638113436749,True
18,football,Turkey,0.10917957264087796,-0.06989137635001877,False
19,football,Russia,-1.2704975903730134,-0.035540516605962365,True
20,football,Germany,0.4529061534293728,-0.006488103150835196,False
21,football,France,-0.08830267646606943,-0.18768717807612514,True
22,football,Italy,0.05291893529994235,-0.22005210387080767,False
23,football,Spain,0.6094489686997695,-0.13990974394288205,False
24,football,Ukraine,-0.002875402408050157,-0.07954646295743713,True
25,football,Poland,0.045234760283100035,-0.005681307748375833,False
26,football,Romania,0.1803669627950331,-0.19908222389238886,False
27,football,Netherlands,0.2343058922876877,-0.13270229012497198,False
28,football,Austria,-0.3577394968527016,-0.17470809498040168,True
29,football,Mexico,0.09352120603415953,-0.11760762999372908,False
30,football,Canada,-0.2907556677258953,0.10354071106855672,False
31,football,Guatemala,0.06742771287853015,-0.2098426371345584,False
32,football,Haiti,-0.7146527608752656,-0.12567229017076226,True
33,football,Cuba,-0.1991016568974285,-0.04205575220462565,True
34,football,Honduras,1.1167674938024106,-0.0632864174815685,False
35,football,Nicaragua,-0.2712724170845989,-0.20716782344394752,True
36,football,Brazil,1.0263557661205631,-0.15696397025078862,False
37,football,Columbia,0.2325142739900717,0.09615044826175564,True
38,football,Argentina,0.7220215653610056,-0.13951059219544906,False
39,football,Peru,-0.19117567092802012,-0.1916269870489666,True
40,football,Venezuela,0.03799638980239181,-0.2333000448416926,False
41,football,Chile,0.2448131552767293,-0.18938673325954086,False
42,football,Ecuador,0.01703638782098181,-0.24167444115935635,False
43,football,Bolivia,0.568439171761009,-0.19038175377233404,False
44,football,Paraguay,0.7290104716758578,-0.1935010349036736,False
45,football,Uruguay,1.0202603656982459,-0.1744063411355959,False
46,football,Australia,0.4884374376413162,0.03171543465899713,True
47,football,Fiji,0.4371856158179121,-0.10094063726677056,False
48,football,Samoa,0.7721921716901038,-0.09780409189760757,False
49,football,Tonga,0.15463993825931668,-0.08945817722116764,False
50,basketball,Nigeria,0.7928691895918708,-0.07003258783551226,False
51,basketball,Ethiopia,-0.5615383125379912,-0.15241000811331387,True
52,basketball,Egypt,-0.7204490117082593,0.0505641502651074,False
53,basketball,Congo,0.06313924409265688,-0.10998197788353577,False
54,basketball,Tanzania,0.19593479853233892,-0.03832223409189785,False
55,basketball,Kenya,0.6924533282249508,0.12488217475286582,True
56,basketball,Uganda,0.9791455365523984,-0.03904533714731182,False
57,basketball,Sudan,-0.3292520195688017,0.02725168766795205,False
58,basketball,Algeria,-0.4175546155620258,-0.3516950355893258,True
59,basketball,China,-0.2837619408047057,0.09844576445733387,False
60,basketball,India,-0.37025395316856574,-0.03138622029690247,True
61,basketball,Indonesia,0.22834599008145026,-0.1667473576860342,False
62,basketball,Pakistan,-0.5619984837762372,-0.02039716520464224,True
63,basketball,Bangladesh,0.12616765248317685,-0.13021207252610392,False
64,basketball,Japan,-0.3977420663189465,-0.03739132727686297,True
65,basketball,Philippines,0.997421220363853,-0.245628592267391,False
66,basketball,Vietnam,0.055813110553987334,-0.002281903909623782,False
67,basketball,Iran,-0.7444324789296145,-0.09275815618248408,True
68,basketball,Turkey,-0.1612916324000398,-0.11143752457162144,True
69,basketball,Russia,-1.1995742599283508,-0.09084625449308316,True
70,basketball,Germany,-0.3002731728684821,-0.11894600633398048,True
71,basketball,France,-1.0861269436073095,-0.2673916964950905,True
72,basketball,Italy,-0.3184336456655357,-0.3342294561639318,True
73,basketball,Spain,-0.1974051848172155,-0.24095946225882825,True
74,basketball,Ukraine,-0.20645502691129708,-0.12915724845918142,True
75,basketball,Poland,-0.3278001744659482,-0.11445181685369275,True
76,basketball,Romania,0.19487970638885804,-0.2813809491959096,False
77,basketball,Netherlands,-0.39458280273669455,-0.19542679940972185,True
78,basketball,Austria,-0.8503151375776711,-0.279954769417468,True
79,basketball,Mexico,0.34233622490224946,-0.19439976951823246,False
80,basketball,Canada,0.01921538988136469,0.047451359656793486,True
81,basketball,Guatemala,0.6219643055061554,-0.2658994299513988,False
82,basketball,Haiti,0.4253202675995012,-0.16023637745787342,False
83,basketball,Cuba,0.006307955899124437,-0.13841910298129997,False
84,basketball,Honduras,1.3717921497714318,-0.12629937217023432,False
85,basketball,Nicaragua,-0.021892678808197983,-0.2466977602774822,True
86,basketball,Brazil,0.921845356570924,-0.2245730769345111,False
87,basketball,Columbia,1.1692937290931538,0.0784702279765142,True
88,basketball,Argentina,0.573241774698676,-0.2298369795166518,False
