,country,race,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,Arab,0.8485731187912802,-0.008935463147822979,False
1,Nigeria,Asian,1.1067863744277329,-0.20705873441370826,False
2,Nigeria,Black,1.7087003301322503,0.03993509720594781,True
3,Nigeria,Hispanic,1.1082797709990257,-0.1130747322309353,False
4,Nigeria,Latino,1.3093061767064542,-0.15156083344772495,False
5,Nigeria,White,0.29808186871040304,0.03811787926126126,True
6,Ethiopia,Arab,1.2073545687016054,0.026475132878057576,True
7,Ethiopia,Asian,0.3585644920026802,-0.177814313228987,False
8,Ethiopia,Black,1.399294739162201,-0.009231373186651078,False
9,Ethiopia,Hispanic,0.06981906394725926,-0.11013076012045407,False
10,Ethiopia,Latino,0.2745707730344067,-0.13357937972235184,False
11,Ethiopia,White,0.2048206260430949,0.00449721568694466,True
12,Egypt,Arab,3.058993297981987,0.0990109405021684,True
13,Egypt,Asian,0.023800289546710145,-0.07207835845543446,False
14,Egypt,Black,0.794364972596051,0.06960993615322354,True
15,Egypt,Hispanic,0.17000230512698816,-0.19727234277512914,False
16,Egypt,Latino,0.13114444530250888,-0.19561790803084786,False
17,Egypt,White,0.28009841581419564,0.15059144533902874,True
18,Congo,Arab,0.16534487180252402,0.16270240437748154,True
19,Congo,Asian,0.5254395664817327,-0.02117968045367556,False
20,Congo,Black,1.875167845599208,0.14988664134780158,True
21,Congo,Hispanic,0.43287004799066015,0.06452340308836751,True
22,Congo,Latino,0.6188325734739415,0.06554498055454429,True
23,Congo,White,0.6404106387130659,0.15195083912406127,True
24,Tanzania,Arab,0.655892095554689,0.006253666129578697,True
25,Tanzania,Asian,0.8766210082660408,-0.15359354881197804,False
26,Tanzania,Black,1.3341439901263268,-0.02688130806445321,False
27,Tanzania,Hispanic,0.684750556627328,-0.04117525893638817,False
28,Tanzania,Latino,0.7624381162413827,-0.05811961878037876,False
29,Tanzania,White,0.3450896697039407,-0.045690740646256035,False
30,South Africa,Arab,-0.2056053864612877,-0.06776031050609241,True
31,South Africa,Asian,1.3058282050986039,-0.11705525475479542,False
32,South Africa,Black,2.0430819849270216,0.11931709531887034,True
33,South Africa,Hispanic,1.3403082099391532,-0.05332294477369215,False
34,South Africa,Latino,1.6367576754646005,-0.13269284762055789,False
35,South Africa,White,0.8446500108683932,0.09318934298360404,True
36,Kenya,Arab,0.7346726681138028,0.05925752660989106,True
37,Kenya,Asian,0.9889929451884965,-0.207534018540654,False
38,Kenya,Black,1.6762390383626822,0.2066950116575921,True
39,Kenya,Hispanic,0.38993177412233815,-0.1000586086195573,False
40,Kenya,Latino,0.7880475090097909,-0.1403776434158691,False
41,Kenya,White,0.5395512174544255,0.15809521626119086,True
42,Uganda,Arab,0.14856661204786106,0.0722936109810014,True
43,Uganda,Asian,0.6336251942254502,-0.2209644323436911,False
44,Uganda,Black,1.2973646521485431,0.1240148860945276,True
45,Uganda,Hispanic,0.6710514372986236,-0.04539709335248664,False
46,Uganda,Latino,1.03129875625157,-0.08179079598080863,False
47,Uganda,White,0.04929115374378483,0.10117259741874526,True
48,Sudan,Arab,2.5970413299520425,0.10109714859078617,True
49,Sudan,Asian,0.6133887586036074,-0.13689391184296712,False
50,Sudan,Black,1.5801689777274412,0.061185170562606625,True
51,Sudan,Hispanic,0.4704294122778817,-0.11763947189189007,False
52,Sudan,Latino,0.6055045188091027,-0.1475471776269596,False
53,Sudan,White,0.4411759750447707,0.08321451825216347,True
54,Algeria,Arab,2.8458276391695336,0.1816716206942638,True
55,Algeria,Asian,0.041255682101130016,0.037897026990570924,True
56,Algeria,Black,1.0237871114634618,-0.1171726056912431,False
57,Algeria,Hispanic,0.7542364808089163,0.06810723006531769,True
58,Algeria,Latino,1.0465127294997931,0.12094054753723503,True
59,Algeria,White,-0.43061231496247293,-0.10603601314298604,True
60,China,Arab,-0.4190972659060417,-0.09358337018386344,True
61,China,Asian,2.3379094939805607,0.0074480319192397155,True
62,China,Black,0.29075087404654776,0.14477721795638313,True
63,China,Hispanic,0.7754257220078437,-0.13255379664992406,False
64,China,Latino,0.4289655963910091,-0.16707731926291167,False
65,China,White,-0.0792714078525892,0.1403129053728139,False
66,India,Arab,0.2488251237885919,-0.00975192499268316,False
67,India,Asian,2.0041102690396686,-0.018745522261197755,False
68,India,Black,0.3089269111514268,0.11220620126157567,True
69,India,Hispanic,0.2545160149101797,-0.1831742805440041,False
70,India,Latino,0.432365111843026,-0.1844644297781076,False
71,India,White,-0.3744805447164172,0.10127047176497064,False
72,Indonesia,Arab,0.18450520244695526,-0.02999596517488878,False
73,Indonesia,Asian,2.5802634750435094,0.05110496199290216,True
74,Indonesia,Black,0.6686613943733782,-0.009945621803551564,False
75,Indonesia,Hispanic,0.8885964190596248,-0.028302733020025467,False
76,Indonesia,Latino,1.0155556628123283,-0.02513796013783784,False
77,Indonesia,White,-0.22059232407876264,-0.049930490780612215,True
78,Pakistan,Arab,1.5794438148682146,-0.00034043132135528904,False
79,Pakistan,Asian,2.1197576686268853,-0.06558918320266881,False
80,Pakistan,Black,0.7279254940584559,0.004375626364639306,True
81,Pakistan,Hispanic,0.6223096237495026,-0.14469578242385453,False
82,Pakistan,Latino,0.9235346416317762,-0.16361545992650994,False
83,Pakistan,White,-0.2374027802030757,-0.016045387386851857,True
84,Bangladesh,Arab,0.9613494852462882,0.0303273918018722,True
85,Bangladesh,Asian,2.0613204267589587,-0.13350751064441166,False
86,Bangladesh,Black,1.1583108126748105,0.06619656540307042,True
87,Bangladesh,Hispanic,0.6319910497175019,-0.12713887826382542,False
