,sport,age,direct_correlation,indirect_correlation,same_correlation
0,football,1,-0.397646646175186,-0.012606233256562445,True
1,football,2,-0.8594950803991263,-0.07109131839600075,True
2,football,3,-0.9631381817121172,-0.09336960964462428,True
3,football,4,-0.7827692343664999,-0.07395785617285708,True
4,football,5,-0.601797843809364,-0.07549726887865603,True
5,football,6,-0.4608648379667999,-0.03001938185707537,True
6,football,7,-0.4353607683336315,-0.037936479335537794,True
7,football,8,-0.3499850288732581,-0.05297311825275428,True
8,football,9,-0.2467361145966256,-0.027030879577458637,True
9,football,10,-0.1863227837549432,-0.061437607499671226,True
10,football,11,0.0821257935263736,-0.027718137666881068,False
11,football,12,0.09679132983493956,-0.002030500247975729,False
12,football,13,0.1621858685757228,0.0002374419345520019,True
13,football,14,0.3809644932795232,-0.023227068534305933,False
14,football,15,0.4320957738320556,-0.045164382595301374,False
15,football,16,0.5817433108583966,-0.015358133819411555,False
16,football,17,0.7178689347409882,0.006133372872982433,True
17,football,18,0.6850546410963175,0.02573397294514593,True
18,football,19,0.7818440407134929,0.023526448773174308,True
19,football,20,0.2961245287909857,0.018064940434069417,True
20,football,21,0.5466715482696146,0.04233623897850991,True
21,football,22,0.4870306153344723,0.02780373167377807,True
22,football,23,0.4350898883158537,0.03703809776655,True
23,football,24,0.3420290690985094,0.07233639541925306,True
24,football,25,0.12879655638031792,0.055682067360250116,True
25,football,26,0.14464085834889276,0.07086887349256303,True
26,football,27,0.06696756754183837,0.05042947951687785,True
27,football,28,0.06937277898660216,0.05973675787305801,True
28,football,29,0.007002315480622485,0.0591370224770454,True
29,football,30,-0.4342226384877126,0.057898484783966614,False
30,football,31,-0.16490188497768515,0.012090353184199851,False
31,football,32,-0.408264084194353,0.06898292114913375,False
32,football,33,-0.5347575445626849,0.09223365875295554,False
33,football,34,-0.4007899287918527,0.07040696798393553,False
34,football,35,-0.650032020240479,0.0567162749201559,False
35,football,36,-0.6792052857404944,0.06994847672455931,False
36,football,37,-0.8452860702213267,0.09314568658707438,False
37,football,38,-0.7315877562940712,0.07268962347700737,False
38,football,39,-0.9352641185631271,0.08675911135391305,False
39,football,40,-1.4151168353965948,0.11892128585561056,False
40,football,41,-1.1791934858726272,0.09000443352963082,False
41,football,42,-1.0714145446759848,0.11057932027286242,False
42,football,43,-1.3456351669829598,0.08623584250891189,False
43,football,44,-1.2327024524923278,0.1001605247998656,False
44,football,45,-1.4851284632809911,0.07245585911966251,False
45,football,46,-1.2532435684282115,0.1057636313708051,False
46,football,47,-1.5406332560914346,0.10531727830223918,False
47,football,48,-1.4446884399805076,0.09859256868242096,False
48,football,49,-1.3698255535774164,0.1054023811058584,False
49,football,50,-1.9359459329609456,0.09305161105720347,False
50,football,51,-1.6262268414075318,0.1079164965303562,False
51,football,52,-1.9075907498738724,0.11243611536272448,False
52,football,53,-1.828381161065236,0.0820681275652013,False
53,football,54,-1.933036761794584,0.07189528973706241,False
54,football,55,-1.7763816039843137,0.07526206147213736,False
55,football,56,-1.7282215661881697,0.08657665246368934,False
56,football,57,-1.9958556650705563,0.070846260443467,False
57,football,58,-1.8857703141558102,0.06564837854955365,False
58,football,59,-1.7859091977806494,0.09077241863653657,False
59,football,60,-2.1128101341324492,0.06531426262465262,False
60,football,61,-2.2141924314529793,0.08722505719014666,False
61,football,62,-2.42933452088796,0.06937125989969016,False
62,football,63,-2.562825468635908,0.08500598195879495,False
63,football,64,-2.3143166441989598,0.10316022515884304,False
64,football,65,-2.431831717194971,0.0805649080100085,False
65,football,66,-2.3009247938825887,0.11382171662926414,False
66,football,67,-2.6852864648351287,0.0646295176848576,False
67,football,68,-2.5647696306651517,0.07678737551252626,False
68,football,69,-2.4662931067791343,0.08023856165958501,False
69,football,70,-2.8576331260463035,0.08979246876810536,False
70,football,71,-2.6506056772039885,0.06406079058873816,False
71,football,72,-2.9320596540448225,0.06425942869227119,False
72,football,73,-2.8733316477719586,0.06449975881314053,False
73,football,74,-2.791153935897092,0.0650592779760711,False
74,football,75,-2.9526192750054405,0.04262173509892754,False
75,football,76,-2.8610910276986514,0.05294971787593044,False
76,football,77,-2.7800385984692038,0.08033838255980039,False
77,football,78,-2.7412388760944246,0.0558165768659875,False
78,football,79,-2.5471319898065925,0.03427374896818526,False
79,football,80,-2.685773570464338,0.04198231315231543,False
80,football,81,-2.804233238088307,0.03912840589500551,False
81,football,82,-2.8199484434291167,0.03331482515803842,False
82,football,83,-2.7952180236317914,0.02752490781884724,False
83,football,84,-2.789129021058249,0.0644070056314369,False
84,football,85,-2.4865542398413867,0.029949273439844475,False
85,football,86,-2.5756145922763825,0.046093815879175784,False
86,football,87,-2.921832210895446,0.028905377813726825,False
87,football,88,-2.719837661274668,0.0319285631584759,False
88,football,89,-2.812939427624089,0.0282557666437147,False
89,football,90,-2.845881881960738,0.013238520364697895,False
90,football,91,-2.9388050328449755,-0.00637109890422311,True
91,football,92,-2.7620890194391063,-0.008691821565833622,True
92,football,93,-2.8038911542640004,0.008256552512683995,False
93,football,94,-2.9258452517382683,0.0016002247210428109,False
94,football,95,-2.6569427428462964,0.01564750962308414,False
95,football,96,-2.5951993982333503,0.008755695155866538,False
96,football,97,-2.8279912559275573,0.01668368318231738,False
97,football,98,-2.515494130575104,0.018813162227394542,False
98,football,99,-2.6872824310838155,0.02004392168258997,False
99,football,100,-2.0871602434164074,0.01634275704678241,False
100,football,101,-2.6782626583992366,-0.014067864314699963,True
101,football,102,-2.5733864804471014,-0.016248707411799214,True
102,basketball,1,0.05059161574717658,-0.007884763061987474,False
103,basketball,2,-0.5028301756755763,-0.057357549054733385,True
104,basketball,3,-0.6561899560880871,-0.08625511644666413,True
105,basketball,4,-0.3989226755954669,-0.06338802512195546,True
106,basketball,5,-0.07603560263466869,-0.06507458137248145,True
107,basketball,6,0.08199106069722566,-0.016039723818696682,False
108,basketball,7,0.11077405444990608,-0.025675350407110886,False
109,basketball,8,0.18796831499573172,-0.053076266309983966,False
110,basketball,9,0.31414233371972,-0.024660315811547887,False
111,basketball,10,0.2535705054779201,-0.062096667882629485,False
112,basketball,11,0.6307741833452223,-0.02970170769781463,False
113,basketball,12,0.5400373491359537,-0.011890392717539031,False
114,basketball,13,0.5227774795890183,0.003010116073642525,True
115,basketball,14,0.8045996336377593,-0.019700834950789677,False
116,basketball,15,0.8783125630671427,-0.03901195405073967,False
117,basketball,16,0.8166531673229025,-0.015016630450847654,False
118,basketball,17,0.8518930713202884,0.007967923114425056,True
119,basketball,18,0.6291250856477081,0.02624713672390071,True
120,basketball,19,0.6187301949471815,0.02622182392937401,True
121,basketball,20,-0.06296712015225958,0.04333459378946728,False
122,basketball,21,0.19441719716083933,0.06100294611835495,True
123,basketball,22,0.0902995490145828,0.042516704148970234,True
124,basketball,23,-0.11503651880951005,0.05600445089423612,False
125,basketball,24,-0.2453528093102381,0.0891810519595888,False
126,basketball,25,-0.5252416040471932,0.07685451525641265,False
127,basketball,26,-0.5574307515667044,0.09255326493719866,False
128,basketball,27,-0.8132737454655491,0.05675638425709997,False
129,basketball,28,-0.8302818936421943,0.07252545830894422,False
130,basketball,29,-0.9040017037103808,0.07134815982113371,False
131,basketball,30,-1.469650307331693,0.06972171318253778,False
132,basketball,31,-1.292752556485884,0.028222217237539125,False
133,basketball,32,-1.8033354647814617,0.08139803301896313,False
134,basketball,33,-1.962910749439364,0.0965500988181249,False
135,basketball,34,-1.7919490035666623,0.08352464094833978,False
136,basketball,35,-1.919826162445878,0.0605679531409848,False
137,basketball,36,-2.042366860542021,0.07373395677517748,False
138,basketball,37,-2.369119297307995,0.09224623692585007,False
139,basketball,38,-2.2963916192575398,0.07381570836393905,False
140,basketball,39,-2.429971028027349,0.08958935509157802,False
141,basketball,40,-2.724459484149534,0.11910220255207607,False
142,basketball,41,-2.5647841261807227,0.09192650436686282,False
143,basketball,42,-2.3258212823824,0.11287966730709455,False
144,basketball,43,-2.762984001584418,0.09415245378767056,False
145,basketball,44,-2.569183159895158,0.10897346145872716,False
146,basketball,45,-2.603259114329945,0.06806353778080057,False
147,basketball,46,-2.482694470227842,0.1213504398860698,False
148,basketball,47,-2.9585245506714832,0.11104508114826224,False
149,basketball,48,-2.9137290862944623,0.10145605769529062,False
150,basketball,49,-2.640142683239476,0.1029741357008392,False
151,basketball,50,-3.0714962943018973,0.0926761278681043,False
152,basketball,51,-2.8314243630441407,0.11466443111375305,False
153,basketball,52,-3.0080495762288986,0.11281900412199697,False
154,basketball,53,-3.115460379450631,0.08512522100652704,False
155,basketball,54,-3.117043394705429,0.07187312870339996,False
156,basketball,55,-2.7002225414630057,0.07745801530564893,False
157,basketball,56,-2.6978713964105894,0.0936906476461294,False
158,basketball,57,-2.9272418864047984,0.07646182205880869,False
159,basketball,58,-3.0157950316842137,0.06289853161505435,False
160,basketball,59,-2.7633365689458795,0.093579957726045,False
161,basketball,60,-2.947174104485101,0.05745892715546279,False
162,basketball,61,-3.3111902602429986,0.07817285333931383,False
163,basketball,62,-3.494353896549282,0.06472177277872124,False
164,basketball,63,-3.6363961142963817,0.07939954237875202,False
