index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,male,female,boy,girl,man,woman
Michelle,0.6094133940125456,0.6895169953149691,0.9019654517627474,0.48556391767999046,0.7170799460881526,-0.41085097117739483,-1.1777734195501697,-0.19944109255197784,-1.5612067543866868,0.4132544686837654,0.609251439556357,0.7310646012703595,0.9531844050448999,0.2906614002160745,0.32324604619266695,0.5710177870518075,1.394418401650918,2.057865015813488,1.440547837889989,3.100229332718465,1.4952296425307348,3.4720250299062,0.4653720524553635,3.459079826868978
Deborah,0.1998803299388124,-0.14598846963035916,0.018631799091053187,0.27210127959912,-0.14033587182015356,0.6157525567827167,-0.8185859924652358,-0.036193222305356064,-0.7999180080480974,0.2548528758279976,0.5470497427388289,0.5999159164191519,0.4833941432035724,1.5457296249226615,0.11314464076353149,0.39853876111182474,1.0440348119461784,0.27556800625394684,3.0371817980776346,4.496292116375222,2.331184358322128,4.016300244594595,0.527326513137716,3.3370037595029265
Scott,0.8122614010059027,0.9130161617534742,0.2731251538624016,0.4216057995937296,0.8204699681293228,0.246668485540572,-0.8727251229209091,-0.15206047361733563,-0.8575092844970839,0.1897401761415946,0.3935444008108083,0.6067866965318496,0.6804136147779412,0.7711094277580843,0.06676573786460567,0.09164409439463707,1.2886108633620699,0.45917095071387487,2.2539634756206377,1.2152805083690883,1.9641533544342444,0.3972225740230997,1.2403202399071536,0.7115993698184853
Wallace,-0.046120380711789546,0.07283458184013308,-0.15510174543891544,-0.08830073530677579,0.890696207822518,0.09851247805588426,-0.5506422006246191,0.21496612994535805,-0.6279012193699932,-0.14782807688204816,-0.03502029636550856,0.3493870992906703,-0.3269926101846137,0.603463944710652,-0.6497298946031655,-0.18244601320662676,0.7054536808861579,-0.42286264716880423,3.4128723367766938,1.5736407623217898,4.186780947929073,1.6537113901273743,2.3595580202098936,0.8785152611908436
Hazel,0.8861126548303048,0.33051500447134896,0.6366207188155857,-0.22217204792678222,1.557698322128243,-0.0717133577620057,-1.0456099242914445,0.0485297624453754,-0.7058363108445745,0.5449593394627702,0.6886230789487552,0.5729395344763005,0.19181562086318354,1.933719477149166,-0.2684028144614626,-0.18687828233869141,1.3637554636261298,-0.011524360261392837,2.571598041858242,2.261804592163541,1.712425264287562,1.1439629137140397,0.5567340385707286,0.45896536202922505
Whitney,0.5684663191358789,-0.4526715311814315,0.25035813989768446,-0.2857520205003421,1.309921200509585,0.13795529544990184,-0.8850935963563114,0.02609762333015979,-1.4747372682349773,0.1382315490577247,0.9462307637773686,-0.35126484932689017,-0.286287126574348,0.20543330342832988,-0.23945954914619447,0.49823649069165105,1.6954858568466087,0.933854275596431,2.420232746574518,3.9892330143279056,2.3197535679620582,3.829704324563362,1.1138839945868402,3.8111381987240387
Paige,-0.7482471004104069,0.12877935432402518,0.1948600274872242,-0.3374448463723728,0.08214613264214668,-0.8645561194653983,-1.486298700531674,-0.811070381264243,-1.531375948158173,0.24145217967730637,0.506824053063691,0.19975921583905018,0.05319031968258057,-0.062401918176744404,-0.0473163930062109,-0.12056915529703477,1.4360212828854233,0.20461476916992688,1.9184703307915913,2.958610526269569,0.7415695286950129,1.856889758023163,-0.5803394051666548,1.0726146767279179
Sylvia,-0.4853798519644883,-0.005956039807380683,0.6006612672191546,-0.1388283299824678,-0.14261939707758203,-0.921432200449911,-1.868083738868985,-1.0523448492555412,-1.7268588844311554,0.15527605783553552,0.5178481620207717,-0.21263769998535653,0.8433158831063511,0.514034940777562,0.06196566779184735,0.06083798915682392,0.5532436897180781,1.2525015853436283,1.3305645029620454,3.5602169034089246,1.3882427193247027,3.860050259352582,-0.6602820700000203,2.699823346950012
Shelby,1.0546369443310426,-0.47952426559616024,-0.008390208834185493,-0.7081064591961148,1.54460427160847,-0.7761170619935657,-1.5540907972997329,0.06108789165761263,-1.335270129007243,0.6087296315576368,1.0141212144550054,0.3051833128356878,0.432784645022627,0.6271594378356798,-0.06485330510853331,0.734549143649614,2.2078148323717226,0.8112397177029261,1.8452509795905296,2.4609070074568575,0.9482478471987701,1.2598000459470324,-0.33160006573500245,0.6496334763252675
Olivia,0.6539030948017582,0.16794716801276158,-0.3838041551064366,-0.7118958318320724,0.12015470581861158,-1.4847167952603333,-2.4531071821948385,-1.4139623978021651,-1.842213305897176,0.20279052750080628,0.4394152515837142,-0.12229916811375208,1.3582054603256417,0.9695402921092622,0.18195811688975955,-0.39854161608794075,0.33053060128872447,0.9600262102183618,2.78867530820274,4.655832242705494,1.7782212029466788,4.009216372775669,-0.06907266564725331,3.1953067411637157
