index,Nigeria,Ethiopia,Egypt,Congo,Tanzania,South Africa,Kenya,Uganda,Sudan,Algeria,China,India,Indonesia,Pakistan,Bangladesh,Japan,Philippines,Vietnam,Iran,Turkey,Russia,Germany,United Kingdom,France,Italy,Spain,Ukraine,Poland,Romania,Netherlands,Austria,United States,Mexico,Canada,Guatemala,Haiti,Cuba,Dominican Republic,Honduras,Nicaragua,El Salvador,Brazil,Argentina,Peru,Venezuela,Chile,Ecuador,Bolivia,Paraguay,Uruguay,Australia,Papua New Guinea,New Zealand,Fiji,Solomon Islands,Vanuatu,Samoa,Kiribati,Micronesia,Tonga
male,0.36932667426834787,0.14232170214680623,-0.3107552717566492,-0.057633227075482345,0.14100293222414456,0.3654408722535782,0.22598084752862155,0.09876078324849391,0.5494341427155093,-0.13565417353460268,-0.08497401800743835,-0.33304082071911617,0.5738659744492942,0.16874115693915978,-0.1939757843243838,0.5690594578327083,0.6595536097493523,-0.5551180058188511,0.003654136952351849,0.26751540120210116,-0.04661470886213149,0.12213236876707276,0.992727937108744,-0.4075775732700506,-0.26988695874341956,-0.05152571718550756,0.2637612413397269,-0.11718501512623068,0.3375354869658756,0.1106094599668947,0.019733354435991442,0.860844918356824,-0.102578220031427,0.7893712569613487,-0.44170322642138465,-0.6999485038716302,-1.1487505620056564,-0.449342059607631,-0.4498479922461378,-0.5460754648227643,-0.5003043106660271,-0.13453121742202118,-0.1259412012783644,-0.32317268233116736,-0.35723721769172107,-0.19726454577320424,-0.33142752466447617,-0.3307237989355662,-0.3738573598301839,-0.15981229922945198,0.8625370878168822,0.9193010306338565,0.5346701988497137,0.25425145423680207,0.6351209794929116,0.24591486767998127,0.3975992549823332,0.3156502070145827,0.9021358856497089,0.3173655052204965
female,0.2946897122145447,0.03855002728993337,0.09450987482950184,0.06913048529177268,0.1375769234895724,-0.00315919966040327,-0.09084571957696175,0.023845683144613165,0.5105075672035787,0.1638761440443298,0.39283037737969695,-0.3905862738244478,0.3633622282421062,0.271438063386764,0.12893117320539585,0.6301669255338558,0.5927486302956301,-0.1766214062932166,0.2624669931499812,0.6274911293507902,0.5170017624717763,0.08167174431784616,0.7617091015926898,-0.5250894993862409,-0.15333566476707625,-0.17060627245599666,0.37431921097790843,0.03460180378073496,0.2588242041672448,0.020139521070973665,-0.00026170072125252403,0.7771167214677287,-0.23113680251915922,0.4854706457282584,-0.46865010270785723,-0.6966729501073455,-0.5795782384753047,-0.3466330281327689,-0.43837800215603173,-0.5102034735138532,-0.35193573183017995,-0.28415063912061156,-0.24931159528694927,-0.1499613558366892,-0.1670330506877359,-0.19283040295004408,-0.35516916717630764,-0.13538506485484295,-0.25385181194579737,-0.26608348418466915,0.32485787082291906,0.6970253950017832,0.0407921938116604,-0.25836147860383424,0.30382015861465034,-0.11723203363081934,-0.027335694107008937,0.006682848644897049,0.7899565318246091,-0.0657730315320749
boy,-0.542402431414902,-0.3297840713100071,-0.6200286938791801,0.1978722820029176,-0.5563730246593054,-1.145802554474148,-0.5492227425321402,0.0008454877156514755,-0.4729835574484143,-1.0091789974091312,-0.2750858311123657,-0.6904191912692237,-0.8003871719891252,-0.7500034970674572,-0.44149484858384963,-0.43787489687147146,-0.49450346619110136,-0.800870567117489,-0.5828581876429678,-0.7669888074882011,-0.18543147545622016,-1.0408292327704511,-1.3639321860984897,-0.9197511091669133,-0.9885888750030312,-0.953525719706224,-0.44147263314763435,-0.42311459797304735,-0.3723025558999982,-1.104681748118257,-0.9782155911056678,-1.3388281312863919,-0.5750127246790627,-1.0532669427328258,-0.817024325709446,-0.3227494211053325,-0.9554465647447469,-1.172384709472108,-0.7179357402888064,-1.1379672794894777,-0.7298291715640405,-0.6332218594301173,-1.0157166426668278,-0.6797979113700922,-1.0947547369134916,-1.1494446075566822,-0.9034316910857169,-0.6694719551965802,-0.8405368147595584,-1.0566637195817317,-1.0032311629429478,-0.5673211054442987,-1.1310096266601264,-0.6706972848311881,-0.45579737330078995,-0.4732695974680844,-0.1571863364298277,-0.6081167253458898,0.13791453376414325,-0.4788861374358254
girl,-0.5008939861181492,-0.4846387015568003,-0.3991597191338108,0.09800371487280028,-0.5956517414995329,-1.0292383875155822,-0.7166522678206577,-0.24432404146136633,-0.4702497664135791,-0.49524797821246735,-0.16219919820303294,-0.6631402230622564,-0.5277152676783999,-0.41492585721599967,-0.19746350361407652,-0.25624258471788636,-0.07868692054514335,-0.5274898358114584,-0.37325754862948646,-0.11491479952208392,0.23262579794741134,-0.5640817320638244,-1.0115832173378716,-0.5502401912018179,-0.6423946940536804,-0.45893755872367387,-0.038062973945109664,-0.12253461691590713,-0.18660768427415553,-0.72013600890859,-0.49057611800056405,-0.9970520328444084,-0.5114947881646142,-0.765999712572764,-0.794229645913206,-0.6495589307443984,-0.8296889092415729,-1.1025791119642943,-0.7212582285862812,-1.0042662156224031,-0.6643188550287346,-0.6693649395411466,-0.9148892797258571,-0.671529490822819,-0.897212987413351,-1.003770740214479,-0.7777300740809321,-0.5394341493517432,-0.7549232871931184,-0.9004210550964333,-0.8429644983694519,-0.8035121315397084,-1.233659640574309,-0.8973703976379006,-0.8890244666061607,-0.7199501901654423,-0.5451482630143232,-0.8764060804736808,-0.1728733893179613,-0.6700045671085534
man,-0.43139351497379547,-0.349835093886994,-0.24832288484133574,-0.21786113649577518,-0.6938286649310129,-0.7994503300820118,-0.6841759543424143,-0.5355967575762058,-0.2455607982294581,-0.3517702717167403,-0.3449351550359647,-0.7785065665279995,-0.5945088114991762,-0.5750664245135059,-0.8763432141602193,-0.6052383834504556,-0.5522501453180495,-0.6654887629642279,-0.4735899506789724,-0.3683879218027327,-0.05037117601727615,-0.9909432873730963,-0.4443961889236487,-0.5876472148726651,-0.888843172880631,-0.5966963794986442,-0.5744146291290115,-0.6909438434350629,-0.6917444977635072,-1.0885556090733737,-0.9667737883007661,-0.4836096243279257,-0.5012246452636454,-0.5798648131836264,-0.5154901645292169,-0.38200930659669774,-0.3934278207997544,-0.8574670382189369,-0.663691446186854,-0.757718185479865,-0.650813461107345,-0.7697969777651479,-0.8566573001745554,-0.5580165010863802,-0.6314077085461591,-0.8448625605640292,-0.7825165069794953,-0.6304889683273078,-0.8584727650446764,-1.0089060841601112,-0.7170317189956608,-0.28396319864515707,-0.9296749470244693,-0.6246777892220529,-0.4303339607286449,-0.610196999639592,-0.5708337525876902,-0.4346138932269204,-0.13403719074700984,-0.5880100933367398
woman,0.019870429012907257,0.08227905315613955,0.4391584682326243,0.15258289065037095,-0.23469105327759898,-0.5382051504184664,-0.27414090307556405,-0.09168688795509426,0.4169977099185429,0.3589940565850347,0.14067971013937838,-0.3729650535427557,-0.3374900581306959,0.19583256775377889,-0.05497222126748849,-0.5022126963293425,-0.3957634973518964,-0.2769373448457167,0.08314653597031559,0.3346756726116926,0.5777625464863245,-0.6774446452600557,-0.2342450450744051,-0.4317916541811536,-0.39958708963491124,-0.40947640870932217,-0.025097051587934908,-0.23974910817325226,-0.3195496952152575,-0.8404539389636196,-0.43417551686943995,-0.23817461327471817,-0.424854351096706,-0.3222098724082549,-0.4078893506429181,-0.4276104417611529,-0.2422926590692285,-0.866337270658329,-0.4981360480096579,-0.5493013509741547,-0.34301431501762275,-0.7041096310218696,-0.5472081881715167,-0.3206024167242779,-0.3512029421067908,-0.5377154855328663,-0.579542016001945,-0.14667766985386063,-0.48440735869553325,-0.7401180699107568,-0.64873998379804,-0.04865194388165087,-0.8467950636315036,-0.800821646165793,-0.2797063939453107,-0.6680038455407149,-0.755455455390413,-0.47015432760355536,-0.3724797851407006,-0.7058670752345197
