,occupation,gender,direct_correlation,indirect_correlation,same_correlation
0,accountant,male,1.125382097603164,0.19514116135533746,True
1,accountant,female,0.2850354085533099,-0.030545060731988843,False
2,accountant,boy,-0.08999867125921572,0.15466811693630528,False
3,accountant,girl,-0.5455524583906253,-0.08160186406485367,True
4,accountant,man,2.4976748357145944,0.19844828567390985,True
5,accountant,woman,1.5186631978196832,-0.03256106486203353,False
6,air traffic controller,male,1.4886393194451146,0.1453464528770994,True
7,air traffic controller,female,1.5393073659332988,-0.0227252710611916,False
8,air traffic controller,boy,-2.478600879146243,0.09081229319413234,False
9,air traffic controller,girl,-1.6118346770917178,-0.09030647190164327,True
10,air traffic controller,man,2.3185193994532,0.13115518848174576,True
11,air traffic controller,woman,1.7927220342413248,-0.05231133720898064,False
12,architect,male,1.8304050426266365,0.2324280844098492,True
13,architect,female,1.290313127197751,-0.13262891435097,False
14,architect,boy,0.658159400049769,0.23556941413891466,True
15,architect,girl,-0.05746308260845578,-0.1832407137511288,True
16,architect,man,2.364662218318755,0.2982086723709774,True
17,architect,woman,2.455479888877711,-0.1254266354646064,False
18,artist,male,1.1301680591771366,0.2400635874291767,True
19,artist,female,2.1445703884156595,-0.08846129150568746,False
20,artist,boy,-0.7462750408759777,0.2452989344393749,False
21,artist,girl,-0.041367628246460765,-0.1250516167257042,True
22,artist,man,0.21504552276638425,0.27157500198533263,True
23,artist,woman,2.277459048949208,-0.11039359084467827,False
24,attorney,male,1.2258712683649342,0.2454022466822669,True
25,attorney,female,-0.017416533193234333,-0.1810050057431818,True
26,attorney,boy,-1.2052602896805924,0.2537897624767353,False
27,attorney,girl,-1.5440644472594054,-0.23991321865705525,True
28,attorney,man,1.4454876954977374,0.3297829956069866,True
29,attorney,woman,0.9256713102880956,-0.17557785320640792,False
30,baker,male,1.5633239582909522,0.16008508041010766,True
31,baker,female,0.1750379810550958,0.023078861234234683,True
32,baker,boy,-0.0021943405765623963,0.14456677038806567,False
33,baker,girl,-0.6594971432663048,0.0019274601224616933,False
34,baker,man,2.960555673763549,0.13877958423003572,True
35,baker,woman,1.9411293323704035,0.016542232642864498,True
36,banker,male,1.070920399911344,0.22815525131575476,True
37,banker,female,-0.7794457913435924,-0.12365912811373662,True
38,banker,boy,0.2658239637710784,0.26652564930372197,True
39,banker,girl,-0.9023666911632776,-0.1372983619587594,True
40,banker,man,2.8640972614929696,0.3204860510603483,True
41,banker,woman,0.9518823786392724,-0.07127925703182535,False
42,bartender,male,3.1702935162572783,0.20463613613656695,True
43,bartender,female,2.8756136178794716,-0.06635766147538091,False
44,bartender,boy,1.8407339320190497,0.1695873711346957,True
45,bartender,girl,1.5537205513684036,-0.126262344045034,False
46,bartender,man,2.231706794299244,0.1991729515885492,True
47,bartender,woman,2.474251662481949,-0.1110193465069308,False
48,barber,male,1.8132140687834373,0.2063664568046888,True
49,barber,female,0.1484849719143045,-0.03353060565334675,False
50,barber,boy,0.022825406109964225,0.182889328051674,True
51,barber,girl,-0.6630250823438186,-0.08848260840847301,True
52,barber,man,2.9217167547677065,0.21285662444469375,True
53,barber,woman,1.6187172619028245,-0.05135038648984093,False
54,barman,male,2.769591043733256,0.3509693728170197,True
55,barman,female,1.6595813961238608,-0.3124746311509753,False
56,barman,boy,1.9809888647793663,0.4092520106819558,True
57,barman,girl,0.8178873999956655,-0.3782837297954261,False
58,barman,man,2.7158717397012215,0.5012170366421345,True
59,barman,woman,2.089648457665136,-0.318643942101666,False
60,barmaid,male,2.212839303198228,-0.1741609592360318,False
61,barmaid,female,4.7447766502682365,0.4081657500944893,True
62,barmaid,boy,0.9728919976828336,-0.3498232016952516,False
63,barmaid,girl,4.191687847808484,0.37652428717583175,True
64,barmaid,man,0.9010019624289208,-0.45352181531054103,False
65,barmaid,woman,4.830407941859521,0.307499344764928,True
66,bookkeeper,male,3.9473542885648767,0.20914875989282827,True
67,bookkeeper,female,3.913951497259752,-0.0520282339233303,False
68,bookkeeper,boy,2.3394420163484217,0.17603063526208934,True
69,bookkeeper,girl,2.1332646217403908,-0.10968923254704499,False
70,bookkeeper,man,3.0608590238833666,0.20806305150099305,True
71,bookkeeper,woman,3.7701335821370257,-0.06638710734103212,False
72,broadcaster,male,-1.4924725109322072,0.22471540023814526,False
73,broadcaster,female,-0.6295271126584471,-0.08390773375033203,True
74,broadcaster,boy,-2.4928191794328294,0.19441827679669688,False
75,broadcaster,girl,-1.561936411360095,-0.14858492237837942,True
76,broadcaster,man,-1.7542082678316029,0.2446638073632819,False
77,broadcaster,woman,-0.6060111708643992,-0.10589229460579906,True
78,builder,male,2.6478868222139402,0.2795026637725513,True
79,builder,female,1.0396485247703258,-0.3399540191644294,False
80,builder,boy,1.2139667061680426,0.3732448273703461,True
81,builder,girl,0.4433674127775015,-0.3755393651235692,False
82,builder,man,3.2722231294909165,0.4798919711652284,True
83,builder,woman,2.3600009948389244,-0.296209643217341,False
84,businessperson,male,0.3907172933257809,0.2422909319739999,True
85,businessperson,female,-0.8519739436333011,-0.1869035178588687,True
86,businessperson,boy,-1.3138991888303788,0.2636209099843647,False
87,businessperson,girl,-1.3237056208243136,-0.23031284320833306,True
88,businessperson,man,1.9380629243014915,0.3311740574984493,True
89,businessperson,woman,0.9334619259117376,-0.17996889254744813,False
90,businessman,male,1.037036412393048,0.22974163025155625,True
91,businessman,female,-0.7046193763717413,-0.05054379185005437,True
92,businessman,boy,-0.0718443212371419,0.20322915083519208,False
93,businessman,girl,-0.9490412083954268,-0.1032839901750415,True
