index,football,basketball,cricket,hockey,tennis,volleyball,table tennis,martial arts,baseball,american football,rugby,golf,athletics,badminton,boxing,Formula One,MotoGP,cycling,swimming,snooker,shooting,gymnastics,handball,wrestling,skiing,horse racing,horling,pickleball,water polo,bowling,accountant,architect,artist,attorney,banker,bartender,barber,broadcaster,businessman,butcher,captain,carpenter,chef,coach,cook,dancer,designer,doctor,economist,editor,engineer,farmer,filmmaker,financier,fisherman,gardener,journalist,judge,lawyer,librarian,magician,mechanic,musician,nanny,nurse,painter,pharmacist,philosopher,photographer,pilot,plumber,policeman,politician,professor,programmer,psychologist,scientist,scholar,secretary,server,singer,skipper,soldier,stylist,surgeon,teacher,translator,veterinarian,waiter,waitress,warrior,writer
Evan,1.1898877641277597,1.267462193592849,0.23330313187013607,1.3103841829826584,0.38364585160497466,0.8260087896447472,0.45247109387856965,0.31343696276182625,0.9728181941554112,0.4243867158796002,1.1263338715392777,0.25652474133246267,0.4157964207056094,0.10009258798070653,0.617017440030516,0.3566429257475375,0.13416801337055262,0.33098031149260093,0.513613006976185,1.1638056767218705,0.6530104039765274,1.0110666808854754,1.076435927977753,0.707052300774167,0.4012269155522165,0.16981323263742631,0.6017149695097447,1.2062833639312402,0.494708880399979,0.6240656766620407,0.08996279130246347,0.0025976606333954154,0.760983416997578,-0.4576410820125023,-0.2682569830697903,1.1088662555315127,0.8071948114208054,0.6024748382011154,-1.0429443220272205,1.8396802557706335,1.2219820579898182,1.6454423891133958,1.227766471683616,0.2621683204453211,0.8369371560335106,0.8402350610972434,0.27870555369726424,0.504984608448921,-1.485075372841205,0.009154806929785698,-0.18686198974041576,0.9066221729827459,0.5772791710043482,-1.1860500190335865,1.3108904118601414,1.3425416446986784,-0.5097029926213293,-0.46116775472321836,-0.4952648942641375,0.46096363898713555,0.56060490997611,1.517185154442529,1.1338304076207935,0.7723057324917783,1.7112167579145932,0.715717117639686,0.1941094274306442,0.30618092684649584,0.34625500523763547,1.5636855580883502,1.556729544148963,0.06146868460466171,-0.36763524310309403,-0.20229564280273268,0.15175634712295727,-0.14238027503300973,0.17926112362872806,0.3387422119416298,0.595330171378366,0.4825531105594145,1.138120028746778,0.23972703632630443,0.859569548175943,-0.09724688817624819,0.2894598626971603,0.9981027130986087,-0.970260133694092,1.247050105830949,1.1003447292926236,1.645199634283806,1.5387691338328324,0.47536982149376406
Jim,1.3178704296500559,1.0877267183661987,0.612450873282692,1.463121401413626,0.9572625018550438,0.49106841830918857,0.6345971459592098,0.07368695859755776,1.5389554435553974,0.2667727493402384,0.992876971714048,1.306707489142929,0.41937247115724113,0.25818956767587037,0.6648730168397199,0.18596573114708795,-0.13657818662387264,0.0231563287811912,0.6295379076833719,1.249921725003611,0.7329673663385285,0.6993184865389339,0.6710180268965266,0.7923102543379944,0.5030417627758267,0.5546409400990184,0.8684536487782298,1.4214384562783378,0.48732507931558644,1.208697978892858,-0.05610697939074713,0.11769423552326867,0.8294173828744754,0.6349185175764853,-0.19507735260899917,1.5201256981731168,0.6629793701629706,0.7768203652719416,-1.1777359827268887,1.173761351611508,0.933293435268375,1.3898391119750164,1.1165130516333153,0.4062790158248621,0.5070442836919854,0.6074106971460181,0.47124846764663975,0.23967537532260536,-1.4300697309013166,0.6676413654028309,-0.360679181591234,0.5895836543201547,1.0288018569003892,-1.3789316385559176,1.2027536195063715,0.9973263960542801,-0.3730495369412859,0.05033239325836988,-0.0788243246400648,0.4855513225477242,1.3388216622380469,0.595913557393435,1.3026222493823285,0.20143760583940207,1.272496813756562,0.5443236919446327,-0.18968279031001317,0.4779610117390438,0.7404126482722696,1.6598714691405225,0.9566431000319634,-0.4057422300156546,-0.9344632105029541,-0.030590760357698026,0.8298057865472224,0.10807695003467283,0.12346642452199327,0.22118014926654078,0.540868502103662,0.4587484462650835,1.0013152405011756,0.0554190872188687,0.7024094909395052,0.17769107918845306,-0.2910983566647787,0.9518228987724925,-1.3171390510563494,1.1612646180227784,0.5437497788208794,1.2276098148474832,1.4601424992013183,1.7133186241286307
Mark,1.805030733400477,1.541020212553766,0.9235549026537602,1.7229598670572908,1.1335921134786757,0.7989738323719507,0.7011418503319945,0.28675383142849314,1.756219081295659,0.4550514301608792,1.401241364869036,1.3140875195515747,0.7888674273718643,0.43486246704351167,0.7800234841484753,0.3521023510023856,-0.15944366339347565,0.38517705411093517,1.1365613478833319,1.7567001460271365,1.1950996175507314,1.167449884890494,1.0112552295745938,0.9281526858413025,0.8740906313336169,0.4633766556921961,1.274967299641725,1.7216051115516187,0.5539194302461934,1.1630448658095713,0.13232895996532812,0.29966690362610426,0.7181525924294544,0.1827294957573687,0.011082987735797098,0.52142000562577,-0.07854226894469178,0.6589802714418826,-1.143322738772656,1.0938741679323363,1.201529893538667,0.9146464149533262,0.7078773571756651,0.11699387145123419,-0.2738179253933029,-0.1563066191148089,0.46955230665680703,0.28705632799355174,-0.9410476447787649,0.5464101533976963,-0.4503331232827059,0.17525964802347352,0.37513693601232156,-0.7419325752197997,0.37436017556069884,0.438269540620036,-0.4306590599990367,-0.06285978677204156,-0.13716999594533294,0.5753489251760333,0.4446892988461557,0.21098386847849698,0.6865022695476626,-0.13404161904141,1.1968102846283843,0.23587033682117456,-0.18480844302904775,0.5198102611677371,0.24128862664972087,1.353785979764274,0.6812848908489975,-0.7174733074075315,-0.8423946435662474,0.36327856135206077,1.017123004704225,0.20454862946387622,0.31944499189868436,0.6189078728916941,0.5678234773068527,0.7096328375241315,0.49418582313052484,0.15936869606992715,0.3055643576946153,-0.06007894872894754,-0.26889361083089763,1.0009555856478667,-0.6630766307700138,0.5325842300120016,0.33055391035120646,0.7224096276654299,0.855481511021813,1.2734631810890968
Chloe,0.3391857979439135,0.3610391353815892,-0.1355467008146373,0.45693114409396585,0.14233870609198443,0.1653696067138941,-0.07394128954156254,-0.21650129364323936,0.3787965504983142,-0.375616149310291,0.40734862318308995,0.07935398252039186,-0.38111907018494057,-0.4485984268210434,-0.19856249063584971,-0.06482776378208864,-0.1428176148508532,-0.23321083208074186,-0.14399547864039003,0.32401488886999463,0.16161334744088474,0.30412904121462697,0.25706413230851854,-0.4332254073949348,0.070762555266263,-0.31887041922057424,0.029781531928021472,0.36786345125275377,-0.05691670992720704,0.3031068143879,-1.0101002206246632,-1.9880759019621557,0.5596592480556625,-0.02211620933740845,-1.3044642981968377,1.5648608111874092,-1.7554194902649611,-0.4596624800060215,-3.5387073781716007,-0.9193218937342865,0.6300995092360042,-2.3887365993589986,1.2714381975066382,-0.5786229609248164,1.034660338842174,2.6403627150438984,0.5467077769633625,0.6808323913521019,-2.641963728628693,-0.3282454473252663,-2.7956599121563266,-2.1843125426998973,-0.10669124973372694,-2.226754085385988,-1.9449876594482205,-0.15799099982110537,-0.4513906619148567,0.2256987157034303,-0.06562071789106294,0.7207234915928294,0.30485693760351296,-0.9454924774465863,0.018983339689644472,3.555965009575039,3.8763068759907564,-0.6899640207602253,-1.307246984384714,-0.7106835835517765,0.37747389104190837,0.19140322644565835,-1.7015382041486244,-2.337913949767191,-0.8350079761353977,-1.3806454302866638,-1.1664743474438393,0.03419843341139971,-0.3949583039905923,-0.9284872500997945,2.2301096679953787,-0.003407524794341203,2.461478171660635,-1.3607942990141915,-0.0704055672962827,1.9416872375277243,-0.2687399240727582,0.6942079098929916,-1.91521723246654,0.5337351576260583,-0.6617110788260938,4.765829128297908,2.1604163485178285,0.415361552944598
Dylan,1.3839418226647888,1.3436176602390981,0.8127576791261553,1.4672808996985287,0.541122596653932,0.7978052780844408,0.23135403721212391,0.09644027394124631,1.45883791507067,0.5942231447520046,1.244605587515444,0.8236862684461254,0.42261931285189264,0.2675112772444758,0.6536661746986732,0.3892073277301741,0.16672458253081496,0.14101076405095644,0.8399867010654177,1.0797788412098794,0.9892030216845075,0.8775894381454826,1.0048603992753902,0.6529145511344597,0.6264503169245054,0.29049171434371823,0.654643921141742,1.211259748469061,0.428416702412423,0.5088929730383082,-0.012789851329211033,-0.1861912410631842,0.3846697096588655,0.588547089112371,-0.23673389360359642,1.8979183318675625,0.9287211337131999,0.665201925951256,-0.970628350977216,1.4531143803322406,1.65111449318343,1.6763052816249586,1.1251757996357108,0.22689628809848444,0.6171968954688417,1.0755941093278674,-0.27908515170374676,0.5432959084659607,-1.752205079177395,-0.2542284924351978,-0.6233092264552275,0.8297440772954221,0.4524785326713023,-1.3617872450232793,1.7688103112742695,1.0156879042308524,-0.6110096548552455,0.3937541614474563,0.03740712804524945,0.45819335221447377,0.7371154046034492,1.5656852387846656,0.9945232548031343,0.751720382508187,1.9374963341220963,0.5195713676227149,0.1978549065661938,-0.19230269921830712,0.30302190610397983,1.9441358601077263,1.3830796965454555,0.723908264333685,-0.13878254759570122,-0.33362157612502236,-0.6236506642107105,0.09602685406121782,-0.3459865288065922,0.07302650051666448,0.5018991500992362,0.043194133614138,1.117403341010872,0.7095208837762386,0.8063717430830976,-0.04248991042109286,0.37096229506055833,0.834135271341943,-1.701945425641501,1.7547727177109944,0.9850471510771138,2.2216662177364848,1.8026082526891791,0.6306410291388417
Sophie,0.9299252788006944,0.6124585878303058,0.0628709361189054,0.9300056469792741,0.3934821204738324,0.30484071203237645,-0.030765888600386385,-0.18847984021660313,0.7127163737173402,0.0613688671772107,0.8400813683310776,0.3763032553140345,-0.0675645964800197,-0.5559486767837977,0.16087253114657907,0.24293118568586178,0.022171966422972665,-0.17795415104895024,0.16292112015211327,0.973162143166373,0.4172943278164597,0.5160308361497573,0.658854799954238,0.007409683815077584,0.3825669640091853,-0.009499324220188989,0.30679199985114464,0.7002941433534547,-0.06353239290519246,0.35633424178933204,-0.2618922742166596,-1.282742402059855,0.8795344412096391,-0.7698781822094577,-0.9550606377736763,0.7734735277933464,-1.0578217793517368,-0.5048334338115396,-3.961324901802921,0.796007371007855,0.2454211625190379,-1.2676686498490826,1.6428173441478584,-0.566407823485728,1.8171558219356572,1.550419325317238,0.8411933398637126,0.16800686771573378,-2.158425519323351,0.19056349083813692,-2.7039031800151445,-1.300409985330591,-0.819949979875489,-2.1422709769870467,-0.7590661535561715,1.0089859930074287,-0.8694725364227341,-0.5830390001130105,-0.8261706639454812,1.7640095550736827,-0.1545284196809665,-1.02825664241589,-0.25154250461739397,3.20976841419903,3.794199463504129,0.5888412607745792,-0.3190573362201183,-0.5610627821133296,0.2510548228648602,-0.1393536848924577,-0.788383670021082,-2.2830407837846467,-1.6069267179499456,-1.0646952005778534,-0.7540193804583659,0.010662904734172009,-0.6405517226148884,-0.6404471818801386,2.827026089300715,0.634674038604723,1.6707906978887819,0.08425978275553087,-0.6719411508882824,1.552358191982592,-0.7318970615776682,1.4737952300903554,-0.858784061120404,0.7860842801386545,-0.19326282320907603,4.706419698654864,1.5389053570399047,0.42116631950375333
Daniel,1.343284012806365,1.1022033057411391,0.7264004189151629,1.232265874429295,1.006873655376829,0.9804513599957214,0.6915803816048556,0.3521578379644498,1.36571241941718,0.30923955851888985,1.2334502169034551,0.868042483875632,0.6295957630273541,0.29031169950732516,0.6913723808677279,0.7112692083299865,0.36736663575271494,0.5718605073186273,0.8670960905218086,1.1569510462383708,1.0273092425101569,1.1410507085033463,1.2206634570268446,0.5756961592919051,0.8330345600886123,-0.022601203398747025,0.9788992031395645,1.3280209572551118,0.6388850946917034,0.9062676053636309,0.42473258129119756,0.1174555775104019,0.32359382877493337,0.535719392717062,0.2690538982458188,1.0906398696096287,0.8611945676928059,-0.12256127193501613,-0.5779438836832614,1.6634734080316582,1.798913046987511,1.4902208905251682,1.210609317929873,0.030161736257880226,0.8007403763037058,0.2583737656434868,0.00736873599973631,1.0782499626724236,-1.18785435313112,-0.18510613162637402,-0.1755781240582672,0.6228371878966338,0.2580110192169138,-0.8586405580324781,1.2708559913690463,0.5014427689667442,-0.42244515946639266,0.13163685868706682,0.30652901592029747,0.4477040010006449,0.9926222230566963,1.1347605316493081,0.6339483022043534,0.3858424833425349,1.500428932189231,0.26512185301239305,0.19448442877090735,0.5589953015881347,-0.18154569803331216,1.5057479149339308,1.2576829928546898,0.23367008776203682,-0.3103598461328074,0.2827524813872489,-0.00011894376003799131,0.2893693077042525,0.23924075825066607,0.7336905311526586,0.9322366267692334,-0.011665349153523625,0.6864142948610114,0.08728645521577685,1.0315974158961332,-0.19501531843402328,0.47500526380562014,1.187477438382394,-0.7897713176687945,1.2216847913506503,1.276356408920195,1.486406628027321,1.726445434525991,1.1428212790835286
Gregory,1.3263475292000024,0.8573081718209788,0.23361978730389715,1.0088110237506391,0.8639227310331562,0.5136225313850171,0.5586213185680641,0.04106991361655077,1.0003808860222323,0.24184475191537746,0.9911558190090779,0.7258574137892138,0.5707356539342051,-0.004043992200380311,0.5412083679572972,0.17735654772289605,-0.22203159002795486,0.3039427114356554,0.5938596602076519,1.1239447033166836,0.5699543537439656,0.851099936126207,0.7910762792097741,0.6277602943354581,0.5176759363159881,0.551492970276885,0.48796474203350426,0.7921098516102034,0.4099457235798317,0.6292798899699332,-0.32654302841440946,0.266234060646824,0.714538917045862,0.2581942941643262,-0.37790550533609635,0.9495428125984038,0.46601750692882254,0.7429661343589767,-1.1671825734614187,0.9791592978732034,0.9748673593055478,1.224161914552829,0.9415329391020981,0.23322575643583138,0.5009862396740289,0.48394299824835346,0.4135133695209276,-0.10170527191441488,-1.0796303048788058,0.37850559126215483,-0.5129834472189431,0.7141418741034666,0.7667752226253959,-1.0851785132524707,0.8253901484856582,1.0044507028806846,-0.4678919807802844,0.2276842166444794,-0.17399433004154652,1.003906419622642,0.32344838730775616,0.6652164046221755,1.0766543138774178,0.4209975637026032,1.581196051866294,0.8092060070394833,0.14411624149110375,0.10090394369639745,0.8418955325733698,1.6945958102707528,0.5482255314710199,-0.2689475555939218,-0.37890991415828496,0.05861187256661925,0.29199475029348904,0.10750771908427903,0.08483089323487657,0.419379901852849,0.6180120770529297,0.4290531018705418,0.9516002778571354,0.9776855995297364,0.4254167761633872,-0.020524151133803823,0.12138607308516285,0.9314138013491553,-1.1971766803750221,1.5690965905997634,0.13823155402768098,1.0206592294349264,1.2121938991543042,0.8587336556494853
Peggy,1.0962749192925185,0.9040151970701604,0.4722348678790851,1.3155789053274103,0.9716833153869803,0.7763107663532505,0.6243559727877577,0.3213368777473787,1.312621516576436,-0.03473483639158271,1.0091804520317038,1.1228686918427206,0.36056654440782354,0.30937790114046504,0.7488767106762887,0.25648535884405266,0.3604699016577412,0.29377900563025117,0.635150120275871,1.4588759039709702,0.8322563330417527,1.0528389709789854,1.0078753007130974,0.5248652113551159,0.7422622078031208,0.46653279618476345,1.020453161703486,1.408515790438439,0.44381952258931856,1.2761959235102975,-0.28795905158921165,-1.2331181750704603,0.8250070203540643,-0.6077009089210003,-1.2006726469348987,1.010401480233134,-0.7945453558377482,-0.49988700482789267,-3.7907326942374646,0.5398720885576225,0.14394179708809204,-0.6672634834591031,1.1818018379272388,-0.4920074212662441,1.5857939347932481,1.1405817488652974,0.8234138001077038,-0.14826830926401985,-2.0455226475766812,0.32338137571739667,-2.3611176494922264,-0.6466473871108005,-1.0437160627237498,-2.435913293776269,-0.6512084320845958,1.3792391975346916,-0.9887262871352456,-0.5719714554842367,-0.8515203763366594,1.2095715862994447,-0.5324445296089504,-0.7755426061524555,-0.5610496210997105,3.4009427569918023,3.2893241131489988,0.30595907000778044,-0.7571237208112584,-0.7649462194250115,0.15783581902861413,0.24138620552696707,-0.29871262023267353,-2.2546540546435336,-1.3283678669137566,-1.499895882445298,-0.20751847906666518,-0.5300286850480781,-0.904421904772188,-1.300536031913885,2.421563909584109,0.7569976474023915,1.2802765933994626,0.0641550608582667,-0.3345250096721715,1.058797424870751,-1.2635790896974857,0.9731886701176925,-1.0547297121603367,0.8595450563793721,-0.28962736619017915,4.197081808893009,1.729313224135573,0.5433845351662512
Emma,1.002351646089656,0.7060401815659276,0.6122147711040282,1.1962073885875648,0.5209667889081537,0.5203957789460215,0.2970191298435184,0.30095832918988186,0.9534297499880707,0.02130291453388105,1.1849926772131987,0.6348121005982335,0.2404445467861492,0.10963748625061369,0.5463718243606749,0.6489475784369539,0.5059282949684318,0.495514865835824,0.48652650625680943,1.051292189666124,0.7182101515481154,0.8354522390924615,0.7125563075382505,0.35821391728264507,0.7346132381813231,0.3332581725463417,0.7417145285238639,1.08268212145613,0.4427412001752541,0.5863853583682896,-0.500363214874682,-1.7028357597803174,0.5378212735679051,-0.7228617534102355,-1.0959534317936208,1.0391748037403123,-1.224116811236641,-0.7140396948943469,-3.7911861923435146,0.4887087760253869,0.4682823934333274,-1.7303809506633898,1.3365945210281238,-0.38601859656544485,1.9262699914196377,2.026190721407681,0.40862910578178663,0.47959067297733193,-2.0927942627816996,0.046587614231218905,-2.7344867003425897,-1.4780394254383928,-0.2232209692010385,-2.305685536969782,-1.7067725509001603,0.4086154477617347,-0.6945586515040836,-0.2047732667532342,-0.70730732025601,1.4618845584979696,0.7616836268539825,-0.7863489555089493,-0.08810136702394997,3.6265629630594334,3.733366339684533,-0.32626337683120465,-0.561329638348993,-0.2103667512115462,-0.21939214094503842,-0.17222828927037334,-1.1600972594600703,-2.2847491187138265,-1.052472623993751,-1.0024690553515259,-1.223512230340229,-0.1682742107373219,-0.6163960748111064,-0.7392356450808433,2.803524947275049,0.3014404770028938,2.014835860830547,-1.0920551209708176,-0.19022530801445683,1.3298628206547394,-0.6453709875855804,1.4715388788311454,-0.9395681930805418,0.6225823338814074,-0.1437763587908119,4.827379661717471,2.3056900583170044,0.52452643517506
