sport,religion,direct_correlation,indirect_correlation,same_correlation
football,atheist,-0.08470465649120686,0.1862524396615604,False
football,Buddhist,0.27183995642789377,-0.023918536524785174,False
football,Christian,0.8054713603204713,0.06331003122504293,True
football,Hindu,-0.4670581763883888,0.10318058875872398,False
football,Jewish,0.3718803172477758,0.23328228693884706,True
football,Muslim,0.2797154000296399,0.025653943662687605,True
basketball,atheist,-0.5265213758219371,0.1638572477145067,False
basketball,Buddhist,0.3278424352129721,-0.004841897512407478,False
basketball,Christian,0.8914605353355934,0.06835038813239189,True
basketball,Hindu,-1.2496112095869936,0.06753014682858544,False
basketball,Jewish,0.6286433427164617,0.2789460690512434,True
basketball,Muslim,0.02386332386597453,0.05544565068328747,True
cricket,atheist,0.2970896284590426,0.16394848377086815,True
cricket,Buddhist,0.6918056180626028,0.02115594062911081,True
cricket,Christian,0.8345673448711045,-0.018251927342253584,False
cricket,Hindu,0.7309551702431573,0.10810755154162446,True
cricket,Jewish,0.2315900930473553,0.2502776876534131,True
cricket,Muslim,0.4948198698137629,0.05280027307141345,True
hockey,atheist,-0.06397056227778353,0.2833089608040445,False
hockey,Buddhist,-0.4071728349304304,0.0555718576950747,False
hockey,Christian,-0.1975568840201081,0.08394110182922232,False
hockey,Hindu,-1.8050633088837749,0.10730439816051636,False
hockey,Jewish,-0.5012620911956398,0.2568919544664102,False
hockey,Muslim,-0.9000644988287287,-0.026244754278173712,True
tennis,atheist,-0.18106035966797135,0.16812534559777276,False
tennis,Buddhist,-0.003206884701981443,-0.02097953937874359,True
tennis,Christian,0.4344499321593621,-0.09776916656003164,False
tennis,Hindu,-0.5002488534309528,0.032588773012614626,False
tennis,Jewish,-0.08864348561944961,0.12980223192241613,False
tennis,Muslim,-0.20043024921661728,-0.04169585336686862,True
volleyball,atheist,-0.9574974793523116,0.0915594684439835,False
volleyball,Buddhist,0.4854105649331747,-0.09743183831815977,False
volleyball,Christian,0.8108505657015262,-0.09978177515862724,False
volleyball,Hindu,-1.8774796898154056,0.022956186265168696,False
volleyball,Jewish,0.5146072865163528,0.18711163620320528,True
volleyball,Muslim,0.3577121247169157,-0.007551088051168056,False
table tennis,atheist,-1.3229489867014683,0.1834856712260543,False
table tennis,Buddhist,0.4551182958453561,-0.05441599072691237,False
table tennis,Christian,0.796448575130591,-0.05782508067450792,False
table tennis,Hindu,-1.1180566651503752,0.035775791945248644,False
table tennis,Jewish,0.4586196006375388,0.20034064259258175,True
table tennis,Muslim,0.4631691461984489,0.0031604456944900397,True
martial arts,atheist,0.07084209088236902,-0.0488666602339251,False
martial arts,Buddhist,1.684998404642578,0.015015436180281031,True
martial arts,Christian,0.674811531057436,-0.06997241760558591,False
martial arts,Hindu,0.39781963326370856,-0.036029673497756536,False
martial arts,Jewish,-0.04570702380354511,0.13665169888492532,False
martial arts,Muslim,0.7478248096381437,0.0517792896292914,True
baseball,atheist,-0.6870144976126829,0.2123042658733755,False
baseball,Buddhist,0.07002859335169037,0.036783572539269435,True
baseball,Christian,0.8263927578376776,0.045227349682519465,True
baseball,Hindu,-1.3742987428599156,0.09392971436245172,False
baseball,Jewish,0.5884273748279946,0.2564358191517185,True
baseball,Muslim,0.013201691447962995,0.04720599929570177,True
american football,atheist,0.1820913391086469,0.0634050893978565,True
american football,Buddhist,-0.8567750340103933,-0.10940460656009487,True
american football,Christian,0.996807256779452,0.12680497102421798,True
american football,Hindu,-0.8637405393065305,-0.036492217124300126,True
american football,Jewish,0.24308908170357,0.16190776310088234,True
american football,Muslim,0.2064511328634372,0.13533370791498142,True
rugby,atheist,0.31543917274283684,0.19450388241456906,True
rugby,Buddhist,0.6500901822227142,-0.0226310324705764,False
rugby,Christian,0.7688607791630813,0.06393465419276627,True
rugby,Hindu,1.2916828690672228,0.07832007085268637,True
rugby,Jewish,0.22622634382156004,0.22497924405678085,True
rugby,Muslim,0.4837639667479426,-0.05448076083642664,False
golf,atheist,-0.443895553472056,0.21509379119302047,False
golf,Buddhist,0.09660768411559076,0.07848561898200561,True
golf,Christian,0.6892373284004123,0.014684132481962353,True
golf,Hindu,-0.7085934268342104,0.06664282706368553,False
golf,Jewish,-0.1988772886905301,0.14872540009115548,False
golf,Muslim,0.21708720314551752,-0.011300006055727228,False
athletics,atheist,0.39517287485219704,0.11340226184268434,True
athletics,Buddhist,0.7231618328903474,-0.04877207419534408,False
athletics,Christian,0.8742082814950567,0.07512312158861828,True
athletics,Hindu,0.29668753798128555,0.02566117771714324,True
athletics,Jewish,0.2996223486771204,0.2437510859234442,True
athletics,Muslim,0.4362294897343397,0.04210672638416644,True
badminton,atheist,0.0839789209156704,0.11482818571160155,True
badminton,Buddhist,0.5115101774593162,0.06542234593564011,True
badminton,Christian,0.6565551634413117,0.023477695907033577,True
badminton,Hindu,-0.42117552051358026,0.025984679080385733,False
badminton,Jewish,0.28129085899193895,0.20496442348248176,True
badminton,Muslim,0.014186344346346852,0.09315506493132827,True
boxing,atheist,-1.536628882407438,0.09675238429860084,False
boxing,Buddhist,0.8543050114831887,-0.040856305258020816,False
boxing,Christian,0.3794829847547371,-0.00531777204527675,False
boxing,Hindu,-1.201769586468496,0.021571918661230417,False
boxing,Jewish,0.23153005560538056,0.15413491593196108,True
boxing,Muslim,0.4875780706253552,0.0232920313947331,True
Formula One,atheist,-1.0831720100814335,0.22978078195565255,False
Formula One,Buddhist,0.18617302854887507,-0.15377702112858282,False
Formula One,Christian,0.7520328690422001,-0.03204562522052101,False
Formula One,Hindu,-1.0746613803904943,0.054967514806950835,False
Formula One,Jewish,0.33633501530612064,0.03827439816359225,True
Formula One,Muslim,0.19110547110988974,0.007470240305900435,True
MotoGP,atheist,-0.7985266586953429,0.10202594456301137,False
MotoGP,Buddhist,0.6745098709687979,-0.19066067144311247,False
MotoGP,Christian,0.5456405594061251,-0.1331522379227507,False
MotoGP,Hindu,-1.8008725833908388,-0.01810713581832531,True
MotoGP,Jewish,-0.038301682165939856,-0.022009182802357027,True
MotoGP,Muslim,-0.21056239469489565,-0.0644174693900671,True
cycling,atheist,-0.3214674473605389,0.19438515197200684,False
cycling,Buddhist,1.230315761769414,-0.1124172623682699,False
cycling,Christian,0.4370853317023608,0.03921326144165221,True
cycling,Hindu,-0.3656432887712364,0.013806462263874022,False
cycling,Jewish,-0.5059009517373274,0.13562930921651822,False
cycling,Muslim,-0.5492436486378445,-0.027569689235074097,True
swimming,atheist,-0.7598530652698982,0.16228024859352225,False
swimming,Buddhist,0.8197483142013838,-0.026840440120248558,False
swimming,Christian,0.2918522487311324,0.05312578269786042,True
swimming,Hindu,-0.2998947104353646,0.07724128293591177,False
swimming,Jewish,-0.06366588071915867,0.2564748935213883,False
swimming,Muslim,-0.004821172518602268,0.05875568779329311,False
snooker,atheist,-0.1368093308159226,0.14926176375529154,False
snooker,Buddhist,0.6814285065706822,0.07069412074660751,True
snooker,Christian,0.5736788429087607,-0.029466969668615808,False
snooker,Hindu,-0.05569991141991496,0.061144492706392925,False
snooker,Jewish,0.2528601012062052,0.16965187714533847,True
snooker,Muslim,0.3379471120326669,0.003536952457338604,True
shooting,atheist,-1.9359447138598087,0.2100255942408304,False
shooting,Buddhist,0.5093225036361453,-0.016899478516372298,False
shooting,Christian,0.22254956163236106,-0.0398547580854674,False
shooting,Hindu,-2.0336328596268847,0.1543218944755093,False
shooting,Jewish,0.17042147947493388,0.27798756804083785,True
shooting,Muslim,0.3883779860605468,-0.021232467946853028,False
gymnastics,atheist,-0.007673342423837452,-0.01868650464942649,True
gymnastics,Buddhist,0.7186019306526353,-0.02757270690257072,False
gymnastics,Christian,0.7566141406021559,-0.07839566420112877,False
gymnastics,Hindu,-0.16961730966864516,-0.03697470168346064,True
gymnastics,Jewish,0.3861552204316721,0.15020652480266186,True
gymnastics,Muslim,-0.09496027512554064,-0.0242597216959596,True
handball,atheist,-0.9841436982159669,0.11505843112188223,False
handball,Buddhist,0.49413775470235705,-0.07365125908895198,False
handball,Christian,0.7000531370710619,-0.02470062799507292,False
handball,Hindu,-1.6016012702346398,0.052623732057033086,False
handball,Jewish,0.5722034267193574,0.20223303013815772,True
handball,Muslim,0.3738509754027676,-0.003873450277069869,False
wrestling,atheist,-1.1738722222329905,0.18198276021991425,False
wrestling,Buddhist,0.5124923815615601,0.012281643753891756,True
wrestling,Christian,0.8271541316945351,0.1945578464889549,True
wrestling,Hindu,-1.432260952823581,0.06553438001698078,False
wrestling,Jewish,0.264276823324536,0.26776294834450143,True
wrestling,Muslim,0.3436708202963417,0.0720133225558433,True
skiing,atheist,-1.127229880615748,0.1956643699916112,False
