,country,age,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,1,-0.2516761502784917,0.02361778451698704,False
1,Nigeria,2,-0.6057535169653196,0.017268859196838647,False
2,Nigeria,3,-0.6285587707199868,0.006283256301804074,False
3,Nigeria,4,-0.6399785521079403,-0.008408369169294579,True
4,Nigeria,5,-0.6970065999440749,-0.019599392071246603,True
5,Nigeria,6,-0.7082528416908463,-0.022039209588286483,True
6,Nigeria,7,-0.7187318032364053,-0.024121718388308462,True
7,Nigeria,8,-0.7712337940459977,-0.049770187225365706,True
8,Nigeria,9,-0.6978381940961109,-0.04931117032564635,True
9,Nigeria,10,-0.7104876422832719,-0.06834450858528915,True
10,Nigeria,11,-0.5625565399832072,-0.06969683141067858,True
11,Nigeria,12,-0.6380957154459533,-0.08580634227975786,True
12,Nigeria,13,-0.5189850326109675,-0.08882720085984577,True
13,Nigeria,14,-0.3791161858654184,-0.09285276220608138,True
14,Nigeria,15,-0.2744107956447554,-0.09907532619923723,True
15,Nigeria,16,-0.16155532829633906,-0.09905874422040313,True
16,Nigeria,17,-0.13759394411380246,-0.08671767796899707,True
17,Nigeria,18,0.1183921834617204,-0.08640464321681837,False
18,Nigeria,19,0.31405655908700314,-0.09083766212628412,False
19,Nigeria,20,0.0930867765035406,-0.07876513964732552,False
20,Nigeria,21,0.4003996629522881,-0.06171655133647326,False
21,Nigeria,22,0.4206680640560521,-0.07212553582228692,False
22,Nigeria,23,0.4903739517219763,-0.05802165220242628,False
23,Nigeria,24,0.4923883342598678,-0.05945167465266635,False
24,Nigeria,25,0.4766706009240345,-0.041314448170453384,False
25,Nigeria,26,0.5866674294451002,-0.0328194172535788,False
26,Nigeria,27,0.5737737218123977,-0.04109389577645158,False
27,Nigeria,28,0.5846983105327281,-0.04492937993979359,False
28,Nigeria,29,0.6343218900167608,-0.02962830355446631,False
29,Nigeria,30,0.32646431031229656,-0.006533953274292308,False
30,Nigeria,31,0.6613782111328466,0.0009346079867123457,True
31,Nigeria,32,0.6387549695068401,0.008496753324977872,True
32,Nigeria,33,0.5658628503464253,0.03100427472526184,True
33,Nigeria,34,0.8044742953237631,0.023652906900680167,True
34,Nigeria,35,0.5839757040415268,0.02517100328879963,True
35,Nigeria,36,0.7329930542999347,0.03024575058874165,True
36,Nigeria,37,0.6273865155452212,0.01746790883933343,True
37,Nigeria,38,0.6274170059698176,0.0033727169402417985,True
38,Nigeria,39,0.5715276611991403,0.018275506622910217,True
39,Nigeria,40,0.16379212907429622,0.0548447994564305,True
40,Nigeria,41,0.4913027519481791,0.03143764632910555,True
41,Nigeria,42,0.3459623414510449,0.02681854891642389,True
42,Nigeria,43,0.4074573069338056,0.028157864220207936,True
43,Nigeria,44,0.5382608151567736,0.04249030209159636,True
44,Nigeria,45,0.3295001435351385,0.03436154629841765,True
45,Nigeria,46,0.503494945665734,0.04042495242680125,True
46,Nigeria,47,0.3011143793889069,0.04668353878670617,True
47,Nigeria,48,0.3593262339203804,0.038555095342197435,True
48,Nigeria,49,0.26688215209298743,0.04298442901624107,True
49,Nigeria,50,-0.07685466697943102,0.06786375832829156,False
50,Nigeria,51,0.3512549068584021,0.07934929392258397,True
51,Nigeria,52,0.18880585626305327,0.07545214085870232,True
52,Nigeria,53,0.3131009232176041,0.06893265470716035,True
53,Nigeria,54,0.32865609526599515,0.05453000051911032,True
54,Nigeria,55,0.19087746950879014,0.07003845731227383,True
55,Nigeria,56,0.2710164541459323,0.060370652189915365,True
56,Nigeria,57,0.2063570935103691,0.06519969347843033,True
57,Nigeria,58,0.12433395436574955,0.04178002342409877,True
58,Nigeria,59,0.12598113317804005,0.06188015762956029,True
