,sport,race,direct_correlation,indirect_correlation,same_correlation
0,football,Arab,0.918031557564104,0.11316899604003006,True
1,football,Asian,1.4196692181629909,-0.10037219252249553,False
2,football,Black,0.7202070438640779,0.2598655978286452,True
3,football,Hispanic,1.628762195803002,-0.003016956566303359,False
4,football,Latino,1.5469665499640948,-0.0527496164227104,False
5,football,White,0.3604519791478506,0.23939345820106925,True
6,basketball,Arab,0.1227318693733634,0.07496866712300575,True
7,basketball,Asian,1.0314507762644558,-0.13451004891944593,False
8,basketball,Black,0.5017292142927845,0.28567181846201845,True
9,basketball,Hispanic,1.86328382408684,-0.0713908464335618,False
10,basketball,Latino,1.4821762497236983,-0.1203326454074626,False
11,basketball,White,0.3677031257099984,0.2451184821160166,True
12,cricket,Arab,0.5000293482077345,0.09997123907185966,True
13,cricket,Asian,1.0179020051855978,-0.06938469192525576,False
14,cricket,Black,0.4169843488026847,0.243270365672855,True
15,cricket,Hispanic,0.5201913407676113,-0.056113303307113935,False
16,cricket,Latino,0.3901253694611878,-0.09394167860052001,False
17,cricket,White,0.16908292068835912,0.23299382564230656,True
18,hockey,Arab,0.3373547125829761,0.041085553568592434,True
19,hockey,Asian,1.0644548876098583,-0.0764178579728904,False
20,hockey,Black,0.5491936648888681,0.2755071482586779,True
21,hockey,Hispanic,1.2600197360056145,-0.06673326342125539,False
22,hockey,Latino,1.2512480991835997,-0.12178668293369987,False
23,hockey,White,0.3709508654530505,0.24128716234454195,True
24,tennis,Arab,0.446269599674052,0.07143881019131687,True
25,tennis,Asian,1.1215517943056077,0.08131253765368672,True
26,tennis,Black,0.4075256827027437,0.1987008359421812,True
27,tennis,Hispanic,1.2301642811711542,0.038804150101446916,True
28,tennis,Latino,1.041588656036835,-0.012483805205500059,False
29,tennis,White,0.3127940129247964,0.21252731459455573,True
30,volleyball,Arab,0.1977497423415649,0.13427398575647448,True
31,volleyball,Asian,0.6244364646365972,-0.02812215226768372,False
32,volleyball,Black,0.04442948331350898,0.18377722735348725,True
33,volleyball,Hispanic,0.4200416166435872,0.023708842159501826,True
34,volleyball,Latino,0.25732040354668984,0.011201613932790127,True
35,volleyball,White,-0.4071742283315548,0.15922150716716635,False
36,table tennis,Arab,-0.3696450657691475,0.11375615653942775,False
37,table tennis,Asian,0.8732965702976172,0.03603599670989356,True
38,table tennis,Black,0.1991386791284936,0.14196948368419746,True
39,table tennis,Hispanic,0.9099664024617132,0.024262495829019445,True
40,table tennis,Latino,0.6194912804663151,-0.019983932827352276,False
41,table tennis,White,-0.07607325204172098,0.14759657862431572,False
42,martial arts,Arab,0.4794602381251933,0.043909229843695136,True
43,martial arts,Asian,1.722604859531368,-0.02986438709646842,False
44,martial arts,Black,0.24151789540995705,0.10481012512454098,True
45,martial arts,Hispanic,0.7754481490424904,-0.06740768265381493,False
46,martial arts,Latino,0.4569520106462633,-0.06248995957532664,False
47,martial arts,White,-0.13766549566587974,0.09106833963724174,False
48,baseball,Arab,0.24691457954107765,0.10352733644790564,True
49,baseball,Asian,1.075815194967041,-0.08118093062790563,False
50,baseball,Black,0.7898061142430755,0.2805469313218842,True
51,baseball,Hispanic,2.2341605700244256,0.005057732412257135,True
52,baseball,Latino,1.8939318408567267,-0.04504853814947528,False
53,baseball,White,0.7621396644942476,0.25749926719063,True
54,american football,Arab,1.073768316697233,0.10070688234361123,True
55,american football,Asian,1.6321229482856,-0.11278887672165228,False
56,american football,Black,1.0108197930485745,0.09663837750256188,True
57,american football,Hispanic,2.5248647738810903,0.0810052021021583,True
58,american football,Latino,2.3703835057699467,0.04420961104033457,True
59,american football,White,0.4095787808150272,0.061830915460153575,True
60,rugby,Arab,0.5977527214844391,0.0672880500783426,True
61,rugby,Asian,1.7234962639626932,-0.06718052072881889,False
62,rugby,Black,0.8307859156810694,0.2512693476889669,True
63,rugby,Hispanic,1.2593446829888668,-0.060529694145958615,False
