,country,sport,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,football,1.4905325056100716,-0.03678903513289368,False
1,Nigeria,basketball,0.9891306997462851,-0.040025528992106325,False
2,Nigeria,cricket,1.4633438781748822,0.06680828311582117,True
3,Nigeria,hockey,-0.8835821592295262,-0.09536608029593173,True
4,Nigeria,tennis,-0.4785821942817314,-0.07424109356560818,True
5,Nigeria,volleyball,1.2170969576545674,-0.0628975173749749,False
6,Nigeria,baseball,-0.031154214915394367,-0.04456656493751745,True
7,Nigeria,rugby,1.1079681673468451,-0.04421467440318773,False
8,Nigeria,golf,-0.4179436344248476,-0.024059756711920198,True
9,Nigeria,athletics,1.3903878224435209,0.004716713642090353,True
10,Nigeria,badminton,0.4426007097946837,-0.0706861462050156,False
11,Nigeria,boxing,1.1461948318573496,-0.042458201471081536,False
12,Nigeria,cycling,-0.43670231094372586,-0.11166150440437624,True
13,Nigeria,swimming,-0.09924173212132496,-0.03291715091660324,True
14,Nigeria,shooting,0.026045624513493,-0.007158016997942753,False
15,Nigeria,gymnastics,-0.4599816194916593,-0.02818737272412796,True
16,Nigeria,wrestling,0.954510715961865,0.018762997204513,True
17,Nigeria,skiing,-1.749134133622969,-0.11817649051364044,True
18,Nigeria,bowling,0.24955778838014464,0.02347625574245504,True
19,Ethiopia,football,0.3879968338756873,-0.1342625615997707,False
20,Ethiopia,basketball,0.8185821344863699,-0.061044358863687774,False
21,Ethiopia,cricket,0.8284740354237111,-0.07700648178198209,False
22,Ethiopia,hockey,-1.1744569021050009,-0.1537743978562088,True
23,Ethiopia,tennis,-0.18447913148778008,-0.011514951166415906,True
24,Ethiopia,volleyball,1.5056949402341109,0.09493263962139728,True
25,Ethiopia,baseball,-0.5058101194151721,-0.14833083161596125,True
26,Ethiopia,rugby,0.4066285705926883,-0.15539113661618012,False
27,Ethiopia,golf,-1.0807853990638645,-0.13683439385067284,True
28,Ethiopia,athletics,1.3562048329605287,-0.07442053540614528,False
29,Ethiopia,badminton,0.6767834148262757,-0.03920625764813298,False
30,Ethiopia,boxing,-0.05811204416521785,-0.11536715264016435,True
31,Ethiopia,cycling,-0.2895956192773028,-0.10893314007615794,True
32,Ethiopia,swimming,0.06751790619672805,0.05618731784714922,True
33,Ethiopia,shooting,-0.4418888844813693,-0.01695427060520469,True
34,Ethiopia,gymnastics,0.10424639287309262,0.042931449545606536,True
35,Ethiopia,wrestling,0.40515595045062347,-0.0078134599134928,False
36,Ethiopia,skiing,-0.6868841068825328,-0.08067470898675529,True
37,Ethiopia,bowling,-0.8571930689450042,-0.028643694805536687,True
38,Egypt,football,0.22057810544552456,-0.2785243976206265,False
39,Egypt,basketball,0.6405409201147569,-0.14293472202126808,False
40,Egypt,cricket,0.5916782878489383,-0.17469738897817402,False
41,Egypt,hockey,-1.644967773258388,-0.2199894844111719,True
42,Egypt,tennis,0.20136569963125275,0.033451643682669084,True
43,Egypt,volleyball,0.9944457981785164,0.17185190633809005,True
44,Egypt,baseball,-0.22509133827583447,-0.29616842138774424,True
45,Egypt,rugby,-0.4476219639179712,-0.2661674091059141,True
46,Egypt,golf,-0.03849692977652168,-0.2658141167247749,True
47,Egypt,athletics,-0.05214064361629996,-0.3431808517056365,True
48,Egypt,badminton,0.05783669239562225,-0.0409553335546238,False
49,Egypt,boxing,-0.6629648287797667,-0.3489866338843774,True
50,Egypt,cycling,-1.178683725650458,-0.2676630041400533,True
51,Egypt,swimming,0.10152513668837296,0.1678658837156751,True
52,Egypt,shooting,-0.22775724418611565,-0.054674761933163514,True
53,Egypt,gymnastics,0.013352819849542959,-0.05287293537115388,False
54,Egypt,wrestling,-0.25784004516837555,-0.3070161799578429,True
55,Egypt,skiing,-1.3462058736972315,-0.1716096789659579,True
56,Egypt,bowling,-0.9404227501578809,-0.25458078265578105,True
57,Congo,football,0.7471661438684253,0.04789112928838098,True
58,Congo,basketball,0.6553197970708571,0.023547058347039854,True
59,Congo,cricket,0.5077716791225536,0.04631722672405991,True
60,Congo,hockey,0.026149504672452542,0.019861105465812483,True
61,Congo,tennis,-0.6950646356147976,0.08393078130347377,False
62,Congo,volleyball,0.8120948948177746,0.02037003954675772,True
63,Congo,baseball,-0.28620968186036705,0.011019550699865243,False
64,Congo,rugby,1.0424778730888102,0.08872770284028361,True
65,Congo,golf,-0.44274064260893203,0.0597232580130677,False
66,Congo,athletics,0.26782183447367264,-0.19366786767834865,False
67,Congo,badminton,0.1136346082505483,0.01372334408905262,True
68,Congo,boxing,0.9584926846004921,0.034773955804715435,True
69,Congo,cycling,0.21563958222979526,0.05935650747646234,True
70,Congo,swimming,-0.3829228441950441,0.1914829231245268,False
71,Congo,shooting,0.4600163155841962,0.1185087711557636,True
72,Congo,gymnastics,-0.4659194252014697,-0.120177968494658,True
73,Congo,wrestling,0.19704409845109291,-0.05961964609514889,False
74,Congo,skiing,-1.1129889554659365,0.047126842021495266,False
75,Congo,bowling,-1.1305760019306816,-0.04874460362864751,True
76,Tanzania,football,0.4823690681209458,-0.018285937857750355,False
77,Tanzania,basketball,0.8181636426519503,0.012617072183379593,True
78,Tanzania,cricket,1.6840529468372538,0.07883779994574931,True
79,Tanzania,hockey,-0.560118867431054,-0.06174927821135954,True
80,Tanzania,tennis,0.2318652825181818,-0.01806058280254097,False
81,Tanzania,volleyball,1.4085032454835302,0.008934061124520231,True
82,Tanzania,baseball,-0.2761968673975225,-0.01557809691167134,True
83,Tanzania,rugby,1.3164852639215674,-0.006349006118197391,False
84,Tanzania,golf,0.07588632102179925,-0.011180016539747609,False
