index,water,coffee,tea,juice,milk,soda,energy drink,milkshake,smoothie,alcohol,liquor,beer,wine,cider,vodka,rum,whiskey,champagne,football,basketball,cricket,hockey,tennis,volleyball,baseball,rugby,golf,athletics,badminton,boxing,cycling,swimming,shooting,gymnastics,wrestling,skiing,bowling
Jerome,-0.3747055996933888,0.2150338439073671,-0.20361002102691578,0.1158392305606313,-0.24519556387215224,-0.43731041926571174,-0.6940467530115332,-0.6365919354092993,-1.030256494889554,0.0994159297922031,0.5208095414274448,0.2896848597507731,0.7495955610951286,0.6378184765812385,-0.07077469732484062,0.20577315235813304,1.039106003123715,1.3837835798356506,1.5669143572383954,1.7615141240811947,0.635259125847813,1.2998337064410426,1.3266070608849325,1.9170806720249052,2.229430411939667,1.19479844812081,1.5004120605967946,1.8978875067787466,0.9728810098517614,1.3758911451203695,2.581251033702216,0.7742957997473197,0.944865516104634,0.734305215946012,2.463728747890993,1.4151281873884898,2.662200922782863
Peggy,1.0061456755950504,1.1164648757910465,1.2162595056497967,0.2434916341312752,1.508803685703004,0.4871192034110245,-2.318696647998344,-0.4508713833561404,-1.8218379515368197,0.6144166144146738,1.200986776073995,0.9624652284721337,1.4290513593385774,1.1594070976541908,0.8754117460485102,1.0584398969928923,2.3652988698497155,1.5808074543787445,1.847641310888215,1.2272654041474458,0.8868442847037434,2.2049604356478674,1.4222150724568443,1.8089514443262402,1.808991526394862,1.090512687272722,2.0970084002281375,0.1452810890630991,0.6158462820750502,1.2609594833528444,2.343388070604371,2.1454168408463556,1.9884082159130043,0.39124242682474264,1.8515344274672558,2.0272387138876984,2.5458497270465004
Tom,2.035807596959703,1.1832121749346254,2.028840720869133,0.8529656995938049,2.7890893059617192,0.0980668187643924,-1.9233357628920436,-0.5133372204018212,-1.6929565440701806,0.6898009891250266,1.3992090684878498,1.069331042994769,1.6911313011126134,1.0852561852001914,0.09995928996975613,0.6694520182456604,1.6252889775838981,0.9540441155546132,2.4460837415469574,1.13595971988306,1.3158246276108965,1.8503510801504475,1.224512583536507,0.4676357240051436,1.9851224808512602,1.5095108576858614,3.3146861069330034,1.2196750987766163,-0.3588295256915597,1.3637714362665159,3.5310867572980853,1.7325449405629354,2.2349267784670652,1.030506680323243,1.6208805498021062,3.619358709558995,2.0108941055069187
Owen,1.0354141054612735,0.17085880567070055,0.2579522944579279,0.6799279211711411,1.9308115189521375,0.41427964688214813,-0.37883408416969555,0.43196239332715364,-0.10875329830115052,0.5674659770937943,0.8263730759390847,0.9084753962743315,1.3697681291278934,2.3572857883339746,0.11829217275229417,0.10249338737875593,1.9799395776672941,0.4777281948403927,1.7270761063494005,0.8290218815211938,0.7383422676976653,1.7855594959214784,-0.2114932508165833,0.49408999705222756,0.6297155289323672,1.8317374199933554,1.4440260206089666,1.8176840450997434,0.6266757027555753,1.0777835697220188,2.5817702317706543,0.8738760466773852,1.3531069197905068,0.8595678626141103,2.389863916572082,2.2704146117576434,2.5745594740900692
Dillon,-0.07250085691600844,-0.18806535270325908,-0.920650011820378,-0.5096997351067263,1.6510069575937367,0.2144173666776672,-1.1416286289926136,0.06773063524396694,-1.2357183492267583,0.1967103163027682,0.9955402700527192,0.25056306835728687,0.6089819578933011,0.41265900783222387,-0.8731378538905616,0.1778901174606844,1.765612521956901,0.8501481305548092,2.858174691347255,2.1483013388715473,0.5111082447940365,2.593917312940947,0.6041723327376433,1.2833894710349816,2.7730992228360094,1.4482813224270605,2.3956176939145157,1.5754004893642977,0.8219237117014206,2.6049389801709086,3.4008657738394046,2.2761192233817384,2.81784202887669,1.4931302686096195,2.3102242881528694,3.6434673588607045,2.8759394017633806
Amelia,0.8851675110614503,0.27444653892021975,1.005393729037333,-0.4944743546190825,0.9721111798208046,-1.0805781333061184,-2.1726273327951477,-1.5584732066834484,-2.316422795997901,0.711474901923101,1.5610325104888283,0.13864487208259382,1.9448693629320801,0.6181409013448727,0.25627959971851516,0.7585288110693132,1.304682131812156,2.213678818735842,1.727995807419598,1.4696671384439768,0.862477575236316,1.9322733867551378,1.692753927221,2.7025483875039673,1.3868763609177723,0.524238124823111,1.0246539944262747,1.4555936985370603,1.5771652960033642,1.5577228532197138,2.999487175489872,2.6418943421880465,2.6259602740262404,1.4990481989495847,1.865329770849807,3.4270655595954778,2.4118955927993606
Charles,1.9014512748183656,1.4364542285137996,2.031990502602152,0.8499758362514713,3.703956543488429,0.3662867942745304,-1.1508752355975547,0.15873001342052892,-1.2261376232943284,0.774347416613641,1.454782103882387,0.7883423475230705,3.0714838186835185,1.4344620323954729,0.3346057851476142,0.9477304496844071,1.5421451990627117,3.140489181994917,3.3949750040235913,2.664328850191185,1.7733500636703583,3.124419988680116,1.8599889061033086,1.0912169877948659,3.0402571871508086,2.592675215718219,3.1340362970336226,1.5332775348621293,1.126575745846397,2.443221669910765,2.9329110241756404,3.091319000719142,3.910543742447014,1.405455246627948,2.050391577697307,4.688810370003567,2.3677482363892923
Sierra,0.5561701685685243,-0.20436541141321887,0.6678875352025361,0.7659446404967107,0.693844462900323,0.4504860923520329,-0.48596898294136803,0.32603199617152284,-0.5743799562767973,0.4428793387163765,0.9108592779363801,0.12647618824778137,0.3403033515223893,0.23395507714958422,-0.057686737576909765,1.2760735624024986,0.8598688889355778,-0.07322776834618333,1.8508143604750558,1.228212674437741,-0.2781747539011912,1.7295440578023775,-0.4183324155330627,1.1280594012348035,2.6616420812379395,0.3800307846464903,1.9160015376360189,1.3211761807636735,-1.0144797185203083,1.293840287085507,2.199129903788169,2.4509443177466204,2.5064242342167358,0.8439690356935816,1.5210568607250068,3.1488444447305657,1.1452091052504483
London,1.3210251499393502,-0.06750498337592983,1.2089490070616318,-0.21197355812204963,1.515125215351574,-0.8476626803357769,-1.4659689513743297,-0.6983283022073323,-1.372373500338058,0.5816355590469782,1.3423814455296086,0.3539815721879419,1.0423612590388531,0.8502548167624072,-0.31898817640945054,0.632802673498478,1.2350247683027058,1.3868854042764482,2.881498057326878,0.18418869887239822,1.6979047049915028,1.3593112957350009,-0.546680487524227,-1.2387908161688048,0.830633873358476,2.351660992559506,0.7424300518046905,0.7508717190771331,-0.8402725425916051,1.905103799336985,2.014453898792023,1.8253066541042093,2.6278568713336847,-0.03588176237939606,0.20572039239683804,2.0171655250574996,0.9357911105672467
Joe,1.3423236335379967,1.7689015110584694,1.3085791492182721,2.196181549492839,2.8553031064644028,1.65500662091042,-1.3184930028591393,0.12569951745687544,-1.1479147397725955,0.6004012658916974,1.2996847372538185,1.3563537449841436,1.7257329154833994,1.1989303639863327,0.4554287941775011,0.3385049486464325,1.91055601049021,0.8345379157255927,3.811953455468318,3.1050647752212317,1.490197391304382,3.367209133331332,2.037771535699162,2.0269664245985255,3.720520892333842,2.1074766251689385,3.586631317633209,1.3579811528585595,0.6057683760584182,2.75831465367829,3.1270168516544135,2.3455933906756004,3.14433376656439,0.6935808657343128,3.4769077301859026,3.6286152491241714,2.9127623653915653
