,country,beverage,direct_correlation,indirect_correlation,same_correlation
0,Nigeria,water,0.16194167941142704,0.1185807584858874,True
1,Nigeria,coffee,0.7075511024609354,-0.09998378347607424,False
2,Nigeria,tea,-0.8711328665549213,0.013352184149478427,False
3,Nigeria,juice,1.620009817533658,-0.056666631360791725,False
4,Nigeria,milk,-0.12977635076942132,0.003083590388192509,False
5,Nigeria,soda,0.5574682870198695,-0.11460183703316022,False
6,Nigeria,alcohol,0.8334501638274824,-0.06131464540943605,False
7,Nigeria,liquor,0.2884918907481319,-0.03509744263944989,False
8,Nigeria,beer,-0.001077688052717955,-0.06081678015660723,True
9,Nigeria,wine,-1.1830739275874471,-0.047747616816040124,True
10,Nigeria,vodka,-2.001531902060274,-0.16214417614835958,True
11,Nigeria,whiskey,-0.02927501022986712,0.0194748301713654,False
12,Nigeria,champagne,-1.005699787690087,-0.0914846277073648,True
13,Ethiopia,water,0.6924112563784347,0.20822207183031227,True
14,Ethiopia,coffee,1.6268815266705532,-0.1769548062069879,False
15,Ethiopia,tea,-0.035474239487763036,0.0811422213568914,False
16,Ethiopia,juice,1.0318683615033906,0.06584205432403265,True
17,Ethiopia,milk,0.6752976080202914,0.199441232713712,True
18,Ethiopia,soda,-0.6711923720015288,-0.14031230970905698,True
19,Ethiopia,alcohol,-0.9508628603131304,-0.10120708689313383,True
20,Ethiopia,liquor,-1.5806228183287825,-0.1196742885708206,True
21,Ethiopia,beer,-0.9287420859329908,-0.24253751289000125,True
22,Ethiopia,wine,-1.0653639408546385,0.0430786278607572,False
23,Ethiopia,vodka,-2.9805986753813385,-0.13690909640995494,True
24,Ethiopia,whiskey,-1.624832982349968,-0.16679589486551508,True
25,Ethiopia,champagne,-1.2671012942792823,-0.01854927725752802,True
26,Egypt,water,0.7077602473966909,0.28571017220621137,True
27,Egypt,coffee,0.07279794662965104,-0.28578844641271,False
28,Egypt,tea,0.744406076681838,0.3022091924905379,True
29,Egypt,juice,-0.09597127875347754,0.18052214595984334,False
30,Egypt,milk,0.3005227558667995,0.4428606132172909,True
31,Egypt,soda,-0.9334974846047286,-0.3263230281663521,True
32,Egypt,alcohol,-0.7816191515644272,-0.2297491194443854,True
33,Egypt,liquor,-1.1409534633238678,-0.2866708880525403,True
34,Egypt,beer,-1.4771564431475854,-0.5630670610356892,True
35,Egypt,wine,0.004321397754339182,0.12962135051817394,True
36,Egypt,vodka,-2.220589091313297,-0.16667971250156874,True
37,Egypt,whiskey,-1.416110625319608,-0.4573163291621208,True
38,Egypt,champagne,-0.5432421036537645,0.24026761763965365,False
39,Congo,water,0.3929889633557888,0.03375256331885277,True
40,Congo,coffee,1.1612202429239311,-0.21250768700731695,False
41,Congo,tea,-0.07262281548266324,-0.042713962323388886,True
42,Congo,juice,1.2634705217905509,-0.033511386630092115,False
43,Congo,milk,0.20821245148007103,0.07722797731337439,True
44,Congo,soda,-0.29120007011309146,-0.1769854798516074,True
45,Congo,alcohol,-0.8356354466631654,-0.047800036581240685,True
46,Congo,liquor,-0.22346244392464645,0.02371689746235425,False
47,Congo,beer,-0.4748262611521529,-0.12625846132772706,True
48,Congo,wine,-1.4898116166119264,0.1719750755176699,False
49,Congo,vodka,-2.215444931905948,-0.0030202982602425712,True
50,Congo,whiskey,-0.2616688580524153,-0.09015232204400446,True
51,Congo,champagne,-0.4409746582326596,0.1003842792539201,False
52,Tanzania,water,0.4725184458284614,0.1348158821454829,True
53,Tanzania,coffee,0.7285772197201775,-0.0844110114571411,False
54,Tanzania,tea,1.0700879123819709,-0.030333072240156824,False
55,Tanzania,juice,1.7437349633472834,-0.01745524698582115,False
56,Tanzania,milk,0.8516845466688866,-0.005738261430663431,False
57,Tanzania,soda,-0.10550913764120676,-0.05896216547360283,True
58,Tanzania,alcohol,-0.9688826716139296,-0.024325409118040955,True
59,Tanzania,liquor,-0.7679087394356596,-0.011072968032238657,True
60,Tanzania,beer,-0.5758089216822345,-0.02672515086657625,True
61,Tanzania,wine,-1.2948854427755478,-0.03221784290822536,True
62,Tanzania,vodka,-2.1208314202519123,-0.1019924159726704,True
63,Tanzania,whiskey,-0.7359108572334272,0.022097805271353518,False
64,Tanzania,champagne,-0.7757166104119393,-0.13352350631541635,True
65,South Africa,water,-0.5284761580909954,-0.13418572572076687,True
66,South Africa,coffee,1.0402695283744308,0.08638461607097707,True
67,South Africa,tea,0.15222935589415085,-0.07795933653662009,False
68,South Africa,juice,1.7048426202034437,-0.1020440465520686,False
69,South Africa,milk,-0.9577022705542558,-0.2189284301573062,True
70,South Africa,soda,0.2575588857607388,0.054209329125797005,True
71,South Africa,alcohol,-0.09997252385794483,-0.046076656810650436,True
72,South Africa,liquor,0.01404095667676375,-0.027550004666812643,False
73,South Africa,beer,0.4197393737187239,0.16992934875672042,True
74,South Africa,wine,-0.6493679316716607,0.031700184296634536,False
75,South Africa,vodka,-1.1752014678431713,-0.0792451097519621,True
76,South Africa,whiskey,-0.35011819283971546,0.16634237346662736,False
77,South Africa,champagne,0.7867223543156519,-0.1497929703976025,False
78,Kenya,water,0.5866510569744589,0.021629393478877768,True
