sport,occupation,direct_correlation,indirect_correlation,same_correlation
football,accountant,0.26700570740256796,0.037260797260296026,True
football,architect,-0.7187800500927259,0.15516788531691061,False
football,artist,-1.611402516303208,-0.15451780094075154,True
football,attorney,-1.1611023461142285,0.02732207046400451,False
football,banker,0.057866180760364865,0.2100329923156432,True
football,bartender,0.19040030882267783,0.014079102802557175,True
football,barber,0.2215349076916706,0.27116349289187874,True
football,broadcaster,-0.13738596353597357,0.1245895428299674,False
football,businessman,0.0017818341588212746,0.2742557880896121,True
football,butcher,0.37146543437766566,0.21195052815826365,True
football,captain,0.9019034817325106,0.25530680659536215,True
football,carpenter,0.6467353859492084,0.3151130792691327,True
football,chef,0.16488582262693616,-0.12149451959735857,False
football,coach,0.3017142101047259,0.18688483413471899,True
football,cook,0.5608820381692696,-0.22673529660626562,False
football,dancer,-0.29202428832409455,-0.28828395112592037,True
football,designer,-0.44736735258890553,-0.20543753841998397,True
football,doctor,-0.6531226730456431,0.016482678834254645,False
football,economist,-0.9733960603954964,0.033391984656108605,False
football,editor,-0.799409022671578,-0.04490247884332386,True
football,engineer,0.06516169202679296,0.2561046238416169,True
football,farmer,0.87956312628317,0.2814305425872944,True
football,filmmaker,-1.3686920416662498,0.09781868798503465,False
football,financier,-0.5408703639760115,0.2245924157185382,False
football,fisherman,0.5577006409183254,0.2904344483609419,True
football,gardener,0.5839307286853904,0.08630211747309084,True
football,journalist,-0.2627252280493943,-0.0970072820792812,True
football,judge,-1.2664826131787636,0.177124450488807,False
football,lawyer,-0.554457735223276,0.03134296227338327,False
football,librarian,-0.1672812370548224,-0.2333506276462179,True
football,magician,-2.2564953531608416,0.25918281344936456,False
football,mechanic,0.645456494920321,0.28118943227894416,True
football,musician,-1.7477826930431017,0.13554295020702303,False
football,nanny,0.4664870906400358,-0.34940117363911544,False
football,nurse,-0.016494545257277168,-0.32424293167758855,True
football,painter,-0.8352677458565115,0.05391165500315178,False
football,pharmacist,-0.6428128627452453,-0.03469388224889442,True
football,philosopher,-1.7614785767852403,0.20306723503439117,False
football,photographer,-0.6412771335117153,-0.03519146445288328,True
football,pilot,1.0182568466310198,0.27707727285745776,True
football,plumber,0.6456973919057033,0.31456964609331783,True
football,policeman,0.25662161150561563,0.3152746983730794,True
football,politician,-0.9002741694023353,0.12633764844984904,False
football,professor,-1.0839345545886805,0.10972436919575472,False
football,programmer,-0.5632471972555049,0.11605734416875572,False
football,psychologist,-0.7384414611747045,-0.06852936235131993,True
football,scientist,-0.6938056625244733,0.18933566621630374,False
football,scholar,-0.9120966177757724,0.14669223150430433,False
football,secretary,0.13839719072466278,-0.290594737857766,False
football,server,-0.5745864593155456,-0.14259771120341277,True
football,singer,-1.2688492573568653,-0.23366801873605436,True
football,skipper,-0.06148041714898676,0.04712329594353832,False
football,soldier,0.3477158791201226,0.32676052652862225,True
football,stylist,-0.5634091165961129,-0.32397784638690436,True
football,surgeon,-1.2050846922474783,0.17357600583891475,False
football,teacher,-0.1689108093791415,-0.18154056286416045,True
football,translator,-0.5126149184701162,-0.18138329945270065,True
football,veterinarian,-0.7319803182763497,-0.020413593265475594,True
football,waiter,0.5634934357867553,0.1815452897791861,True
football,waitress,0.7999612952765491,-0.31293502656425937,False
football,warrior,-0.7237261925978419,0.12809283065335256,False
football,writer,-0.9799919186227034,0.03250358921705088,False
basketball,accountant,-0.01998712977411732,-0.002948426091030934,True
basketball,architect,-0.8143552794209489,0.15812354954551944,False
basketball,artist,-1.5408207330027182,-0.13384088613319536,True
basketball,attorney,-0.6199935864935574,0.03989816234130234,False
basketball,banker,-0.2058644502880058,0.1755020462698278,False
basketball,bartender,0.669359907325242,0.028718730156441052,True
basketball,barber,0.06212924288176598,0.250326352379947,True
basketball,broadcaster,-0.23439846566141928,0.13490796415762102,False
basketball,businessman,-0.5002332768756671,0.2697370382679637,False
basketball,butcher,-0.36773396618497045,0.14718043246660834,False
basketball,captain,0.344556730314846,0.24426466993160376,True
basketball,carpenter,0.520151741551498,0.3089768886382778,True
basketball,chef,0.29349587067702393,-0.14061569531487275,False
basketball,coach,-0.07047910072763199,0.21587737009513464,False
basketball,cook,0.55918101037598,-0.2689535667182982,False
basketball,dancer,0.05578922996665039,-0.2743207410057757,False
basketball,designer,-0.5001098032400834,-0.1837679971541913,True
basketball,doctor,-0.9406080093669079,-0.061297338923396213,True
basketball,economist,-1.275130482702464,3.06682456305123e-05,False
basketball,editor,-0.6843607079014952,-0.02885454424229565,True
basketball,engineer,-0.003636519852220176,0.26380887176882856,False
basketball,farmer,0.26118384401743,0.25670959566668333,True
basketball,filmmaker,-1.3794403828323558,0.10436080400834952,False
basketball,financier,-0.8030317544528767,0.20523432046413634,False
basketball,fisherman,0.10018960828127994,0.27649345883487825,True
basketball,gardener,0.372192152538204,0.05159995760237973,True
basketball,journalist,-0.7190804450260122,-0.115170004695384,True
basketball,judge,-1.1754429327744926,0.15805499459678668,False
basketball,lawyer,-0.5532726325054921,-0.005201418392954337,True
basketball,librarian,-0.029737352633806106,-0.25785963305766013,True
basketball,magician,-2.2311874876558995,0.24764420110999724,False
basketball,mechanic,0.6838612110515758,0.26754925432731813,True
basketball,musician,-1.682901002653082,0.14524839109775337,False
basketball,nanny,0.6677793217664522,-0.3493782449276134,False
basketball,nurse,-0.07787028820289525,-0.329936508255018,True
basketball,painter,-0.7834689786352308,0.022833045216488133,False
basketball,pharmacist,-0.7156193785725873,-0.06672869754082084,True
basketball,philosopher,-2.097750075572276,0.1620362541619059,False
basketball,photographer,-0.6207576954860259,-0.023862051132822356,True
basketball,pilot,1.6405310629964918,0.28880378433282683,True
basketball,plumber,0.48064300395334514,0.29098935193322367,True
basketball,policeman,-0.6912077391334064,0.29570317483776437,False
basketball,politician,-1.5392990743536423,0.08685896364310765,False
basketball,professor,-1.378663113233881,0.06358095831357745,False
basketball,programmer,-0.15993696045724068,0.1331252960704962,False
basketball,psychologist,-0.7391830179373685,-0.07786986127929554,True
basketball,scientist,-1.0621215344051513,0.17203054855024255,False
basketball,scholar,-0.8621868472308831,0.13163234173829652,False
basketball,secretary,0.1603271096073961,-0.3194805449248316,False
