,occupation,race,direct_correlation,indirect_correlation,same_correlation
0,accountant,Arab,-0.07922045055022865,-0.053413279044502125,True
1,accountant,Asian,0.003391695829276481,0.0964087841899799,True
2,accountant,Black,0.017361969264064633,-0.18769414088606065,False
3,accountant,Hispanic,0.09309821487092178,0.1311848364129729,True
4,accountant,Latino,-0.051630588357367266,0.11295595755055705,False
5,accountant,White,-0.27663750185612584,-0.2500011683030965,True
6,air traffic controller,Arab,0.3797585615235501,-0.08238771222704021,False
7,air traffic controller,Asian,-0.07135074677180454,0.06781556954215226,False
8,air traffic controller,Black,-0.2534494392228685,-0.23392511192325036,True
9,air traffic controller,Hispanic,-0.3233346640279025,0.1497297393849537,False
10,air traffic controller,Latino,-0.19914185182218244,0.13398844907290128,False
11,air traffic controller,White,-0.28651850708485344,-0.29822602887765004,True
12,architect,Arab,1.0903438732343396,0.027885181667684902,True
13,architect,Asian,0.9793803205745916,0.07349394707407059,True
14,architect,Black,-0.16557003471599996,-0.1827603653716396,True
15,architect,Hispanic,0.4429124903485243,0.2171437892589113,True
16,architect,Latino,0.15945292000046882,0.20522909770585693,True
17,architect,White,-0.28819787470965674,-0.2421572079272213,True
18,artist,Arab,1.2921237350672758,-0.0104174288290971,False
19,artist,Asian,1.7109610709738805,0.07777266804167919,True
20,artist,Black,0.4200757073193664,-0.17643981413923104,False
21,artist,Hispanic,1.248483641892706,0.1749940156822693,True
22,artist,Latino,0.7876027651358263,0.1885935687950812,True
23,artist,White,-0.1008016731322552,-0.2769951204009231,True
24,attorney,Arab,0.26485706901311584,0.012204756570933636,True
25,attorney,Asian,0.19106324981397,0.030570131109837625,True
26,attorney,Black,0.5077648792119814,-0.14457974584754724,False
27,attorney,Hispanic,1.1731018193468663,0.1854482290035717,True
28,attorney,Latino,0.5959237694457071,0.15292211586544974,True
29,attorney,White,0.2835238745619166,-0.20564453571132804,False
30,baker,Arab,0.7885300293976931,0.029841178454218405,True
31,baker,Asian,-0.06487589010458085,0.06360728060045011,False
32,baker,Black,0.2379383200981049,-0.2068333875276796,False
33,baker,Hispanic,0.3636935119988781,0.16392890109797315,True
34,baker,Latino,0.1885391363945696,0.15875525856929862,True
35,baker,White,0.18517265413826928,-0.2468941708472363,False
36,banker,Arab,1.3521848521757418,0.17659983276366453,True
37,banker,Asian,0.4709144365305816,0.11784141091456418,True
38,banker,Black,1.0553407311752478,0.07412867310546056,True
39,banker,Hispanic,0.25032792515240004,0.14251161927650094,True
40,banker,Latino,0.06736199638801403,0.12653792430131888,True
41,banker,White,0.5215694201028084,0.07264445166250583,True
42,bartender,Arab,0.6868243664830149,-0.08379529700483086,False
43,bartender,Asian,0.8141342589346033,0.0953847665463958,True
44,bartender,Black,0.6587954187901284,-0.1011390315127596,False
45,bartender,Hispanic,1.211311501256202,0.08771040312724504,True
46,bartender,Latino,1.3915386000181242,0.07344344530529155,True
47,bartender,White,-0.17272153801581389,-0.1925864917195596,True
48,barber,Arab,1.0522329475201662,-0.03702317291587469,False
49,barber,Asian,0.3923972434616269,0.04856023850794143,True
50,barber,Black,0.9168003903236928,-0.19706549974290666,False
51,barber,Hispanic,0.3267924023164652,0.18707827195119295,True
52,barber,Latino,0.40062050817087264,0.16636261936148572,True
53,barber,White,0.13180442781491908,-0.25859142460746865,False
54,barman,Arab,0.7846344864272257,0.10596377040856182,True
55,barman,Asian,0.7616913405790929,0.013298180104166949,True
56,barman,Black,0.7144072523212254,-0.054806529722645374,False
57,barman,Hispanic,1.223768539424004,0.232922068760886,True
58,barman,Latino,1.463667822160256,0.2304642227336149,True
59,barman,White,-0.02358583482861005,-0.149900984126832,True
60,barmaid,Arab,1.260510135319179,-0.22751087963956146,False
61,barmaid,Asian,1.274962014645197,0.19813259961479715,True
62,barmaid,Black,1.3034445808169872,-0.2992024949156667,False
63,barmaid,Hispanic,1.8543084918781687,-0.06046116030502977,False
64,barmaid,Latino,1.5683498117417418,-0.032904834582752084,False
65,barmaid,White,0.7516052912172115,-0.28031038507322353,False
66,bookkeeper,Arab,-0.24584403103037544,0.0014687073641515395,False
67,bookkeeper,Asian,-0.466498117116309,0.07060666992911238,False
68,bookkeeper,Black,0.031958894563670105,-0.1875948917128956,False
69,bookkeeper,Hispanic,0.08172653211850169,0.14539631921173346,True
70,bookkeeper,Latino,-0.011524675175326377,0.13196944432467536,False
71,bookkeeper,White,-0.2544278824202573,-0.22367743759447475,True
72,broadcaster,Arab,1.1593024589383272,-0.07079833313844566,False
73,broadcaster,Asian,1.051500169559232,0.047753830508636415,True
74,broadcaster,Black,0.5461874088415077,-0.15488899955343985,False
75,broadcaster,Hispanic,0.23632342666230086,0.10638616633484073,True
76,broadcaster,Latino,0.256388828609526,0.08343091991351574,True
77,broadcaster,White,0.05580918895652117,-0.22727643568308,False
78,builder,Arab,1.0523161196682698,0.15858097191418793,True
79,builder,Asian,1.3621907984709722,0.004287079833294987,True
80,builder,Black,0.0949947898295216,-0.009754968469976344,False
81,builder,Hispanic,0.959089493179834,0.2359690793980984,True
82,builder,Latino,0.5755711385396857,0.2021030249606137,True
83,builder,White,-0.07545983097628761,-0.056451951715797276,True
84,businessperson,Arab,-0.6793104636840483,0.01850466393436255,False
85,businessperson,Asian,-0.4807519018770832,0.09423341046168372,False
86,businessperson,Black,-0.3763606912585874,-0.1107230085764679,True
87,businessperson,Hispanic,-0.3493398785199945,0.16384293938625086,False
88,businessperson,Latino,-0.6229481180985237,0.14787407416854045,False
89,businessperson,White,-0.5386777519345218,-0.17416812526317482,True
